state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
AK,1,22,1,1,22,1,0,24,1609,24,1004,24,30,24,6,24,1,24,0,24,0,24,72,24,7,24,7,24,30,24,29,24,0,24,0,24,124,24,0.623990055935364,24,1004,1609,0.029880478087649,24,30,1004,0.018645121193288,24,30,1609,0.056451612903226,24,7,124,0.580645161290323,24,72,124,2021/07/03,,0,24,0,24,2,24,0,24,1,24,2,24,1,24,0,24,0,24,0,24,0,24,0,24,0,24,1,24,0,24,0,24,0,24,0,24,0,24
AL,28,76,13,30,74,13,3,114,15163,117,11431,117,329,114,47,116,82,114,2,114,15,114,1326,117,100,114,90,116,318,114,260,116,11,114,4,114,1624,117,0.753874563081184,117,11431,15163,0.02910474168436,114,329,11304,0.021990508655839,114,329,14961,0.063051702395965,114,100,1586,0.816502463054187,117,1326,1624,2021/07/03,,0,116,3,116,3,116,7,116,14,116,6,116,9,116,5,116,0,116,1,114,8,114,8,114,13,114,5,114,18,114,17,114,12,114,0,114,2,114
AR,19,88,2,19,88,2,1,107,9331,109,6694,109,446,107,79,109,190,107,1,107,10,107,729,109,168,107,159,109,438,107,391,109,8,107,4,107,1019,109,0.717393634122816,109,6694,9331,0.066816479400749,107,446,6675,0.047987949214547,107,446,9294,0.166832174776564,107,168,1007,0.71540726202159,109,729,1019,2021/07/03,,2,109,1,109,6,109,9,109,9,109,15,109,12,109,12,109,13,109,0,107,4,107,2,107,4,107,10,107,9,107,13,107,8,107,140,107,5,107
AZ,23,83,3,26,80,3,3,106,15911,109,10591,109,530,106,58,109,96,106,3,106,2,106,991,109,154,106,106,109,523,106,364,109,7,106,6,106,1995,109,0.665640123185218,109,10591,15911,0.051064649773581,106,530,10379,0.033935202970931,106,530,15618,0.07983411093831,106,154,1929,0.496741854636592,109,991,1995,2021/07/03,,1,109,3,109,9,109,2,109,6,109,15,109,12,109,9,109,1,109,0,106,7,106,8,106,7,106,14,106,21,106,23,106,16,106,0,106,5,106
CA,54,301,37,71,283,38,12,384,61029,392,45344,392,1505,382,200,392,284,384,0,382,7,382,4470,390,317,382,304,390,1474,382,1260,390,31,382,22,382,6574,390,0.742991037047961,392,45344,61029,0.033619264620471,382,1505,44766,0.024995432728239,382,1505,60211,0.049484857945676,382,317,6406,0.679951323395193,390,4470,6574,2021/07/03,,3,390,19,390,37,390,27,390,41,390,39,390,24,390,10,390,0,390,4,382,23,382,29,382,26,382,51,382,50,382,57,382,42,382,2,382,20,382
CO,7,76,20,8,75,20,5,101,10993,103,7405,103,340,101,58,103,30,101,3,101,8,101,904,103,105,101,105,103,332,101,277,103,8,101,3,101,1287,103,0.673610479395979,103,7405,10993,0.046391049256379,101,340,7329,0.031221303948577,101,340,10890,0.083465818759936,101,105,1258,0.702408702408702,103,904,1287,2021/07/03,,1,103,1,103,8,102,10,102,7,102,11,103,11,102,8,102,1,103,0,101,6,100,6,100,3,100,3,100,5,101,3,100,4,100,0,101,2,101
CT,0,35,4,0,35,4,6,38,8153,39,6357,39,64,38,8,39,30,38,0,38,0,38,529,39,13,38,8,39,63,38,33,39,1,38,0,38,1052,39,0.779712989083773,39,6357,8153,0.010149064383127,38,64,6306,0.007933556464609,38,64,8067,0.012621359223301,38,13,1030,0.502851711026616,39,529,1052,2021/07/03,,0,39,1,39,2,39,2,39,1,39,2,39,0,39,0,39,0,39,1,38,1,38,3,38,2,38,5,38,6,38,2,38,10,38,0,38,0,38
DC,0,12,2,0,12,2,0,13,3452,14,2700,14,48,13,2,14,52,13,2,13,2,13,271,14,9,13,6,14,42,13,23,14,6,13,4,13,312,14,0.78215527230591,14,2700,3452,0.018320610687023,13,48,2620,0.014401440144014,13,48,3333,0.03,13,9,300,0.868589743589744,14,271,312,2021/07/03,,0,14,0,14,1,14,0,14,1,14,0,14,0,14,0,14,0,14,0,13,2,13,14,13,6,13,11,13,13,13,1,13,5,13,0,13,0,13
DE,1,12,1,1,12,1,0,13,3199,14,2390,14,27,13,5,14,40,13,0,13,0,13,143,14,6,13,6,14,26,13,21,14,1,13,0,13,188,14,0.747108471397312,14,2390,3199,0.011354079058032,13,27,2378,0.008525418377013,13,27,3167,0.033333333333333,13,6,180,0.76063829787234,14,143,188,2021/07/03,,0,14,0,14,1,14,0,14,3,14,0,14,0,14,1,14,0,14,0,13,1,13,0,13,4,13,1,13,12,13,11,13,11,13,0,13,0,13
FL,3,197,57,3,197,57,71,251,56999,257,43445,257,2491,251,396,257,156,251,13,251,12,251,4720,257,550,251,533,257,2459,251,2161,257,32,251,26,251,6035,257,0.762206354497447,257,43445,56999,0.058133022170362,251,2491,42850,0.044465468306528,251,2491,56021,0.094129727879514,251,550,5843,0.782104391052196,257,4720,6035,2021/07/03,,5,257,24,256,54,257,63,257,74,257,66,257,56,257,41,257,13,257,1,251,9,251,20,251,25,251,29,251,23,251,23,251,26,251,0,251,25,251
