state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,0,0,68,0,0,68,1,67,9194,68,5408,68,396,67,18,68,25,67,2,67,7,67,466,68,72,67,58,68,373,67,343,68,23,67,16,67,692,68,0.588209701979552,68,5408,9194,0.074731081336101,67,396,5299,0.04393166185933,67,396,9014,0.1089258698941,67,72,661,0.673410404624278,68,466,692,2021/04/08,POINT (-66.414655 18.215692)
RI,4,9,1,4,9,1,20,13,2205,14,1933,14,180,13,2,14,0,13,0,13,0,13,133,14,31,13,32,14,180,13,144,14,0,13,0,13,172,14,0.876643990929705,14,1933,2205,0.095187731359069,13,180,1891,0.084507042253521,13,180,2130,0.202614379084967,13,31,153,0.773255813953488,14,133,172,2021/04/08,POINT (-71.534637 41.572574)
SC,20,47,2,20,47,2,2,67,10029,69,7388,69,550,67,67,69,52,67,0,67,0,67,927,69,146,67,134,69,543,67,503,69,7,67,6,67,1346,69,0.73666367534151,69,7388,10029,0.075290896646133,67,550,7305,0.055758313057583,67,550,9864,0.111877394636015,67,146,1305,0.688707280832095,69,927,1346,2021/04/08,POINT (-80.864614 33.878572)
SD,0,60,3,1,59,3,30,60,2570,63,1402,63,103,60,6,63,13,60,1,60,2,60,113,63,20,60,18,63,100,60,76,63,3,60,1,60,237,63,0.545525291828794,63,1402,2570,0.074854651162791,60,103,1376,0.041150619256892,60,103,2503,0.088495575221239,60,20,226,0.476793248945148,63,113,237,2021/04/08,POINT (-100.230491 44.43614)
TN,15,84,42,32,67,42,18,99,20307,141,13265,128,827,99,83,99,49,99,0,99,0,99,1678,139,235,99,216,99,824,99,724,99,3,99,1,99,2371,141,0.690274236353229,128,13265,19217,0.073095280183843,99,827,11314,0.050133365664403,99,827,16496,0.1109537299339,99,235,2118,0.717094017094017,139,1678,2340,2021/04/08,POINT (-86.343226 35.842998)
TX,99,486,5,115,470,5,73,585,67491,590,46593,590,36383,585,339,590,397,585,14,585,50,585,5461,590,947,585,875,590,3261,585,2771,590,33122,585,55,585,7186,590,0.690358714495266,590,46593,67491,0.790178959256364,585,36383,46044,0.54521069352035,585,36383,66732,0.13511199885861,585,947,7009,0.759949902588366,590,5461,7186,2021/04/08,POINT (-99.317341 31.447238)
UT,0,52,1,0,52,1,0,52,5472,53,2878,53,132,52,19,53,1,52,0,52,0,52,339,53,58,52,59,53,130,52,126,53,2,52,0,52,628,53,0.525950292397661,53,2878,5472,0.046528022559041,52,132,2837,0.024458032240133,52,132,5397,0.095081967213115,52,58,610,0.539808917197452,53,339,628,2021/04/08,POINT (-111.678222 39.323779)
VA,15,70,9,19,66,9,29,91,17037,94,11738,94,1047,91,111,94,180,91,4,91,13,91,1311,94,232,91,218,94,1032,91,855,94,15,91,11,91,1958,94,0.688971062980572,94,11738,17037,0.090274185204346,91,1047,11598,0.062451535937966,91,1047,16765,0.122881355932203,91,232,1888,0.669560776302349,94,1311,1958,2021/04/08,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,69,2,5,2,1,2,0,2,0,2,0,2,9,2,4,2,4,2,5,2,5,2,0,2,0,2,20,2,0.410714285714286,2,69,168,0.072463768115942,2,5,69,0.029761904761905,2,5,168,0.2,2,4,20,0.45,2,9,20,2021/04/08,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1303,17,816,17,30,16,5,17,9,16,0,16,0,16,62,17,5,16,4,17,30,16,29,17,0,16,0,16,102,17,0.626247122026094,17,816,1303,0.037926675094817,16,30,791,0.023696682464455,16,30,1266,0.052631578947368,16,5,95,0.607843137254902,17,62,102,2021/04/08,POINT (-72.662695 44.075252)
