state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-12-08,"67,031","66,975","67,087",78.26,78.07,78.44,"85,656","85,598","85,714"
CW,2020-12-09,"67,542","67,494","67,591",79.03,78.88,79.17,"85,468","85,435","85,500"
CW,2020-12-10,"67,671","67,649","67,693",79.03,78.95,79.10,"85,631","85,610","85,651"
CW,2020-12-11,"67,549","67,527","67,571",78.89,78.82,78.97,"85,620","85,598","85,642"
CW,2020-12-12,"66,696","66,663","66,729",77.94,77.84,78.04,"85,573","85,548","85,598"
CW,2020-12-13,"65,519","65,480","65,559",76.87,76.75,77.00,"85,229","85,198","85,261"
CW,2020-12-14,"65,698","65,662","65,733",77.28,77.17,77.39,"85,011","84,987","85,035"
CW,2020-12-15,"67,560","67,546","67,574",78.84,78.78,78.91,"85,688","85,663","85,713"
CW,2020-12-16,"67,959","67,943","67,975",79.01,78.95,79.07,"86,012","85,990","86,035"
CW,2020-12-17,"67,995","67,951","68,039",78.88,78.72,79.03,"86,202","86,152","86,252"
CW,2020-12-18,"67,657","67,652","67,663",78.54,78.49,78.60,"86,141","86,115","86,167"
CW,2020-12-19,"66,638","66,596","66,681",77.49,77.35,77.63,"85,997","85,956","86,038"
CW,2020-12-20,"65,617","65,582","65,651",76.33,76.19,76.46,"85,967","85,919","86,016"
CW,2020-12-21,"65,877","65,845","65,909",76.65,76.55,76.76,"85,943","85,912","85,973"
CW,2020-12-22,"67,497","67,468","67,527",78.24,78.12,78.35,"86,273","86,233","86,313"
CW,2020-12-23,"67,244","67,185","67,302",77.99,77.79,78.19,"86,220","86,158","86,282"
CW,2020-12-24,"65,906","65,857","65,955",76.67,76.50,76.84,"85,961","85,907","86,015"
CW,2020-12-25,"63,940","63,879","64,001",74.64,74.43,74.85,"85,666","85,605","85,726"
CW,2020-12-26,"63,826","63,774","63,877",74.50,74.33,74.68,"85,667","85,616","85,718"
CW,2020-12-27,"64,758","64,712","64,805",75.38,75.22,75.54,"85,911","85,860","85,962"
CW,2020-12-28,"65,699","65,632","65,766",76.50,76.27,76.72,"85,884","85,815","85,953"
CW,2020-12-29,"67,892","67,843","67,941",78.76,78.60,78.92,"86,200","86,154","86,245"
CW,2020-12-30,"68,441","68,372","68,510",79.28,79.13,79.42,"86,333","86,287","86,380"
CW,2020-12-31,"67,958","67,900","68,017",78.87,78.77,78.97,"86,164","86,115","86,212"
CW,2021-01-01,"66,780","66,705","66,855",77.70,77.51,77.90,"85,941","85,868","86,014"
CW,2021-01-02,"65,921","65,830","66,011",76.78,76.51,77.06,"85,853","85,751","85,956"
CW,2021-01-03,"66,655","66,593","66,716",77.51,77.38,77.65,"85,993","85,927","86,059"
CW,2021-01-04,"67,800","67,709","67,892",78.48,78.20,78.77,"86,388","86,275","86,500"
CW,2021-01-05,"69,550","69,446","69,653",80.12,79.79,80.45,"86,803","86,678","86,928"
CW,2021-01-06,"70,282","70,191","70,373",80.65,80.38,80.92,"87,146","87,039","87,253"
CW,2021-01-07,"69,802","69,472","70,132",80.04,78.88,81.20,"87,208","86,814","87,602"
AK,2020-12-08,101,101,101,76.52,76.52,76.52,132,132,132
AL,2020-12-08,"1,331","1,331","1,331",90.98,90.98,90.98,"1,463","1,463","1,463"
AR,2020-12-08,830,830,830,82.10,82.10,82.10,"1,011","1,011","1,011"
AZ,2020-12-08,"1,462","1,462","1,462",69.89,69.89,69.89,"2,092","2,092","2,092"
CA,2020-12-08,"6,085","6,074","6,096",81.77,81.34,82.19,"7,442","7,431","7,453"
CO,2020-12-08,"1,045","1,045","1,045",70.42,70.42,70.42,"1,484","1,484","1,484"
CT,2020-12-08,639,639,639,57.88,57.88,57.88,"1,104","1,104","1,104"
DC,2020-12-08,289,289,289,86.53,86.53,86.53,334,334,334
DE,2020-12-08,146,146,146,83.91,83.91,83.91,174,174,174
FL,2020-12-08,"5,135","5,135","5,135",81.81,81.81,81.81,"6,277","6,277","6,277"
GA,2020-12-08,"2,327","2,327","2,327",87.78,87.78,87.78,"2,651","2,651","2,651"
HI,2020-12-08,163,163,163,70.87,70.87,70.87,230,230,230
IA,2020-12-08,525,525,525,76.64,76.64,76.64,685,685,685
ID,2020-12-08,202,202,202,70.63,70.63,70.63,286,286,286
IL,2020-12-08,"2,540","2,533","2,547",68.67,68.06,69.27,"3,699","3,690","3,708"
IN,2020-12-08,"1,718","1,718","1,718",79.02,79.02,79.02,"2,174","2,174","2,174"
KS,2020-12-08,675,675,675,82.12,82.12,82.12,822,822,822
KY,2020-12-08,"1,178","1,178","1,178",75.56,75.56,75.56,"1,559","1,559","1,559"
LA,2020-12-08,"1,402","1,402","1,402",77.89,77.89,77.89,"1,800","1,800","1,800"
MA,2020-12-08,"1,083","1,083","1,083",67.65,67.65,67.65,"1,601","1,601","1,601"
