state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PR,0,11,54,0,11,54,10,64,9234,65,5808,65,522,64,31,65,38,64,0,64,3,64,468,65,109,64,81,65,495,64,448,65,27,64,10,64,642,65,0.628979857050032,65,5808,9234,0.092063492063492,64,522,5670,0.057666813963765,64,522,9052,0.177814029363785,64,109,613,0.728971962616822,65,468,642,2021/08/24,,0,65,3,65,4,65,6,65,5,65,8,65,4,65,1,65,0,65,0,64,3,64,2,64,1,64,5,64,11,64,8,64,8,64,0,64,9,64
RI,6,6,3,6,6,3,0,14,2458,15,2145,15,131,14,11,15,16,14,0,14,0,14,144,15,25,14,22,15,130,14,123,15,1,14,0,14,169,15,0.872660699755899,15,2145,2458,0.062559694364852,14,131,2094,0.054492512479201,14,131,2404,0.165562913907285,14,25,151,0.85207100591716,15,144,169,2021/08/24,,0,14,1,14,0,14,1,14,1,14,2,15,3,15,3,14,0,14,0,12,2,13,3,13,3,13,2,13,3,14,1,14,2,13,0,13,0,14
SC,24,59,5,24,59,5,8,86,11680,88,9504,88,2225,86,274,88,54,86,6,86,5,86,1110,88,516,86,528,88,2186,86,2151,88,39,86,32,86,1330,88,0.813698630136986,88,9504,11680,0.237358651589503,86,2225,9374,0.193360563135483,86,2225,11507,0.401556420233463,86,516,1285,0.834586466165414,88,1110,1330,2021/08/24,,2,88,14,88,29,88,25,88,54,88,63,88,50,87,31,87,6,83,0,86,1,86,4,86,5,86,11,86,9,86,11,86,12,86,1,81,52,86
SD,2,60,3,2,60,3,22,62,2845,65,1757,65,172,62,44,65,13,62,0,62,4,62,141,65,48,62,52,65,171,62,161,65,1,62,0,62,238,65,0.617574692442882,65,1757,2845,0.099479467900521,62,172,1729,0.061915046796256,62,172,2778,0.211453744493392,62,48,227,0.592436974789916,65,141,238,2021/08/24,,0,65,3,65,4,65,6,65,6,65,9,65,9,65,7,65,0,65,0,62,1,62,1,62,1,62,2,62,4,62,3,62,1,62,0,62,2,62
TN,7,49,88,9,47,88,5,57,20275,144,13050,129,2020,57,266,57,61,57,11,57,6,57,1827,141,575,57,561,57,1958,57,1851,57,62,57,54,57,2502,144,0.683783075713912,129,13050,19085,0.249907212668564,57,2020,8083,0.17007661867475,57,2020,11877,0.339433293978749,57,575,1694,0.751233552631579,141,1827,2432,2021/08/24,,1,56,17,56,32,56,44,56,58,56,58,56,29,56,26,56,0,57,1,56,7,56,6,56,9,56,13,56,12,56,8,56,5,56,0,57,24,57
TX,23,104,469,18,109,469,82,591,70416,596,55580,596,14423,591,1664,596,661,591,44,591,144,591,7253,596,3762,591,3779,596,14092,591,13630,596,331,591,258,591,7782,596,0.789309247898205,596,55580,70416,0.262408121679645,591,14423,54964,0.207218079680474,591,14423,69603,0.496830427892234,591,3762,7572,0.932022616294012,596,7253,7782,2021/08/24,,18,595,99,596,193,596,246,596,316,596,288,596,236,596,145,596,123,596,10,591,58,591,81,591,70,591,102,591,121,591,88,591,67,591,64,591,231,591
UT,1,49,9,1,49,9,2,58,6284,59,4037,59,469,58,62,59,3,58,1,58,1,58,460,59,172,58,172,59,456,58,440,59,13,58,0,58,625,59,0.642425206874602,59,4037,6284,0.117691342534504,58,469,3985,0.075426182052107,58,469,6218,0.279674796747967,58,172,615,0.736,59,460,625,2021/08/24,,1,59,4,59,5,59,13,59,11,59,14,59,11,59,3,59,0,59,0,58,1,58,0,58,0,58,2,58,0,58,0,58,0,58,0,58,2,58
VA,18,67,20,19,66,20,31,102,18121,105,13203,105,1616,102,193,105,199,102,15,102,18,102,1383,105,376,102,371,105,1573,102,1408,105,43,102,24,102,1950,105,0.728602174272943,105,13203,18121,0.123774509803922,102,1616,13056,0.090466327044729,102,1616,17863,0.19946949602122,102,376,1885,0.709230769230769,105,1383,1950,2021/08/24,,1,105,11,105,13,105,20,105,37,105,41,105,34,105,29,105,7,105,2,102,15,102,18,102,13,102,24,102,52,102,40,102,35,102,0,102,18,102
VI,2,0,0,2,0,0,1,2,168,2,97,2,19,2,0,2,0,2,0,2,0,2,14,2,8,2,8,2,19,2,19,2,0,2,0,2,20,2,0.577380952380952,2,97,168,0.195876288659794,2,19,97,0.113095238095238,2,19,168,0.4,2,8,20,0.7,2,14,20,2021/08/24,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2
VT,3,13,1,2,14,1,0,16,1266,17,926,17,34,16,6,17,7,16,0,16,0,16,83,17,8,16,9,17,34,16,34,17,0,16,0,16,103,17,0.731437598736177,17,926,1266,0.038031319910515,16,34,894,0.027642276422764,16,34,1230,0.082474226804124,16,8,97,0.805825242718447,17,83,103,2021/08/24,,0,17,0,17,0,17,0,17,1,17,3,17,1,17,1,17,0,17,0,16,0,16,1,16,1,16,3,16,0,16,1,16,1,16,0,16,0,16
