state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,10,68,9637,69,5685,69,435,68,477,69,48,68,47,69,406,68,277,69,29,68,7,68,666,69,0.58991387361212,69,5685,9637,0.07829373650107992,68,435,5556,0.046031746031746035,68,435,9450,0.07559055118110236,68,48,635,0.7162162162162162,69,477,666,2020-10-21
RI,8,14,2284,15,1984,14,159,14,146,15,17,14,17,15,156,14,155,15,3,14,3,13,177,15,0.8686514886164624,14,1984,2284,0.08170606372045221,13,159,1946,0.0723055934515689,14,159,2199,0.10493827160493827,14,17,162,0.8248587570621468,15,146,177,2020-10-21
SC,1,77,10380,85,8343,85,648,83,1015,83,178,83,176,85,646,83,593,85,2,83,2,68,1352,82,0.803757225433526,85,8343,10380,0.07871720116618076,83,648,8232,0.06342370558872468,83,648,10217,0.13618974751338944,80,178,1307,0.7507396449704142,82,1015,1352,2020-10-21
SD,69,61,2795,64,1813,64,355,61,162,62,72,60,74,63,351,61,359,64,2,61,1,51,219,63,0.6486583184257603,64,1813,2795,0.20124716553287983,61,355,1764,0.1313355530891602,61,355,2703,0.35467980295566504,59,72,203,0.7397260273972602,62,162,219,2020-10-21
TN,34,114,19674,141,14096,141,1243,112,1707,138,361,112,363,115,1233,112,1162,115,10,112,3,112,2218,139,0.7198548947475986,140,14089,19572,0.10766565612819402,112,1243,11545,0.07742136406104018,112,1243,16055,0.20280898876404493,111,361,1780,0.7741496598639456,138,1707,2205,2020-10-21
TX,108,574,70080,589,51011,591,5486,582,5816,579,1554,580,1497,585,5407,582,5025,587,75,579,50,570,7504,573,0.7278966894977169,589,51011,70080,0.10953160563830212,582,5486,50086,0.07962495282881941,580,5486,68898,0.21227901877483898,567,1549,7297,0.7743869936034116,572,5811,7504,2020-10-21
UT,2,56,5841,57,3440,58,277,56,404,55,101,54,101,55,267,55,274,56,0,55,0,33,572,52,0.5805512754665297,57,3391,5841,0.08197691624741048,56,277,3379,0.04849439775910364,55,277,5712,0.17615658362989323,51,99,562,0.6730769230769231,52,385,572,2020-10-21
VA,17,105,18960,108,12392,108,691,104,1372,107,179,104,189,107,682,104,674,107,9,104,6,98,2077,107,0.6535864978902953,108,12392,18960,0.05738726019433602,104,691,12041,0.03736953112324915,104,691,18491,0.08901044256588762,104,179,2011,0.6605681271064034,107,1372,2077,2020-10-21
VI,0,2,168,2,103,2,6,2,14,2,1,2,1,2,3,2,3,2,3,2,0,2,20,2,0.6130952380952381,2,103,168,0.05825242718446602,2,6,103,0.03571428571428571,2,6,168,0.05,2,1,20,0.7,2,14,20,2020-10-21
VT,0,16,1297,17,843,17,1,16,68,17,1,16,1,17,1,16,2,17,0,16,0,16,109,17,0.6499614494988435,17,843,1297,0.0012437810945273632,16,1,804,7.987220447284345E-4,16,1,1252,0.00980392156862745,16,1,102,0.6238532110091743,17,68,109,2020-10-21
