state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
PA,7,89,130,52,168,6,92,219,29629,226,23469,226,3917,220,324,226,352,220,9,108,1,108,2608,226,630,219,610,225,3800,220,3450,226,117,218,77,218,3464,226,0.792095582031118,226,23469,29629,0.168451382617297,220,3917,23253,0.133772753662785,220,3917,29281,0.188622754491018,219,630,3340,0.752886836027714,226,2608,3464,2022/02/02,,2,220,13,213,15,215,19,216,45,217,78,217,76,217,58,213,18,215,1,212,18,208,31,208,17,208,58,207,62,207,89,208,69,208,7,210,55,203,5306,0,3582,93,0,12,10,216,7,217,0,45,0,45,43,4,45,218
PR,0,4,62,1,3,62,5,65,8213,66,5449,66,324,65,11,66,10,65,1,65,1,65,459,66,76,65,56,66,310,65,282,66,14,65,5,65,616,66,0.663460367709728,66,5449,8213,0.060685521633265,65,324,5339,0.040393965839671,65,324,8021,0.129692832764505,65,76,586,0.74512987012987,66,459,616,2022/02/02,,0,66,0,66,1,66,0,66,2,66,0,66,2,66,6,66,0,66,0,65,0,65,0,65,0,65,1,65,1,65,3,65,4,65,1,65,0,3,0,0,608,0,0,0,2,65,1,65,0,3,0,3,8,0,3,65
RI,1,1,12,6,6,2,2,13,2055,14,1794,14,225,13,27,14,6,13,0,13,0,13,125,14,31,13,30,14,218,13,215,14,7,13,3,13,142,14,0.872992700729927,14,1794,2055,0.125418060200669,13,225,1794,0.109489051094891,13,225,2055,0.21830985915493,13,31,142,0.880281690140845,14,125,142,2022/02/02,,0,14,3,14,1,14,2,14,7,14,3,14,6,14,5,14,0,14,0,13,1,13,0,13,1,13,0,13,1,13,0,13,3,13,0,13,0,3,22,0,5,0,0,0,0,7,0,7,0,3,0,3,0,0,3,7
SC,23,59,5,24,58,5,26,85,11782,87,9226,87,2024,85,210,87,45,85,3,83,1,83,1058,87,379,85,380,87,1993,85,1940,87,31,85,30,85,1319,87,0.783058903411984,87,9226,11782,0.221759614331106,85,2024,9127,0.174152469454483,85,2024,11622,0.296557120500782,85,379,1278,0.802122820318423,87,1058,1319,2022/02/02,,1,83,5,81,20,81,13,81,27,80,47,81,59,81,37,80,1,82,0,83,2,79,8,79,0,78,6,78,10,78,11,78,2,77,6,80,32,63,1436,1595,1596,4,0,4,2,85,2,85,0,56,0,56,28,2,56,85
SD,0,55,10,6,49,10,58,62,2395,65,1554,65,306,62,29,65,5,62,1,62,1,62,142,65,62,62,60,65,295,62,272,65,11,62,8,62,247,65,0.648851774530271,65,1554,2395,0.2,62,306,1530,0.131386861313869,62,306,2329,0.260504201680672,62,62,238,0.574898785425101,65,142,247,2022/02/02,,0,64,3,48,1,48,4,48,4,48,6,49,4,48,7,48,0,65,0,62,3,46,0,45,0,45,0,45,1,45,0,44,1,45,0,62,3,9,477,2,1127,52,0,75,0,62,0,62,0,7,0,7,6,0,7,62
TN,4,117,20,24,105,12,94,138,19368,141,14475,141,3166,138,322,141,44,138,9,138,0,138,1777,141,613,138,622,141,3077,138,2990,141,89,138,87,138,2258,141,0.747366790582404,141,14475,19368,0.222785166420379,138,3166,14211,0.166255316914352,138,3166,19043,0.282618718303366,138,613,2169,0.786979627989371,141,1777,2258,2022/02/02,,1,140,10,140,15,140,17,140,49,140,60,140,76,141,58,140,36,141,0,138,7,137,3,137,2,137,6,137,6,137,10,137,6,137,4,138,16,66,8,0,94,12,0,218,4,137,3,137,0,60,0,60,37,7,59,137
TX,4,74,515,8,70,515,199,588,66781,593,50401,593,10691,588,1141,593,331,588,68,588,154,588,6339,593,2316,588,2317,593,10338,588,9854,593,353,588,285,588,6993,593,0.754720654078256,593,50401,66781,0.214721831693111,588,10691,49790,0.161935777037261,588,10691,66020,0.33998825601879,588,2316,6812,0.906477906477906,593,6339,6993,2022/02/02,,8,590,80,587,84,587,93,587,119,587,227,588,216,587,237,587,77,593,7,586,24,582,28,582,32,582,43,582,51,582,52,582,35,582,59,588,143,573,63,1,108,0,0,0,16,588,22,588,0,157,0,157,140,10,157,588
UT,0,49,9,2,47,9,26,57,6225,58,3828,58,775,57,136,58,2,57,13,56,0,56,439,58,172,57,173,58,720,57,698,58,55,57,8,57,541,58,0.614939759036145,58,3828,6225,0.204972229568897,57,775,3781,0.126057254391672,57,775,6148,0.32391713747646,57,172,531,0.811460258780037,58,439,541,2022/02/02,,0,57,20,56,20,56,10,56,13,56,26,56,21,56,26,56,0,58,0,56,0,55,0,55,1,55,0,55,0,55,0,55,1,54,0,57,1,44,494,0,193,0,0,0,0,57,2,57,0,43,0,43,13,0,44,57
VA,14,68,23,22,63,20,75,102,17774,105,13154,105,2374,102,243,105,154,102,12,102,11,102,1426,105,447,102,443,105,2319,102,2173,105,55,102,38,102,1916,105,0.740069764825025,105,13154,17774,0.182531139474089,102,2374,13006,0.135224424698109,102,2374,17556,0.23980686695279,102,447,1864,0.744258872651357,105,1426,1916,2022/02/02,,1,103,15,103,20,103,21,103,35,103,39,105,61,104,49,105,2,105,2,102,8,99,12,99,11,100,17,99,30,100,38,99,35,100,1,102,33,74,971,1801,772,96,0,133,10,102,4,102,0,72,0,72,47,16,73,102
VI,0,2,0,2,0,0,1,2,168,2,96,2,20,2,0,2,0,2,0,2,1,2,8,2,4,2,4,2,19,2,19,2,1,2,0,2,20,2,0.571428571428571,2,96,168,0.208333333333333,2,20,96,0.119047619047619,2,20,168,0.2,2,4,20,0.4,2,8,20,2022/02/02,,0,2,,0,,0,,0,,0,,0,,0,,0,0,2,0,2,,0,,0,,0,,0,,0,,0,,0,0,2,,0,146,,125,0,,30,0,2,0,2,,0,,0,0,,0,2
