state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,2884,46,1843,46,95,52,69,14,18,43,61,10,0.536333456,41,1454,2711,0.048833424,46,90,1843,0.026699029,46,77,2884,0.170731707,7,7,41,0.697674419,9,30,43,7/26/2020
AL,13154,109,8420,96,1999,110,1266,93,482,89,1336,85,0.78610774,96,8420,10711,0.194830062,93,1628,8356,0.149950195,106,1957,13051,0.346153846,76,459,1326,0.921921922,84,1228,1332,7/26/2020
AR,7463,78,4464,72,1551,83,659,68,278,67,841,63,0.688572754,70,4453,6467,0.141353047,72,631,4464,0.206753316,78,1543,7463,0.321811681,58,270,839,0.759237187,62,637,839,7/26/2020
AZ,9492,71,7894,68,2461,84,1046,59,761,65,1029,48,0.87211114,59,6717,7702,0.256650621,68,2026,7894,0.215233881,71,2043,9492,0.511175899,46,526,1029,0.836734694,48,861,1029,7/26/2020
CA,61126,375,42832,368,8671,406,5360,359,2265,368,7455,363,0.704599603,366,42586,60440,0.190068173,368,8141,42832,0.132873082,375,8122,61126,0.3,360,2235,7450,0.725084976,355,5333,7355,7/26/2020
CO,9058,75,5447,69,491,92,579,65,122,73,924,54,0.62161542,67,5418,8716,0.070497522,69,384,5447,0.046367852,75,420,9058,0.095604396,50,87,910,0.606060606,54,560,924,7/26/2020
CT,7852,30,5486,29,132,31,470,28,20,29,1004,28,0.710161812,29,5486,7725,0.023878965,29,131,5486,0.016811004,30,132,7852,0.019920319,28,20,1004,0.46812749,28,470,1004,7/26/2020
DC,2578,10,1169,6,137,10,125,6,16,10,207,6,0.819775596,6,1169,1426,0.057313944,6,67,1169,0.053141971,10,137,2578,0.038647343,6,8,207,0.603864734,6,125,207,7/26/2020
DE,2402,10,523,6,165,11,37,5,12,6,47,4,0.855731225,5,433,506,0.179732314,6,94,523,0.041631973,10,100,2402,0.14893617,4,7,47,0.787234043,4,37,47,7/26/2020
FL,76546,261,43493,257,10356,263,5183,255,2390,255,6203,255,0.584073054,257,43493,74465,0.229922056,257,10000,43493,0.134990725,261,10333,76546,0.38045064,251,2347,6169,0.835563437,255,5183,6203,7/26/2020
GA,13558,103,7906,86,4360,133,1107,76,686,83,1270,70,0.801722349,84,7727,9638,0.265368075,86,2098,7906,0.218837587,103,2967,13558,0.464566929,61,531,1143,0.921942758,67,1063,1153,7/26/2020
HI,1752,15,1145,22,69,21,43,11,14,13,85,10,0.573770492,12,595,1037,0.036585366,13,24,656,0.028538813,15,50,1752,0.070588235,10,6,85,0.458823529,10,39,85,7/26/2020
IA,8428,123,3426,68,453,127,539,96,90,96,632,89,0.578480524,67,3000,5186,0.093695271,68,321,3426,0.046986236,123,396,8428,0.087579618,85,55,628,0.652866242,86,410,628,7/26/2020
ID,4016,42,1771,38,229,44,179,36,59,39,272,32,0.462040177,38,1771,3833,0.129305477,38,229,1771,0.057021912,42,229,4016,0.209558824,31,57,272,0.628676471,32,171,272,7/26/2020
IL,27393,176,15881,145,1656,183,1776,130,361,134,2892,113,0.670178111,143,15841,23637,0.085951766,145,1365,15881,0.058737634,176,1609,27393,0.106968641,105,307,2870,0.554895105,109,1587,2860,7/26/2020
IN,14235,115,7132,100,820,118,1342,108,293,106,2291,110,0.654311927,100,7132,10900,0.074733595,100,533,7132,0.05486477,115,781,14235,0.130628622,106,293,2243,0.607789855,108,1342,2208,7/26/2020
KS,7120,114,3833,91,407,121,480,62,80,72,623,58,0.630175555,89,3805,6038,0.079655544,88,296,3716,0.047476047,111,332,6993,0.10766721,54,66,613,0.784184514,55,476,607,7/26/2020
KY,10563,94,7835,96,677,107,1124,88,544,88,1252,85,0.694193424,91,7221,10402,0.076196554,96,597,7835,0.056896715,94,601,10563,0.419093851,83,518,1236,0.82428115,82,1032,1252,7/26/2020
LA,14095,238,9382,233,616,48,1327,225,473,225,1755,221,0.676716676,233,9382,13864,0.165372168,38,511,3090,0.123692588,43,544,4398,0.250712251,219,440,1755,0.731623932,220,1284,1755,7/26/2020
MA,17067,83,12062,79,339,83,933,73,54,72,1809,72,0.720291413,79,12062,16746,0.027524457,79,332,12062,0.019862893,83,339,17067,0.028745163,71,52,1809,0.512437811,72,927,1809,7/26/2020
MD,9565,50,6580,44,1149,51,711,43,210,48,1029,40,0.79152624,43,6576,8308,0.152210494,42,995,6537,0.11731315,48,1116,9513,0.178814383,40,184,1029,0.680272109,40,700,1029,7/26/2020
ME,2512,30,1402,28,46,30,142,28,16,28,215,26,0.618711386,28,1402,2266,0.02613891,27,35,1339,0.018003273,29,44,2444,0.056603774,25,12,212,0.618604651,26,133,215,7/26/2020
MI,17256,123,9569,95,710,135,1118,91,148,116,1598,89,0.747193248,93,9384,12559,0.039217737,94,375,9562,0.030972681,122,534,17241,0.065081352,87,104,1598,0.721216041,85,1115,1546,7/26/2020
MN,11153,123,5771,96,415,124,506,89,71,89,786,88,0.676791369,96,5771,8527,0.05371686,96,310,5771,0.037209719,123,415,11153,0.090330789,88,71,786,0.643765903,88,506,786,7/26/2020
MO,17948,115,9354,99,873,127,997,88,255,103,1713,84,0.595645096,96,8781,14742,0.062753902,99,587,9354,0.040951638,115,735,17948,0.107493857,75,175,1628,0.574430823,82,984,1713,7/26/2020
MS,6751,81,3760,70,1487,89,500,50,354,50,499,46,0.650576752,65,3666,5635,0.228191489,70,858,3760,0.215671752,81,1456,6751,0.693581781,45,335,483,0.97995992,46,489,499,7/26/2020
MT,2554,62,1562,48,84,39,101,26,21,53,163,42,0.725269093,45,1415,1951,0.059835453,30,80,1337,0.049190939,33,76,1545,0.1125,39,18,160,0.653225806,18,81,124,7/26/2020
NC,15179,100,10735,91,1769,120,990,89,399,107,1350,84,0.779634347,89,10405,13346,0.105728924,91,1135,10735,0.085859587,99,1300,15141,0.209701493,83,281,1340,0.715671642,83,959,1340,7/26/2020
ND,2526,52,878,44,93,49,27,35,10,36,74,35,0.543990087,44,878,1614,0.038461538,39,28,728,0.037154508,47,82,2207,0.135135135,34,10,74,0.364864865,35,27,74,7/26/2020
NE,4422,94,2070,74,196,95,303,27,46,25,616,47,0.667526604,74,2070,3101,0.074987905,73,155,2067,0.041534271,93,183,4406,0.086705202,23,45,519,0.616326531,25,302,490,7/26/2020
NH,3148,30,2083,28,59,30,155,25,14,22,232,22,0.729597198,28,2083,2855,0.026404225,28,55,2083,0.018742058,30,59,3148,0.04845815,20,11,227,0.637931034,21,148,232,7/26/2020
NJ,14222,64,10108,60,1088,76,909,56,102,59,1610,56,0.731335316,58,9590,13113,0.094578552,60,956,10108,0.063985375,64,910,14222,0.058007566,52,92,1586,0.560248447,55,902,1610,7/26/2020
NM,1524,23,1060,21,485,29,186,19,39,18,232,15,0.683727034,20,1042,1524,0.405405405,20,390,962,0.276868327,22,389,1405,0.150862069,15,35,232,0.668103448,15,155,232,7/26/2020
NV,8413,60,6051,59,1250,60,659,56,324,55,846,56,0.72044291,59,6051,8399,0.206577425,59,1250,6051,0.148579579,60,1250,8413,0.382978723,55,324,846,0.778959811,56,659,846,7/26/2020
NY,41157,141,27369,126,2071,160,2506,116,262,120,4515,109,0.677575248,122,25798,38074,0.058314151,126,1596,27369,0.046723522,141,1923,41157,0.04900601,99,212,4326,0.540972381,104,2370,4381,7/26/2020
OH,27652,161,12673,114,1981,172,1741,105,362,126,2915,108,0.650136044,113,12664,19479,0.105736605,114,1340,12673,0.069525123,160,1915,27544,0.106973348,98,293,2739,0.601422156,95,1607,2672,7/26/2020
OK,8589,97,5054,84,746,142,641,68,222,69,1052,96,0.633931935,82,5048,7963,0.108177848,83,545,5038,0.064534952,96,553,8569,0.212896622,62,208,977,0.662851197,64,637,961,7/26/2020
OR,3927,43,3446,41,260,56,371,38,60,44,409,29,0.72698685,33,2543,3498,0.054556007,41,188,3446,0.046091164,43,181,3927,0.07960199,28,32,402,0.69041769,28,281,407,7/26/2020
PA,24441,152,16671,144,1641,183,2181,137,267,148,2844,123,0.731352922,133,15855,21679,0.081878712,144,1365,16671,0.059040137,152,1443,24441,0.089970501,113,244,2712,0.725607608,118,2060,2839,7/26/2020
PR,8062,59,4333,58,568,60,445,57,66,54,644,55,0.544032299,57,4312,7926,0.13085622,58,567,4333,0.070453982,59,568,8062,0.100156495,52,64,639,0.661490683,55,426,644,7/26/2020
RI,1748,10,1749,11,70,11,138,10,15,10,161,9,0.91819222,10,1605,1748,0.04002287,11,70,1749,0.039473684,10,69,1748,0.093167702,9,15,161,0.857142857,9,138,161,7/26/2020
SC,10716,77,7736,73,1568,81,968,69,394,75,1188,67,0.745432764,70,7467,10017,0.190796277,73,1476,7736,0.141750653,77,1519,10716,0.303030303,67,360,1188,0.78956229,66,938,1188,7/26/2020
SD,2184,49,489,36,60,51,47,29,2,24,93,27,0.491820041,35,481,978,0.028629857,36,14,489,0.027472527,49,60,2184,0.021505376,24,2,93,0.505376344,27,47,93,7/26/2020
TN,15913,107,10775,107,1371,114,1416,82,385,107,1738,85,0.669657029,95,9704,14491,0.117724993,104,1244,10567,0.080832333,101,1212,14994,0.206024096,81,342,1660,0.809667674,79,1340,1655,7/26/2020
TX,54940,527,37503,518,11196,540,4907,478,3060,483,6214,468,0.693255969,514,37397,53944,0.281067222,517,10524,37443,0.194766594,526,10681,54840,0.475383374,457,2945,6195,0.782587705,466,4863,6214,7/26/2020
UT,5097,47,2871,43,239,49,351,42,77,41,520,38,0.570569366,42,2846,4988,0.076628352,43,220,2871,0.044732195,47,228,5097,0.136538462,37,71,520,0.644230769,38,335,520,7/26/2020
VA,15443,78,8748,73,1193,86,769,73,202,73,1361,70,0.62900864,67,8591,13658,0.106767261,73,934,8748,0.074143625,78,1145,15443,0.136160714,67,183,1344,0.592331768,68,757,1278,7/26/2020
VI,152,2,91,2,4,2,9,2,3,2,18,2,0.598684211,2,91,152,0.043956044,2,4,91,0.026315789,2,4,152,0.166666667,2,3,18,0.5,2,9,18,7/26/2020
VT,572,12,190,9,8,15,29,6,3,8,48,5,0.581039755,7,190,327,0.042105263,9,8,190,0.012237762,12,7,572,0.0625,5,3,48,0.604166667,5,29,48,7/26/2020
WA,8811,73,8103,80,534,87,649,65,137,74,844,58,0.632065411,66,5334,8439,0.060466276,78,485,8021,0.039752549,71,347,8729,0.101431981,53,85,838,0.636220472,49,404,635,7/26/2020
WI,10558,123,6272,111,604,131,760,107,150,122,1431,113,0.645969839,110,6211,9615,0.088329082,111,554,6272,0.054650502,123,577,10558,0.103424179,113,148,1431,0.558823529,106,760,1360,7/26/2020
WV,5243,49,3237,46,137,50,403,40,37,39,601,41,0.672750978,45,3096,4602,0.036762434,46,119,3237,0.026130078,49,137,5243,0.06292517,38,37,588,0.68537415,39,403,588,7/26/2020
WY,1958,33,800,31,30,33,56,31,14,31,108,31,0.419507079,31,800,1907,0.0375,31,30,800,0.015321757,33,30,1958,0.12962963,31,14,108,0.518518519,31,56,108,7/26/2020
