state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,3,11,54,4,10,54,13,68,9131,68,4922,68,559,68,40,63,52,63,0,63,6,63,458,68,97,68,89,63,538,68,401,63,21,68,5,63,660,68,0.5390428211586902,68,4922,9131,0.11357171881349046,68,559,4922,0.061220019713065385,68,559,9131,0.14696969696969697,68,97,660,0.693939393939394,68,458,660,2020-12-17
RI,3,11,0,2,12,0,21,14,2476,14,2307,14,496,14,31,14,1,14,0,14,1,14,150,14,55,14,54,14,491,14,437,14,5,14,4,14,161,14,0.9317447495961227,14,2307,2476,0.21499783268313827,14,496,2307,0.20032310177705978,14,496,2476,0.3416149068322981,14,55,161,0.9316770186335404,14,150,161,2020-12-17
SC,23,44,1,28,39,1,12,68,9680,68,7625,68,1506,68,182,68,80,68,0,68,2,68,987,68,332,68,315,68,1492,68,1400,68,14,68,10,68,1260,68,0.7877066115702479,68,7625,9680,0.19750819672131148,68,1506,7625,0.1555785123966942,68,1506,9680,0.2634920634920635,68,332,1260,0.7833333333333333,68,987,1260,2020-12-17
SD,9,51,0,13,47,0,64,60,2512,60,1363,60,329,60,22,60,11,60,0,60,0,60,153,60,66,60,64,60,326,60,295,60,3,60,0,60,243,60,0.5425955414012739,60,1363,2512,0.2413793103448276,60,329,1363,0.13097133757961785,60,329,2512,0.2716049382716049,60,66,243,0.6296296296296297,60,153,243,2020-12-17
TN,27,76,40,46,57,40,50,103,19521,143,12461,127,2939,103,323,103,107,103,7,103,4,103,1697,140,751,103,720,103,2912,103,2746,103,27,103,20,103,2204,143,0.687086457873842,127,12461,18136,0.24822635135135135,103,2939,11840,0.1743385929529007,103,2939,16858,0.3624517374517375,103,751,2072,0.7904052165812762,140,1697,2147,2020-12-17
TX,133,456,0,161,428,0,150,589,70218,589,48162,589,10704,589,1336,589,519,589,17,589,56,589,6425,589,2855,589,2718,589,10564,589,9835,589,140,589,107,589,7501,589,0.6858925061949928,589,48162,70218,0.22224990656534196,589,10704,48162,0.15243954541570537,589,10704,70218,0.38061591787761634,589,2855,7501,0.8565524596720437,589,6425,7501,2020-12-17
UT,6,46,0,6,46,0,1,52,5353,52,2890,52,561,52,64,52,13,52,1,52,0,52,406,52,188,52,182,52,544,52,496,52,17,52,0,52,626,52,0.539884177096955,52,2890,5353,0.19411764705882353,52,561,2890,0.10480104614235008,52,561,5353,0.3003194888178914,52,188,626,0.6485623003194888,52,406,626,2020-12-17
VA,28,60,5,35,53,5,37,93,16934,93,11819,93,2264,93,201,93,224,93,2,93,12,93,1405,93,505,93,448,93,2230,93,1935,93,34,93,22,93,1970,93,0.6979449627967402,93,11819,16934,0.19155596920213216,93,2264,11819,0.13369552379827565,93,2264,16934,0.2563451776649746,93,505,1970,0.7131979695431472,93,1405,1970,2020-12-17
VI,1,1,0,2,0,0,0,2,168,2,88,2,3,2,0,2,0,2,0,2,0,2,11,2,2,2,2,2,3,2,3,2,0,2,0,2,20,2,0.5238095238095238,2,88,168,0.03409090909090909,2,3,88,0.017857142857142856,2,3,168,0.1,2,2,20,0.55,2,11,20,2020-12-17
VT,1,15,0,1,15,0,0,16,1275,16,731,16,31,16,8,16,7,16,0,16,0,16,66,16,8,16,8,16,31,16,29,16,0,16,0,16,104,16,0.5733333333333334,16,731,1275,0.04240766073871409,16,31,731,0.02431372549019608,16,31,1275,0.07692307692307693,16,8,104,0.6346153846153846,16,66,104,2020-12-17
