state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,1,20,47,1,20,47,7,67,9023,68,5712,68,575,67,296,68,820,67,1,67,9,67,491,68,86,67,68,68,534,67,480,68,41,67,18,67,682,68,0.633048875096974,68,5712,9023,0.102678571428571,67,575,5600,0.065045248868778,67,575,8840,0.1321044546851,67,86,651,0.719941348973607,68,491,682,2021/04/21,POINT (-66.414655 18.215692)
RI,3,10,2,3,10,2,8,14,2550,15,2316,15,186,14,11,15,0,14,2,14,0,14,139,15,27,14,28,15,185,14,147,15,1,14,1,14,169,15,0.908235294117647,15,2316,2550,0.081758241758242,14,186,2275,0.075273168757588,14,186,2471,0.18,14,27,150,0.822485207100592,15,139,169,2021/04/21,POINT (-71.534637 41.572574)
SC,20,64,2,20,64,2,0,84,11366,86,8419,86,486,84,52,86,33,84,2,84,1,84,907,86,130,84,121,86,481,84,449,86,5,84,4,84,1324,86,0.740717930670421,86,8419,11366,0.058434531682097,84,486,8317,0.043392857142857,84,486,11200,0.101325019485581,84,130,1283,0.685045317220544,86,907,1324,2021/04/21,POINT (-80.864614 33.878572)
SD,0,62,3,0,62,3,21,62,2816,65,1600,65,101,62,6,65,10,62,0,62,0,62,123,65,32,62,27,65,100,62,80,65,1,62,0,62,238,65,0.568181818181818,65,1600,2816,0.064290260980267,62,101,1571,0.036740632957439,62,101,2749,0.140969162995595,62,32,227,0.516806722689076,65,123,238,2021/04/21,POINT (-100.230491 44.43614)
TN,6,56,80,8,54,80,1,62,20143,142,12554,126,515,62,58,62,34,62,0,62,0,62,1627,139,187,62,170,62,510,62,452,62,5,62,3,62,2384,142,0.665359338562646,126,12554,18868,0.074303852257971,62,515,6931,0.04921165790731,62,515,10465,0.124252491694352,62,187,1505,0.69918349806618,139,1627,2327,2021/04/21,POINT (-86.343226 35.842998)
TX,98,483,13,116,465,13,59,589,67365,594,48218,594,3349,589,351,594,458,589,16,589,63,589,5383,594,914,589,842,594,3262,589,2772,594,87,589,55,589,7319,594,0.715772285311364,594,48218,67365,0.070228783525909,589,3349,47687,0.050286040330936,589,3349,66599,0.127957440851183,589,914,7143,0.735482989479437,594,5383,7319,2021/04/21,POINT (-99.317341 31.447238)
UT,0,58,1,0,58,1,1,58,6210,59,3569,59,157,58,29,59,2,58,1,58,0,58,358,59,68,58,66,59,152,58,149,59,5,58,0,58,630,59,0.574718196457327,59,3569,6210,0.044526375496313,58,157,3526,0.025586701434159,58,157,6136,0.111111111111111,58,68,612,0.568253968253968,59,358,630,2021/04/21,POINT (-111.678222 39.323779)
VA,16,80,9,23,73,9,21,102,18121,105,12721,105,995,102,85,105,179,102,2,102,16,102,1337,105,244,102,230,105,985,102,830,105,10,102,8,102,1962,105,0.702003200706363,105,12721,18121,0.079112665977578,102,995,12577,0.055701729832615,102,995,17863,0.128016789087093,102,244,1906,0.68144750254842,105,1337,1962,2021/04/21,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,85,2,4,2,3,2,0,2,0,2,0,2,6,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.505952380952381,2,85,168,0.047058823529412,2,4,85,0.023809523809524,2,4,168,0.05,2,1,20,0.3,2,6,20,2021/04/21,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1296,17,801,17,19,16,3,17,2,16,0,16,0,16,56,17,5,16,5,17,19,16,19,17,0,16,0,16,101,17,0.618055555555556,17,801,1296,0.024296675191816,16,19,782,0.015091342335187,16,19,1259,0.053191489361702,16,5,94,0.554455445544554,17,56,101,2021/04/21,POINT (-72.662695 44.075252)
