state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,7,190,29174,188,23552,209,917,210,2659,179,215,183,158,176,857,193,499,184,47,193,25,184,3343,167,0.7309247960512786,188,21324,29174,0.038935122282608696,209,917,23552,0.028724206485226573,188,838,29174,0.06192043075082262,159,207,3343,0.7633861800777745,162,2552,3343,2020-09-24
PR,2,69,9649,69,5388,69,365,69,450,69,64,68,51,68,333,68,204,68,32,68,3,68,648,69,0.5583998341797077,69,5388,9649,0.06774313288789903,69,365,5388,0.037827754171416726,69,365,9649,0.09876543209876543,68,64,648,0.6944444444444444,69,450,648,2020-09-24
RI,5,13,2094,13,1859,13,99,13,130,13,6,13,5,13,98,13,96,13,1,13,1,13,148,13,0.887774594078319,13,1859,2094,0.05325443786982249,13,99,1859,0.04727793696275072,13,99,2094,0.04054054054054054,13,6,148,0.8783783783783784,13,130,148,2020-09-24
SC,21,76,10172,82,7808,82,758,82,907,77,171,78,151,78,724,80,571,80,34,80,7,80,1329,77,0.7675973259929217,82,7808,10172,0.09707991803278689,82,758,7808,0.07451828548957924,82,758,10172,0.12866817155756208,76,171,1329,0.6840513983371126,76,905,1323,2020-09-24
SD,0,58,2098,56,1480,60,203,60,88,49,28,49,28,48,165,56,151,56,32,56,31,56,89,43,0.5824594852240229,56,1222,2098,0.13716216216216215,60,203,1480,0.08007626310772165,56,168,2098,0.20224719101123595,39,18,89,0.6075949367088608,41,48,79,2020-09-24
TN,7,106,17569,115,11922,115,940,107,1577,118,248,102,228,102,867,105,744,105,73,105,68,105,2143,119,0.6964033850493653,112,11850,17016,0.08494541275617698,98,887,10442,0.060001357496775945,95,884,14733,0.13078149920255183,99,246,1881,0.7511984659635667,116,1567,2086,2020-09-24
TX,116,553,66999,567,45429,570,3890,572,4802,531,1114,537,1001,537,3800,562,3070,557,81,562,42,557,6274,507,0.6773159589605332,566,45221,66765,0.0854244762954796,569,3874,45350,0.057904961147638975,566,3875,66920,0.15865616460376145,499,987,6221,0.7444248355527033,505,4640,6233,2020-09-24
UT,5,53,5342,52,2921,53,229,53,339,44,67,43,64,43,208,51,179,50,8,51,6,50,555,41,0.5363159865219019,52,2865,5342,0.07839780896953098,53,229,2921,0.04286783976038937,52,229,5342,0.11351351351351352,40,63,555,0.5855855855855856,40,325,555,2020-09-24
VA,24,99,17536,92,11176,94,1007,98,1249,96,228,94,148,94,994,95,576,95,11,95,4,95,1850,94,0.6315009124087592,92,11074,17536,0.0896800360522758,93,995,11095,0.054803167680477445,91,955,17426,0.12175324675324675,92,225,1848,0.6718918918918919,94,1243,1850,2020-09-24
VI,0,2,188,2,91,2,4,2,7,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.48404255319148937,2,91,188,0.04395604395604396,2,4,91,0.02127659574468085,2,4,188,0.05,2,1,20,0.35,2,7,20,2020-09-24
VT,0,16,1260,16,771,16,2,16,65,16,1,16,0,16,2,16,0,16,0,16,0,16,105,16,0.611904761904762,16,771,1260,0.0025940337224383916,16,2,771,0.0015873015873015873,16,2,1260,0.009523809523809525,16,1,105,0.6190476190476191,16,65,105,2020-09-24
WA,6,92,10177,81,9689,97,414,98,892,80,94,79,75,75,407,89,287,86,3,89,1,86,916,63,0.5971307851036651,81,6077,10177,0.04262565796263804,97,413,9689,0.026235629360322296,81,267,10177,0.05240174672489083,59,48,916,0.6375545851528385,62,584,916,2020-09-24
WI,2,137,12095,129,7357,130,860,137,874,131,189,134,160,134,857,136,605,134,3,136,2,134,1510,130,0.6071103761885076,129,7343,12095,0.11254587467717819,130,828,7357,0.06812732534105002,129,824,12095,0.12450331125827814,129,188,1510,0.5791223404255319,129,871,1504,2020-09-24
AK,0,22,1503,22,955,23,49,23,77,18,14,18,13,18,48,22,31,21,1,22,1,21,103,13,0.5988023952095808,22,900,1503,0.05130890052356021,23,49,955,0.03260146373918829,22,49,1503,0.0891089108910891,12,9,101,0.6990291262135923,13,72,103,2020-09-24
AL,8,109,14890,108,10014,108,932,109,1222,108,282,109,256,109,922,109,755,109,10,109,7,109,1473,108,0.6725319006044325,108,10014,14890,0.09335491048852028,106,923,9887,0.06298191743432276,106,923,14655,0.19217570350034316,106,280,1457,0.8295994568906992,108,1222,1473,2020-09-24
AR,1,90,8834,94,5960,95,500,95,693,84,210,82,195,80,485,89,395,84,15,89,6,84,939,80,0.6674213266923251,94,5896,8834,0.08389261744966443,95,500,5960,0.05659950192438307,94,500,8834,0.21794871794871795,75,204,936,0.7191256830601093,78,658,915,2020-09-24
AZ,1,79,12095,81,9265,89,506,92,726,67,101,73,88,73,470,81,268,94,11,81,6,80,1292,58,0.6441504754030591,80,7791,12095,0.05364274150026983,89,497,9265,0.03861099627945432,81,467,12095,0.06424148606811146,56,83,1292,0.44659442724458204,58,577,1292,2020-09-24
CA,17,388,61304,390,42999,391,3260,390,4777,374,831,373,721,372,3116,381,2310,379,56,381,34,379,6885,373,0.6991713428161295,390,42862,61304,0.07598713346697124,390,3260,42902,0.05326536280901263,389,3260,61203,0.12069716775599129,370,831,6885,0.6938271604938272,372,4777,6885,2020-09-24
CO,5,82,10963,95,6969,96,304,96,714,78,85,79,62,78,293,87,185,83,6,87,4,83,1206,74,0.634315424610052,95,6954,10963,0.043621753479695796,96,304,6969,0.02772963604852686,95,304,10963,0.07107023411371237,71,85,1196,0.6073883161512027,72,707,1164,2020-09-24
CT,4,29,8093,29,6105,29,189,30,538,29,33,29,14,29,184,29,76,29,5,29,0,29,1046,29,0.7543556159644137,29,6105,8093,0.03095823095823096,29,189,6105,0.023353515383664897,29,189,8093,0.03154875717017208,29,33,1046,0.51434034416826,29,538,1046,2020-09-24
DC,11,12,3319,12,2689,12,154,13,262,13,26,12,26,12,141,13,93,13,13,13,4,13,357,13,0.8101837902982826,12,2689,3319,0.0572703607288955,12,154,2689,0.04639951792708647,12,154,3319,0.07282913165266107,12,26,357,0.7338935574229691,13,262,357,2020-09-24
DE,0,12,2698,12,2115,13,114,13,105,9,10,9,8,9,107,11,75,10,3,11,1,10,141,8,0.7505559673832468,12,2025,2698,0.05390070921985816,13,114,2115,0.04225352112676056,12,114,2698,0.07092198581560284,8,10,141,0.7446808510638298,8,105,141,2020-09-24
FL,58,255,80707,255,42459,255,2470,255,4413,255,697,255,600,255,2433,255,2224,255,37,255,22,255,6047,255,0.5260881955716357,255,42459,80707,0.05817376763465932,255,2470,42459,0.03060453244452154,255,2470,80707,0.11526376715726806,255,697,6047,0.7297833636513974,255,4413,6047,2020-09-24
GA,17,137,18088,137,13966,139,2041,145,1540,106,492,116,391,116,1640,131,1193,130,86,131,30,130,1889,102,0.767992003553976,136,13830,18008,0.1394099957038522,139,1947,13966,0.10598186643078283,137,1917,18088,0.23416711016498137,96,440,1879,0.7983059820010587,98,1508,1889,2020-09-24
HI,3,17,1784,16,1910,25,174,23,118,15,40,15,40,15,173,20,162,20,1,20,1,20,96,13,0.7169282511210763,16,1279,1784,0.09936575052854123,19,141,1419,0.07567264573991031,16,135,1784,0.22916666666666666,13,22,96,0.6666666666666666,13,64,96,2020-09-24
IA,0,122,8160,122,4935,122,397,122,453,122,105,121,96,121,394,122,348,122,3,122,1,122,678,121,0.6047794117647058,122,4935,8160,0.08044579533941236,122,397,4935,0.048651960784313726,122,397,8160,0.15486725663716813,120,105,678,0.668141592920354,121,453,678,2020-09-24
MS,6,87,7268,95,4601,98,488,99,484,70,142,69,138,68,418,93,376,90,2,93,0,90,517,66,0.6254815630159604,95,4546,7268,0.10606389915235818,98,488,4601,0.06714364336818933,95,488,7268,0.25443786982248523,63,129,507,0.9110251450676983,66,471,517,2020-09-24
MT,337,65,2709,64,1961,66,192,66,116,63,36,63,29,63,188,65,173,64,4,65,2,64,183,60,0.6685123661867848,64,1811,2709,0.09790922998470168,66,192,1961,0.06681432262827612,64,181,2709,0.16393442622950818,60,30,183,0.546448087431694,60,100,183,2020-09-24
NC,128,121,22740,122,16327,122,1134,122,1771,116,328,117,272,116,1098,119,754,117,31,119,6,117,2325,116,0.717985927880387,122,16327,22740,0.06956628427703822,121,1134,16301,0.04992515629127411,121,1134,22714,0.1410752688172043,116,328,2325,0.7617204301075269,116,1771,2325,2020-09-24
ND,1,47,2188,47,1449,47,166,47,55,45,22,47,22,47,163,47,143,47,3,47,1,47,71,44,0.6622486288848263,47,1449,2188,0.11456176673567978,47,166,1449,0.07586837294332724,47,166,2188,0.14084507042253522,44,10,71,0.7746478873239436,44,55,71,2020-09-24
NE,1,86,5135,89,3451,90,269,90,384,80,88,78,78,78,267,89,225,85,2,89,2,85,605,80,0.5842259006815969,89,3000,5135,0.0779484207476094,90,269,3451,0.04225900681596884,89,217,5135,0.14545454545454545,77,88,605,0.6347107438016529,79,384,605,2020-09-24
NH,1,30,3249,30,2092,30,47,30,148,30,10,30,7,30,47,30,17,30,0,30,0,30,282,30,0.6438904278239458,30,2092,3249,0.022466539196940728,30,47,2092,0.014465989535241613,30,47,3249,0.03546099290780142,30,10,282,0.524822695035461,30,148,282,2020-09-24
NJ,50,78,19155,76,13666,78,645,78,1125,75,76,74,56,74,601,76,265,76,11,76,7,76,1944,73,0.6868180631688854,76,13156,19155,0.047197424264598276,78,645,13666,0.03194988253719656,76,612,19155,0.03909465020576132,73,76,1944,0.5725308641975309,73,1113,1944,2020-09-24
NM,1,49,3538,50,2149,49,120,50,271,47,36,47,35,47,111,48,70,48,8,48,0,48,389,46,0.612599771949829,49,2149,3508,0.05537459283387622,49,119,2149,0.033917467495760314,50,120,3538,0.09424083769633508,45,36,382,0.6909090909090909,45,266,385,2020-09-24
NV,22,59,8462,59,5895,61,531,61,608,57,128,56,113,56,485,58,364,57,2,58,2,57,856,57,0.6874261403923423,59,5817,8462,0.0900763358778626,61,531,5895,0.057551406286929806,59,487,8462,0.14953271028037382,56,128,856,0.7102803738317757,57,608,856,2020-09-24
NY,34,145,46079,156,36026,158,1620,166,2951,134,267,138,152,131,1513,151,666,142,79,151,20,142,4884,126,0.6933159155236229,155,31844,45930,0.042913451396213845,158,1546,36026,0.030773237266433735,156,1418,46079,0.04141370338248049,119,191,4612,0.6052575336610387,122,2832,4679,2020-09-24
OH,9,91,30159,206,20423,206,1175,206,2620,190,289,191,191,191,1077,196,654,194,28,196,12,194,3906,191,0.6771776252528267,206,20423,30159,0.057742395203695514,205,1175,20349,0.03910019633290074,205,1175,30051,0.07421674370826913,189,289,3894,0.6707629288274449,190,2620,3906,2020-09-24
OK,6,136,9332,134,5602,134,596,137,745,132,205,136,201,136,579,137,506,136,8,137,5,136,1099,132,0.6003000428632662,134,5602,9332,0.09335951445912175,134,523,5602,0.0560437205315045,134,523,9332,0.18289353958143767,132,201,1099,0.6797445255474452,129,745,1096,2020-09-24
OR,1,51,6112,58,4309,59,225,60,423,51,52,50,34,50,211,53,130,53,9,53,2,53,667,46,0.7036976439790575,58,4301,6112,0.05221629148294268,59,225,4309,0.03664921465968586,58,224,6112,0.0734632683658171,45,49,667,0.6101949025487257,46,407,667,2020-09-24
ID,1,47,3916,47,2047,47,141,49,190,46,44,48,41,48,139,48,124,48,2,48,1,48,306,46,0.48921417565485364,45,1905,3894,0.06888128969223253,47,141,2047,0.03600612870275792,47,141,3916,0.1437908496732026,46,44,306,0.6312292358803987,45,190,301,2020-09-24
IL,14,175,29656,182,18411,187,1630,190,1859,146,345,151,244,149,1482,174,869,169,49,174,18,169,3338,138,0.6093876449959535,182,18072,29656,0.08728477540600728,187,1607,18411,0.05351362287564068,182,1587,29656,0.0990990990990991,134,330,3330,0.5351941747572816,134,1764,3296,2020-09-24
IN,0,148,17467,148,10573,148,976,148,1372,139,202,139,199,139,965,142,571,141,11,142,1,141,2312,138,0.6053128757084788,148,10573,17467,0.09231060247801003,148,976,10573,0.05587679624434648,148,976,17467,0.08737024221453288,138,202,2312,0.5934256055363322,138,1372,2312,2020-09-24
KS,2,129,7701,127,4472,134,394,135,498,92,118,101,98,99,380,117,283,111,6,117,3,111,684,86,0.5669393585248669,127,4366,7701,0.08348375451263539,133,370,4432,0.047774441978853936,126,366,7661,0.14411764705882352,80,98,680,0.7335329341317365,84,490,668,2020-09-24
KY,2,112,13372,112,8627,113,553,112,1045,103,507,106,371,105,535,109,402,108,18,109,0,108,1525,109,0.6411157642835776,112,8573,13372,0.06421272642823966,112,553,8612,0.04140461215932914,111,553,13356,0.33421226104152935,106,507,1517,0.6852459016393443,103,1045,1525,2020-09-24
LA,10,185,13691,174,8912,177,619,209,1191,92,216,204,201,204,611,208,583,208,8,208,4,208,1796,88,0.6304141406763567,174,8631,13691,0.06964326289479664,173,613,8802,0.04318249038745933,170,584,13524,0.10585585585585586,84,188,1776,0.6247216035634744,88,1122,1796,2020-09-24
MA,5,101,19498,101,15074,101,348,101,957,101,78,101,54,101,341,101,186,101,7,101,4,101,1841,101,0.7731049338393682,101,15074,19498,0.023086108531245854,101,348,15074,0.0178479844086573,101,348,19498,0.042368278109722976,101,78,1841,0.5198261814231396,101,957,1841,2020-09-24
