state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,25,197,6,30,192,6,4,222,29545,228,22897,228,736,222,61,228,238,222,3,218,26,218,2415,228,160,222,142,228,705,222,490,228,31,221,14,221,3522,228,0.774987307497038,228,22897,29545,0.032480141218005,222,736,22660,0.025235727755872,222,736,29165,0.046852122986823,222,160,3415,0.685689948892675,228,2415,3522,2021/06/09,,1,225,4,224,4,225,5,224,9,224,16,224,11,225,9,225,2,209,2,217,14,218,21,217,24,218,33,217,47,218,45,218,43,217,9,202
PR,0,4,62,0,4,62,2,65,9413,66,5872,66,91,65,0,66,7,65,0,65,8,65,458,66,14,65,12,66,69,65,49,66,22,65,11,65,659,66,0.623818123871242,66,5872,9413,0.015798611111111,65,91,5760,0.00985061701667,65,91,9238,0.022222222222222,65,14,630,0.694992412746586,66,458,659,2021/06/09,,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,65,0,65,1,65,0,65,1,65,0,65,3,65,2,65,0,65
RI,5,9,1,5,9,1,20,14,2226,15,1923,15,84,14,3,15,0,14,0,14,0,14,126,15,4,14,4,15,84,14,46,15,0,14,0,14,169,15,0.863881401617251,15,1923,2226,0.044657097288676,14,84,1881,0.038781163434903,14,84,2166,0.026490066225166,14,4,151,0.745562130177515,15,126,169,2021/06/09,,0,15,0,15,0,15,2,15,0,15,1,15,0,15,0,15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
SC,17,64,2,17,64,2,0,81,10296,83,7728,83,138,81,12,83,16,81,0,81,1,81,734,83,34,81,35,83,137,81,120,83,1,81,1,81,1117,83,0.750582750582751,83,7728,10296,0.0181031090122,81,138,7623,0.013620213185946,81,138,10132,0.031598513011152,81,34,1076,0.657117278424351,83,734,1117,2021/06/09,,0,83,2,83,1,83,1,83,3,83,1,83,3,83,1,83,0,78,0,81,1,81,1,81,1,81,3,81,2,81,5,81,2,81,1,76
SD,0,62,3,0,62,3,1,62,2831,65,1572,65,27,62,2,65,9,62,0,62,2,62,126,65,5,62,5,65,24,62,20,65,3,62,0,62,233,65,0.55528081949841,65,1572,2831,0.017396907216495,62,27,1552,0.009768451519537,62,27,2764,0.022522522522523,62,5,222,0.540772532188841,65,126,233,2021/06/09,,0,65,1,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,62,0,62,1,62,0,62,1,62,3,62,3,62,1,62,0,62
TN,5,68,69,17,56,69,4,73,20127,142,11869,125,291,73,20,73,38,73,1,73,1,73,1549,138,84,73,80,73,285,73,237,73,6,73,5,73,2408,142,0.640840127422925,125,11869,18521,0.036831222538124,72,285,7738,0.022269840055101,73,291,13067,0.047297297297297,73,84,1776,0.666236559139785,138,1549,2325,2021/06/09,,0,73,1,73,3,73,2,73,5,73,5,73,4,73,0,73,0,73,1,73,3,73,5,73,6,73,5,73,9,73,6,73,3,73,0,73
TX,87,494,13,114,467,13,51,589,67230,594,49014,594,2045,589,190,594,432,589,7,589,56,589,5192,594,561,589,514,594,2002,589,1488,594,43,589,27,589,7016,594,0.72904953145917,594,49014,67230,0.042211947322792,589,2045,48446,0.030756504737555,589,2045,66490,0.081754590498397,589,561,6862,0.740022805017104,594,5192,7016,2021/06/09,,3,594,17,594,19,594,31,594,33,594,37,594,24,594,17,594,9,594,4,588,39,588,46,588,50,588,69,589,82,588,76,588,43,589,23,589
UT,1,57,1,1,57,1,0,58,6216,59,3526,59,148,58,30,59,1,58,0,58,0,58,376,59,51,58,52,59,147,58,143,59,1,58,0,58,628,59,0.567245817245817,59,3526,6216,0.042504307869041,58,148,3482,0.024123879380603,58,148,6135,0.083606557377049,58,51,610,0.598726114649682,59,376,628,2021/06/09,,0,59,3,59,4,59,8,59,0,59,9,59,3,59,3,59,0,59,0,58,0,58,1,58,0,58,0,58,0,58,0,58,0,58,0,58
VA,16,80,9,25,71,9,23,102,18042,105,12479,105,357,102,29,105,150,102,5,102,15,102,1247,105,78,102,66,105,338,102,217,105,19,102,11,102,1943,105,0.691663895355282,105,12479,18042,0.028939688715953,102,357,12336,0.020067453625632,102,357,17790,0.041182682154171,102,78,1894,0.641791044776119,105,1247,1943,2021/06/09,,0,105,7,105,2,105,1,105,7,105,5,105,3,105,3,105,1,105,1,102,3,102,14,102,15,102,22,102,34,102,29,102,31,102,1,102
VI,2,0,0,2,0,0,0,2,168,2,87,2,10,2,1,2,0,2,0,2,0,2,9,2,2,2,2,2,10,2,9,2,0,2,0,2,20,2,0.517857142857143,2,87,168,0.114942528735632,2,10,87,0.05952380952381,2,10,168,0.1,2,2,20,0.45,2,9,20,2021/06/09,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
