state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,7,60,2,7,60,2,5,68,9326,69,5354,69,257,68,10,69,33,68,1,68,7,68,487,69,44,68,37,69,238,68,182,69,19,68,4,68,684,69,0.5740939309457431,69,5354,9326,0.04888719802168537,68,257,5257,0.028121238647554437,68,257,9139,0.06738131699846861,68,44,653,0.7119883040935673,69,487,684,2021-02-06
RI,4,10,1,4,10,1,7,14,2315,15,2370,15,280,14,19,15,2,14,0,14,0,14,147,15,44,14,46,15,279,14,244,15,1,14,1,14,172,15,1.0237580993520519,15,2370,2315,0.12053379250968575,14,280,2323,0.12400354295837024,14,280,2258,0.2716049382716049,14,44,162,0.8546511627906976,15,147,172,2021-02-06
SC,19,65,2,20,64,2,18,84,11546,86,9382,86,1408,84,167,86,116,84,2,84,3,84,1164,86,333,84,328,86,1394,84,1285,86,14,84,8,84,1422,86,0.8125757838212367,86,9382,11546,0.15196977873718295,84,1408,9265,0.12385643912737508,84,1408,11368,0.24095513748191028,84,333,1382,0.8185654008438819,86,1164,1422,2021-02-06
SD,1,60,3,1,60,3,17,61,2825,64,1612,64,103,61,8,64,13,61,0,61,3,61,125,64,17,61,15,64,102,61,84,64,1,61,0,61,241,64,0.5706194690265487,64,1612,2825,0.06477987421383648,61,103,1590,0.03737300435413643,61,103,2756,0.07391304347826087,61,17,230,0.5186721991701245,64,125,241,2021-02-06
TN,12,72,59,24,60,59,18,84,20472,143,13001,128,943,84,92,84,50,84,1,84,2,84,1686,140,258,84,246,84,931,84,849,84,12,84,8,84,2381,143,0.6768533944189921,128,13001,19208,0.09875379620902712,84,943,9549,0.06613366996283049,84,943,14259,0.14059945504087193,84,258,1835,0.725473321858864,140,1686,2324,2021-02-06
TX,117,473,5,147,443,5,111,590,70819,595,52884,595,9904,590,1031,595,736,590,22,590,87,590,6684,595,2732,590,2666,595,9729,590,8897,595,175,590,138,590,8114,594,0.7467487538654881,595,52884,70819,0.18942335277804342,590,9904,52285,0.14146954633756142,590,9904,70008,0.34490594621891174,589,2732,7921,0.8237614000492975,594,6684,8114,2021-02-06
UT,0,56,1,0,56,1,0,56,5744,57,3363,57,352,56,41,57,8,56,4,56,1,56,428,57,130,56,127,57,338,56,300,57,14,56,0,56,625,57,0.5854805013927576,57,3363,5744,0.10592837797171231,56,352,3323,0.06224580017683466,56,352,5655,0.214168039538715,56,130,607,0.6848,57,428,625,2021-02-06
VA,21,76,8,24,73,8,64,102,18139,105,13549,105,2069,102,222,105,274,102,4,102,19,102,1496,105,396,102,394,105,2046,102,1793,105,23,102,10,102,2007,105,0.746954076850984,105,13549,18139,0.15466846079090976,102,2069,13377,0.11574825174825175,102,2069,17875,0.20454545454545456,102,396,1936,0.7453911310413552,105,1496,2007,2021-02-06
VI,2,0,0,2,0,0,0,2,168,2,100,2,5,2,0,2,0,2,0,2,0,2,11,2,2,2,2,2,5,2,5,2,0,2,0,2,20,2,0.5952380952380952,2,100,168,0.05,2,5,100,0.02976190476190476,2,5,168,0.1,2,2,20,0.55,2,11,20,2021-02-06
VT,2,14,1,2,14,1,6,16,1299,17,877,17,59,16,8,17,10,16,0,16,0,16,78,17,9,16,13,17,57,16,53,17,2,16,1,16,106,17,0.6751347190146266,17,877,1299,0.06924882629107981,16,59,852,0.04675118858954041,16,59,1262,0.09090909090909091,16,9,99,0.7358490566037735,17,78,106,2021-02-06
