state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,10,67,8550,66,4988,67,744,68,449,65,66,63,50,63,554,67,225,65,40,67,8,65,650,65,0.5654970760233918,66,4835,8550,0.14855653568564556,67,741,4988,0.08549707602339181,66,731,8550,0.0989010989010989,62,63,637,0.6914728682170542,64,446,645,2020-09-08
RI,2,13,2008,13,1929,13,83,13,136,13,7,13,7,13,82,13,81,13,1,13,1,13,157,13,0.9606573705179283,13,1929,2008,0.04302747537584241,13,83,1929,0.04133466135458167,13,83,2008,0.044585987261146494,13,7,157,0.8662420382165605,13,136,157,2020-09-08
SC,15,76,10205,82,8181,82,767,82,943,77,206,77,183,77,756,80,590,79,4,80,2,79,1317,76,0.8016658500734933,82,8181,10205,0.09375381982642708,82,767,8181,0.0751592356687898,82,767,10205,0.1590380139643134,75,205,1289,0.7129840546697038,76,939,1317,2020-09-08
SD,1,55,2316,55,1435,58,109,58,76,40,21,37,21,35,78,49,68,47,28,49,28,47,93,32,0.6101036269430051,55,1413,2316,0.07595818815331011,58,109,1435,0.04706390328151986,55,109,2316,0.16129032258064516,28,15,93,0.5542168674698795,30,46,83,2020-09-08
TN,2,48,18208,117,12545,117,332,50,1600,119,67,45,66,45,326,48,280,48,4,48,2,48,2177,121,0.7059756442934013,114,12464,17655,0.05802357207615594,41,256,4412,0.04378313665127416,38,256,5847,0.097953216374269,42,67,684,0.7547169811320755,118,1600,2120,2020-09-08
TX,109,551,65154,560,46559,561,4373,563,5419,526,1298,529,1162,527,4320,551,3434,548,53,551,36,548,6856,518,0.7144772324524231,558,46366,64895,0.09343200740055504,560,4343,46483,0.0669657948922831,559,4358,65078,0.1877844663045074,511,1279,6811,0.7899503359626059,517,5408,6846,2020-09-08
UT,3,54,5652,53,3572,54,185,54,362,47,46,45,45,45,162,51,113,50,5,51,4,50,544,43,0.6173036093418259,53,3489,5652,0.051791713325867864,54,185,3572,0.03273177636234961,53,185,5652,0.08088235294117647,42,44,544,0.6360294117647058,42,346,544,2020-09-08
VA,15,94,16646,90,11376,91,1048,98,930,80,194,85,146,80,822,81,545,81,3,81,0,81,1292,78,0.6801634026192479,90,11322,16646,0.08932365439093484,90,1009,11296,0.05841799709724238,89,966,16536,0.141640866873065,77,183,1292,0.7151702786377709,78,924,1292,2020-09-08
VI,0,2,188,2,84,2,1,2,8,2,0,2,0,2,1,2,1,2,0,2,0,2,20,2,0.44680851063829785,2,84,188,0.011904761904761904,2,1,84,0.005319148936170213,2,1,188,0.0,2,0,20,0.4,2,8,20,2020-09-08
VT,1,17,735,16,358,16,3,17,34,15,1,16,0,16,3,17,1,17,0,17,0,17,63,14,0.48707482993197276,16,358,735,0.002793296089385475,16,1,358,0.0013605442176870747,16,1,735,0.0,14,0,63,0.5396825396825397,14,34,63,2020-09-08
WA,5,92,10197,82,9616,97,378,97,901,79,91,79,71,78,360,88,259,86,17,88,2,86,920,64,0.6678434833774639,82,6810,10197,0.039597737272155875,96,378,9546,0.027451367631085216,81,278,10127,0.06956521739130435,59,64,920,0.6847826086956522,60,630,920,2020-09-08
WI,0,136,12573,135,7829,135,594,137,835,130,127,131,96,131,586,134,365,133,5,134,0,133,1484,129,0.6235941612826035,134,7818,12537,0.07574402861157235,135,593,7829,0.046925952437763464,135,590,12573,0.08557951482479785,129,127,1484,0.5619946091644205,129,834,1484,2020-09-08
WV,4,60,6634,60,4410,60,224,60,464,60,67,60,58,60,222,60,148,60,2,60,1,60,614,60,0.6647573108230329,60,4410,6634,0.050793650793650794,60,224,4410,0.03376545070847151,60,224,6634,0.10912052117263844,60,67,614,0.755700325732899,60,464,614,2020-09-08
AK,0,19,1176,18,962,24,37,24,57,15,17,21,12,21,37,21,27,21,0,21,0,21,46,10,0.47959183673469385,18,564,1176,0.038461538461538464,24,37,962,0.02465986394557823,18,29,1176,0.1590909090909091,8,7,44,0.38636363636363635,9,17,44,2020-09-08
AL,10,111,14782,110,11008,110,1013,111,1217,110,328,111,303,111,1001,111,834,111,12,111,4,111,1405,108,0.7446894872141794,110,11008,14782,0.09181909181909181,109,1009,10989,0.06840214222764558,109,1009,14751,0.2185053380782918,107,307,1405,0.8327402135231317,108,1170,1405,2020-09-08
AR,4,96,8931,97,6362,101,531,101,728,86,193,81,177,79,522,94,367,92,9,94,2,92,942,77,0.7009293472175568,97,6260,8931,0.08346431939641621,101,531,6362,0.058895980293360205,97,526,8931,0.19957537154989385,74,188,942,0.7462845010615711,77,703,942,2020-09-08
AZ,1,84,12134,84,9621,94,608,99,804,68,139,75,114,74,549,84,318,88,17,84,10,82,1383,61,0.6439756057359486,83,7814,12134,0.06246751896892215,94,601,9621,0.044915114554145374,84,545,12134,0.08363636363636363,58,115,1375,0.49313087490961677,60,682,1383,2020-09-08
CA,31,389,63061,390,45443,391,4014,390,5106,370,1143,373,995,370,3880,381,2994,379,58,381,28,379,7187,370,0.7185106484197841,390,45310,63061,0.08849791652887096,390,4014,45357,0.06375476493011435,389,4014,62960,0.15903715041046335,367,1143,7187,0.7104494225685265,368,5106,7187,2020-09-08
CO,3,94,10952,96,7235,98,285,98,734,78,76,78,51,76,265,87,150,84,13,87,8,84,1208,72,0.6581446311176041,96,7208,10952,0.03939184519695923,98,285,7235,0.026022644265887507,96,285,10952,0.06260434056761269,69,75,1198,0.6009933774834437,71,726,1208,2020-09-08
