state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,12,56,0,12,56,4,67,9199,68,5433,68,243,67,10,68,33,67,1,67,3,67,510,68,44,67,38,68,220,67,173,68,23,67,4,67,711,68,0.5906076747472552,68,5433,9199,0.04557389347336834,67,243,5332,0.02696404793608522,67,243,9012,0.06470588235294118,67,44,680,0.7172995780590717,68,510,711,2021-02-09
RI,4,10,1,4,10,1,5,14,2311,15,2285,15,264,14,14,15,0,14,0,14,0,14,143,15,36,14,36,15,264,14,226,15,0,14,0,14,172,15,0.988749459108611,15,2285,2311,0.11764705882352941,14,264,2244,0.11785714285714285,14,264,2240,0.23376623376623376,14,36,154,0.8313953488372093,15,143,172,2021-02-09
SC,22,63,2,23,62,2,16,85,11536,87,9019,87,1291,85,148,87,106,85,2,85,5,85,1076,87,311,85,297,87,1275,85,1157,87,16,85,9,85,1345,87,0.7818134535367545,87,9019,11536,0.14476339986544068,85,1291,8918,0.11365437098336122,85,1291,11359,0.23831417624521073,85,311,1305,0.8,87,1076,1345,2021-02-09
SD,1,61,3,1,61,3,16,62,2841,65,1536,65,87,62,12,65,14,62,2,62,2,62,108,65,12,62,10,65,86,62,69,65,1,62,1,62,241,65,0.5406546990496304,65,1536,2841,0.057539682539682536,62,87,1512,0.031385281385281384,62,87,2772,0.05217391304347826,62,12,230,0.44813278008298757,65,108,241,2021-02-09
TN,18,70,54,37,51,54,18,88,20152,142,12187,125,973,88,116,88,56,88,1,88,1,88,1645,139,256,88,244,88,962,88,879,88,11,88,10,88,2364,142,0.6503895826662397,125,12187,18738,0.096422554751759,88,973,10091,0.06373640770339316,88,973,15266,0.12524461839530332,88,256,2044,0.7130472475075856,139,1645,2307,2021-02-09
TX,117,473,5,155,435,5,101,590,68987,595,51406,595,9037,590,998,595,697,590,17,590,103,590,6583,595,2593,590,2511,595,8874,590,8264,595,163,590,125,590,8062,595,0.745154884253555,595,51406,68987,0.17786569044245001,590,9037,50808,0.13254814532334003,590,9037,68179,0.32952090481636803,590,2593,7869,0.8165467625899281,595,6583,8062,2021-02-09
UT,0,57,1,0,57,1,2,57,5869,58,3350,58,317,57,45,58,6,57,1,57,0,57,412,58,125,57,119,58,304,57,273,58,13,57,0,57,624,58,0.5707957062531948,58,3350,5869,0.09574146783449108,57,317,3311,0.054872771334602735,57,317,5777,0.20627062706270627,57,125,606,0.6602564102564102,58,412,624,2021-02-09
VA,20,77,9,22,75,9,65,103,18272,106,12956,106,1857,103,181,106,258,103,2,103,18,103,1429,106,364,103,359,106,1831,103,1616,106,26,103,13,103,2000,106,0.7090630472854641,106,12956,18272,0.14538479605417678,103,1857,12773,0.1031208351843625,103,1857,18008,0.1886988076723691,103,364,1929,0.7145,106,1429,2000,2021-02-09
VI,2,0,0,2,0,0,0,2,168,2,104,2,5,2,0,2,0,2,0,2,0,2,8,2,0,2,0,2,5,2,5,2,0,2,0,2,20,2,0.6190476190476191,2,104,168,0.04807692307692308,2,5,104,0.02976190476190476,2,5,168,0.0,2,0,20,0.4,2,8,20,2021-02-09
VT,2,14,1,2,14,1,4,16,1313,17,790,17,52,16,4,17,8,16,0,16,1,16,73,17,10,16,9,17,52,16,47,17,0,16,0,16,105,17,0.6016755521706016,17,790,1313,0.06770833333333333,16,52,768,0.04072043852779953,16,52,1277,0.10101010101010101,16,10,99,0.6952380952380952,17,73,105,2021-02-09
WA,9,93,2,10,92,2,18,102,13571,104,9557,104,610,102,67,104,95,102,0,102,15,102,947,104,146,102,126,104,602,102,510,104,8,102,7,102,1361,104,0.7042222385970083,104,9557,13571,0.06445477599323753,102,610,9464,0.04540379605508001,102,610,13435,0.10903659447348768,102,146,1339,0.6958119030124909,104,947,1361,2021-02-09
WI,15,114,19,18,111,19,3,145,13847,148,8288,147,488,144,90,148,58,145,2,145,3,145,869,147,143,144,146,147,478,144,459,147,10,144,1,144,1615,148,0.6063798653789875,147,8288,13668,0.06003198425390577,144,488,8129,0.03640975900917705,144,488,13403,0.09149072296865003,144,143,1563,0.5380804953560372,147,869,1615,2021-02-09
WV,17,42,4,20,39,4,5,59,6139,63,4401,63,445,59,31,63,72,59,0,59,1,59,489,63,86,59,84,63,442,59,382,63,3,59,2,59,661,63,0.7168920019547157,63,4401,6139,0.10300925925925926,59,445,4320,0.07492843913116687,59,445,5939,0.14098360655737704,59,86,610,0.7397881996974282,63,489,661,2021-02-09
AK,1,22,0,1,22,0,0,23,1519,23,879,23,36,23,4,23,2,23,0,23,0,23,85,23,7,23,7,23,35,23,31,23,1,23,1,23,127,23,0.5786701777485188,23,879,1519,0.040955631399317405,23,36,879,0.02369980250164582,23,36,1519,0.05511811023622047,23,7,127,0.6692913385826772,23,85,127,2021-02-09
AL,31,74,12,34,70,13,23,111,15476,117,11512,117,1409,111,144,113,119,111,3,111,6,111,1397,117,398,111,375,113,1387,111,1215,113,22,111,16,111,1635,117,0.7438614629103127,117,11512,15476,0.1268569370667147,111,1409,11107,0.09430426343618231,111,1409,14941,0.25078764965343414,111,398,1587,0.854434250764526,117,1397,1635,2021-02-09
AR,20,87,2,22,85,2,4,107,9227,109,6321,109,765,107,83,109,72,107,2,107,16,107,761,109,217,107,195,109,748,107,650,109,17,107,9,107,1060,109,0.685054730681695,109,6321,9227,0.12121692283314847,107,765,6311,0.08327890267798824,107,765,9186,0.2080536912751678,107,217,1043,0.7179245283018868,109,761,1060,2021-02-09
AZ,27,91,3,31,87,3,48,118,17387,121,12313,121,2250,118,224,121,256,118,7,118,7,118,1424,121,573,118,518,121,2215,118,1829,121,35,118,23,118,2338,121,0.7081727727612585,121,12313,17387,0.18616581168293894,118,2250,12086,0.13194159385445375,118,2250,17053,0.2541019955654102,118,573,2255,0.6090675791274593,121,1424,2338,2021-02-09
CA,121,281,13,140,263,12,56,407,65500,415,50146,415,9661,407,817,415,503,407,24,407,11,407,6734,415,2715,407,2662,415,9532,407,9021,415,129,407,111,407,8031,415,0.7655877862595419,415,50146,65500,0.19510471151321768,407,9661,49517,0.1496785188628089,407,9661,64545,0.3487027998972515,407,2715,7786,0.8385008093637156,415,6734,8031,2021-02-09
CO,5,87,13,7,85,13,10,103,11814,105,7834,105,530,103,64,105,50,103,2,103,7,103,811,105,147,103,148,105,509,103,458,105,21,103,12,103,1353,105,0.6631115625529034,105,7834,11814,0.0684400826446281,103,530,7744,0.04527592687510678,103,530,11706,0.11136363636363636,103,147,1320,0.5994087213599408,105,811,1353,2021-02-09
CT,4,35,1,4,35,1,34,39,8420,40,6707,40,755,39,90,40,57,39,3,39,1,39,661,40,155,39,150,40,748,39,668,40,7,39,5,39,1074,40,0.7965558194774347,40,6707,8420,0.11377335744424352,39,755,6636,0.09065802113352546,39,755,8328,0.14719848053181386,39,155,1053,0.6154562383612663,40,661,1074,2021-02-09
DC,0,12,2,0,12,2,8,13,3417,14,2506,14,286,13,29,14,80,13,3,13,10,13,271,14,70,13,54,14,261,13,229,14,25,13,6,13,355,14,0.7333918642083699,14,2506,3417,0.11779242174629324,13,286,2428,0.08690367669401398,13,286,3291,0.20771513353115728,13,70,337,0.7633802816901408,14,271,355,2021-02-09
DE,1,14,1,1,14,1,3,15,3298,16,2343,16,252,15,29,16,25,15,1,15,1,15,148,16,19,15,20,16,244,15,230,16,8,15,5,15,198,16,0.7104305639781686,16,2343,3298,0.10843373493975904,15,252,2324,0.0771586037966932,15,252,3266,0.1,15,19,190,0.7474747474747475,16,148,198,2021-02-09
