state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-14,"536,818","536,675","536,961",75.63,75.57,75.69,"709,818","709,668","709,968"
CW,2021-01-15,"535,124","535,038","535,211",75.44,75.41,75.47,"709,331","709,291","709,371"
CW,2021-01-16,"518,752","518,467","519,037",73.43,73.29,73.57,"706,458","706,051","706,865"
CW,2021-01-17,"507,520","507,365","507,674",72.12,72.05,72.20,"703,706","703,483","703,930"
CW,2021-01-18,"510,889","510,680","511,099",72.57,72.48,72.66,"703,975","703,746","704,205"
CW,2021-01-19,"527,520","527,349","527,691",74.60,74.52,74.68,"707,141","706,900","707,382"
CW,2021-01-20,"536,087","535,746","536,427",75.55,75.41,75.69,"709,575","709,224","709,926"
CW,2021-01-21,"533,888","533,687","534,089",75.35,75.25,75.44,"708,571","708,280","708,862"
CW,2021-01-22,"532,281","532,144","532,419",75.18,75.11,75.26,"707,983","707,735","708,232"
CW,2021-01-23,"516,429","516,221","516,638",73.30,73.21,73.39,"704,555","704,300","704,810"
CW,2021-01-24,"504,604","504,451","504,757",71.91,71.88,71.94,"701,324","701,086","701,561"
CW,2021-01-25,"508,565","508,525","508,605",72.34,72.32,72.36,"702,590","702,356","702,823"
CW,2021-01-26,"527,750","527,698","527,803",74.69,74.67,74.71,"706,176","705,940","706,412"
CW,2021-01-27,"532,588","532,347","532,830",75.16,75.06,75.26,"708,350","707,995","708,705"
CW,2021-01-28,"529,841","529,747","529,935",74.90,74.87,74.94,"707,062","706,784","707,340"
CW,2021-01-29,"523,644","523,579","523,710",74.19,74.17,74.21,"705,494","705,232","705,757"
CW,2021-01-30,"504,145","503,993","504,297",71.70,71.63,71.76,"702,863","702,564","703,163"
CW,2021-01-31,"490,414","490,212","490,615",70.16,70.06,70.26,"698,676","698,290","699,062"
CW,2021-02-01,"493,866","493,759","493,974",70.60,70.55,70.64,"699,236","698,947","699,524"
CW,2021-02-02,"514,800","514,752","514,848",73.24,73.23,73.26,"702,580","702,316","702,844"
CW,2021-02-03,"521,667","521,530","521,804",73.97,73.82,74.13,"704,803","704,133","705,472"
CW,2021-02-04,"521,113","521,036","521,190",73.92,73.89,73.95,"704,582","704,314","704,849"
CW,2021-02-05,"517,379","517,254","517,503",73.52,73.48,73.57,"703,282","703,013","703,551"
CW,2021-02-06,"501,820","501,675","501,965",71.63,71.58,71.68,"700,169","699,894","700,444"
CW,2021-02-07,"487,560","487,118","488,002",70.00,69.81,70.18,"696,126","695,592","696,660"
CW,2021-02-08,"490,108","490,005","490,210",70.25,70.21,70.30,"697,194","696,909","697,479"
CW,2021-02-09,"512,316","511,935","512,696",72.98,72.82,73.15,"701,554","701,047","702,061"
CW,2021-02-10,"520,531","520,038","521,023",73.98,73.75,74.22,"703,186","702,457","703,915"
CW,2021-02-11,"517,924","517,409","518,440",73.69,73.45,73.93,"702,431","701,711","703,151"
CW,2021-02-12,"511,383","509,913","512,853",73.16,72.50,73.82,"698,608","696,794","700,422"
CW,2021-02-13,"496,535","493,295","499,775",71.42,69.93,72.91,"694,767","690,642","698,892"
AK,2021-01-14,837,837,837,57.53,57.53,57.53,"1,455","1,455","1,455"
AL,2021-01-14,"11,239","11,239","11,239",80.20,80.20,80.20,"14,013","14,013","14,013"
AR,2021-01-14,"5,589","5,581","5,597",72.54,72.10,72.98,"7,705","7,689","7,721"
AZ,2021-01-14,"11,476","11,476","11,476",77.93,77.93,77.93,"14,726","14,726","14,726"
CA,2021-01-14,"53,582","53,582","53,582",82.39,82.39,82.39,"65,034","65,034","65,034"
CO,2021-01-14,"6,860","6,860","6,860",67.27,67.27,67.27,"10,198","10,198","10,198"
CT,2021-01-14,"6,270","6,270","6,270",80.90,80.90,80.90,"7,750","7,750","7,750"
DC,2021-01-14,"2,470","2,470","2,470",82.66,82.66,82.66,"2,988","2,988","2,988"
DE,2021-01-14,"1,860","1,860","1,860",71.65,71.65,71.65,"2,596","2,596","2,596"
FL,2021-01-14,"43,769","43,681","43,857",83.25,82.75,83.75,"52,576","52,479","52,673"
GA,2021-01-14,"16,802","16,802","16,802",86.55,86.55,86.55,"19,414","19,414","19,414"
HI,2021-01-14,"1,778","1,778","1,778",71.81,71.81,71.81,"2,476","2,476","2,476"
IA,2021-01-14,"4,940","4,940","4,940",64.11,64.11,64.11,"7,706","7,706","7,706"
ID,2021-01-14,"1,755","1,755","1,755",56.52,56.52,56.52,"3,105","3,105","3,105"
IL,2021-01-14,"20,235","20,233","20,237",69.57,69.57,69.57,"29,087","29,087","29,087"
IN,2021-01-14,"10,929","10,929","10,929",65.66,65.66,65.66,"16,645","16,645","16,645"
KS,2021-01-14,"4,758","4,758","4,758",60.94,60.94,60.94,"7,808","7,808","7,808"
KY,2021-01-14,"7,581","7,581","7,581",61.76,61.76,61.76,"12,275","12,275","12,275"
LA,2021-01-14,"9,303","9,303","9,303",73.21,73.21,73.21,"12,708","12,708","12,708"
MA,2021-01-14,"12,304","12,304","12,304",80.39,80.39,80.39,"15,305","15,305","15,305"
MD,2021-01-14,"8,254","8,254","8,254",85.49,85.49,85.49,"9,655","9,655","9,655"
ME,2021-01-14,"2,047","2,047","2,047",71.55,71.55,71.55,"2,861","2,861","2,861"
MI,2021-01-14,"15,479","15,479","15,479",75.11,75.11,75.11,"20,608","20,608","20,608"
MN,2021-01-14,"7,172","7,172","7,172",73.82,73.82,73.82,"9,716","9,716","9,716"
MS,2021-01-14,"5,142","5,135","5,149",65.27,64.91,65.63,"7,878","7,864","7,892"
MT,2021-01-14,"1,899","1,899","1,899",66.17,66.17,66.17,"2,870","2,870","2,870"
ND,2021-01-14,"1,401","1,401","1,401",69.05,69.05,69.05,"2,029","2,029","2,029"
NJ,2021-01-14,"15,241","15,241","15,241",72.70,72.70,72.70,"20,965","20,965","20,965"
NV,2021-01-14,"5,971","5,971","5,971",80.20,80.20,80.20,"7,445","7,445","7,445"
NY,2021-01-14,"36,616","36,613","36,619",75.49,75.45,75.52,"48,507","48,499","48,515"
OK,2021-01-14,"7,123","7,116","7,130",73.66,73.46,73.86,"9,670","9,663","9,677"
