state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/06/18,56707,56599,56815,69.15,68.96,69.33,82015,81877,82153,
CW,2021/06/19,55132,55000,55263,67.51,67.18,67.84,81673,81514,81833,
CW,2021/06/20,53293,53185,53401,65.59,65.42,65.77,81252,81117,81387,
CW,2021/06/21,53707,53601,53813,65.77,65.61,65.93,81664,81530,81799,
CW,2021/06/22,56362,56260,56464,68.72,68.58,68.87,82016,81880,82152,
CW,2021/06/23,57215,57109,57320,69.6,69.45,69.75,82209,82076,82343,
CW,2021/06/24,56873,56756,56991,69.35,69.15,69.54,82014,81889,82140,
CW,2021/06/25,56009,55856,56162,68.48,68.03,68.93,81790,81606,81973,
CW,2021/06/26,54710,54545,54875,67.12,66.6,67.65,81511,81306,81717,
CW,2021/06/27,53364,53198,53531,65.62,65.08,66.15,81332,81124,81539,
CW,2021/06/28,53617,53493,53742,65.91,65.63,66.2,81348,81208,81489,
CW,2021/06/29,56398,56291,56506,69.17,68.98,69.35,81545,81416,81674,
CW,2021/06/30,57219,57124,57315,69.87,69.74,70,81898,81780,82017,
CW,2021/07/01,56758,56664,56852,69.44,69.3,69.58,81740,81619,81861,
CW,2021/07/02,56254,56159,56349,68.66,68.49,68.82,81938,81814,82061,
CW,2021/07/03,54594,54494,54693,66.99,66.8,67.19,81493,81366,81621,
CW,2021/07/04,53078,52969,53187,65.26,64.99,65.54,81332,81190,81473,
CW,2021/07/05,52840,52722,52957,65.05,64.74,65.36,81234,81097,81372,
CW,2021/07/06,54025,53908,54141,66.34,66.03,66.66,81435,81296,81574,
CW,2021/07/07,56634,56549,56719,69.29,69.13,69.46,81734,81619,81848,
CW,2021/07/08,57295,57188,57402,69.9,69.49,70.3,81975,81848,82102,
CW,2021/07/09,57270,57175,57366,69.82,69.47,70.16,82035,81935,82135,
CW,2021/07/10,55915,55824,56005,68.45,68.09,68.8,81694,81575,81814,
CW,2021/07/11,54696,54602,54791,67.19,66.82,67.57,81405,81283,81527,
CW,2021/07/12,55104,55000,55207,67.56,67.17,67.94,81572,81454,81689,
CW,2021/07/13,57757,57675,57838,70.53,70.21,70.86,81890,81778,82003,
CW,2021/07/14,58676,58592,58760,71.4,71.08,71.72,82186,82080,82291,
CW,2021/07/15,58461,58316,58606,71.37,70.81,71.93,81921,81740,82102,
CW,2021/07/16,58337,58023,58651,70.74,69.56,71.92,82470,82098,82842,
CW,2021/07/17,57518,56975,58060,69.9,67.78,72.02,82290,81594,82985,
CW,2021/07/18,56238,55589,56887,68.69,66.13,71.25,81879,81040,82718,
AK,2021/06/18,84,84,84,63.64,63.64,63.64,132,132,132,POINT (-151.631889 63.631126)
AL,2021/06/18,1316,1316,1316,82.61,82.61,82.61,1593,1593,1593,POINT (-86.844516 32.756889)
AR,2021/06/18,700,700,700,70,70,70,1000,1000,1000,POINT (-92.439162 34.899825)
AZ,2021/06/18,1086,1085,1087,50.58,50.46,50.71,2147,2146,2148,POINT (-111.664616 34.293239)
CA,2021/06/18,4687,4665,4709,69.22,68.18,70.27,6771,6742,6800,POINT (-119.662127 37.211164)
CO,2021/06/18,861,861,861,67.9,67.9,67.9,1268,1268,1268,POINT (-105.547832 38.998552)
CT,2021/06/18,516,509,523,50.1,50.1,50.1,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/06/18,260,260,260,80,80,80,325,325,325,POINT (-77.016275 38.904785)
DE,2021/06/18,142,142,142,82.08,82.08,82.08,173,173,173,POINT (-75.452394 38.994926)
FL,2021/06/18,4834,4834,4834,75.52,75.52,75.52,6401,6401,6401,POINT (-82.420978 28.260731)
GA,2021/06/18,2077,2046,2108,77.91,74.39,81.43,2666,2631,2701,POINT (-83.426574 32.638481)
HI,2021/06/18,132,132,132,60.55,60.55,60.55,218,218,218,POINT (-157.854309 21.361013)
IA,2021/06/18,429,429,429,65.3,65.3,65.3,657,657,657,POINT (-93.500061 42.074659)
ID,2021/06/18,196,196,196,64.69,64.69,64.69,303,303,303,POINT (-114.659366 44.389073)
IL,2021/06/18,2036,2035,2037,61.44,61.12,61.76,3314,3308,3320,POINT (-89.148632 40.124144)
IN,2021/06/18,1464,1464,1464,65.89,65.89,65.89,2222,2222,2222,POINT (-86.2818 39.919991)
KS,2021/06/18,578,578,578,72.25,72.25,72.25,800,800,800,POINT (-98.38018 38.484729)
KY,2021/06/18,1103,1103,1103,62.63,62.63,62.63,1761,1761,1761,POINT (-85.290484 37.526683)
LA,2021/06/18,1085,1085,1085,61.93,61.93,61.93,1752,1752,1752,POINT (-91.840238 30.921314)
MA,2021/06/18,994,992,996,73.63,73.23,74.03,1350,1348,1352,POINT (-71.481104 42.151077)
MD,2021/06/18,878,866,890,68.81,65.27,72.35,1276,1256,1296,POINT (-76.687282 38.946466)
ME,2021/06/18,225,225,225,71.88,71.88,71.88,313,313,313,POINT (-69.06137 45.117911)
MI,2021/06/18,1819,1819,1819,74.28,74.28,74.28,2449,2449,2449,POINT (-85.730977 44.874798)
TX,2021/06/18,5295,5288,5302,85.18,84.68,85.69,6216,6201,6231,POINT (-99.317341 31.447238)
AK,2021/06/19,88,88,88,66.67,66.67,66.67,132,132,132,POINT (-151.631889 63.631126)
