state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-11,"513,869","513,549","514,189",72.96,72.81,73.10,"704,345","703,924","704,766"
CW,2021-01-12,"531,080","530,805","531,354",75.05,74.93,75.18,"707,602","707,244","707,960"
CW,2021-01-13,"537,759","537,624","537,894",75.73,75.67,75.79,"710,107","709,962","710,253"
CW,2021-01-14,"536,777","536,618","536,936",75.65,75.58,75.71,"709,598","709,427","709,769"
CW,2021-01-15,"535,088","534,992","535,183",75.44,75.40,75.47,"709,331","709,288","709,374"
CW,2021-01-16,"518,711","518,383","519,039",73.42,73.27,73.58,"706,458","705,984","706,933"
CW,2021-01-17,"507,478","507,303","507,653",72.12,72.03,72.20,"703,706","703,450","703,962"
CW,2021-01-18,"510,848","510,617","511,080",72.57,72.47,72.66,"703,975","703,732","704,218"
CW,2021-01-19,"527,520","527,339","527,701",74.60,74.51,74.68,"707,141","706,891","707,391"
CW,2021-01-20,"536,046","535,662","536,430",75.54,75.39,75.70,"709,575","709,190","709,959"
CW,2021-01-21,"533,848","533,630","534,065",75.34,75.24,75.45,"708,569","708,256","708,881"
CW,2021-01-22,"532,240","532,101","532,380",75.18,75.10,75.26,"707,980","707,716","708,245"
CW,2021-01-23,"516,405","516,168","516,642",73.29,73.19,73.40,"704,569","704,296","704,841"
CW,2021-01-24,"504,564","504,390","504,738",71.90,71.87,71.94,"701,324","701,081","701,566"
CW,2021-01-25,"508,534","508,431","508,636",72.34,72.29,72.38,"702,606","702,343","702,868"
CW,2021-01-26,"527,709","527,659","527,760",74.68,74.66,74.70,"706,187","705,942","706,432"
CW,2021-01-27,"532,590","532,169","533,011",75.14,74.96,75.32,"708,386","707,840","708,932"
CW,2021-01-28,"529,841","529,738","529,945",74.89,74.85,74.94,"707,065","706,778","707,352"
CW,2021-01-29,"523,638","523,571","523,706",74.18,74.16,74.20,"705,498","705,224","705,771"
CW,2021-01-30,"504,133","503,963","504,303",71.68,71.61,71.75,"702,866","702,547","703,186"
CW,2021-01-31,"490,403","490,173","490,632",70.15,70.04,70.26,"698,679","698,255","699,103"
CW,2021-02-01,"493,857","493,738","493,977",70.57,70.52,70.62,"699,377","699,070","699,683"
CW,2021-02-02,"514,795","514,687","514,903",73.21,73.16,73.25,"702,802","702,507","703,098"
CW,2021-02-03,"521,624","521,434","521,815",73.97,73.78,74.16,"704,797","704,026","705,567"
CW,2021-02-04,"521,066","520,922","521,211",73.91,73.85,73.97,"704,576","704,265","704,886"
CW,2021-02-05,"517,324","517,133","517,515",73.52,73.44,73.59,"703,277","702,953","703,601"
CW,2021-02-06,"501,780","501,566","501,994",71.62,71.54,71.71,"700,171","699,833","700,509"
CW,2021-02-07,"487,508","486,978","488,038",69.99,69.77,70.22,"696,096","695,464","696,727"
CW,2021-02-08,"490,050","489,858","490,241",70.25,70.17,70.33,"697,171","696,815","697,527"
CW,2021-02-09,"512,112","511,344","512,880",72.98,72.64,73.32,"701,310","700,322","702,299"
CW,2021-02-10,"518,031","515,700","520,362",73.83,72.79,74.87,"701,346","698,463","704,229"
AL,2021-01-11,"10,796","10,796","10,796",77.17,77.17,77.17,"13,990","13,990","13,990"
CT,2021-01-11,"5,940","5,940","5,940",76.74,76.74,76.74,"7,740","7,740","7,740"
DC,2021-01-11,"2,401","2,401","2,401",79.90,79.90,79.90,"3,005","3,005","3,005"
AL,2021-01-12,"11,072","11,072","11,072",79.53,79.53,79.53,"13,922","13,922","13,922"
CT,2021-01-12,"6,247","6,247","6,247",80.70,80.70,80.70,"7,741","7,741","7,741"
DC,2021-01-12,"2,408","2,408","2,408",80.27,80.27,80.27,"3,000","3,000","3,000"
AL,2021-01-13,"11,161","11,144","11,178",80.05,79.64,80.47,"13,942","13,918","13,966"
CT,2021-01-13,"6,273","6,273","6,273",81.09,81.09,81.09,"7,736","7,736","7,736"
DC,2021-01-13,"2,469","2,469","2,469",82.66,82.66,82.66,"2,987","2,987","2,987"
AL,2021-01-14,"11,239","11,239","11,239",80.20,80.20,80.20,"14,013","14,013","14,013"
CT,2021-01-14,"6,270","6,270","6,270",80.90,80.90,80.90,"7,750","7,750","7,750"
DC,2021-01-14,"2,470","2,470","2,470",82.66,82.66,82.66,"2,988","2,988","2,988"
AL,2021-01-15,"11,170","11,170","11,170",80.01,80.01,80.01,"13,960","13,960","13,960"
CT,2021-01-15,"6,279","6,279","6,279",80.94,80.94,80.94,"7,758","7,758","7,758"
DC,2021-01-15,"2,451","2,451","2,451",81.95,81.95,81.95,"2,991","2,991","2,991"
AL,2021-01-16,"10,782","10,782","10,782",77.35,77.35,77.35,"13,940","13,940","13,940"
CT,2021-01-16,"6,047","6,047","6,047",77.98,77.98,77.98,"7,755","7,755","7,755"
DC,2021-01-16,"2,474","2,474","2,474",82.66,82.66,82.66,"2,993","2,993","2,993"
AL,2021-01-17,"10,472","10,468","10,477",75.06,74.89,75.22,"13,953","13,942","13,964"
CT,2021-01-17,"5,981","5,981","5,981",77.29,77.29,77.29,"7,738","7,738","7,738"
DC,2021-01-17,"2,374","2,374","2,374",80.12,80.12,80.12,"2,963","2,963","2,963"
AL,2021-01-18,"10,572","10,505","10,640",75.78,74.27,77.30,"13,951","13,868","14,034"
CT,2021-01-18,"6,017","6,017","6,017",77.75,77.75,77.75,"7,739","7,739","7,739"
DC,2021-01-18,"2,364","2,364","2,364",79.92,79.92,79.92,"2,958","2,958","2,958"
AL,2021-01-19,"11,027","11,027","11,027",78.89,78.89,78.89,"13,977","13,977","13,977"
CT,2021-01-19,"6,113","6,113","6,113",78.69,78.69,78.69,"7,768","7,768","7,768"
DC,2021-01-19,"2,385","2,385","2,385",79.87,79.87,79.87,"2,986","2,986","2,986"
AL,2021-01-20,"11,103","10,917","11,289",79.57,75.09,84.06,"13,953","13,691","14,215"
CT,2021-01-20,"6,319","6,319","6,319",81.39,81.39,81.39,"7,764","7,764","7,764"
DC,2021-01-20,"2,413","2,413","2,413",80.27,80.27,80.27,"3,006","3,006","3,006"
AL,2021-01-21,"11,024","11,024","11,024",78.92,78.92,78.92,"13,968","13,968","13,968"
CT,2021-01-21,"6,319","6,319","6,319",81.32,81.32,81.32,"7,771","7,771","7,771"
DC,2021-01-21,"2,427","2,427","2,427",80.68,80.68,80.68,"3,008","3,008","3,008"
AL,2021-01-22,"11,040","11,040","11,040",79.20,79.20,79.20,"13,939","13,939","13,939"
CT,2021-01-22,"6,330","6,330","6,330",81.46,81.46,81.46,"7,771","7,771","7,771"
DC,2021-01-22,"2,451","2,451","2,451",81.24,81.24,81.24,"3,017","3,017","3,017"
AL,2021-01-23,"10,568","10,568","10,568",75.89,75.89,75.89,"13,925","13,925","13,925"
CT,2021-01-23,"6,199","6,199","6,199",80.16,80.16,80.16,"7,733","7,733","7,733"
DC,2021-01-23,"2,439","2,439","2,439",81.03,81.03,81.03,"3,010","3,010","3,010"
AL,2021-01-24,"10,347","10,347","10,347",74.27,74.27,74.27,"13,932","13,932","13,932"
CT,2021-01-24,"6,107","6,107","6,107",79.02,79.02,79.02,"7,728","7,728","7,728"
DC,2021-01-24,"2,431","2,431","2,431",82.07,82.07,82.07,"2,962","2,962","2,962"
AL,2021-01-25,"10,587","10,587","10,587",76.06,76.06,76.06,"13,920","13,920","13,920"
CT,2021-01-25,"6,030","6,030","6,030",78.15,78.15,78.15,"7,716","7,716","7,716"
DC,2021-01-25,"2,387","2,387","2,387",80.02,80.02,80.02,"2,983","2,983","2,983"
AL,2021-01-26,"10,907","10,896","10,918",78.35,78.01,78.70,"13,920","13,897","13,943"
CT,2021-01-26,"6,307","6,307","6,307",81.52,81.52,81.52,"7,737","7,737","7,737"
DC,2021-01-26,"2,494","2,494","2,494",83.36,83.36,83.36,"2,992","2,992","2,992"
AL,2021-01-27,"11,052","11,052","11,052",79.48,79.48,79.48,"13,906","13,906","13,906"
CT,2021-01-27,"6,363","6,363","6,363",82.20,82.20,82.20,"7,741","7,741","7,741"
DC,2021-01-27,"2,491","2,491","2,491",82.84,82.84,82.84,"3,007","3,007","3,007"
AL,2021-01-28,"11,052","11,052","11,052",79.48,79.48,79.48,"13,906","13,906","13,906"
CT,2021-01-28,"6,250","6,250","6,250",80.78,80.78,80.78,"7,737","7,737","7,737"
DC,2021-01-28,"2,501","2,501","2,501",83.14,83.14,83.14,"3,008","3,008","3,008"
AL,2021-01-29,"10,754","10,754","10,754",77.47,77.47,77.47,"13,882","13,882","13,882"
CT,2021-01-29,"6,233","6,233","6,233",80.58,80.58,80.58,"7,735","7,735","7,735"
DC,2021-01-29,"2,499","2,499","2,499",83.27,83.27,83.27,"3,001","3,001","3,001"
AL,2021-01-30,"10,245","10,245","10,245",73.77,73.77,73.77,"13,887","13,887","13,887"
CT,2021-01-30,"6,010","6,010","6,010",77.60,77.60,77.60,"7,745","7,745","7,745"
DC,2021-01-30,"2,397","2,397","2,397",79.71,79.71,79.71,"3,007","3,007","3,007"
AL,2021-01-31,"10,198","10,198","10,198",73.46,73.46,73.46,"13,883","13,883","13,883"
CT,2021-01-31,"5,917","5,917","5,917",76.44,76.44,76.44,"7,741","7,741","7,741"
DC,2021-01-31,"2,270","2,270","2,270",76.69,76.69,76.69,"2,960","2,960","2,960"
AL,2021-02-01,"10,386","10,386","10,386",74.60,74.60,74.60,"13,922","13,922","13,922"
CT,2021-02-01,"5,740","5,740","5,740",74.18,74.18,74.18,"7,738","7,738","7,738"
DC,2021-02-01,"2,246","2,246","2,246",75.42,75.42,75.42,"2,978","2,978","2,978"
AL,2021-02-02,"10,667","10,667","10,667",76.70,76.70,76.70,"13,907","13,907","13,907"
CT,2021-02-02,"6,152","6,152","6,152",79.74,79.74,79.74,"7,715","7,715","7,715"
DC,2021-02-02,"2,324","2,324","2,324",77.83,77.83,77.83,"2,986","2,986","2,986"
AL,2021-02-03,"10,944","10,944","10,944",78.38,78.38,78.38,"13,962","13,962","13,962"
CT,2021-02-03,"6,192","6,192","6,192",80.25,80.25,80.25,"7,716","7,716","7,716"
DC,2021-02-03,"2,408","2,408","2,408",80.51,80.51,80.51,"2,991","2,991","2,991"
AL,2021-02-04,"10,768","10,768","10,768",77.15,77.15,77.15,"13,958","13,958","13,958"
CT,2021-02-04,"6,221","6,221","6,221",80.52,80.52,80.52,"7,726","7,726","7,726"
DC,2021-02-04,"2,423","2,423","2,423",81.01,81.01,81.01,"2,991","2,991","2,991"
AL,2021-02-05,"10,721","10,721","10,721",77.19,77.19,77.19,"13,890","13,890","13,890"
CT,2021-02-05,"6,242","6,242","6,242",80.90,80.90,80.90,"7,716","7,716","7,716"
DC,2021-02-05,"2,426","2,426","2,426",81.93,81.93,81.93,"2,961","2,961","2,961"
AL,2021-02-06,"10,144","10,144","10,144",73.38,73.38,73.38,"13,824","13,824","13,824"
CT,2021-02-06,"6,130","6,130","6,130",79.29,79.29,79.29,"7,731","7,731","7,731"
DC,2021-02-06,"2,385","2,385","2,385",79.71,79.71,79.71,"2,992","2,992","2,992"
AL,2021-02-07,"9,923","9,923","9,923",71.88,71.88,71.88,"13,804","13,804","13,804"
CT,2021-02-07,"5,898","5,898","5,898",76.44,76.44,76.44,"7,716","7,716","7,716"
DC,2021-02-07,"2,334","2,334","2,334",79.12,79.12,79.12,"2,950","2,950","2,950"
AL,2021-02-08,"10,095","10,095","10,095",72.93,72.93,72.93,"13,842","13,842","13,842"
CT,2021-02-08,"5,969","5,969","5,969",77.39,77.39,77.39,"7,713","7,713","7,713"
DC,2021-02-08,"2,319","2,319","2,319",77.84,77.84,77.84,"2,979","2,979","2,979"
AL,2021-02-09,"10,630","10,630","10,630",76.54,76.54,76.54,"13,889","13,889","13,889"
