state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/05/01,494335,493723,494947,71.22,71.01,71.44,694700,694143,695257,
CW,2021/05/02,480427,479849,481004,69.53,69.34,69.73,691565,691048,692082,
CW,2021/05/03,486969,486465,487474,70.41,70.26,70.57,692244,691828,692659,
CW,2021/05/04,512235,511567,512902,73.57,73.27,73.87,696880,695934,697825,
CW,2021/05/05,522296,521751,522842,74.53,74.33,74.73,701455,700892,702018,
CW,2021/05/06,520794,520193,521394,74.21,73.97,74.46,702380,701634,703127,
CW,2021/05/07,512684,512046,513323,73.55,73.28,73.81,697706,696926,698485,
CW,2021/05/08,491177,490487,491868,70.6,70.29,70.91,695689,694851,696527,
CW,2021/05/09,476674,475912,477436,68.83,68.47,69.18,692549,691565,693533,
CW,2021/05/10,479777,479035,480519,69.35,69.01,69.68,691841,690945,692736,
CW,2021/05/11,505090,504389,505791,72.53,72.21,72.85,696364,695477,697251,
CW,2021/05/12,514806,514089,515523,73.77,73.45,74.09,697812,696920,698704,
CW,2021/05/13,512050,511356,512743,73.39,73.17,73.6,697739,696859,698619,
CW,2021/05/14,506083,505318,506848,72.66,72.41,72.91,696503,695556,697451,
CW,2021/05/15,487010,486290,487730,70.23,70.01,70.46,693443,692547,694338,
CW,2021/05/16,473656,472996,474317,68.7,68.52,68.87,689494,688670,690318,
CW,2021/05/17,480383,479727,481039,69.73,69.63,69.82,688958,688230,689685,
CW,2021/05/18,504713,504049,505377,72.72,72.62,72.82,694034,693303,694766,
CW,2021/05/19,516032,515317,516748,74.05,73.91,74.2,696845,696074,697617,
CW,2021/05/20,516228,515555,516901,74.01,73.88,74.14,697515,696725,698304,
CW,2021/05/21,510219,509510,510928,73.17,73,73.35,697280,696357,698203,
CW,2021/05/22,492286,491560,493011,70.91,70.77,71.05,694246,693402,695090,
CW,2021/05/23,476967,476166,477767,69.15,68.99,69.3,690412,689537,691287,
CW,2021/05/24,483234,482214,484254,70.15,69.8,70.49,689556,688307,690805,
CW,2021/05/25,508796,507953,509640,73.36,73.14,73.57,694230,693212,695249,
CW,2021/05/26,517238,516362,518114,74.39,74.15,74.64,695927,694838,697015,
CW,2021/05/27,515691,514642,516740,74.13,73.78,74.48,696280,694995,697566,
CW,2021/05/28,508661,507422,509900,73.16,72.67,73.64,695976,694317,697634,
CW,2021/05/29,493320,490524,496117,71.32,70.06,72.59,692326,688694,695957,
CW,2021/05/30,479356,475953,482760,69.47,67.91,71.03,690704,686281,695126,
CW,2021/05/31,472855,468268,477442,69.03,66.92,71.15,685605,679800,691410,
AK,2021/05/01,971,971,971,65.7,65.7,65.7,1478,1478,1478,POINT (-151.631889 63.631126)
AL,2021/05/01,9838,9838,9838,70.42,70.42,70.42,13970,13970,13970,POINT (-86.844516 32.756889)
AR,2021/05/01,5092,5092,5092,67.27,67.27,67.27,7570,7570,7570,POINT (-92.439162 34.899825)
AZ,2021/05/01,9441,9437,9445,67.72,67.49,67.94,13942,13924,13960,POINT (-111.664616 34.293239)
CA,2021/05/01,43257,43199,43315,73.95,73.71,74.19,58494,58469,58519,POINT (-119.662127 37.211164)
CO,2021/05/01,6526,6526,6526,64.32,64.32,64.32,10146,10146,10146,POINT (-105.547832 38.998552)
CT,2021/05/01,6149,6149,6149,79.04,79.04,79.04,7780,7780,7780,POINT (-72.738288 41.575155)
DC,2021/05/01,2116,2116,2116,76.92,76.92,76.92,2751,2751,2751,POINT (-77.016275 38.904785)
DE,2021/05/01,1892,1892,1892,72.74,72.74,72.74,2601,2601,2601,POINT (-75.452394 38.994926)
FL,2021/05/01,40576,40576,40576,77.44,77.44,77.44,52396,52396,52396,POINT (-82.420978 28.260731)
GA,2021/05/01,14727,14356,15098,78.66,78.66,78.66,19356,19356,19356,POINT (-83.426574 32.638481)
HI,2021/05/01,1761,1761,1761,70.81,70.81,70.81,2487,2487,2487,POINT (-157.854309 21.361013)
IA,2021/05/01,4544,4544,4544,59.36,59.36,59.36,7655,7655,7655,POINT (-93.500061 42.074659)
ID,2021/05/01,1729,1729,1729,53.25,53.25,53.25,3247,3247,3247,POINT (-114.659366 44.389073)
IL,2021/05/01,19650,19645,19655,68.49,68.37,68.61,28689,28669,28709,POINT (-89.148632 40.124144)
IN,2021/05/01,10439,10439,10439,61.77,61.77,61.77,16901,16901,16901,POINT (-86.2818 39.919991)
KS,2021/05/01,4435,4435,4435,56.77,56.77,56.77,7812,7812,7812,POINT (-98.38018 38.484729)
KY,2021/05/01,7257,7257,7257,59.36,59.36,59.36,12226,12226,12226,POINT (-85.290484 37.526683)
LA,2021/05/01,8321,8316,8326,66.01,66.01,66.01,12606,12606,12606,POINT (-91.840238 30.921314)
MA,2021/05/01,13507,13507,13507,80.88,80.88,80.88,16700,16700,16700,POINT (-71.481104 42.151077)
MD,2021/05/01,8062,8062,8062,81.98,81.98,81.98,9834,9834,9834,POINT (-76.687282 38.946466)
ME,2021/05/01,2008,2008,2008,70.06,70.06,70.06,2866,2866,2866,POINT (-69.06137 45.117911)
MI,2021/05/01,16301,16301,16301,79.04,79.04,79.04,20625,20625,20625,POINT (-85.730977 44.874798)
MN,2021/05/01,7373,7373,7373,76.1,76.1,76.1,9689,9689,9689,POINT (-94.198308 46.349153)
MS,2021/05/01,4740,4740,4740,60.86,60.86,60.86,7788,7788,7788,POINT (-89.65344 32.713378)
MT,2021/05/01,1640,1640,1640,57.67,57.67,57.67,2844,2844,2844,POINT (-109.645127 47.033521)
ND,2021/05/01,1417,1417,1417,71.82,71.82,71.82,1973,1967,1979,POINT (-100.46931 47.446305)
NJ,2021/05/01,13600,13600,13600,67,67,67,20300,20300,20300,POINT (-74.655514 40.110253)
NV,2021/05/01,5188,5188,5188,68.45,68.45,68.45,7579,7579,7579,POINT (-114.916992 39.283294)
UT,2021/05/01,2990,2990,2990,56.23,56.23,56.23,5317,5317,5317,POINT (-111.678222 39.323779)
AK,2021/05/02,927,927,927,62.3,62.3,62.3,1488,1488,1488,POINT (-151.631889 63.631126)
AL,2021/05/02,9623,9610,9636,69.45,69.45,69.45,13856,13856,13856,POINT (-86.844516 32.756889)
AR,2021/05/02,4941,4941,4941,65.06,65.06,65.06,7595,7595,7595,POINT (-92.439162 34.899825)
AZ,2021/05/02,9112,9032,9191,65.77,64.03,67.51,13853,13768,13938,POINT (-111.664616 34.293239)
CA,2021/05/02,41819,41751,41887,72.25,72.25,72.25,57885,57885,57885,POINT (-119.662127 37.211164)
CO,2021/05/02,6320,6320,6320,62.3,62.3,62.3,10145,10145,10145,POINT (-105.547832 38.998552)
CT,2021/05/02,5910,5910,5910,75.92,75.92,75.92,7784,7784,7784,POINT (-72.738288 41.575155)
DC,2021/05/02,2031,2031,2031,74.53,74.53,74.53,2725,2725,2725,POINT (-77.016275 38.904785)
DE,2021/05/02,1823,1823,1823,70.25,70.25,70.25,2595,2595,2595,POINT (-75.452394 38.994926)
FL,2021/05/02,39897,39896,39898,76.22,76.22,76.22,52343,52343,52343,POINT (-82.420978 28.260731)
GA,2021/05/02,14309,13937,14681,75.91,75.91,75.91,19483,19483,19483,POINT (-83.426574 32.638481)
HI,2021/05/02,1734,1734,1734,70.15,70.15,70.15,2472,2472,2472,POINT (-157.854309 21.361013)
IA,2021/05/02,4384,4382,4385,57.16,57.16,57.16,7669,7669,7669,POINT (-93.500061 42.074659)
ID,2021/05/02,1638,1638,1638,50.6,50.6,50.6,3237,3237,3237,POINT (-114.659366 44.389073)
IL,2021/05/02,18775,18771,18779,65.48,65.37,65.59,28672,28654,28690,POINT (-89.148632 40.124144)
IN,2021/05/02,10110,10110,10110,60.04,60.04,60.04,16838,16838,16838,POINT (-86.2818 39.919991)
KS,2021/05/02,4159,4157,4161,53.19,53.19,53.19,7819,7819,7819,POINT (-98.38018 38.484729)
KY,2021/05/02,7088,7088,7088,57.98,57.98,57.98,12224,12224,12224,POINT (-85.290484 37.526683)
LA,2021/05/02,8087,8079,8096,64.23,64.23,64.23,12592,12592,12592,POINT (-91.840238 30.921314)
MA,2021/05/02,13198,13198,13198,79.62,79.62,79.62,16577,16577,16577,POINT (-71.481104 42.151077)
MD,2021/05/02,7882,7882,7882,80.4,80.4,80.4,9803,9803,9803,POINT (-76.687282 38.946466)
ME,2021/05/02,1943,1943,1943,67.91,67.91,67.91,2861,2861,2861,POINT (-69.06137 45.117911)
