state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-15,"128,581","128,521","128,641",18.23,18.22,18.25,"709,302","709,264","709,340"
CW,2021-01-16,"125,826","125,747","125,906",17.91,17.86,17.97,"706,458","706,086","706,830"
CW,2021-01-17,"125,454","125,388","125,519",17.93,17.90,17.97,"703,706","703,501","703,912"
CW,2021-01-18,"126,680","126,622","126,739",18.08,18.03,18.13,"703,975","703,746","704,204"
CW,2021-01-19,"125,804","125,735","125,872",17.87,17.82,17.93,"707,141","706,898","707,384"
CW,2021-01-20,"122,868","122,805","122,930",17.40,17.34,17.45,"709,575","709,236","709,913"
CW,2021-01-21,"119,015","118,942","119,088",16.87,16.81,16.93,"708,612","708,323","708,901"
CW,2021-01-22,"116,869","116,821","116,918",16.58,16.54,16.63,"708,024","707,770","708,279"
CW,2021-01-23,"112,729","112,677","112,781",16.07,16.03,16.12,"704,608","704,359","704,857"
CW,2021-01-24,"111,976","111,944","112,008",16.04,16.02,16.06,"701,364","701,130","701,599"
CW,2021-01-25,"111,879","111,864","111,894",16.00,15.99,16.01,"702,638","702,405","702,870"
CW,2021-01-26,"110,706","110,691","110,721",15.75,15.74,15.76,"706,228","705,995","706,461"
CW,2021-01-27,"107,404","107,379","107,428",15.23,15.20,15.26,"708,391","708,055","708,727"
CW,2021-01-28,"104,276","104,261","104,290",14.82,14.80,14.83,"707,104","706,838","707,370"
CW,2021-01-29,"100,913","100,890","100,937",14.37,14.35,14.39,"705,544","705,291","705,796"
CW,2021-01-30,"97,356","97,299","97,413",13.91,13.87,13.96,"702,910","702,618","703,203"
CW,2021-01-31,"96,042","95,980","96,104",13.81,13.75,13.86,"698,723","698,348","699,098"
CW,2021-02-01,"95,942","95,917","95,968",13.78,13.76,13.81,"699,242","698,947","699,536"
CW,2021-02-02,"95,226","95,204","95,248",13.62,13.60,13.63,"702,627","702,344","702,911"
CW,2021-02-03,"92,525","92,472","92,577",13.19,13.12,13.26,"704,857","704,226","705,488"
CW,2021-02-04,"89,914","89,873","89,955",12.82,12.79,12.85,"704,628","704,342","704,915"
CW,2021-02-05,"87,264","87,214","87,313",12.46,12.42,12.50,"703,347","703,060","703,634"
CW,2021-02-06,"84,051","84,002","84,100",12.06,12.02,12.10,"700,216","699,913","700,519"
CW,2021-02-07,"82,695","82,645","82,746",11.93,11.87,11.99,"696,173","695,656","696,690"
CW,2021-02-08,"82,179","82,129","82,229",11.84,11.80,11.88,"697,248","696,938","697,558"
CW,2021-02-09,"81,000","80,944","81,055",11.60,11.54,11.66,"701,608","701,116","702,100"
CW,2021-02-10,"78,078","77,960","78,195",11.17,11.06,11.28,"703,240","702,551","703,929"
CW,2021-02-11,"74,854","74,790","74,918",10.72,10.67,10.77,"702,499","702,047","702,951"
CW,2021-02-12,"72,186","71,865","72,506",10.39,10.07,10.70,"698,744","697,214","700,274"
CW,2021-02-13,"70,120","69,534","70,707",10.14,9.53,10.75,"695,604","692,334","698,875"
CW,2021-02-14,"69,031","68,242","69,820",10.02,9.19,10.86,"693,014","688,419","697,609"
AK,2021-01-15,58,58,58,4.01,4.01,4.01,"1,445","1,445","1,445"
AL,2021-01-15,"2,913","2,912","2,914",20.87,20.87,20.87,"13,960","13,960","13,960"
AR,2021-01-15,"1,261","1,261","1,261",16.40,16.24,16.56,"7,687","7,672","7,702"
AZ,2021-01-15,"4,817","4,817","4,817",32.39,32.39,32.39,"14,896","14,896","14,896"
CA,2021-01-15,"21,418","21,418","21,418",32.90,32.90,32.90,"65,103","65,103","65,103"
CO,2021-01-15,892,892,892,8.74,8.74,8.74,"10,210","10,210","10,210"
CT,2021-01-15,"1,240","1,240","1,240",15.98,15.98,15.98,"7,758","7,758","7,758"
DC,2021-01-15,345,345,345,11.53,11.53,11.53,"2,991","2,991","2,991"
DE,2021-01-15,455,455,455,17.45,17.45,17.45,"2,607","2,607","2,607"
FL,2021-01-15,"8,048","8,048","8,048",15.62,15.62,15.62,"52,523","52,523","52,523"
GA,2021-01-15,"5,978","5,978","5,978",30.94,30.94,30.94,"19,322","19,322","19,322"
HI,2021-01-15,136,136,136,5.50,5.50,5.50,"2,473","2,473","2,473"
IA,2021-01-15,536,536,536,7.06,7.06,7.06,"7,697","7,697","7,697"
ID,2021-01-15,306,306,306,9.93,9.93,9.93,"3,083","3,083","3,083"
IL,2021-01-15,"3,400","3,400","3,400",11.70,11.70,11.70,"29,068","29,068","29,068"
IN,2021-01-15,"2,372","2,372","2,372",14.45,14.45,14.45,"16,414","16,414","16,414"
