state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/03/17,59319,59298,59340,70.54,70.4,70.67,84097,84036,84158,
CW,2021/03/18,59233,59213,59253,70.45,70.34,70.56,84078,84029,84127,
CW,2021/03/19,59206,59185,59228,70.39,70.29,70.5,84106,84063,84150,
CW,2021/03/20,57906,57887,57924,69.04,68.92,69.16,83873,83819,83927,
CW,2021/03/21,56137,56115,56159,67.22,67.08,67.36,83516,83452,83580,
CW,2021/03/22,56170,56125,56214,67.2,67,67.4,83586,83508,83664,
CW,2021/03/23,58768,58733,58803,70.04,69.87,70.21,83907,83836,83978,
CW,2021/03/24,59386,59317,59455,70.54,70.27,70.82,84182,84083,84282,
CW,2021/03/25,59339,59303,59375,70.56,70.37,70.74,84098,84021,84175,
CW,2021/03/26,59172,59162,59182,70.44,70.28,70.59,84009,83933,84085,
CW,2021/03/27,57816,57795,57837,69.05,68.98,69.12,83727,83650,83804,
CW,2021/03/28,56176,56158,56193,67.24,67.18,67.29,83550,83473,83628,
CW,2021/03/29,56440,56425,56456,67.74,67.68,67.8,83319,83239,83399,
CW,2021/03/30,58619,58561,58678,69.98,69.77,70.19,83768,83663,83874,
CW,2021/03/31,59364,59341,59388,70.7,70.62,70.79,83962,83867,84058,
CW,2021/04/01,58710,58642,58778,70.04,69.8,70.28,83825,83709,83941,
CW,2021/04/02,58188,58119,58256,69.48,69.27,69.69,83749,83644,83853,
CW,2021/04/03,56632,56602,56663,67.9,67.78,68.03,83400,83297,83503,
CW,2021/04/04,55308,55284,55333,66.5,66.34,66.66,83167,83049,83284,
CW,2021/04/05,55952,55913,55992,67.18,67.03,67.33,83287,83192,83383,
CW,2021/04/06,58582,58537,58627,70.06,69.87,70.25,83617,83514,83720,
CW,2021/04/07,59820,59759,59882,71.52,71.33,71.72,83637,83546,83727,
CW,2021/04/08,60012,59997,60027,71.77,71.72,71.81,83620,83541,83698,
CW,2021/04/09,59908,59885,59930,71.55,71.37,71.72,83733,83649,83816,
CW,2021/04/10,58597,58555,58638,70.16,69.96,70.35,83521,83438,83604,
CW,2021/04/11,57245,57166,57324,68.63,68.3,68.96,83411,83288,83533,
CW,2021/04/12,57432,57405,57458,68.99,68.82,69.15,83252,83174,83330,
CW,2021/04/13,59863,59810,59916,71.55,71.32,71.78,83664,83571,83757,
CW,2021/04/14,60668,60581,60754,72.37,71.99,72.74,83834,83687,83980,
CW,2021/04/15,60540,60411,60668,72.32,71.78,72.85,83730,83532,83928,
CW,2021/04/16,60463,60104,60822,71.88,70.51,73.25,84136,83675,84597,
AL,2021/03/17,1274,1274,1274,80.03,80.03,80.03,1592,1592,1592,POINT (-86.844516 32.756889)
AZ,2021/03/17,1113,1113,1113,52.48,52.48,52.48,2121,2121,2121,POINT (-111.664616 34.293239)
CA,2021/03/17,5195,5195,5195,73.63,73.63,73.63,7056,7056,7056,POINT (-119.662127 37.211164)
CT,2021/03/17,600,600,600,57.14,57.14,57.14,1050,1050,1050,POINT (-72.738288 41.575155)
DC,2021/03/17,276,276,276,86.25,86.25,86.25,320,320,320,POINT (-77.016275 38.904785)
GA,2021/03/17,2175,2174,2176,80.95,80.8,81.09,2687,2685,2689,POINT (-83.426574 32.638481)
ID,2021/03/17,184,184,184,61.13,61.13,61.13,301,301,301,POINT (-114.659366 44.389073)
