state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,11,79,11310,83,6250,83,637,84,560,83,88,84,57,79,588,84,441,80,49,84,8,78,869,83,0.5526083112290009,83,6250,11310,0.10368438213237692,82,636,6134,0.05717367853290183,82,636,11124,0.10501193317422435,82,88,838,0.6444188722669736,83,560,869,2020-10-30
RI,7,14,2240,15,1909,14,202,14,138,15,24,14,22,15,201,14,194,15,1,14,1,14,171,15,0.8522321428571429,14,1909,2240,0.10773333333333333,13,202,1875,0.09373549883990719,14,202,2155,0.15384615384615385,14,24,156,0.8070175438596491,15,138,171,2020-10-30
SC,5,73,9976,76,7993,76,770,74,1018,76,208,74,200,76,768,74,671,76,2,74,0,74,1305,76,0.8012229350441058,76,7993,9976,0.09748069375870363,74,770,7899,0.07846733924386018,74,770,9813,0.16521048451151707,74,208,1259,0.7800766283524905,76,1018,1305,2020-10-30
SD,78,61,2796,64,1922,64,483,61,155,64,89,61,89,64,480,61,463,64,3,61,2,61,202,64,0.6874105865522174,64,1922,2796,0.2581507215392838,61,483,1871,0.1786242603550296,61,483,2704,0.478494623655914,61,89,186,0.7673267326732673,64,155,202,2020-10-30
TN,29,129,24816,145,16749,141,1892,129,2163,140,541,128,507,128,1880,129,1696,129,12,129,8,129,2935,144,0.7014700339238598,141,16749,23877,0.11915274844819863,128,1862,15627,0.08365019011406843,129,1892,22618,0.20476911430734293,128,541,2642,0.7643109540636043,140,2163,2830,2020-10-30
TX,103,599,67595,596,48083,599,6425,599,5830,598,1790,599,1679,599,6301,599,5658,599,124,599,61,599,7531,596,0.7113100081366965,596,48081,67595,0.13362311003889107,599,6425,48083,0.09505140912789407,596,6425,67595,0.23768423848094541,596,1790,7531,0.7741335811977161,596,5830,7531,2020-10-30
UT,1,54,5620,54,3338,55,394,54,424,54,141,53,137,54,390,53,371,54,4,53,0,53,634,54,0.5854092526690391,54,3290,5620,0.11935777037261436,54,394,3301,0.07126062579128233,53,394,5529,0.22596153846153846,53,141,624,0.668769716088328,54,424,634,2020-10-30
VA,28,97,18283,100,11802,100,978,97,1318,100,226,97,188,100,962,97,707,100,16,97,11,97,2046,99,0.645517694032708,100,11802,18283,0.08378308918015934,97,978,11673,0.054276041955713415,97,978,18019,0.11414141414141414,96,226,1980,0.6441837732160313,99,1318,2046,2020-10-30
VI,0,2,168,2,89,2,1,2,12,2,1,2,1,2,1,2,1,2,0,2,0,2,20,2,0.5297619047619048,2,89,168,0.011235955056179775,2,1,89,0.005952380952380952,2,1,168,0.05,2,1,20,0.6,2,12,20,2020-10-30
VT,0,17,894,18,452,18,6,17,29,18,4,17,4,18,6,17,4,18,0,17,0,17,77,18,0.5055928411633109,18,452,894,0.014018691588785047,17,6,428,0.007001166861143524,17,6,857,0.05714285714285714,17,4,70,0.37662337662337664,18,29,77,2020-10-30
