state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,19,68,8842,67,5071,68,560,68,465,67,67,65,44,65,509,67,227,66,35,67,5,66,688,67,0.557905451255372,67,4933,8842,0.11043186748175902,68,560,5071,0.06231621805021488,67,551,8842,0.09467455621301775,64,64,676,0.6764275256222547,66,462,683,2020-09-10
RI,2,14,1920,14,2045,14,81,14,132,14,6,14,6,14,80,14,80,14,1,14,1,14,164,14,1.0651041666666667,14,2045,1920,0.03960880195599022,14,81,2045,0.0421875,14,81,1920,0.036585365853658534,14,6,164,0.8048780487804879,14,132,164,2020-09-10
SC,7,76,10237,82,7852,82,737,82,923,77,198,78,179,78,731,80,575,80,6,80,2,80,1291,76,0.7670215883559637,82,7852,10237,0.09386143657666836,82,737,7852,0.07199374816840871,82,737,10237,0.15259488768396592,76,197,1291,0.7126258714175058,76,920,1291,2020-09-10
SD,1,55,2309,55,1384,58,110,58,74,40,23,37,23,35,79,50,71,48,28,50,28,48,94,31,0.5898657427457774,55,1362,2309,0.07947976878612717,58,110,1384,0.04763967085318319,55,110,2309,0.1595744680851064,27,15,94,0.5357142857142857,29,45,84,2020-09-10
TN,0,26,19924,127,12388,125,112,28,1512,119,0,23,0,23,108,26,78,26,2,26,2,26,2326,121,0.6353311651437716,124,12307,19371,0.07205982324949015,27,106,1471,0.06033010813887308,26,106,1757,0.0,20,0,10,0.6663728514764213,118,1512,2269,2020-09-10
TX,116,539,64534,552,45035,559,4177,562,4854,502,1223,510,1094,509,4048,544,3244,539,74,544,43,539,6088,477,0.6867211201866977,550,44139,64275,0.09215882549215883,558,4143,44955,0.06361125764110839,551,4100,64454,0.17720258835241415,465,1068,6027,0.7658769332017111,476,4655,6078,2020-09-10
UT,3,51,5218,50,2908,51,177,51,322,44,51,43,50,43,156,48,121,48,4,48,4,48,547,40,0.5413951705634342,50,2825,5218,0.060866574965612104,51,177,2908,0.03392104254503641,50,177,5218,0.09140767824497258,40,50,547,0.5630712979890311,39,308,547,2020-09-10
VA,15,94,16874,90,11043,91,1038,98,892,79,168,84,128,81,808,84,536,82,4,84,0,82,1308,77,0.651238591916558,90,10989,16874,0.09066861260603849,90,994,10963,0.05672870436649964,89,951,16764,0.12232415902140673,76,160,1308,0.6773700305810397,77,886,1308,2020-09-10
VI,0,2,188,2,77,2,1,2,7,2,0,2,0,2,1,2,1,2,0,2,0,2,20,2,0.4095744680851064,2,77,188,0.012987012987012988,2,1,77,0.005319148936170213,2,1,188,0.0,2,0,20,0.35,2,7,20,2020-09-10
VT,2,17,717,16,359,16,4,17,33,15,1,15,0,15,3,16,1,16,1,16,0,16,63,14,0.500697350069735,16,359,717,0.002785515320334262,16,1,359,0.001394700139470014,16,1,717,0.0,13,0,63,0.5238095238095238,14,33,63,2020-09-10
