state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,3,67,9280,69,5190,69,597,67,41,68,65,66,3,67,8,66,431,69,85,67,81,68,563,67,449,68,34,67,6,67,703,69,0.5592672413793104,69,5190,9280,0.11923307369682444,67,597,5007,0.06627442273534635,67,597,9008,0.13076923076923078,67,85,650,0.6130867709815079,69,431,703,2020-11-13
RI,6,13,2251,14,1962,14,290,13,21,14,3,13,0,13,1,13,131,14,22,13,24,14,286,13,286,14,4,13,3,13,171,14,0.8716126166148378,14,1962,2251,0.15088449531737774,13,290,1922,0.13290559120073328,13,290,2182,0.14012738853503184,13,22,157,0.7660818713450293,14,131,171,2020-11-13
SC,8,70,10118,72,8127,72,797,70,89,72,248,70,1,70,5,70,988,72,221,70,205,72,790,70,694,72,7,70,4,70,1303,72,0.8032219806285827,72,8127,10118,0.09925280199252802,70,797,8030,0.08007635888676781,70,797,9953,0.1758154335719968,70,221,1257,0.758250191864927,72,988,1303,2020-11-13
SD,114,59,2620,62,1695,62,582,59,89,62,19,59,2,59,1,59,175,62,99,59,99,62,578,59,569,62,4,59,3,59,220,62,0.6469465648854962,62,1695,2620,0.35574572127139364,59,582,1636,0.23067776456599287,59,582,2523,0.4852941176470588,59,99,204,0.7954545454545454,62,175,220,2020-11-13
TN,6,101,19874,147,13773,129,1989,101,249,101,129,101,1,101,4,101,1702,144,524,101,498,101,1976,101,1798,101,13,101,6,101,2172,147,0.7432811656772801,129,13773,18530,0.16285924834193072,101,1989,12213,0.12387892376681614,101,1989,16056,0.2720664589823468,101,524,1926,0.8047281323877069,144,1702,2115,2020-11-13
TX,166,581,72365,579,52580,581,8495,581,1038,581,694,581,27,581,61,581,6096,581,2213,581,2092,581,8361,581,7653,581,134,581,74,581,7533,579,0.7265943480964555,579,52580,72365,0.16156333206542411,581,8495,52580,0.117391003938368,579,8495,72365,0.2937740607991504,579,2213,7533,0.8092393468737554,579,6096,7533,2020-11-13
UT,2,51,5396,52,3098,52,551,51,112,52,12,51,0,51,1,51,448,52,190,51,188,52,538,51,521,52,13,51,0,51,630,52,0.5741289844329133,52,3098,5396,0.1807149885208265,51,551,3049,0.10388386123680242,51,551,5304,0.3064516129032258,51,190,620,0.7111111111111111,52,448,630,2020-11-13
VA,26,95,18068,98,12400,98,1317,95,129,98,247,95,3,95,13,95,1370,98,319,95,254,98,1292,95,984,98,25,95,8,95,2081,98,0.6862962143015275,98,12400,18068,0.10724755700325733,95,1317,12280,0.07398876404494382,95,1317,17800,0.15831265508684864,95,319,2015,0.6583373378183566,98,1370,2081,2020-11-13
VI,0,2,168,2,90,2,2,2,0,2,0,2,0,2,0,2,9,2,1,2,1,2,2,2,2,2,0,2,0,2,20,2,0.5357142857142857,2,90,168,0.022222222222222223,2,2,90,0.011904761904761904,2,2,168,0.05,2,1,20,0.45,2,9,20,2020-11-13
VT,0,15,790,16,440,16,14,15,2,16,2,15,0,15,0,15,31,16,1,15,2,16,14,15,13,16,0,15,0,15,69,16,0.5569620253164557,16,440,790,0.03349282296650718,15,14,418,0.018617021276595744,15,14,752,0.016129032258064516,15,1,62,0.4492753623188406,16,31,69,2020-11-13
WA,11,87,13172,96,8703,96,751,94,79,96,90,94,1,94,18,94,934,96,172,94,159,96,743,94,640,96,8,94,2,94,1355,96,0.6607197084725175,96,8703,13172,0.087203901532745,94,751,8612,0.05757877788852258,94,751,13043,0.12903225806451613,94,172,1333,0.6892988929889299,96,934,1355,2020-11-13
