state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,24,194,6,32,186,6,11,218,29857,224,23068,224,607,218,30,224,236,218,2,215,25,215,2372,224,106,218,88,224,584,218,378,224,23,217,6,217,3462,224,0.772616136919315,224,23068,29857,0.026549446704282,218,607,22863,0.020590230664858,218,607,29480,0.031566408576534,218,106,3358,0.685153090699018,224,2372,3462,2021/06/16,,0,220,2,219,3,220,5,219,3,219,7,219,6,219,3,220,1,207,6,212,16,213,19,212,19,213,36,212,51,213,37,213,37,212,15,201
PR,0,4,62,0,4,62,0,65,9364,66,5801,66,57,65,3,66,6,65,2,65,6,65,463,66,13,65,12,66,40,65,25,66,17,65,4,65,652,66,0.619500213583938,66,5801,9364,0.010040514356174,65,57,5677,0.006207797865389,65,57,9182,0.020933977455717,65,13,621,0.710122699386503,66,463,652,2021/06/16,,0,66,1,66,0,66,0,66,0,66,0,66,0,66,1,66,1,66,0,65,0,65,0,65,1,65,1,65,2,65,1,65,1,65,0,65
RI,5,9,1,5,9,1,4,14,2519,15,2243,15,78,14,1,15,0,14,0,14,0,14,115,15,9,14,8,15,78,14,38,15,0,14,0,14,165,15,0.89043271139341,15,2243,2519,0.035454545454545,14,78,2200,0.031797798613942,14,78,2453,0.061224489795918,14,9,147,0.696969696969697,15,115,165,2021/06/16,,0,15,0,15,0,15,1,15,0,15,0,15,0,15,0,15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
SC,19,61,5,19,61,5,0,83,10421,85,7623,85,134,83,14,85,15,83,0,83,1,83,730,85,31,83,31,85,132,83,109,85,2,83,1,83,1136,85,0.731503694463103,85,7623,10421,0.017816779683553,83,134,7521,0.013062975238838,83,134,10258,0.028310502283105,83,31,1095,0.642605633802817,85,730,1136,2021/06/16,,0,85,0,85,1,85,3,85,1,85,4,85,2,85,3,85,0,80,0,83,3,83,2,83,1,83,2,83,1,83,1,83,3,83,2,78
SD,0,61,3,0,61,3,4,61,2818,64,1550,64,26,61,3,64,5,61,0,61,2,61,113,64,6,61,5,64,26,61,18,64,0,61,0,61,236,64,0.550035486160397,64,1550,2818,0.017015706806283,61,26,1528,0.00945110868775,61,26,2751,0.026666666666667,61,6,225,0.478813559322034,64,113,236,2021/06/16,,1,64,2,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,61,0,61,0,61,0,61,0,61,1,61,3,61,1,61,0,61
TN,4,62,77,6,60,77,2,67,20186,143,12850,127,162,67,10,67,30,67,1,67,0,67,1638,139,61,67,54,67,158,67,117,67,4,67,3,67,2387,143,0.6795346377578,127,12850,18910,0.024175496194598,67,162,6701,0.015554488718195,67,162,10415,0.040424121935056,67,61,1509,0.704213241616509,139,1638,2326,2021/06/16,,1,67,1,67,1,67,0,67,2,67,1,67,3,67,1,67,0,67,0,67,3,67,4,67,3,67,4,67,5,67,6,67,5,67,0,67
TX,90,465,49,111,444,49,54,599,68693,604,49859,604,1944,599,178,604,364,599,12,599,61,599,5333,604,539,599,501,604,1877,599,1441,604,67,599,40,599,6910,604,0.725823591923486,604,49859,68693,0.039434448343713,599,1944,49297,0.028610113616295,599,1944,67948,0.079780935464772,599,539,6756,0.77178002894356,604,5333,6910,2021/06/16,,3,604,11,604,32,604,31,604,28,604,22,604,20,604,17,604,14,604,3,599,23,598,45,599,44,598,55,598,70,599,62,599,48,598,14,599
UT,1,48,9,1,48,9,0,57,6155,58,3706,58,169,57,28,58,2,57,1,57,0,57,398,58,68,57,68,58,167,57,165,58,2,57,0,57,626,58,0.602112103980504,58,3706,6155,0.046162250751161,57,169,3661,0.027823510042805,57,169,6074,0.111842105263158,57,68,608,0.635782747603834,58,398,626,2021/06/16,,1,58,4,58,4,58,5,58,2,58,10,58,0,58,2,58,0,58,0,57,0,57,0,57,0,57,0,57,0,57,1,57,1,57,0,57
VA,14,71,20,17,68,20,22,102,17967,105,12493,105,320,102,19,105,106,102,2,102,13,102,1187,105,60,102,45,105,300,102,181,105,20,102,12,102,1896,105,0.695330327823232,105,12493,17967,0.025929827404586,102,320,12341,0.018063787750494,102,320,17715,0.032485110990796,102,60,1847,0.626054852320675,105,1187,1896,2021/06/16,,0,105,0,105,4,105,2,105,4,105,7,105,1,105,1,105,0,105,1,102,16,102,10,102,8,102,11,102,20,102,18,102,22,102,0,102
VI,2,0,0,2,0,0,0,2,168,2,76,2,1,2,0,2,0,2,0,2,0,2,7,2,0,2,0,2,1,2,1,2,0,2,0,2,20,2,0.452380952380952,2,76,168,0.013157894736842,2,1,76,0.005952380952381,2,1,168,0,2,0,20,0.35,2,7,20,2021/06/16,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
VT,1,15,1,1,15,1,0,16,1297,17,851,17,3,16,0,17,2,16,0,16,1,16,58,17,2,16,2,17,3,16,3,17,0,16,0,16,107,17,0.656129529683886,17,851,1297,0.003618817852835,16,3,829,0.002384737678855,16,3,1258,0.02020202020202,16,2,99,0.542056074766355,17,58,107,2021/06/16,,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,16,0,16,1,16,0,16,1,16,0,16,0,16,0,16,0,16
WA,11,90,2,7,94,2,12,101,14393,103,9599,103,385,101,32,103,65,101,0,101,0,101,853,103,106,101,96,103,382,101,307,103,3,101,3,101,1339,103,0.666921420134788,103,9599,14393,0.040500736377025,101,385,9506,0.026987242394504,101,385,14266,0.080608365019011,101,106,1315,0.637042569081404,103,853,1339,2021/06/16,,0,103,4,103,3,103,2,103,8,103,3,103,3,103,2,103,7,103,1,101,2,101,5,101,1,101,4,101,3,101,2,101,1,101,46,101
