state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,26130,182,18597,169,1224,210,2450,162,223,176,2937,147,0.7519831911153038,158,17537,23321,0.052857987847502286,169,983,18597,0.03949483352468427,182,1032,26130,0.06121751025991792,138,179,2924,0.7718760640108955,143,2267,2937,2020-08-10
PR,7964,61,4811,60,551,62,459,60,77,57,626,58,0.6076903423607563,59,4757,7828,0.11369777593016005,60,547,4811,0.0691863385233551,61,551,7964,0.12438625204582651,55,76,611,0.6897106109324759,57,429,622,2020-08-10
RI,1781,13,1978,13,83,13,141,13,8,13,160,13,1.1106120157215047,13,1978,1781,0.04196157735085945,13,83,1978,0.04660303200449186,13,83,1781,0.05,13,8,160,0.88125,13,141,160,2020-08-10
SC,10431,81,7961,75,1307,81,937,70,308,75,1222,67,0.8260869565217391,75,7961,9637,0.15387514131390528,75,1225,7961,0.1252995877672323,81,1307,10431,0.22831423895253683,67,279,1222,0.7422258592471358,67,907,1222,2020-08-10
SD,2276,50,1177,44,83,53,103,38,13,32,93,29,0.6279569892473118,43,1168,1860,0.045879354290569246,44,54,1177,0.03646748681898067,50,83,2276,0.06451612903225806,25,6,93,0.6559139784946236,29,61,93,2020-08-10
TN,17936,111,11842,113,1310,123,1476,86,411,119,1985,91,0.69073980875692,102,10980,15896,0.0963519675730451,113,1141,11842,0.06723907225691347,111,1206,17936,0.1924433249370277,91,382,1985,0.8070562293274531,85,1464,1814,2020-08-10
TX,62295,553,44974,545,8140,565,5193,509,2554,508,6196,482,0.7260621946089376,540,44875,61806,0.17644306814890726,544,7920,44887,0.1277755446579307,552,7947,62195,0.38426453819840367,470,2359,6139,0.790510006455778,480,4898,6196,2020-08-10
UT,5326,51,3078,47,231,52,351,43,65,42,553,39,0.5871804654711942,47,3078,5242,0.0737491877842755,47,227,3078,0.042996620352985356,51,229,5326,0.10849909584086799,38,60,553,0.6148282097649186,38,340,553,2020-08-10
VA,17523,85,9959,76,1371,92,758,72,191,72,1413,74,0.6295090340292409,71,9860,15663,0.11246109047093082,76,1120,9959,0.07515836329395652,85,1317,17523,0.1357361963190184,67,177,1304,0.5720858895705522,69,746,1304,2020-08-10
VI,188,2,91,2,5,2,10,2,3,2,20,2,0.48404255319148937,2,91,188,0.054945054945054944,2,5,91,0.026595744680851064,2,5,188,0.15,2,3,20,0.5,2,10,20,2020-08-10
