state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-02-19,"61,694","61,662","61,726",8.80,8.78,8.83,"703,860","703,410","704,310"
CW,2021-02-20,"59,336","59,305","59,368",8.50,8.46,8.54,"700,903","700,318","701,487"
CW,2021-02-21,"58,571","58,539","58,603",8.42,8.40,8.45,"698,332","697,855","698,809"
CW,2021-02-22,"58,870","58,843","58,897",8.42,8.39,8.46,"702,014","701,591","702,437"
CW,2021-02-23,"58,280","58,252","58,307",8.29,8.25,8.32,"706,494","706,067","706,921"
CW,2021-02-24,"56,374","56,345","56,403",8.01,7.92,8.10,"707,188","706,083","708,292"
CW,2021-02-25,"54,568","54,493","54,643",7.76,7.66,7.86,"706,405","705,540","707,270"
CW,2021-02-26,"52,511","52,418","52,605",7.47,7.34,7.59,"705,611","704,552","706,670"
CW,2021-02-27,"50,548","50,438","50,657",7.21,7.07,7.36,"703,044","701,910","704,178"
CW,2021-02-28,"49,671","49,566","49,777",7.12,6.98,7.26,"699,565","698,405","700,725"
CW,2021-03-01,"49,787","49,687","49,888",7.14,7.00,7.27,"699,840","698,745","700,935"
CW,2021-03-02,"49,186","49,095","49,278",7.02,6.90,7.14,"702,964","701,997","703,932"
CW,2021-03-03,"47,689","47,614","47,763",6.79,6.69,6.88,"705,251","704,461","706,041"
CW,2021-03-04,"46,218","46,009","46,427",6.57,6.34,6.81,"705,393","705,046","705,739"
CW,2021-03-05,"44,603","44,574","44,632",6.36,6.32,6.39,"704,057","703,620","704,493"
CW,2021-03-06,"43,306","43,253","43,359",6.20,6.14,6.27,"700,401","699,991","700,812"
CW,2021-03-07,"42,558","42,524","42,593",6.12,6.08,6.16,"697,575","697,179","697,971"
CW,2021-03-08,"43,043","43,011","43,074",6.19,6.15,6.23,"698,082","697,752","698,413"
CW,2021-03-09,"42,889","42,838","42,941",6.13,6.07,6.19,"701,996","701,676","702,317"
CW,2021-03-10,"41,773","41,741","41,805",5.95,5.93,5.98,"704,208","703,775","704,642"
CW,2021-03-11,"41,036","40,996","41,075",5.86,5.83,5.89,"703,513","703,161","703,864"
CW,2021-03-12,"40,743","40,703","40,784",5.82,5.79,5.86,"702,692","702,360","703,023"
CW,2021-03-13,"39,680","39,626","39,733",5.70,5.63,5.77,"699,762","698,987","700,536"
CW,2021-03-14,"39,290","39,247","39,332",5.67,5.62,5.71,"696,686","696,219","697,154"
CW,2021-03-15,"40,001","39,959","40,044",5.77,5.72,5.81,"697,111","696,698","697,524"
CW,2021-03-16,"40,353","40,303","40,404",5.78,5.73,5.83,"701,529","701,153","701,905"
CW,2021-03-17,"39,841","39,787","39,894",5.69,5.63,5.75,"703,106","702,664","703,548"
CW,2021-03-18,"39,430","39,364","39,496",5.63,5.56,5.71,"703,343","702,811","703,875"
CW,2021-03-19,"39,169","39,087","39,251",5.61,5.49,5.72,"701,897","700,844","702,950"
CW,2021-03-20,"38,237","37,815","38,659",5.50,4.92,6.08,"699,006","695,061","702,950"
CW,2021-03-21,"38,963","38,399","39,527",5.60,4.82,6.38,"699,088","693,631","704,545"
AK,2021-02-19,33,33,33,2.25,2.25,2.25,"1,467","1,467","1,467"
AL,2021-02-19,"1,038","1,038","1,038",7.47,7.47,7.47,"13,893","13,893","13,893"
AR,2021-02-19,655,650,660,8.67,8.21,9.13,"7,556","7,537","7,575"
AZ,2021-02-19,"1,622","1,622","1,622",11.35,11.35,11.35,"14,304","14,304","14,304"
CA,2021-02-19,"7,680","7,680","7,680",12.72,12.69,12.74,"60,390","60,368","60,412"
CO,2021-02-19,492,492,492,4.87,4.87,4.87,"10,113","10,113","10,113"
CT,2021-02-19,598,598,598,7.68,7.68,7.68,"7,786","7,786","7,786"
DC,2021-02-19,253,253,253,8.54,8.54,8.54,"2,961","2,961","2,961"
DE,2021-02-19,184,184,184,7.07,7.07,7.07,"2,602","2,602","2,602"
FL,2021-02-19,"4,856","4,856","4,856",9.40,9.40,9.40,"52,622","52,622","52,622"
GA,2021-02-19,"2,959","2,949","2,969",15.18,14.64,15.71,"19,496","19,381","19,611"
HI,2021-02-19,57,57,57,2.30,2.30,2.30,"2,480","2,480","2,480"
IA,2021-02-19,237,237,237,3.13,3.13,3.13,"7,678","7,678","7,678"
ID,2021-02-19,142,142,142,4.42,4.42,4.42,"3,214","3,214","3,214"
IL,2021-02-19,"1,663","1,663","1,663",5.74,5.74,5.74,"28,968","28,968","28,968"
IN,2021-02-19,898,898,898,5.43,5.43,5.43,"16,544","16,544","16,544"
KS,2021-02-19,394,394,394,5.03,5.03,5.03,"7,827","7,827","7,827"
KY,2021-02-19,934,934,934,7.60,7.60,7.60,"12,295","12,295","12,295"
LA,2021-02-19,695,695,695,5.70,5.70,5.70,"12,439","12,439","12,439"
MA,2021-02-19,885,885,885,5.20,5.20,5.20,"17,028","17,028","17,028"
MD,2021-02-19,"1,247","1,223","1,271",12.84,12.84,12.84,"9,713","9,517","9,909"
ME,2021-02-19,98,98,98,3.42,3.42,3.42,"2,867","2,867","2,867"
MI,2021-02-19,848,848,848,4.05,4.01,4.09,"20,928","20,906","20,950"
MN,2021-02-19,367,367,367,3.85,3.85,3.85,"9,529","9,529","9,529"
AK,2021-02-20,50,50,50,3.41,3.41,3.41,"1,466","1,466","1,466"
AL,2021-02-20,"1,009","1,009","1,009",7.27,7.27,7.27,"13,884","13,884","13,884"
AR,2021-02-20,632,628,636,8.42,8.05,8.79,"7,508","7,493","7,523"
AZ,2021-02-20,"1,552","1,552","1,552",10.96,10.96,10.96,"14,175","14,175","14,175"
CA,2021-02-20,"7,228","7,216","7,239",12.06,11.68,12.45,"59,906","59,586","60,226"
CO,2021-02-20,498,498,498,4.92,4.92,4.92,"10,116","10,116","10,116"
CT,2021-02-20,588,588,588,7.56,7.56,7.56,"7,774","7,774","7,774"
DC,2021-02-20,248,248,248,8.38,8.38,8.38,"2,961","2,961","2,961"
DE,2021-02-20,179,179,179,6.86,6.86,6.86,"2,609","2,512","2,706"
FL,2021-02-20,"4,723","4,723","4,723",9.17,9.17,9.17,"52,474","52,474","52,474"
GA,2021-02-20,"2,796","2,792","2,799",14.40,14.20,14.59,"19,417","19,374","19,460"
HI,2021-02-20,54,54,54,2.17,2.15,2.20,"2,486","2,484","2,488"
IA,2021-02-20,235,235,235,3.10,3.10,3.10,"7,690","7,690","7,690"
ID,2021-02-20,140,140,140,4.42,4.42,4.42,"3,165","3,165","3,165"
IL,2021-02-20,"1,572","1,565","1,579",5.44,5.44,5.44,"28,921","28,921","28,921"
IN,2021-02-20,844,842,846,5.09,5.09,5.09,"16,589","16,589","16,589"
KS,2021-02-20,374,372,375,4.78,4.78,4.78,"7,810","7,810","7,810"
KY,2021-02-20,919,918,920,7.47,7.47,7.47,"12,295","12,295","12,295"
LA,2021-02-20,656,656,656,5.38,5.38,5.38,"12,423","12,423","12,423"
MA,2021-02-20,890,890,890,5.25,5.25,5.25,"16,954","16,954","16,954"
MD,2021-02-20,"1,219","1,195","1,243",12.54,12.54,12.54,"9,719","9,523","9,915"
ME,2021-02-20,95,95,95,3.31,3.31,3.31,"2,871","2,871","2,871"
MI,2021-02-20,854,854,854,4.09,4.08,4.11,"20,858","20,854","20,862"
MN,2021-02-20,335,335,335,3.55,3.55,3.55,"9,444","9,444","9,444"
AK,2021-02-21,39,39,39,2.67,2.67,2.67,"1,462","1,462","1,462"
AL,2021-02-21,995,995,995,7.16,7.16,7.16,"13,896","13,896","13,896"
AR,2021-02-21,628,627,630,8.41,8.41,8.41,"7,477","7,477","7,477"
AZ,2021-02-21,"1,503","1,502","1,504",10.72,10.72,10.72,"14,029","14,029","14,029"
CA,2021-02-21,"7,084","7,079","7,090",11.93,11.77,12.10,"59,370","59,234","59,506"
CO,2021-02-21,521,521,521,5.21,5.21,5.21,"10,000","10,000","10,000"
