state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1,23,0,1,23,0,0,24,1668,24,999,24,45,24,4,24,4,24,0,24,0,24,93,24,9,24,8,24,44,24,41,24,1,24,0,24,131,24,0.5989208633093526,24,999,1668,0.04504504504504504,24,45,999,0.02697841726618705,24,45,1668,0.06870229007633588,24,9,131,0.7099236641221374,24,93,131,2021-02-20
AL,30,76,10,35,69,12,11,114,15449,116,11972,116,942,114,104,116,107,114,3,114,13,114,1398,116,267,114,253,116,923,114,813,116,19,114,12,114,1636,116,0.7749368891190368,116,11972,15449,0.07923956931359354,114,942,11888,0.061645180289248085,114,942,15281,0.1669793621013133,114,267,1599,0.8545232273838631,116,1398,1636,2021-02-20
AR,16,89,2,19,86,2,11,105,9288,107,6666,107,614,105,55,107,67,105,1,105,8,105,773,107,183,105,167,107,592,105,488,107,22,105,14,105,1004,107,0.7177002583979328,107,6666,9288,0.0924281198253801,105,614,6643,0.06639991348545474,105,614,9247,0.18541033434650456,105,183,987,0.7699203187250996,107,773,1004,2021-02-20
AZ,23,90,3,27,86,3,31,113,17135,116,12192,116,1451,113,151,116,165,113,3,113,6,113,1313,116,351,113,291,116,1433,113,1117,116,18,113,12,113,2232,116,0.7115261161365626,116,12192,17135,0.12113875438303556,113,1451,11978,0.08634848845512973,113,1451,16804,0.162877030162413,113,351,2155,0.5882616487455197,116,1313,2232,2021-02-20
CA,107,285,13,130,263,12,37,397,63987,405,48283,405,6751,396,603,405,559,397,13,396,12,396,6011,404,1789,396,1741,404,6648,396,6097,404,103,396,89,396,7685,404,0.7545751480769531,405,48283,63987,0.14170269929893792,396,6751,47642,0.10708563996002728,396,6751,63043,0.24048931307971502,396,1789,7439,0.7821730644111906,404,6011,7685,2021-02-20
CO,7,81,13,5,83,13,7,99,13586,101,9196,101,627,99,81,101,48,99,1,99,11,99,1049,101,195,99,190,101,605,99,543,101,22,99,8,99,1636,101,0.6768732518769321,101,9196,13586,0.06889352818371608,99,627,9101,0.046520255230746405,99,627,13478,0.12164691203992514,99,195,1603,0.64119804400978,101,1049,1636,2021-02-20
CT,4,32,1,4,32,1,19,36,8076,37,6448,37,582,36,89,37,43,36,1,36,0,36,613,37,117,36,111,37,580,36,490,37,2,36,2,36,1067,37,0.7984150569588906,37,6448,8076,0.09113686188537426,36,582,6386,0.07288666249217282,36,582,7985,0.1118546845124283,36,117,1046,0.5745079662605436,37,613,1067,2021-02-20
DC,0,12,2,0,12,2,9,12,3306,13,2684,13,279,13,24,14,102,13,2,13,17,13,296,14,55,12,54,13,251,13,226,14,28,13,9,13,343,14,0.8118572292800968,13,2684,3306,0.09586393505991496,12,248,2587,0.0779874213836478,12,248,3180,0.20446096654275092,12,55,269,0.8629737609329446,14,296,343,2021-02-20
DE,0,13,1,0,13,1,1,13,3059,14,2200,14,189,13,19,14,41,13,0,13,0,13,159,14,25,13,23,14,188,13,166,14,1,13,1,13,198,14,0.7191892775416803,14,2200,3059,0.0867370353373107,13,189,2179,0.062438057482656094,13,189,3027,0.13157894736842105,13,25,190,0.803030303030303,14,159,198,2021-02-20
FL,12,236,15,25,223,15,73,257,57989,263,46180,263,4714,257,693,263,264,257,17,257,9,257,5208,263,992,257,950,263,4674,257,4235,263,40,257,35,257,6439,263,0.7963579299522323,263,46180,57989,0.10358618264920454,257,4714,45508,0.08266839696262912,257,4714,57023,0.1591018444266239,257,992,6235,0.808821245535021,263,5208,6439,2021-02-20
GA,36,121,9,38,118,10,30,163,22363,166,18099,166,2645,163,426,166,176,163,12,163,36,163,2221,166,708,163,647,166,2596,163,2182,166,49,163,20,163,2735,166,0.8093279077046908,166,18099,22363,0.14786449016100178,163,2645,17888,0.11994920865266881,163,2645,22051,0.2642777155655095,163,708,2679,0.8120658135283364,166,2221,2735,2021-02-20
HI,1,25,0,2,24,0,0,26,2653,26,1851,26,138,26,6,26,8,26,0,26,1,26,134,26,8,26,7,26,47,26,38,26,91,26,0,26,226,26,0.6977007161703732,26,1851,2653,0.07455429497568881,26,138,1851,0.05201658499811534,26,138,2653,0.035398230088495575,26,8,226,0.5929203539823009,26,134,226,2021-02-20
IA,3,75,48,2,75,49,3,124,7364,126,5130,126,231,124,43,126,6,124,1,124,2,124,445,126,54,124,54,126,226,124,224,126,5,124,3,124,676,126,0.6966322650733298,126,5130,7364,0.045733518115224706,124,231,5051,0.03180941889286698,124,231,7262,0.0821917808219178,124,54,657,0.658284023668639,126,445,676,2021-02-20
