state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2021-01-14,"70,041","70,033","70,049",79.14,79.11,79.17,"88,507","88,496","88,518"
CW,2021-01-15,"70,025","69,997","70,053",79.20,79.12,79.28,"88,415","88,394","88,436"
CW,2021-01-16,"69,055","69,021","69,089",78.30,78.16,78.44,"88,194","88,140","88,247"
CW,2021-01-17,"67,909","67,889","67,930",77.12,77.06,77.19,"88,052","88,030","88,073"
CW,2021-01-18,"67,880","67,868","67,892",77.08,77.04,77.12,"88,064","88,052","88,077"
CW,2021-01-19,"69,114","69,098","69,130",78.45,78.41,78.50,"88,097","88,086","88,108"
CW,2021-01-20,"69,827","69,780","69,874",79.14,79.00,79.28,"88,234","88,198","88,270"
CW,2021-01-21,"69,442","69,410","69,474",78.79,78.70,78.89,"88,132","88,107","88,156"
CW,2021-01-22,"69,369","69,355","69,382",78.78,78.73,78.82,"88,058","88,042","88,073"
CW,2021-01-23,"68,277","68,258","68,296",77.81,77.75,77.87,"87,747","87,728","87,766"
CW,2021-01-24,"66,610","66,595","66,624",76.27,76.23,76.31,"87,335","87,327","87,343"
CW,2021-01-25,"66,689","66,662","66,716",76.18,76.11,76.25,"87,545","87,542","87,548"
CW,2021-01-26,"68,485","68,479","68,491",77.87,77.86,77.89,"87,942","87,936","87,949"
CW,2021-01-27,"68,581","68,552","68,610",78.11,77.99,78.23,"87,796","87,749","87,843"
CW,2021-01-28,"68,144","68,135","68,154",77.61,77.58,77.64,"87,804","87,794","87,814"
CW,2021-01-29,"67,842","67,823","67,860",77.28,77.22,77.33,"87,790","87,776","87,804"
CW,2021-01-30,"66,190","66,156","66,225",75.95,75.84,76.07,"87,146","87,111","87,181"
CW,2021-01-31,"65,025","64,989","65,061",74.98,74.85,75.11,"86,725","86,682","86,769"
CW,2021-02-01,"64,718","64,653","64,783",74.59,74.41,74.77,"86,768","86,748","86,788"
CW,2021-02-02,"66,183","66,125","66,241",76.06,75.90,76.21,"87,019","87,015","87,023"
CW,2021-02-03,"66,260","66,204","66,317",76.29,76.10,76.47,"86,859","86,802","86,916"
CW,2021-02-04,"66,006","65,979","66,032",75.97,75.89,76.05,"86,882","86,861","86,903"
CW,2021-02-05,"65,804","65,794","65,815",75.83,75.79,75.87,"86,780","86,769","86,790"
CW,2021-02-06,"64,652","64,642","64,663",74.93,74.89,74.96,"86,288","86,278","86,298"
