state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,27,192,6,30,189,6,13,219,30726,225,25569,225,616,219,57,225,282,219,1,217,29,217,2676,225,108,219,85,225,591,219,370,225,25,219,8,219,3714,225,0.832161687170475,225,25569,30726,0.024315149601326,219,616,25334,0.020300553651463,219,616,30344,0.02994177987247,219,108,3607,0.720516962843296,225,2676,3714,2021/06/19,,1,223,4,222,9,223,3,222,10,222,7,223,5,222,6,223,12,212,1,215,23,216,21,215,30,216,37,215,61,216,52,216,49,215,8,205
PR,7,58,1,7,58,1,1,65,9302,66,5701,66,62,65,5,66,12,65,0,65,9,65,438,66,11,65,11,66,48,65,26,66,14,65,3,65,669,66,0.612878950763277,66,5701,9302,0.011121076233184,65,62,5575,0.006797500274093,65,62,9121,0.017241379310345,65,11,638,0.654708520179372,66,438,669,2021/06/19,,0,66,0,66,2,66,2,66,1,66,0,66,0,66,0,66,0,66,1,65,1,65,1,65,4,65,1,65,1,65,2,65,1,65,0,65
RI,5,8,2,5,8,2,4,14,2559,15,2349,15,73,14,0,15,0,14,0,14,0,14,127,15,7,14,7,15,73,14,35,15,0,14,0,14,163,15,0.917936694021102,15,2349,2559,0.031711555169418,14,73,2302,0.029340836012862,14,73,2488,0.048275862068966,14,7,145,0.779141104294479,15,127,163,2021/06/19,,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
SC,16,62,5,16,62,5,0,81,10213,83,8033,83,135,81,12,83,25,81,0,81,2,81,758,83,37,81,32,83,133,81,106,83,2,81,0,81,1139,83,0.786546558308039,83,8033,10213,0.017032551097653,81,135,7926,0.013432835820896,81,135,10050,0.033697632058288,81,37,1098,0.665496049165935,83,758,1139,2021/06/19,,0,83,1,83,2,83,2,83,4,83,1,83,1,83,1,83,0,83,0,81,3,81,5,81,3,81,4,81,2,81,3,81,2,81,3,81
SD,1,61,3,1,61,3,2,62,2832,65,1643,65,18,62,7,65,3,62,0,62,5,62,123,65,6,62,6,65,16,62,11,65,2,62,0,62,234,65,0.580155367231638,65,1643,2832,0.011152416356877,62,18,1614,0.006509945750452,62,18,2765,0.026905829596413,62,6,223,0.525641025641026,65,123,234,2021/06/19,,0,65,1,65,1,65,0,65,1,65,2,65,0,65,1,65,1,65,0,62,0,62,0,62,0,62,0,62,0,62,0,62,3,62,0,62
TN,6,95,41,27,74,41,2,102,20426,142,13609,129,309,102,21,102,25,102,2,102,0,102,1678,139,87,102,80,102,303,102,247,102,6,102,6,102,2386,142,0.700519894991507,129,13609,19427,0.024344126683999,102,309,12693,0.017416300304363,102,309,17742,0.03885663242519,102,87,2239,0.713738834538494,139,1678,2351,2021/06/19,,0,102,3,102,4,102,0,102,2,102,4,102,3,102,2,102,3,102,0,102,2,102,1,102,5,102,3,102,7,102,3,101,1,102,3,102
TX,81,430,81,101,410,81,47,587,69322,592,50932,592,2038,587,219,592,402,587,7,587,61,587,5441,592,547,587,500,592,1961,587,1459,592,77,587,46,587,6584,592,0.734716251694989,592,50932,69322,0.040507234854508,587,2038,50312,0.029713219320882,587,2038,68589,0.0850699844479,587,547,6430,0.826397326852977,592,5441,6584,2021/06/19,,4,592,21,592,27,592,37,592,31,592,35,592,27,592,21,592,16,592,2,587,39,587,34,587,46,587,64,587,74,587,70,587,52,587,21,587
UT,1,49,9,1,49,9,0,58,5901,59,3640,59,170,58,32,59,2,58,0,58,0,58,411,59,63,58,61,59,167,58,159,59,3,58,0,58,631,59,0.616844602609727,59,3640,5901,0.047486033519553,58,170,3580,0.029209621993127,58,170,5820,0.102773246329527,58,63,613,0.6513470681458,59,411,631,2021/06/19,,0,59,6,59,5,59,2,59,4,59,8,59,6,59,1,59,0,59,0,58,0,58,0,58,1,58,0,58,0,58,0,58,1,58,0,58
VA,15,70,20,17,68,20,22,102,17975,105,13506,105,286,102,23,105,135,102,2,102,11,102,1322,105,67,102,53,105,280,102,182,105,6,102,2,102,1917,105,0.751376912378303,105,13506,17975,0.021431247658299,102,286,13345,0.016137222817807,102,286,17723,0.035867237687366,102,67,1868,0.68961919666145,105,1322,1917,2021/06/19,,0,105,4,105,3,105,5,105,3,105,2,105,4,105,2,105,0,105,0,102,11,102,8,102,13,102,23,102,25,102,32,102,23,102,0,102
VI,2,0,0,2,0,0,0,2,168,2,82,2,4,2,2,2,0,2,0,2,0,2,8,2,3,2,3,2,4,2,4,2,0,2,0,2,20,2,0.488095238095238,2,82,168,0.048780487804878,2,4,82,0.023809523809524,2,4,168,0.15,2,3,20,0.4,2,8,20,2021/06/19,,0,2,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
