state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/03/02,60897,60763,61031,71.55,71.05,72.04,85115,84951,85279,
CW,2021/03/03,61238,61133,61344,71.84,71.45,72.23,85241,85112,85370,
CW,2021/03/04,60922,60913,60932,71.7,71.67,71.74,84967,84956,84978,
CW,2021/03/05,60859,60818,60899,71.5,71.28,71.71,85121,85029,85213,
CW,2021/03/06,59482,59428,59535,70.18,69.96,70.41,84754,84670,84839,
CW,2021/03/07,57874,57787,57961,68.62,68.28,68.95,84344,84231,84458,
CW,2021/03/08,57623,57603,57643,68.4,68.35,68.46,84238,84231,84246,
CW,2021/03/09,59763,59691,59836,70.71,70.5,70.91,84524,84515,84534,
CW,2021/03/10,60090,60048,60131,71.07,70.9,71.25,84546,84482,84610,
CW,2021/03/11,60119,60115,60123,71.12,71.11,71.14,84527,84521,84533,
CW,2021/03/12,59673,59662,59685,70.64,70.59,70.68,84478,84464,84492,
CW,2021/03/13,58345,58259,58432,69.32,69.06,69.57,84172,84141,84203,
CW,2021/03/14,56517,56427,56606,67.22,66.96,67.49,84074,84044,84104,
CW,2021/03/15,56508,56421,56596,67.46,67.16,67.76,83764,83684,83843,
CW,2021/03/16,58738,58695,58782,69.93,69.8,70.06,84000,83978,84023,
CW,2021/03/17,59371,59349,59394,70.65,70.57,70.72,84037,84016,84058,
CW,2021/03/18,59218,59204,59233,70.51,70.46,70.56,83986,83971,84001,
CW,2021/03/19,59196,59177,59214,70.38,70.27,70.48,84112,84067,84158,
CW,2021/03/20,57897,57882,57911,69.1,69.03,69.17,83787,83761,83813,
CW,2021/03/21,56125,56107,56144,67.27,67.2,67.35,83430,83403,83457,
CW,2021/03/22,56159,56118,56201,67.26,67.11,67.41,83500,83456,83544,
CW,2021/03/23,58764,58731,58798,70.11,70,70.21,83821,83798,83844,
CW,2021/03/24,59386,59321,59451,70.62,70.39,70.85,84090,84022,84159,
CW,2021/03/25,59340,59300,59380,70.64,70.51,70.77,84006,83973,84040,
CW,2021/03/26,59171,59160,59182,70.51,70.47,70.55,83917,83901,83933,
CW,2021/03/27,57752,57718,57787,69.08,68.95,69.21,83604,83562,83646,
CW,2021/03/28,56184,56132,56236,67.37,67.15,67.59,83396,83313,83479,
CW,2021/03/29,56442,56394,56489,67.74,67.53,67.94,83324,83247,83402,
CW,2021/03/30,58620,58549,58691,69.99,69.7,70.27,83758,83661,83856,
CW,2021/03/31,59310,59223,59397,70.69,70.3,71.08,83904,83752,84055,
CW,2021/04/01,58771,58415,59127,69.87,68.5,71.25,84109,83640,84578,
AL,2021/03/02,1319,1319,1319,82.8,82.8,82.8,1593,1593,1593,POINT (-86.844516 32.756889)
AZ,2021/03/02,1245,1245,1245,57.45,57.45,57.45,2167,2167,2167,POINT (-111.664616 34.293239)
CA,2021/03/02,5479,5479,5479,75.19,75.19,75.19,7287,7287,7287,POINT (-119.662127 37.211164)
CT,2021/03/02,599,599,599,57.32,57.32,57.32,1045,1045,1045,POINT (-72.738288 41.575155)
DC,2021/03/02,264,264,264,81.23,81.23,81.23,325,325,325,POINT (-77.016275 38.904785)
GA,2021/03/02,2199,2065,2333,80.14,64.87,95.4,2744,2580,2908,POINT (-83.426574 32.638481)
ID,2021/03/02,167,167,167,55.12,55.12,55.12,303,303,303,POINT (-114.659366 44.389073)
IN,2021/03/02,1425,1425,1425,65.49,65.49,65.49,2176,2176,2176,POINT (-86.2818 39.919991)
KS,2021/03/02,584,584,584,72.46,72.46,72.46,806,806,806,POINT (-98.38018 38.484729)
LA,2021/03/02,1235,1235,1235,69.38,69.38,69.38,1780,1780,1780,POINT (-91.840238 30.921314)
MD,2021/03/02,986,979,993,73.97,72.03,75.91,1333,1321,1345,POINT (-76.687282 38.946466)
MI,2021/03/02,1962,1962,1962,74.01,74.01,74.01,2651,2651,2651,POINT (-85.730977 44.874798)
AL,2021/03/03,1362,1362,1362,85.71,85.71,85.71,1589,1589,1589,POINT (-86.844516 32.756889)
AZ,2021/03/03,1252,1252,1252,57.25,57.25,57.25,2187,2187,2187,POINT (-111.664616 34.293239)
CA,2021/03/03,5504,5503,5506,75.25,74.98,75.52,7315,7304,7326,POINT (-119.662127 37.211164)
CT,2021/03/03,610,610,610,58.15,58.15,58.15,1049,1049,1049,POINT (-72.738288 41.575155)
DC,2021/03/03,274,274,274,84.57,84.57,84.57,324,324,324,POINT (-77.016275 38.904785)
GA,2021/03/03,2250,2146,2354,81.67,69.85,93.49,2755,2628,2882,POINT (-83.426574 32.638481)
ID,2021/03/03,167,167,167,55.3,55.3,55.3,302,302,302,POINT (-114.659366 44.389073)
IN,2021/03/03,1471,1471,1471,67.57,67.57,67.57,2177,2177,2177,POINT (-86.2818 39.919991)
KS,2021/03/03,601,601,601,75.31,75.31,75.31,798,798,798,POINT (-98.38018 38.484729)
LA,2021/03/03,1245,1245,1245,69.79,69.79,69.79,1784,1784,1784,POINT (-91.840238 30.921314)
MD,2021/03/03,1001,1001,1001,74.31,74.31,74.31,1347,1347,1347,POINT (-76.687282 38.946466)
MI,2021/03/03,1986,1973,2000,75.25,75.25,75.25,2640,2640,2640,POINT (-85.730977 44.874798)
AL,2021/03/04,1328,1328,1328,83.05,83.05,83.05,1599,1599,1599,POINT (-86.844516 32.756889)
AZ,2021/03/04,1248,1247,1250,58.81,58.61,59.01,2123,2121,2125,POINT (-111.664616 34.293239)
CA,2021/03/04,5408,5401,5414,74.63,74.32,74.94,7246,7237,7255,POINT (-119.662127 37.211164)
CT,2021/03/04,611,611,611,58.36,58.36,58.36,1047,1047,1047,POINT (-72.738288 41.575155)
DC,2021/03/04,275,275,275,85.4,85.4,85.4,322,322,322,POINT (-77.016275 38.904785)
GA,2021/03/04,2295,2295,2295,83.64,83.64,83.64,2744,2744,2744,POINT (-83.426574 32.638481)
ID,2021/03/04,175,175,175,57.95,57.95,57.95,302,302,302,POINT (-114.659366 44.389073)
IN,2021/03/04,1431,1431,1431,65.73,65.73,65.73,2177,2177,2177,POINT (-86.2818 39.919991)
KS,2021/03/04,596,596,597,75.29,74.72,75.87,792,790,794,POINT (-98.38018 38.484729)
LA,2021/03/04,1224,1223,1225,69.11,69.11,69.11,1771,1771,1771,POINT (-91.840238 30.921314)
MD,2021/03/04,995,995,995,75.21,75.21,75.21,1323,1323,1323,POINT (-76.687282 38.946466)
MI,2021/03/04,2002,1998,2006,75.29,75.29,75.29,2659,2659,2659,POINT (-85.730977 44.874798)
AL,2021/03/05,1334,1334,1334,83.79,83.79,83.79,1592,1592,1592,POINT (-86.844516 32.756889)
AZ,2021/03/05,1254,1254,1254,58.22,58.04,58.4,2154,2151,2157,POINT (-111.664616 34.293239)
CA,2021/03/05,5430,5428,5431,75.24,75.18,75.3,7216,7216,7216,POINT (-119.662127 37.211164)
CT,2021/03/05,586,586,586,55.97,55.97,55.97,1047,1047,1047,POINT (-72.738288 41.575155)
DC,2021/03/05,267,267,267,84.76,84.76,84.76,315,315,315,POINT (-77.016275 38.904785)
GA,2021/03/05,2288,2288,2288,83.29,83.29,83.29,2747,2747,2747,POINT (-83.426574 32.638481)
ID,2021/03/05,186,185,188,61.75,60.33,63.18,302,300,304,POINT (-114.659366 44.389073)
IN,2021/03/05,1453,1453,1453,66.84,66.84,66.84,2174,2174,2174,POINT (-86.2818 39.919991)
KS,2021/03/05,585,584,585,73.45,72.88,74.02,796,794,798,POINT (-98.38018 38.484729)
LA,2021/03/05,1222,1222,1222,68.88,68.88,68.88,1774,1774,1774,POINT (-91.840238 30.921314)
MD,2021/03/05,997,997,997,74.57,74.57,74.57,1337,1337,1337,POINT (-76.687282 38.946466)
MI,2021/03/05,1963,1963,1963,73.77,73.77,73.77,2661,2661,2661,POINT (-85.730977 44.874798)
AL,2021/03/06,1277,1277,1277,80.57,80.57,80.57,1585,1585,1585,POINT (-86.844516 32.756889)
AZ,2021/03/06,1205,1205,1205,56.31,56.17,56.45,2140,2138,2142,POINT (-111.664616 34.293239)
CA,2021/03/06,5309,5285,5333,74.17,72.35,75.99,7158,7090,7226,POINT (-119.662127 37.211164)
CT,2021/03/06,585,585,585,55.93,55.93,55.93,1046,1046,1046,POINT (-72.738288 41.575155)
DC,2021/03/06,279,279,279,84.04,84.04,84.04,332,332,332,POINT (-77.016275 38.904785)
GA,2021/03/06,2241,2196,2286,81.7,77.02,86.38,2743,2698,2788,POINT (-83.426574 32.638481)
ID,2021/03/06,189,189,189,64.29,59.58,68.99,294,285,303,POINT (-114.659366 44.389073)
IN,2021/03/06,1415,1414,1416,65.09,65.09,65.09,2174,2174,2174,POINT (-86.2818 39.919991)
KS,2021/03/06,541,541,541,68.57,68.57,68.57,789,789,789,POINT (-98.38018 38.484729)
LA,2021/03/06,1188,1188,1188,67.12,67.12,67.12,1770,1770,1770,POINT (-91.840238 30.921314)
MD,2021/03/06,984,984,984,73.71,73.71,73.71,1335,1335,1335,POINT (-76.687282 38.946466)
MI,2021/03/06,1932,1916,1947,72.53,70.81,74.26,2663,2646,2680,POINT (-85.730977 44.874798)
AL,2021/03/07,1248,1248,1248,78.39,78.39,78.39,1592,1592,1592,POINT (-86.844516 32.756889)
AZ,2021/03/07,1150,1149,1151,54.02,54.02,54.02,2129,2129,2129,POINT (-111.664616 34.293239)
CA,2021/03/07,5170,5146,5193,72.8,70.98,74.62,7101,7033,7169,POINT (-119.662127 37.211164)
CT,2021/03/07,556,554,557,53.11,52.5,53.71,1046,1043,1049,POINT (-72.738288 41.575155)
DC,2021/03/07,257,257,257,78.35,78.35,78.35,328,328,328,POINT (-77.016275 38.904785)
GA,2021/03/07,2219,2217,2221,80.81,80.6,81.02,2746,2744,2748,POINT (-83.426574 32.638481)
ID,2021/03/07,180,180,180,60,60,60,300,300,300,POINT (-114.659366 44.389073)
IN,2021/03/07,1361,1360,1362,62.83,60.84,64.83,2166,2139,2193,POINT (-86.2818 39.919991)
KS,2021/03/07,542,540,543,68.89,68.89,68.89,786,786,786,POINT (-98.38018 38.484729)
LA,2021/03/07,1186,1186,1186,66.93,66.93,66.93,1772,1772,1772,POINT (-91.840238 30.921314)
MD,2021/03/07,947,947,947,72.51,72.51,72.51,1306,1306,1306,POINT (-76.687282 38.946466)
MI,2021/03/07,1826,1816,1835,71.67,70.46,72.89,2547,2535,2559,POINT (-85.730977 44.874798)
AL,2021/03/08,1288,1288,1288,81.06,81.06,81.06,1589,1589,1589,POINT (-86.844516 32.756889)
AZ,2021/03/08,1113,1113,1113,51.84,51.84,51.84,2147,2147,2147,POINT (-111.664616 34.293239)
CA,2021/03/08,5127,5127,5127,72.47,72.44,72.49,7075,7074,7076,POINT (-119.662127 37.211164)
CT,2021/03/08,566,566,566,54.11,54.11,54.11,1046,1046,1046,POINT (-72.738288 41.575155)
DC,2021/03/08,255,255,255,80.19,80.19,80.19,318,318,318,POINT (-77.016275 38.904785)
GA,2021/03/08,2180,2180,2180,79.27,79.27,79.27,2750,2750,2750,POINT (-83.426574 32.638481)
ID,2021/03/08,187,187,187,62.33,62.33,62.33,300,300,300,POINT (-114.659366 44.389073)
IN,2021/03/08,1283,1283,1283,59.4,59.4,59.4,2160,2160,2160,POINT (-86.2818 39.919991)
KS,2021/03/08,534,534,534,68.16,68.16,68.16,784,783,784,POINT (-98.38018 38.484729)
LA,2021/03/08,1163,1163,1163,65.36,65.36,65.36,1780,1778,1781,POINT (-91.840238 30.921314)
MD,2021/03/08,924,924,924,71.46,71.46,71.46,1293,1293,1293,POINT (-76.687282 38.946466)
MI,2021/03/08,1807,1806,1809,71.13,71.13,71.13,2541,2541,2541,POINT (-85.730977 44.874798)
AL,2021/03/09,1325,1325,1325,83.02,83.02,83.02,1596,1596,1596,POINT (-86.844516 32.756889)
AZ,2021/03/09,1156,1156,1156,53.49,53.49,53.49,2161,2161,2161,POINT (-111.664616 34.293239)
CA,2021/03/09,5254,5247,5260,73.65,73.39,73.91,7133,7127,7139,POINT (-119.662127 37.211164)
CT,2021/03/09,589,589,589,56.31,56.31,56.31,1046,1046,1046,POINT (-72.738288 41.575155)
DC,2021/03/09,272,272,272,85.27,85.27,85.27,319,319,319,POINT (-77.016275 38.904785)
GA,2021/03/09,2214,2214,2214,81.1,81.1,81.1,2730,2730,2730,POINT (-83.426574 32.638481)
ID,2021/03/09,190,190,190,63.12,63.12,63.12,301,301,301,POINT (-114.659366 44.389073)
IN,2021/03/09,1421,1415,1427,65.97,65.97,65.97,2154,2154,2154,POINT (-86.2818 39.919991)
KS,2021/03/09,557,557,557,71.41,71.41,71.41,780,780,780,POINT (-98.38018 38.484729)
LA,2021/03/09,1229,1229,1229,68.89,68.89,68.89,1784,1784,1784,POINT (-91.840238 30.921314)
MD,2021/03/09,969,969,969,74.03,74.03,74.03,1309,1309,1309,POINT (-76.687282 38.946466)
MI,2021/03/09,1914,1912,1917,75.07,74.73,75.4,2550,2547,2553,POINT (-85.730977 44.874798)
AL,2021/03/10,1310,1310,1310,81.82,81.82,81.82,1601,1601,1601,POINT (-86.844516 32.756889)
AZ,2021/03/10,1164,1164,1164,53.62,53.62,53.62,2171,2171,2171,POINT (-111.664616 34.293239)
CA,2021/03/10,5247,5245,5249,73.33,73.24,73.42,7156,7153,7158,POINT (-119.662127 37.211164)
CT,2021/03/10,583,583,583,55.74,55.74,55.74,1046,1046,1046,POINT (-72.738288 41.575155)
DC,2021/03/10,279,279,279,85.58,85.58,85.58,326,326,326,POINT (-77.016275 38.904785)
GA,2021/03/10,2230,2225,2235,82.05,81.4,82.69,2718,2710,2726,POINT (-83.426574 32.638481)
ID,2021/03/10,195,195,195,64.57,64.57,64.57,302,302,302,POINT (-114.659366 44.389073)
IN,2021/03/10,1462,1462,1462,67.37,67.37,67.37,2170,2170,2170,POINT (-86.2818 39.919991)
KS,2021/03/10,578,578,578,73.07,73.07,73.07,791,791,791,POINT (-98.38018 38.484729)
LA,2021/03/10,1208,1208,1208,68.75,68.75,68.75,1757,1757,1757,POINT (-91.840238 30.921314)
MD,2021/03/10,966,966,966,74.31,74.31,74.31,1300,1300,1300,POINT (-76.687282 38.946466)
MI,2021/03/10,1965,1965,1965,76.16,76.16,76.16,2580,2580,2580,POINT (-85.730977 44.874798)
AL,2021/03/11,1281,1281,1281,80.16,80.16,80.16,1598,1598,1598,POINT (-86.844516 32.756889)
AZ,2021/03/11,1182,1182,1182,53.97,53.97,53.97,2190,2190,2190,POINT (-111.664616 34.293239)
CA,2021/03/11,5251,5251,5251,73.46,73.46,73.46,7148,7148,7148,POINT (-119.662127 37.211164)
CT,2021/03/11,597,597,597,57.02,57.02,57.02,1047,1047,1047,POINT (-72.738288 41.575155)
DC,2021/03/11,273,273,273,84.26,84.26,84.26,324,324,324,POINT (-77.016275 38.904785)
