state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
AK,1,23,0,1,23,0,0,24,1683,24,1023,24,47,24,9,24,2,24,0,24,0,24,100,24,11,24,11,24,47,24,43,24,0,24,0,24,131,24,0.607843137254902,24,1023,1683,0.04594330400782,24,47,1023,0.027926322043969,24,47,1683,0.083969465648855,24,11,131,0.763358778625954,24,100,131,2021/03/29,POINT (-151.631889 63.631126)
AL,27,79,11,29,76,12,3,113,15452,117,11183,117,460,113,67,115,94,113,0,113,5,113,1272,117,126,113,115,115,455,113,372,115,5,113,6,113,1627,117,0.723725084131504,117,11183,15452,0.042427596384431,113,460,10842,0.030636030636031,113,460,15015,0.079245283018868,113,126,1590,0.78180700676091,117,1272,1627,2021/03/29,POINT (-86.844516 32.756889)
AR,12,94,2,15,91,2,2,106,9263,108,6414,108,189,106,21,108,53,106,0,106,11,106,647,108,61,106,48,108,182,106,136,108,7,106,2,106,968,108,0.692432257368023,108,6414,9263,0.029549718574109,106,189,6396,0.020494469746259,106,189,9222,0.064143007360673,106,61,951,0.668388429752066,108,647,968,2021/03/29,POINT (-92.439162 34.899825)
AZ,26,93,3,26,93,3,8,119,17126,122,11770,122,593,119,70,122,135,119,1,119,5,119,1103,122,113,119,79,122,574,119,361,122,19,119,12,119,2198,122,0.687259138152517,122,11770,17126,0.051098664368807,119,593,11605,0.035278719733476,119,593,16809,0.053276756247053,119,113,2121,0.501819836214741,122,1103,2198,2021/03/29,POINT (-111.664616 34.293239)
CA,70,311,33,83,298,33,41,406,63709,414,47804,414,2522,406,310,414,350,406,7,406,5,406,5148,414,583,406,555,414,2473,406,2151,414,49,406,40,406,7206,414,0.750349244219812,414,47804,63709,0.053443526170799,406,2522,47190,0.040113883984667,406,2522,62871,0.082977512097922,406,583,7026,0.714404662781016,414,5148,7206,2021/03/29,POINT (-119.662127 37.211164)
CO,6,86,13,7,85,13,8,103,11879,105,8021,105,432,103,67,105,55,103,8,103,10,103,815,105,112,103,111,105,408,103,355,105,24,103,14,103,1281,105,0.675225187305329,105,8021,11879,0.05444920594908,103,432,7934,0.0366941306379,103,432,11773,0.08974358974359,103,112,1248,0.636221701795472,105,815,1281,2021/03/29,POINT (-105.547832 38.998552)
CT,4,35,1,4,35,1,18,39,8441,40,6696,40,555,39,84,40,52,39,3,39,0,39,611,40,114,39,115,40,546,39,488,40,9,39,6,39,1057,40,0.793270939462149,40,6696,8441,0.083622118427,39,555,6637,0.066443194062014,39,555,8353,0.11003861003861,39,114,1036,0.578051087984863,40,611,1057,2021/03/29,POINT (-72.738288 41.575155)
DC,0,12,2,0,12,2,1,12,3466,14,2582,14,191,13,17,14,96,13,2,13,5,13,269,14,44,12,40,13,168,13,134,14,23,13,9,13,343,14,0.744950952106174,14,2582,3466,0.076217079010375,13,191,2506,0.057168512421431,13,191,3341,0.135802469135802,12,44,324,0.784256559766764,14,269,343,2021/03/29,POINT (-77.016275 38.904785)
DE,1,14,1,1,14,1,0,15,3309,16,2453,16,153,15,18,16,30,15,0,15,1,15,153,16,14,15,14,16,149,15,126,16,4,15,3,15,193,16,0.741311574493805,16,2453,3309,0.063066776586974,15,153,2426,0.046674801708359,15,153,3278,0.075268817204301,15,14,186,0.792746113989637,16,153,193,2021/03/29,POINT (-75.452394 38.994926)
FL,9,242,15,28,223,15,65,260,58848,266,45697,266,3351,260,458,266,184,260,11,260,16,260,4967,266,703,260,664,266,3298,260,2978,266,53,260,44,260,6448,266,0.776525965198477,266,45697,58848,0.074479907539118,260,3351,44992,0.057907651897422,260,3351,57868,0.11280487804878,260,703,6232,0.770316377171216,266,4967,6448,2021/03/29,POINT (-82.420978 28.260731)
