state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
AK,1,19,0,1,19,0,0,20,1456,20,847,20,44,20,4,20,1,20,1,20,0,20,96,20,14,20,14,20,38,20,35,20,6,20,2,20,129,20,0.581730769230769,20,847,1456,0.051948051948052,20,44,847,0.03021978021978,20,44,1456,0.108527131782946,20,14,129,0.744186046511628,20,96,129,2021/04/02,POINT (-151.631889 63.631126)
AL,25,69,14,28,65,15,5,102,14951,108,10769,108,385,102,61,104,105,102,1,102,5,102,1307,108,125,102,113,104,375,102,313,104,10,102,2,102,1627,108,0.720286268477025,108,10769,14951,0.037058427182597,102,385,10389,0.026676829268293,102,385,14432,0.078616352201258,102,125,1590,0.803318992009834,108,1307,1627,2021/04/02,POINT (-86.844516 32.756889)
AR,12,75,2,14,73,2,1,87,7749,89,5102,89,185,87,18,89,45,87,0,87,5,87,656,89,57,87,44,89,183,87,124,89,2,87,0,87,1029,89,0.658407536456317,89,5102,7749,0.036345776031434,87,185,5090,0.024001037882719,87,185,7708,0.056324110671937,87,57,1012,0.637512147716229,89,656,1029,2021/04/02,POINT (-92.439162 34.899825)
AZ,26,69,3,28,67,3,3,95,15212,98,9939,98,568,95,70,98,142,95,2,95,4,95,1033,98,112,95,86,98,539,95,339,98,29,95,15,95,2250,98,0.653365763870628,98,9939,15212,0.058250435852733,95,568,9751,0.038128482244747,95,568,14897,0.051541647491947,95,112,2173,0.459111111111111,98,1033,2250,2021/04/02,POINT (-111.664616 34.293239)
CA,67,272,35,80,259,35,25,366,59880,374,42367,374,2350,366,231,374,328,366,5,366,12,366,4848,374,520,366,485,374,2298,366,1974,374,52,366,35,366,7082,374,0.70753173012692,374,42367,59880,0.05610600453623,366,2350,41885,0.039801500601257,366,2350,59043,0.07527504342791,366,520,6908,0.684552386331545,374,4848,7082,2021/04/02,POINT (-119.662127 37.211164)
CO,4,79,13,5,78,13,6,94,11115,96,7381,96,444,94,88,96,45,94,3,94,7,94,826,96,126,94,118,96,427,94,372,96,17,94,8,94,1285,96,0.664057579847054,96,7381,11115,0.060747024216719,94,444,7309,0.040334302325581,94,444,11008,0.100638977635783,94,126,1252,0.642801556420234,96,826,1285,2021/04/02,POINT (-105.547832 38.998552)
CT,4,27,1,4,27,1,18,31,7839,32,6118,32,596,31,110,32,48,31,2,31,2,31,617,32,123,31,120,32,588,31,518,32,8,31,3,31,1057,32,0.780456690904452,32,6118,7839,0.09831738700099,31,596,6062,0.076893304089795,31,596,7751,0.118725868725869,31,123,1036,0.583727530747398,32,617,1057,2021/04/02,POINT (-72.738288 41.575155)
DC,0,12,2,0,12,2,2,12,3455,14,2504,14,190,13,31,14,95,13,4,13,7,13,266,14,49,12,50,13,168,13,136,14,22,13,10,13,333,14,0.724746743849493,14,2504,3455,0.077805077805078,13,190,2442,0.057074196455392,13,190,3329,0.156549520766773,12,49,313,0.798798798798799,14,266,333,2021/04/02,POINT (-77.016275 38.904785)
DE,0,8,2,0,8,2,1,9,2645,10,1879,10,182,9,10,10,45,9,0,9,0,9,158,10,18,9,18,10,180,9,131,10,2,9,2,9,192,10,0.710396975425331,10,1879,2645,0.098007539041465,9,182,1857,0.069625095638868,9,182,2614,0.097297297297297,9,18,185,0.822916666666667,10,158,192,2021/04/02,POINT (-75.452394 38.994926)
FL,6,201,15,27,180,15,65,216,53916,222,41895,222,3456,216,505,222,234,216,16,216,16,216,4935,222,758,216,724,222,3405,216,3070,222,51,216,42,216,6442,222,0.777042065435121,222,41895,53916,0.083794006400931,216,3456,41244,0.065261726716519,216,3456,52956,0.121669341894061,216,758,6230,0.766066438994101,222,4935,6442,2021/04/02,POINT (-82.420978 28.260731)
GA,28,111,14,33,105,15,14,150,20653,153,15547,153,1339,150,238,153,125,150,4,150,23,150,2172,153,373,150,320,153,1308,150,1059,153,31,150,10,150,2847,153,0.752771994383383,153,15547,20653,0.086897267830489,150,1339,15409,0.065753290119819,150,1339,20364,0.133309506790565,150,373,2798,0.76290832455216,153,2172,2847,2021/04/02,POINT (-83.426574 32.638481)
HI,1,19,4,2,18,4,1,24,2485,24,1708,24,59,24,8,24,12,24,0,24,0,24,128,24,9,24,7,24,56,24,44,24,3,24,0,24,209,24,0.687323943661972,24,1708,2485,0.034543325526932,24,59,1708,0.02374245472837,24,59,2485,0.043062200956938,24,9,209,0.61244019138756,24,128,209,2021/04/02,POINT (-157.854309 21.361013)
IA,2,43,77,2,43,77,0,120,7929,122,4925,122,222,120,52,122,5,120,0,120,0,120,475,122,45,120,44,122,222,120,215,122,0,120,0,120,700,122,0.621137596165973,122,4925,7929,0.045688413253756,120,222,4859,0.028345250255363,120,222,7832,0.066079295154185,120,45,681,0.678571428571429,122,475,700,2021/04/02,POINT (-93.500061 42.074659)
PA,16,186,6,21,181,6,36,202,31086,208,24386,208,2834,202,387,208,453,202,9,201,25,201,2796,208,535,202,509,208,2782,202,2480,208,52,200,34,200,3512,208,0.784468892749148,208,24386,31086,0.117146164021164,202,2834,24192,0.092297671389025,202,2834,30705,0.15712187958884,202,535,3405,0.796127562642369,208,2796,3512,2021/04/02,POINT (-77.838886 40.896694)
PR,0,0,68,0,0,68,0,67,9217,68,5139,68,312,67,31,68,26,67,1,67,11,67,460,68,61,67,50,68,277,67,249,68,35,67,13,67,696,68,0.557556688727352,68,5139,9217,0.062275449101796,67,312,5010,0.034532374100719,67,312,9035,0.091729323308271,67,61,665,0.660919540229885,68,460,696,2021/04/02,POINT (-66.414655 18.215692)
RI,4,9,1,4,9,1,5,13,2497,14,2172,14,193,13,10,14,0,13,0,13,0,13,137,14,24,13,28,14,190,13,156,14,3,13,3,13,176,14,0.86984381257509,14,2172,2497,0.090738128819934,13,193,2127,0.07971912432879,13,193,2421,0.152866242038217,13,24,157,0.778409090909091,14,137,176,2021/04/02,POINT (-71.534637 41.572574)
SC,20,48,2,20,48,2,4,68,10074,70,7503,70,521,68,91,70,63,68,1,68,4,68,924,70,137,68,129,70,515,68,473,70,6,68,4,68,1346,70,0.744788564621799,70,7503,10074,0.070281937137461,68,521,7413,0.052583770690351,68,521,9908,0.104980842911877,68,137,1305,0.686478454680535,70,924,1346,2021/04/02,POINT (-80.864614 33.878572)
SD,1,59,3,2,58,3,26,60,2570,63,1414,63,88,60,8,63,20,60,0,60,0,60,127,63,17,60,14,63,83,60,62,63,5,60,2,60,237,63,0.550194552529183,63,1414,2570,0.063446286950252,60,88,1387,0.035157810627247,60,88,2503,0.075221238938053,60,17,226,0.535864978902954,63,127,237,2021/04/02,POINT (-100.230491 44.43614)
TN,13,85,43,32,66,43,16,98,20276,141,13020,127,852,98,111,98,74,98,0,98,2,98,1728,138,256,98,240,98,840,98,752,98,12,98,10,98,2380,141,0.683070143224385,127,13020,19061,0.071542530859014,98,852,11909,0.049183166887952,98,852,17323,0.114643976712942,98,256,2233,0.743865690916918,138,1728,2323,2021/04/02,POINT (-86.343226 35.842998)
TX,91,493,5,113,471,5,67,584,68349,589,45828,589,3359,584,325,589,420,584,16,584,44,584,5444,589,968,584,896,589,3273,584,2804,589,86,584,54,584,6993,589,0.670499934161436,589,45828,68349,0.074060191820086,584,3359,45355,0.049706996566828,584,3359,67576,0.142060463751101,584,968,6814,0.778492778492778,589,5444,6993,2021/04/02,POINT (-99.317341 31.447238)
UT,0,51,1,0,51,1,0,51,5434,52,3079,52,147,51,23,52,8,51,1,51,0,51,358,52,54,51,51,52,143,51,127,52,4,51,0,51,620,52,0.566617592933382,52,3079,5434,0.048418972332016,51,147,3036,0.027410031698676,51,147,5363,0.089700996677741,51,54,602,0.57741935483871,52,358,620,2021/04/02,POINT (-111.678222 39.323779)
VA,16,68,9,21,63,9,23,90,16988,93,12130,93,1069,90,130,93,188,90,3,90,12,90,1316,93,228,90,224,93,1050,90,861,93,19,90,10,90,1981,93,0.714033435366141,93,12130,16988,0.089246952746702,90,1069,11978,0.063950705910505,90,1069,16716,0.119309262166405,90,228,1911,0.664310954063604,93,1316,1981,2021/04/02,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,73,2,5,2,2,2,0,2,0,2,0,2,11,2,4,2,4,2,5,2,5,2,0,2,0,2,20,2,0.43452380952381,2,73,168,0.068493150684932,2,5,73,0.029761904761905,2,5,168,0.2,2,4,20,0.55,2,11,20,2021/04/02,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1302,17,837,17,29,16,7,17,6,16,0,16,2,16,61,17,5,16,5,17,27,16,25,17,2,16,0,16,104,17,0.642857142857143,17,837,1302,0.035539215686275,16,29,816,0.022924901185771,16,29,1265,0.051546391752577,16,5,97,0.586538461538462,17,61,104,2021/04/02,POINT (-72.662695 44.075252)
WA,10,81,2,9,82,2,13,91,12925,93,8343,93,466,91,55,93,69,91,0,91,0,91,916,93,126,91,117,93,466,91,393,93,0,91,0,91,1379,93,0.645493230174081,93,8343,12925,0.056409635637332,91,466,8261,0.036426170562026,91,466,12793,0.093402520385471,91,126,1349,0.664249456127629,93,916,1379,2021/04/02,POINT (-120.592492 47.411715)
WI,11,109,22,11,109,22,0,139,12715,142,8073,142,344,139,75,142,59,139,3,139,11,139,881,142,93,139,90,142,337,139,303,142,7,139,2,139,1598,142,0.634919386551317,142,8073,12715,0.043456291056089,139,344,7916,0.027617212588311,139,344,12456,0.060155239327296,139,93,1546,0.551314142678348,142,881,1598,2021/04/02,POINT (-89.732969 44.639954)
MS,12,85,2,12,85,2,1,97,8066,99,4747,99,228,97,17,99,24,97,0,97,3,97,592,99,83,97,63,99,219,97,167,99,9,97,3,97,840,99,0.588519712372923,99,4747,8066,0.048510638297872,97,228,4700,0.028524959339422,97,228,7993,0.101219512195122,97,83,820,0.704761904761905,99,592,840,2021/04/02,POINT (-89.65344 32.713378)
MT,6,58,1,6,58,1,3,64,2947,65,1803,65,39,64,10,65,11,64,1,64,3,64,133,65,11,64,8,65,37,64,38,65,2,64,0,64,226,65,0.61180861893451,65,1803,2947,0.021812080536913,64,39,1788,0.013365318711446,64,39,2918,0.05,64,11,220,0.588495575221239,65,133,226,2021/04/02,POINT (-109.645127 47.033521)
NC,4,111,4,5,110,4,10,115,21682,119,15663,119,1037,115,114,119,97,115,2,115,12,115,1722,119,271,115,263,119,1010,115,939,119,27,115,16,115,2446,119,0.722396457891338,119,15663,21682,0.066920495611771,115,1037,15496,0.048453415568638,115,1037,21402,0.113579212070411,115,271,2386,0.704006541291905,119,1722,2446,2021/04/02,POINT (-79.130883 35.52603)
ND,10,36,1,10,36,1,18,46,2029,47,1346,47,83,46,7,47,8,46,1,46,0,46,99,47,10,46,8,47,77,46,52,47,6,46,1,46,192,47,0.663380975850172,47,1346,2029,0.062452972159518,46,83,1329,0.041458541458541,46,83,2002,0.053191489361702,46,10,188,0.515625,47,99,192,2021/04/02,POINT (-100.46931 47.446305)
NE,8,92,0,16,84,0,1,100,4120,100,2699,100,164,100,23,100,17,100,4,100,0,100,394,100,56,100,54,100,163,100,148,100,1,100,1,100,569,100,0.655097087378641,100,2699,4120,0.060763245646536,100,164,2699,0.039805825242718,100,164,4120,0.098418277680141,100,56,569,0.692442882249561,100,394,569,2021/04/02,POINT (-99.810595 41.527099)
NH,4,23,1,5,22,1,1,28,2908,28,2011,28,111,28,18,28,19,28,1,28,1,28,156,28,20,28,17,28,108,28,92,28,3,28,1,28,282,28,0.691540577716644,28,2011,2908,0.055196419691696,28,111,2011,0.038170563961486,28,111,2908,0.070921985815603,28,20,282,0.553191489361702,28,156,282,2021/04/02,POINT (-71.57139 43.680429)
NJ,6,64,8,6,64,8,69,77,21594,78,15234,78,2444,77,365,78,161,77,3,77,7,77,1430,78,391,77,379,78,2416,77,2264,78,28,77,8,77,3064,78,0.705473742706307,78,15234,21594,0.160842382362619,77,2444,15195,0.113568773234201,77,2444,21520,0.128280839895013,77,391,3048,0.466710182767624,78,1430,3064,2021/04/02,POINT (-74.655514 40.110253)
NM,15,36,1,16,35,1,2,51,4241,52,2871,51,95,51,12,52,11,51,0,51,2,51,335,51,33,51,23,52,88,51,81,52,7,51,0,51,430,52,0.681785799097602,51,2871,4211,0.033831908831909,50,95,2808,0.023002421307506,51,95,4130,0.080684596577017,51,33,409,0.790094339622642,51,335,424,2021/04/02,POINT (-106.108388 34.421369)
NV,0,14,46,1,13,46,26,58,8649,60,6056,60,314,58,45,60,59,58,1,58,2,58,599,60,68,58,61,60,309,58,255,60,5,58,5,58,880,60,0.700196554514973,60,6056,8649,0.052711096189357,58,314,5957,0.037006482027107,58,314,8485,0.082825822168088,58,68,821,0.680681818181818,60,599,880,2021/04/02,POINT (-114.916992 39.283294)
NY,4,161,13,5,160,13,171,169,49304,178,35693,178,5240,169,570,178,232,169,11,169,19,169,3673,178,1043,169,974,178,5143,169,4620,178,97,169,54,169,5609,178,0.723937205906214,178,35693,49304,0.14799333465134,169,5240,35407,0.107630687069939,169,5240,48685,0.190189642596645,169,1043,5484,0.654840435015154,178,3673,5609,2021/04/02,POINT (-75.59655 42.921241)
OH,12,176,10,17,171,10,22,195,29746,198,20728,198,1504,195,208,198,171,195,7,195,66,195,2694,198,297,195,262,198,1409,195,1105,198,95,195,22,195,4106,198,0.696833187655483,198,20728,29746,0.073030979897057,195,1504,20594,0.051007257681612,195,1504,29486,0.073333333333333,195,297,4050,0.656113005358013,198,2694,4106,2021/04/02,POINT (-82.70936 40.415534)
OK,26,102,13,30,98,13,6,139,10104,141,6717,141,328,139,52,141,77,139,1,139,3,139,760,141,81,139,70,141,298,139,241,141,30,139,28,139,1036,141,0.66478622327791,141,6717,10104,0.049802611600364,139,328,6586,0.033124621288629,139,328,9902,0.081818181818182,139,81,990,0.733590733590734,141,760,1036,2021/04/02,POINT (-97.508297 35.583449)
OR,2,54,7,2,54,7,9,61,6839,63,4934,63,236,61,21,63,42,61,1,61,6,61,499,63,50,61,41,63,224,61,159,63,12,61,5,61,799,63,0.721450504459716,63,4934,6839,0.048861283643892,61,236,4830,0.03530291697831,61,236,6685,0.064020486555698,61,50,781,0.624530663329161,63,499,799,2021/04/02,POINT (-120.605279 43.940449)
ID,3,37,8,3,37,8,1,47,3365,48,1937,48,172,47,18,48,3,47,1,47,0,47,205,48,40,47,40,48,171,47,163,48,1,47,1,47,304,48,0.575631500742942,48,1937,3365,0.090099528548979,47,172,1909,0.051682692307692,47,172,3328,0.134228187919463,47,40,298,0.674342105263158,48,205,304,2021/04/02,POINT (-114.659366 44.389073)
IL,10,147,22,10,147,22,5,174,28383,179,19020,179,1667,174,234,179,302,174,3,174,34,174,2078,179,341,174,309,179,1633,174,1457,179,34,174,12,174,3424,179,0.670119437691576,179,19020,28383,0.088712681602895,174,1667,18791,0.05947836015271,174,1667,28027,0.101427721594289,174,341,3362,0.606892523364486,179,2078,3424,2021/04/02,POINT (-89.148632 40.124144)
IN,12,122,2,11,123,2,1,134,17463,136,10787,136,794,134,96,136,130,134,3,134,13,134,1440,136,174,134,151,136,770,134,528,136,24,134,4,134,2218,136,0.617706006986199,136,10787,17463,0.074254184980829,134,794,10693,0.045845603094867,134,794,17319,0.080184331797235,134,174,2170,0.649233543733093,136,1440,2218,2021/04/02,POINT (-86.2818 39.919991)
KS,12,124,4,13,123,4,0,137,8272,140,4649,140,176,137,26,140,43,137,2,137,3,137,576,140,32,137,31,140,173,137,143,140,3,137,2,137,842,140,0.562016441005803,140,4649,8272,0.03826918895412,137,176,4599,0.021492245695445,137,176,8189,0.038929440389294,137,32,822,0.684085510688836,140,576,842,2021/04/02,POINT (-98.38018 38.484729)
KY,0,11,93,3,99,2,2,102,13002,104,7494,104,402,102,118,104,53,102,0,102,5,102,1080,104,107,102,102,104,388,102,335,104,14,102,3,102,1833,104,0.576372865712967,104,7494,13002,0.054471544715447,102,402,7380,0.031354808517276,102,402,12821,0.059843400447427,102,107,1788,0.589198036006547,104,1080,1833,2021/04/02,POINT (-85.290484 37.526683)
LA,42,173,7,46,169,7,0,215,14173,222,8971,222,279,222,53,216,9,216,1,216,0,216,1149,222,110,222,102,222,277,222,349,222,2,222,1,222,1820,222,0.632964086643618,222,8971,14173,0.031100211793557,222,279,8971,0.019685317152332,222,279,14173,0.06043956043956,222,110,1820,0.631318681318681,222,1149,1820,2021/04/02,POINT (-91.840238 30.921314)
MA,7,71,1,6,72,1,7,78,17131,79,13903,79,673,78,101,79,82,78,0,78,3,78,1050,79,183,78,175,79,658,78,571,79,15,78,9,78,1428,79,0.811569669021073,79,13903,17131,0.048778720011597,78,673,13797,0.039595222686356,78,673,16997,0.130714285714286,78,183,1400,0.735294117647059,79,1050,1428,2021/04/02,POINT (-71.481104 42.151077)
MD,3,44,5,2,45,5,13,51,10235,52,8401,52,1440,51,169,52,297,51,4,51,5,51,1015,52,304,51,278,52,1418,51,1177,52,22,51,13,51,1340,52,0.820810942843185,52,8401,10235,0.172579098753595,51,1440,8344,0.142137992300859,51,1440,10131,0.233486943164363,51,304,1302,0.757462686567164,52,1015,1340,2021/04/02,POINT (-76.687282 38.946466)
ME,3,23,8,2,24,8,0,33,2770,34,1892,34,86,33,5,34,20,33,0,33,2,33,231,34,35,33,33,34,84,33,71,34,2,33,1,33,317,34,0.683032490974729,34,1892,2770,0.046211714132187,33,86,1861,0.031478770131772,33,86,2732,0.11400651465798,33,35,307,0.728706624605678,34,231,317,2021/04/02,POINT (-69.06137 45.117911)
MI,5,150,3,4,151,3,11,155,22687,158,17929,158,3528,155,625,158,100,155,13,155,9,154,2112,158,703,155,684,158,3479,155,3291,158,49,155,36,155,2605,158,0.790276369727156,158,17929,22687,0.197647058823529,155,3528,17850,0.156396843691817,155,3528,22558,0.272692009309542,155,703,2578,0.810748560460653,158,2112,2605,2021/04/02,POINT (-85.730977 44.874798)
MN,15,102,14,15,102,14,13,130,9791,131,7377,131,622,130,103,131,33,130,3,130,1,130,703,131,150,130,138,131,614,130,539,131,8,130,6,130,946,131,0.753447043202941,131,7377,9791,0.085686733709877,130,622,7259,0.064724245577523,130,622,9610,0.164835164835165,130,150,910,0.743128964059197,131,703,946,2021/04/02,POINT (-94.198308 46.349153)
MO,20,83,20,24,79,20,4,119,15181,123,11558,123,802,119,65,123,172,119,4,119,16,119,1400,123,169,119,126,123,764,119,488,123,38,119,9,119,1770,123,0.761346419866939,123,11558,15181,0.070623458964424,119,802,11356,0.053839957035446,119,802,14896,0.099120234604106,119,169,1705,0.790960451977401,123,1400,1770,2021/04/02,POINT (-92.477244 38.3675)
WV,12,43,4,14,41,4,1,55,5958,59,4319,59,315,55,49,59,72,55,0,55,0,55,476,59,100,55,83,59,312,55,272,59,3,55,2,55,659,59,0.724907687143337,59,4319,5958,0.074257425742574,55,315,4242,0.054611650485437,55,315,5768,0.161550888529887,55,100,619,0.722306525037936,59,476,659,2021/04/02,POINT (-80.613729 38.642579)
WY,4,24,2,4,24,2,0,28,1629,30,667,30,26,28,4,30,14,28,0,28,0,28,45,30,7,28,6,30,25,28,19,30,1,28,0,28,128,30,0.409453652547575,30,667,1629,0.03969465648855,28,26,655,0.016393442622951,28,26,1586,0.05982905982906,28,7,117,0.3515625,30,45,128,2021/04/02,POINT (-107.55145 42.999627)
