state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,25989,175,16587,164,1074,202,2285,156,231,171,3340,144,0.6976207076869444,156,16009,22948,0.05009947549285585,164,831,16587,0.033975912886221094,175,883,25989,0.05548890221955609,136,185,3334,0.6442831215970962,139,2130,3306,2020-08-14
PR,7954,60,4401,59,466,61,450,60,56,58,647,58,0.5551291890509081,58,4340,7818,0.10497614178595774,59,462,4401,0.058335428715111895,60,464,7954,0.08150470219435736,56,52,638,0.6584234930448223,58,426,647,2020-08-14
RI,1736,13,1854,13,82,13,126,13,8,13,158,13,1.0679723502304148,13,1854,1736,0.04422869471413161,13,82,1854,0.04723502304147465,13,82,1736,0.05063291139240506,13,8,158,0.7974683544303798,13,126,158,2020-08-14
SC,10380,81,7915,81,1134,81,952,75,288,76,1304,73,0.76252408477842,81,7915,10380,0.14327226784586228,81,1134,7915,0.1092485549132948,81,1134,10380,0.21012269938650308,73,274,1304,0.7147239263803681,73,932,1304,2020-08-14
SD,2266,49,833,41,84,52,72,37,15,32,91,28,0.5261146496815287,40,826,1570,0.04561824729891957,41,38,833,0.037069726390114736,49,84,2266,0.07692307692307693,24,7,91,0.5274725274725275,28,48,91,2020-08-14
TN,17996,112,11909,114,1230,123,1534,87,387,119,1992,92,0.6606071514278857,103,11011,16668,0.0974053237047611,114,1160,11909,0.06284729939986664,112,1131,17996,0.18423694779116465,92,367,1992,0.7983237297014144,86,1524,1909,2020-08-14
TX,63815,538,41724,524,7399,552,5206,482,2266,493,6367,451,0.6963291245087382,517,41637,59795,0.16131434198832656,523,6716,41633,0.11339558973554108,537,7225,63715,0.30967435978501423,442,1959,6326,0.7717920527721062,450,4914,6367,2020-08-14
UT,5390,51,2700,47,205,52,318,44,66,43,542,40,0.5121396054628224,47,2700,5272,0.07407407407407407,47,200,2700,0.037476808905380334,51,202,5390,0.11070110701107011,39,60,542,0.5553505535055351,39,301,542,2020-08-14
VA,15533,79,7880,71,1158,87,748,72,223,72,1414,74,0.5692240181379361,66,7783,13673,0.11459390862944162,71,903,7880,0.07113886564089358,79,1105,15533,0.1578544061302682,67,206,1305,0.563984674329502,69,736,1305,2020-08-14
VI,56,1,41,1,1,1,1,1,1,1,12,1,0.7321428571428571,1,41,56,0.024390243902439025,1,1,41,0.017857142857142856,1,1,56,0.08333333333333333,1,1,12,0.08333333333333333,1,1,12,2020-08-14
VT,608,11,180,7,11,14,30,8,7,10,48,7,0.4904632152588556,7,180,367,0.044444444444444446,7,8,180,0.014802631578947368,11,9,608,0.14583333333333334,7,7,48,0.625,7,30,48,2020-08-14
