state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
OR,5,45,12,6,48,8,7,60,6846,62,5183,62,199,60,19,62,53,60,1,60,5,60,538,62,44,60,27,62,187,60,132,62,12,60,2,60,740,62,0.75708442886357,62,5183,6846,0.039103949695422,60,199,5089,0.029741443730384,60,199,6691,0.061538461538462,60,44,715,0.727027027027027,62,538,740,2022/04/06,,0,61,1,59,2,59,0,59,5,60,1,59,4,59,6,59,0,62,0,60,2,57,3,57,6,57,2,57,10,57,8,57,20,56,2,60,2,43,628,133,746,57,0,97,0,60,2,60,0,38,0,38,6,0,38,60
PA,7,89,129,32,185,8,7,219,29422,225,22612,225,581,219,46,225,311,219,2,218,29,218,2247,225,69,219,53,225,539,219,342,225,42,219,9,219,3232,225,0.768540547889334,225,22612,29422,0.025969962453066,219,581,22372,0.019988990573178,219,581,29066,0.022072936660269,219,69,3126,0.695235148514852,225,2247,3232,2022/04/06,,0,222,2,211,3,212,5,211,3,211,8,211,10,211,12,213,3,222,0,213,12,205,27,205,24,205,51,207,66,207,61,206,60,206,10,215,10,193,5132,9,3422,20,0,10,13,218,24,218,0,54,0,54,122,1,54,218
PR,0,7,59,1,6,59,0,61,8734,63,5577,64,66,63,6,66,7,60,4,60,4,60,447,64,3,63,2,61,49,63,34,61,17,63,13,60,641,63,0.622051751774674,63,5433,8734,0.012074643249177,63,66,5466,0.007375321938656,62,63,8542,0.004901960784314,62,3,612,0.684867394695788,63,439,641,2022/04/06,,1,66,0,66,1,66,1,66,1,66,1,66,1,66,0,66,0,66,0,60,0,60,0,60,1,60,1,60,0,60,0,60,1,60,4,60,0,5,0,0,66,0,0,0,4,58,6,58,0,5,0,5,41,0,5,58
RI,1,1,12,4,8,2,0,13,1980,14,1748,14,47,13,4,14,5,13,0,13,0,13,113,14,2,13,2,14,43,13,40,14,4,13,1,13,129,14,0.882828282828283,14,1748,1980,0.026887871853547,13,47,1748,0.023737373737374,13,47,1980,0.015503875968992,13,2,129,0.875968992248062,14,113,129,2022/04/06,,0,14,0,14,0,14,0,14,0,14,0,14,3,14,1,14,0,14,0,13,0,13,0,13,2,13,1,13,1,13,0,13,1,13,0,13,0,2,0,0,0,0,0,0,2,13,1,13,0,2,0,2,9,0,2,13
SC,20,63,5,24,59,5,6,86,11713,88,8436,88,93,86,9,88,12,86,0,85,0,85,857,88,24,86,19,88,90,86,71,88,3,86,2,86,1305,88,0.72022539059165,88,8436,11713,0.01114573346117,86,93,8344,0.008059623884219,86,93,11539,0.018987341772152,86,24,1264,0.656704980842912,88,857,1305,2022/04/06,,0,86,0,81,0,81,1,81,1,81,2,81,2,81,3,82,0,83,0,85,0,79,1,79,0,78,0,78,7,78,2,78,2,78,0,81,0,61,1609,1595,1751,0,0,0,4,86,6,86,0,54,0,54,28,0,54,86
SD,0,54,10,4,50,10,3,61,2413,64,1456,64,48,61,0,64,9,61,1,61,1,61,115,64,13,61,2,64,48,61,22,64,0,61,0,61,240,64,0.603398259428098,64,1456,2413,0.03347280334728,61,48,1434,0.02045164039199,61,48,2347,0.056277056277056,61,13,231,0.479166666666667,64,115,240,2022/04/06,,0,64,0,47,0,47,0,47,0,47,0,47,0,46,0,46,0,64,1,61,1,44,1,44,1,44,0,44,0,44,0,43,5,43,0,61,0,6,477,0,1106,30,0,73,1,61,1,61,0,4,0,4,3,0,4,61
TN,4,60,77,24,49,68,7,138,19803,141,13637,141,196,138,15,141,27,138,1,138,0,138,1476,141,37,138,35,141,187,138,162,141,9,138,9,138,2233,141,0.688633035398677,141,13637,19803,0.014629049111808,138,196,13398,0.010058503541004,138,196,19486,0.01720130172013,138,37,2151,0.660994178235558,141,1476,2233,2022/04/06,,0,141,2,141,0,141,0,141,1,141,4,141,4,141,4,141,0,141,0,138,0,138,3,138,2,138,2,138,6,138,6,138,7,138,1,138,1,59,8,1,107,6,0,0,3,138,2,138,0,59,0,59,51,3,59,138
TX,5,101,487,9,97,487,78,588,66310,593,49111,593,1316,588,111,593,315,588,12,588,68,588,5255,593,246,588,197,593,1220,588,812,593,96,588,46,588,6420,593,0.740627356356507,593,49111,66310,0.027100494233937,588,1316,48560,0.020068011650426,588,1316,65577,0.039234449760766,588,246,6270,0.818535825545171,593,5255,6420,2022/04/06,,3,590,9,584,10,585,10,584,23,584,16,584,18,585,19,584,3,593,0,586,34,579,41,579,26,579,43,579,58,579,56,579,53,579,4,588,10,567,293,0,153,0,0,0,30,588,39,588,0,101,0,101,224,2,101,588
UT,0,48,9,2,46,9,0,56,6039,57,4242,57,66,56,9,57,0,56,1,56,0,56,313,57,11,56,11,57,57,56,54,57,9,56,0,56,436,57,0.702434177844014,57,4242,6039,0.015688138816259,56,66,4207,0.011060834590246,56,66,5967,0.025821596244131,56,11,426,0.717889908256881,57,313,436,2022/04/06,,0,57,0,55,2,55,2,55,0,55,3,55,1,55,1,55,0,57,0,56,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,56,0,45,362,0,157,0,0,23,0,56,3,56,0,42,0,42,31,0,42,56
VA,9,74,23,16,70,20,28,103,17780,106,12451,106,250,103,15,106,94,103,1,103,8,103,1191,106,35,103,27,106,244,103,176,106,6,103,6,103,1877,106,0.700281214848144,106,12451,17780,0.020307042482333,103,250,12311,0.014228799089357,103,250,17570,0.019083969465649,103,35,1834,0.634523175279702,106,1191,1877,2022/04/06,,0,105,1,100,1,100,3,102,2,100,2,100,1,100,4,100,1,106,1,102,7,97,6,97,3,98,16,97,22,98,22,97,17,97,0,103,6,68,949,1428,610,129,0,133,5,103,8,103,0,68,0,68,31,1,68,103
