state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-11-18,"64,644","64,589","64,699",75.91,75.72,76.10,"85,159","85,098","85,220"
CW,2020-11-19,"64,469","64,433","64,504",75.81,75.67,75.96,"85,037","84,983","85,091"
CW,2020-11-20,"64,262","64,208","64,315",76.08,75.89,76.28,"84,461","84,398","84,523"
CW,2020-11-21,"63,670","63,629","63,711",75.20,75.06,75.33,"84,673","84,631","84,715"
CW,2020-11-22,"62,319","62,278","62,359",73.76,73.62,73.90,"84,490","84,448","84,531"
CW,2020-11-23,"62,459","62,421","62,497",73.97,73.83,74.11,"84,438","84,392","84,483"
CW,2020-11-24,"64,536","64,521","64,551",76.01,75.95,76.07,"84,906","84,883","84,929"
CW,2020-11-25,"64,321","64,290","64,352",75.70,75.59,75.80,"84,972","84,937","85,006"
CW,2020-11-26,"62,998","62,945","63,051",74.39,74.21,74.57,"84,688","84,634","84,743"
CW,2020-11-27,"61,702","61,652","61,751",73.10,72.92,73.27,"84,412","84,361","84,464"
CW,2020-11-28,"62,167","62,115","62,219",73.32,73.12,73.51,"84,792","84,727","84,858"
CW,2020-11-29,"62,350","62,302","62,398",73.66,73.47,73.85,"84,650","84,582","84,717"
CW,2020-11-30,"63,106","63,039","63,173",74.53,74.30,74.77,"84,666","84,591","84,742"
CW,2020-12-01,"65,508","65,471","65,544",76.99,76.86,77.12,"85,086","85,044","85,128"
CW,2020-12-02,"66,142","66,091","66,192",77.45,77.30,77.61,"85,396","85,357","85,435"
CW,2020-12-03,"66,498","66,472","66,524",77.73,77.65,77.82,"85,546","85,517","85,574"
CW,2020-12-04,"66,518","66,461","66,576",77.60,77.45,77.76,"85,717","85,698","85,737"
CW,2020-12-05,"65,896","65,842","65,949",77.03,76.86,77.20,"85,543","85,500","85,587"
CW,2020-12-06,"64,744","64,690","64,798",75.98,75.80,76.17,"85,210","85,152","85,267"
CW,2020-12-07,"64,919","64,904","64,934",76.39,76.28,76.51,"84,983","84,930","85,036"
CW,2020-12-08,"67,063","67,012","67,114",78.22,78.04,78.39,"85,741","85,686","85,795"
CW,2020-12-09,"67,607","67,570","67,644",79.00,78.89,79.12,"85,576","85,546","85,606"
CW,2020-12-10,"67,642","67,617","67,668",79.02,78.93,79.11,"85,603","85,573","85,633"
CW,2020-12-11,"67,513","67,496","67,531",78.88,78.81,78.95,"85,593","85,568","85,618"
CW,2020-12-12,"66,669","66,645","66,694",77.93,77.84,78.01,"85,555","85,528","85,582"
CW,2020-12-13,"65,475","65,438","65,512",76.84,76.71,76.96,"85,213","85,169","85,256"
CW,2020-12-14,"65,571","65,516","65,627",77.26,77.07,77.44,"84,872","84,813","84,930"
CW,2020-12-15,"67,458","67,398","67,518",78.84,78.63,79.05,"85,564","85,491","85,636"
CW,2020-12-16,"67,816","67,749","67,883",79.00,78.77,79.24,"85,840","85,761","85,920"
CW,2020-12-17,"67,860","67,771","67,948",78.84,78.52,79.15,"86,074","85,968","86,181"
CW,2020-12-18,"67,475","67,157","67,793",77.68,76.56,78.81,"86,861","86,486","87,236"
AL,2020-11-18,"1,313","1,313","1,313",87.42,87.42,87.42,"1,502","1,502","1,502"
AZ,2020-11-18,"1,264","1,259","1,269",63.68,63.68,63.68,"1,985","1,985","1,985"
CT,2020-11-18,582,582,582,55.17,55.17,55.17,"1,055","1,055","1,055"
DC,2020-11-18,289,289,289,86.53,86.53,86.53,334,334,334
GA,2020-11-18,"2,193","2,193","2,193",83.42,83.42,83.42,"2,629","2,629","2,629"
ID,2020-11-18,205,205,205,70.45,70.45,70.45,291,291,291
IN,2020-11-18,"1,704","1,704","1,704",78.71,78.71,78.71,"2,165","2,165","2,165"
KS,2020-11-18,660,660,660,82.81,82.81,82.81,797,797,797
LA,2020-11-18,"1,306","1,306","1,306",72.00,72.00,72.00,"1,814","1,814","1,814"
MD,2020-11-18,"1,021","1,015","1,027",79.46,77.76,81.15,"1,285","1,276","1,294"
MI,2020-11-18,"2,259","2,259","2,259",83.54,83.54,83.54,"2,704","2,704","2,704"
AL,2020-11-19,"1,283","1,283","1,283",85.48,85.48,85.48,"1,501","1,501","1,501"
AZ,2020-11-19,"1,251","1,247","1,255",63.05,63.05,63.05,"1,984","1,984","1,984"
CT,2020-11-19,559,559,559,52.99,52.99,52.99,"1,055","1,055","1,055"
DC,2020-11-19,279,279,279,82.79,82.79,82.79,337,337,337
GA,2020-11-19,"2,196","2,193","2,199",83.75,83.32,84.19,"2,622","2,617","2,627"
ID,2020-11-19,196,196,196,68.53,68.53,68.53,286,286,286
IN,2020-11-19,"1,679","1,679","1,679",78.20,78.20,78.20,"2,147","2,147","2,147"
KS,2020-11-19,672,672,672,84.42,84.42,84.42,796,796,796
LA,2020-11-19,"1,334","1,334","1,334",72.98,72.98,72.98,"1,828","1,828","1,828"
MD,2020-11-19,"1,016","1,016","1,016",80.89,80.89,80.89,"1,256","1,256","1,256"
MI,2020-11-19,"2,246","2,246","2,246",83.68,83.68,83.68,"2,684","2,684","2,684"
AL,2020-11-20,"1,304","1,302","1,305",86.61,86.37,86.85,"1,505","1,505","1,505"
AZ,2020-11-20,"1,306","1,303","1,309",66.03,66.03,66.03,"1,978","1,978","1,978"
CT,2020-11-20,578,578,578,54.79,54.79,54.79,"1,055","1,055","1,055"
DC,2020-11-20,277,277,277,81.95,81.95,81.95,338,338,338
GA,2020-11-20,"2,178","2,177","2,180",83.37,83.22,83.53,"2,613","2,611","2,615"
ID,2020-11-20,197,197,197,68.64,68.64,68.64,287,287,287
IN,2020-11-20,"1,660","1,660","1,661",77.41,77.41,77.41,"2,145","2,145","2,145"
KS,2020-11-20,644,644,644,81.62,81.62,81.62,789,789,789
LA,2020-11-20,"1,290","1,290","1,290",72.35,72.35,72.35,"1,783","1,783","1,783"
MD,2020-11-20,"1,013","1,013","1,013",76.34,76.34,76.34,"1,327","1,327","1,327"
MI,2020-11-20,"2,250","2,250","2,250",83.89,83.80,83.98,"2,682","2,681","2,683"
AL,2020-11-21,"1,297","1,297","1,297",86.47,86.47,86.47,"1,500","1,500","1,500"
AZ,2020-11-21,"1,308","1,300","1,315",65.70,64.52,66.88,"1,990","1,981","1,999"
CT,2020-11-21,597,597,597,56.59,56.59,56.59,"1,055","1,055","1,055"
DC,2020-11-21,277,277,277,82.20,82.20,82.20,337,337,337
GA,2020-11-21,"2,163","2,161","2,165",82.43,82.23,82.63,"2,624","2,622","2,626"
ID,2020-11-21,194,194,194,66.90,66.90,66.90,290,290,290
IN,2020-11-21,"1,634","1,634","1,634",76.32,76.32,76.32,"2,141","2,141","2,141"
KS,2020-11-21,633,633,633,80.69,80.27,81.11,784,783,786
LA,2020-11-21,"1,288","1,288","1,288",71.40,71.40,71.40,"1,804","1,804","1,804"
MD,2020-11-21,968,968,968,73.89,73.89,73.89,"1,310","1,310","1,310"
MI,2020-11-21,"2,211","2,207","2,215",82.50,82.03,82.97,"2,680","2,675","2,685"
AL,2020-11-22,"1,286","1,282","1,289",85.47,84.77,86.17,"1,504","1,500","1,508"
AZ,2020-11-22,"1,286","1,279","1,293",64.95,63.76,66.14,"1,980","1,971","1,989"
CT,2020-11-22,608,608,608,57.63,57.63,57.63,"1,055","1,055","1,055"
DC,2020-11-22,262,262,262,78.21,78.21,78.21,335,335,335
GA,2020-11-22,"2,158","2,155","2,161",82.05,81.72,82.39,"2,630","2,626","2,634"
ID,2020-11-22,204,204,204,69.39,69.39,69.39,294,294,294
IN,2020-11-22,"1,622","1,617","1,628",75.39,74.57,76.22,"2,152","2,145","2,159"
KS,2020-11-22,597,597,597,76.64,76.64,76.64,779,779,779
LA,2020-11-22,"1,283","1,283","1,283",71.32,71.32,71.32,"1,799","1,799","1,799"
MD,2020-11-22,973,973,973,76.67,76.67,76.67,"1,269","1,269","1,269"
MI,2020-11-22,"2,123","2,120","2,126",79.96,79.66,80.26,"2,655","2,652","2,658"
AL,2020-11-23,"1,308","1,308","1,308",86.85,86.85,86.85,"1,506","1,506","1,506"
AZ,2020-11-23,"1,242","1,241","1,243",62.51,62.35,62.66,"1,987","1,986","1,988"
CT,2020-11-23,598,598,598,56.68,56.68,56.68,"1,055","1,055","1,055"
DC,2020-11-23,255,255,255,77.51,77.51,77.51,329,329,329
GA,2020-11-23,"2,162","2,161","2,162",82.00,81.81,82.19,"2,636","2,633","2,639"
ID,2020-11-23,213,213,213,72.20,72.20,72.20,295,295,295
IN,2020-11-23,"1,637","1,636","1,638",76.14,76.14,76.14,"2,150","2,150","2,150"
KS,2020-11-23,599,597,601,75.63,74.95,76.31,792,792,792
LA,2020-11-23,"1,277","1,276","1,278",71.02,71.02,71.02,"1,798","1,798","1,798"
MD,2020-11-23,985,985,985,76.00,76.00,76.00,"1,296","1,296","1,296"
MI,2020-11-23,"2,187","2,187","2,187",81.97,81.97,81.97,"2,668","2,668","2,668"
AL,2020-11-24,"1,312","1,305","1,319",87.00,85.61,88.39,"1,508","1,501","1,515"
AZ,2020-11-24,"1,314","1,314","1,314",65.67,65.67,65.67,"2,001","2,000","2,002"
CT,2020-11-24,623,623,623,59.05,59.05,59.05,"1,055","1,055","1,055"
DC,2020-11-24,263,263,263,80.43,80.43,80.43,327,327,327
GA,2020-11-24,"2,175","2,175","2,175",82.45,82.45,82.45,"2,638","2,638","2,638"
ID,2020-11-24,208,208,208,72.73,72.73,72.73,286,286,286
IN,2020-11-24,"1,711","1,711","1,711",78.49,78.49,78.49,"2,180","2,180","2,180"
KS,2020-11-24,627,627,627,78.38,78.38,78.38,800,799,801
LA,2020-11-24,"1,309","1,309","1,309",72.72,72.72,72.72,"1,800","1,800","1,800"
MD,2020-11-24,"1,044","1,037","1,050",80.64,79.11,82.18,"1,294","1,287","1,301"
MI,2020-11-24,"2,250","2,250","2,250",84.02,84.02,84.02,"2,678","2,678","2,678"
AL,2020-11-25,"1,296","1,296","1,296",85.94,85.94,85.94,"1,508","1,508","1,508"
AZ,2020-11-25,"1,301","1,301","1,301",65.38,65.38,65.38,"1,990","1,990","1,990"
CT,2020-11-25,621,621,621,58.86,58.86,58.86,"1,055","1,055","1,055"
DC,2020-11-25,279,279,279,83.28,83.28,83.28,335,335,335
GA,2020-11-25,"2,196","2,195","2,196",83.35,83.35,83.35,"2,634","2,634","2,634"
ID,2020-11-25,216,216,216,76.33,76.33,76.33,283,283,283
IN,2020-11-25,"1,696","1,696","1,696",78.41,78.41,78.41,"2,163","2,163","2,163"
KS,2020-11-25,624,624,624,78.10,78.10,78.10,799,799,799
LA,2020-11-25,"1,269","1,269","1,269",71.25,71.25,71.25,"1,781","1,781","1,781"
MD,2020-11-25,"1,040","1,040","1,040",80.50,80.50,80.50,"1,292","1,292","1,292"
MI,2020-11-25,"2,252","2,250","2,254",83.72,83.44,83.99,"2,690","2,687","2,693"
AL,2020-11-26,"1,264","1,263","1,265",84.32,84.13,84.51,"1,499","1,499","1,499"
AZ,2020-11-26,"1,278","1,276","1,280",63.77,63.53,64.01,"2,004","2,002","2,006"
CT,2020-11-26,604,604,604,57.25,57.25,57.25,"1,055","1,055","1,055"
DC,2020-11-26,265,265,265,79.34,79.34,79.34,334,334,334
GA,2020-11-26,"2,176","2,174","2,178",82.64,82.45,82.83,"2,633","2,631","2,635"
ID,2020-11-26,209,209,209,74.11,74.11,74.11,282,282,282
IN,2020-11-26,"1,660","1,658","1,661",76.62,76.50,76.73,"2,166","2,166","2,166"
KS,2020-11-26,629,629,629,79.32,79.32,79.32,793,793,793
LA,2020-11-26,"1,262","1,262","1,262",71.58,71.58,71.58,"1,763","1,763","1,763"
MD,2020-11-26,"1,008","1,008","1,008",79.00,79.00,79.00,"1,276","1,276","1,276"
MI,2020-11-26,"2,231","2,222","2,240",82.66,81.71,83.61,"2,699","2,690","2,708"
AL,2020-11-27,"1,244","1,241","1,248",83.58,82.85,84.31,"1,489","1,484","1,494"
AZ,2020-11-27,"1,143","1,124","1,162",57.64,57.64,57.64,"1,983","1,983","1,983"
CT,2020-11-27,594,594,594,56.30,56.30,56.30,"1,055","1,055","1,055"
DC,2020-11-27,268,268,268,80.72,80.72,80.72,332,332,332
GA,2020-11-27,"2,148","2,146","2,150",81.77,81.52,82.01,"2,627","2,625","2,629"
ID,2020-11-27,216,216,216,73.47,73.47,73.47,294,294,294
IN,2020-11-27,"1,626","1,626","1,626",74.97,74.97,74.97,"2,169","2,169","2,169"
KS,2020-11-27,603,603,603,76.52,76.52,76.52,788,788,788
LA,2020-11-27,"1,251","1,251","1,251",70.88,70.88,70.88,"1,765","1,765","1,765"
