state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,7695,61,4414,59,547,62,455,60,74,58,596,57,0.583939674560127,59,4414,7559,0.12097870412324423,59,534,4414,0.0700454840805718,61,539,7695,0.12033898305084746,56,71,590,0.7181208053691275,57,428,596,2020-08-08
RI,1700,13,1876,13,97,13,141,13,10,13,160,13,1.1035294117647059,13,1876,1700,0.051705756929637525,13,97,1876,0.057058823529411766,13,97,1700,0.0625,13,10,160,0.88125,13,141,160,2020-08-08
SC,10500,81,7723,73,1384,81,933,70,321,75,1219,67,0.805990398664162,73,7723,9582,0.16729250291337563,73,1292,7723,0.13180952380952382,81,1384,10500,0.23954060705496308,67,292,1219,0.7391304347826086,67,901,1219,2020-08-08
SD,2226,48,849,41,81,50,86,36,14,31,93,28,0.5502610966057441,40,843,1532,0.0447585394581861,41,38,849,0.03638814016172507,48,81,2226,0.08602150537634409,24,8,93,0.6206896551724138,27,54,87,2020-08-08
TN,17902,112,12149,115,1359,117,1559,86,429,113,1986,91,0.6786338172399253,104,11266,16601,0.10727874276261373,111,1297,12090,0.0723438956197577,105,1242,17168,0.2115085536547434,88,408,1929,0.815554387808723,85,1552,1903,2020-08-08
TX,63666,552,41850,538,8477,565,5173,506,2610,516,6233,477,0.6946718583599574,532,41747,60096,0.181870420916535,537,7596,41766,0.1285750243841047,551,8173,63566,0.35603615235635894,467,2206,6196,0.7792395315257501,475,4857,6233,2020-08-08
UT,5229,51,2961,47,272,52,333,43,79,42,543,39,0.5694230769230769,47,2961,5200,0.08983451536643026,47,266,2961,0.05125262956588258,51,268,5229,0.13627992633517497,38,74,543,0.5948434622467772,38,323,543,2020-08-08
VA,17493,85,9981,77,1355,93,795,74,208,74,1392,74,0.6291632039890047,71,9842,15643,0.10780482917543333,77,1076,9981,0.07397244612130567,85,1294,17493,0.14363354037267081,68,185,1288,0.6118012422360248,70,788,1288,2020-08-08
VI,188,2,99,2,6,2,10,2,4,2,20,2,0.526595744680851,2,99,188,0.06060606060606061,2,6,99,0.031914893617021274,2,6,188,0.2,2,4,20,0.5,2,10,20,2020-08-08
VT,566,12,175,9,15,15,22,7,1,9,48,6,0.5384615384615384,7,175,325,0.08,9,14,175,0.024734982332155476,12,14,566,0.020833333333333332,6,1,48,0.4583333333333333,6,22,48,2020-08-08
WA,9591,82,8419,87,570,96,803,76,137,80,930,65,0.6170630591315732,73,5656,9166,0.06152741201819488,86,514,8354,0.03905101826579887,81,372,9526,0.0989247311827957,60,92,930,0.6255411255411255,60,578,924,2020-08-08
WI,11848,135,7352,129,685,139,830,122,158,130,1565,127,0.623011120615911,128,7283,11690,0.09085963003264418,129,668,7352,0.05638082376772451,135,668,11848,0.10095846645367412,127,158,1565,0.5344494526722473,122,830,1553,2020-08-08
WV,6473,60,4649,60,205,60,472,60,65,59,608,60,0.7182141201915649,60,4649,6473,0.04409550440955044,60,205,4649,0.03167001390390854,60,205,6473,0.10743801652892562,59,65,605,0.7763157894736842,60,472,608,2020-08-08
ID,3870,45,1934,43,209,46,192,38,40,45,284,40,0.5084121976866456,43,1934,3804,0.10806618407445709,43,209,1934,0.05400516795865633,45,209,3870,0.1267605633802817,40,36,284,0.6443661971830986,34,183,284,2020-08-08
IL,28450,178,15315,153,1799,186,1611,135,387,145,3016,119,0.5974125732767334,148,14777,24735,0.10048971596474045,153,1539,15315,0.06021089630931459,178,1713,28450,0.1132890365448505,116,341,3010,0.47747141896435774,115,1420,2974,2020-08-08
IN,16877,137,9884,134,926,137,1473,130,331,125,2336,130,0.5949199470326231,134,9884,16614,0.08839050131926121,133,871,9854,0.05306582774381195,136,894,16847,0.141999141999142,125,331,2331,0.6305650684931506,130,1473,2336,2020-08-08
KS,7247,123,3854,102,362,129,481,72,86,82,651,66,0.6225165562913907,102,3854,6191,0.06649214659685863,101,254,3820,0.04297795646748925,122,310,7213,0.11875,61,76,640,0.7843137254901961,63,480,612,2020-08-08
KY,12775,104,8576,106,722,106,1069,99,684,100,1562,101,0.6663796477495108,104,8513,12775,0.08418843283582089,106,722,8576,0.05651663405088063,104,722,12775,0.4424320827943079,100,684,1546,0.6843790012804097,99,1069,1562,2020-08-08
LA,13866,175,9268,170,568,55,1325,85,444,192,1654,77,0.6828638843828344,169,9261,13562,0.13831521739130434,46,509,3680,0.09733036707452725,51,525,5394,0.2350061199510404,73,384,1634,0.7394195888754534,76,1223,1654,2020-08-08
MA,16850,80,11767,79,383,80,932,75,61,74,1862,75,0.7007920910011316,79,11767,16791,0.03254865301266253,79,383,11767,0.022729970326409495,80,383,16850,0.03276047261009667,74,61,1862,0.5005370569280344,75,932,1862,2020-08-08
MD,10457,51,7280,45,975,50,734,45,175,49,1084,43,0.7894166124484927,45,7280,9222,0.12158054711246201,43,880,7238,0.09255165785679961,49,963,10405,0.14391143911439114,43,156,1084,0.6678966789667896,43,724,1084,2020-08-08
ME,2692,30,1677,30,39,31,182,29,7,26,263,27,0.669206094627105,29,1669,2494,0.020870602265951103,30,35,1677,0.01448736998514116,30,39,2692,0.027131782945736434,24,7,258,0.6577946768060836,27,173,263,2020-08-08
MI,23138,146,14168,124,793,148,1533,121,177,141,2109,119,0.744557406717411,123,13988,18787,0.044607566346696784,124,632,14168,0.0342726251188521,146,793,23138,0.06780464675201517,119,143,2109,0.7268847795163584,119,1533,2109,2020-08-08
MN,11420,127,7129,122,484,129,586,120,106,120,891,109,0.6818486269256531,121,7126,10451,0.06284191331182494,122,448,7129,0.04238178633975482,127,484,11420,0.11560044893378227,109,103,891,0.6520763187429854,109,581,891,2020-08-08
