state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,1,68,9209,70,5170,70,499,68,425,70,61,68,45,67,475,68,344,67,24,68,7,66,666,70,0.5614073189271365,70,5170,9209,0.10028135048231511,68,499,4976,0.05583529148483831,68,499,8937,0.0993485342019544,68,61,614,0.6381381381381381,70,425,666,2020-10-29
RI,7,13,2147,14,1801,14,179,13,126,14,20,13,19,14,178,13,174,14,1,13,1,13,159,14,0.8388448998602701,14,1801,2147,0.10164679159568427,13,179,1761,0.08672480620155039,13,179,2064,0.1388888888888889,13,20,144,0.7924528301886793,14,126,159,2020-10-29
SC,5,72,9579,74,7618,74,752,72,964,73,199,72,188,74,748,72,646,74,4,72,2,72,1329,73,0.7952813446079967,74,7618,9579,0.10014649087761353,72,752,7509,0.07986406117247238,72,752,9416,0.15510522213561964,71,199,1283,0.7253574115876599,73,964,1329,2020-10-29
SD,63,60,2779,63,1809,63,401,60,157,63,80,60,85,63,398,60,402,63,3,60,2,60,213,63,0.6509535804246132,63,1809,2779,0.2284900284900285,60,401,1755,0.14923706736136955,60,401,2687,0.40609137055837563,60,80,197,0.7370892018779343,63,157,213,2020-10-29
TN,24,103,19246,123,12938,120,1444,103,1670,119,425,102,405,102,1428,103,1295,103,16,103,8,103,2277,122,0.6921307441288183,120,12938,18693,0.12462242167946837,103,1444,11587,0.0879094119079508,103,1444,16426,0.2078239608801956,102,425,2045,0.7522522522522522,119,1670,2220,2020-10-29
TX,105,582,69574,585,49262,588,6263,583,5889,587,1738,583,1588,588,6182,583,5586,588,81,583,47,583,7670,583,0.708037485267485,585,49261,69574,0.12883650127540525,583,6263,48612,0.09116581027380312,580,6263,68699,0.23272629887520085,578,1738,7468,0.7677966101694915,583,5889,7670,2020-10-29
UT,0,51,5462,52,3108,52,338,51,400,52,130,51,127,52,329,51,314,52,9,51,9,51,634,52,0.5690223361406078,52,3108,5462,0.11031331592689295,51,338,3064,0.06293055296965183,51,338,5371,0.20833333333333334,51,130,624,0.6309148264984227,52,400,634,2020-10-29
VA,29,97,18210,100,11386,100,942,97,1285,100,225,97,185,100,914,97,669,100,28,97,16,97,2072,99,0.6252608456891817,100,11386,18210,0.08377056469542019,97,942,11245,0.05249080575058509,97,942,17946,0.11216350947158524,96,225,2006,0.6201737451737451,99,1285,2072,2020-10-29
VI,0,2,168,2,109,2,4,2,13,2,2,2,2,2,4,2,4,2,0,2,0,2,20,2,0.6488095238095238,2,109,168,0.03669724770642202,2,4,109,0.023809523809523808,2,4,168,0.1,2,2,20,0.65,2,13,20,2020-10-29
VT,0,15,763,16,404,16,4,15,36,16,1,15,1,16,4,15,1,16,0,15,0,15,67,16,0.5294888597640891,16,404,763,0.010582010582010581,15,4,378,0.005509641873278237,15,4,726,0.016666666666666666,15,1,60,0.5373134328358209,16,36,67,2020-10-29
WA,3,89,10878,89,8729,97,444,95,876,97,104,95,101,97,436,95,353,97,8,95,4,95,1024,89,0.6210700496414782,89,6756,10878,0.05141269106067624,95,444,8636,0.02903135758816414,87,312,10747,0.06986027944111776,87,70,1002,0.6708984375,89,687,1024,2020-10-29
WI,18,144,13240,147,8630,146,1813,144,1044,146,392,144,378,147,1789,144,1676,147,24,144,2,144,1625,147,0.6518126888217523,146,8630,13240,0.21486810551558752,143,1792,8340,0.1408264719589871,144,1813,12874,0.25274016763378465,144,392,1551,0.6424615384615384,146,1044,1625,2020-10-29
WV,12,55,6237,59,4229,59,370,55,482,59,93,55,84,59,367,55,309,59,3,55,1,55,658,59,0.6780503447170114,59,4229,6237,0.08952334865714977,55,370,4133,0.06127856906260351,55,370,6038,0.15321252059308071,55,93,607,0.7325227963525835,59,482,658,2020-10-29
MT,31,66,2926,66,2078,67,404,66,151,67,78,66,73,67,404,66,376,67,0,66,0,66,198,66,0.6671223513328777,66,1952,2926,0.19573643410852712,66,404,2064,0.13333333333333333,65,386,2895,0.3697916666666667,65,71,192,0.6868686868686869,66,136,198,2020-10-29
NC,9,118,22577,122,16508,122,1487,118,1893,121,392,118,356,121,1458,118,1095,122,29,117,9,117,2438,121,0.7311866058377995,122,16508,22577,0.09125498619208346,118,1487,16295,0.06673248664901495,118,1487,22283,0.16477511559478772,117,392,2379,0.7764561115668581,121,1893,2438,2020-10-29
ND,7,48,2175,49,1583,49,292,48,62,47,42,48,44,49,291,48,281,49,1,48,1,48,78,47,0.727816091954023,49,1583,2175,0.18741976893453144,48,292,1558,0.13587715216379712,48,292,2149,0.22972972972972974,46,17,74,0.7948717948717948,47,62,78,2020-10-29
NE,1,96,5186,97,3538,97,658,96,418,97,143,96,137,97,653,96,610,97,5,96,1,96,619,97,0.6822213652140378,97,3538,5186,0.18783899514701685,96,658,3503,0.12886799843321584,96,658,5106,0.23714759535655058,96,143,603,0.6752827140549273,97,418,619,2020-10-29
NH,2,29,3208,29,2023,29,64,29,142,29,17,29,9,29,64,29,36,29,0,29,0,29,282,29,0.6306109725685786,29,2023,3208,0.03163618388531883,29,64,2023,0.0199501246882793,29,64,3208,0.06028368794326241,29,17,282,0.5035460992907801,29,142,282,2020-10-29
NJ,45,78,20013,79,14031,79,1140,78,1378,79,196,78,175,79,1113,78,913,79,27,78,3,78,2275,79,0.701094288712337,79,14031,20013,0.08156256707447951,78,1140,13977,0.05738158755725575,78,1140,19867,0.08738296923762817,78,196,2243,0.6057142857142858,79,1378,2275,2020-10-29
NM,3,49,3728,51,2142,50,454,50,310,50,134,50,128,51,443,50,410,51,11,50,8,50,426,50,0.583969465648855,50,2142,3668,0.2150797486708555,49,445,2069,0.12537972935653136,50,454,3621,0.3316831683168317,49,134,404,0.7398568019093079,49,310,419,2020-10-29
NV,14,57,8328,59,6023,59,593,57,615,59,136,57,153,59,588,57,543,59,5,57,2,57,848,59,0.7232228626320846,59,6023,8328,0.1006449422946368,57,593,5892,0.07264486095798113,57,593,8163,0.17215189873417722,57,136,790,0.7252358490566038,59,615,848,2020-10-29
NY,57,167,55280,176,38441,176,2216,167,4110,175,432,167,308,176,2123,167,1376,176,93,167,27,167,6969,174,0.6953871201157742,176,38441,55280,0.058104777387382664,167,2216,38138,0.04057493362629314,167,2216,54615,0.06323185011709602,165,432,6832,0.5897546276366767,174,4110,6969,2020-10-29
OH,39,195,30922,203,20253,203,2084,199,2654,203,495,199,436,203,2025,199,1665,203,59,199,12,199,3919,203,0.6549705711144169,203,20253,30922,0.10397645063114304,199,2084,20043,0.0681379761320909,199,2084,30585,0.1283713692946058,199,495,3856,0.677213574891554,203,2654,3919,2020-10-29
OK,10,144,10873,146,7001,146,971,144,842,146,328,144,300,146,948,144,878,146,22,144,19,144,1157,146,0.6438885312241331,146,7001,10873,0.14374537379718727,144,971,6755,0.09195946585850932,144,971,10559,0.3014705882352941,144,328,1088,0.7277441659464131,146,842,1157,2020-10-29
OR,2,60,6738,62,4608,62,242,60,494,62,68,61,51,63,237,60,155,62,5,60,1,60,809,62,0.6838824577025824,62,4608,6738,0.05368234250221828,60,242,4508,0.03684531059683313,60,242,6568,0.08706786171574904,60,68,781,0.6106304079110012,62,494,809,2020-10-29
PA,17,192,33304,197,23755,198,1774,192,2840,198,418,192,398,198,1750,192,1491,198,24,192,10,192,3757,198,0.7101549363439827,197,23651,33304,0.07541875690842616,192,1774,23522,0.053752997237988286,191,1771,32947,0.11448918104628869,192,418,3651,0.7559222784136279,198,2840,3757,2020-10-29
AK,0,23,1493,23,919,23,97,23,89,23,12,22,10,22,96,23,78,23,1,23,1,23,130,23,0.6155391828533154,23,919,1493,0.10554951033732318,23,97,919,0.06496985934360348,23,97,1493,0.09230769230769231,22,12,130,0.6846153846153846,23,89,130,2020-10-29
AL,3,101,14839,105,10289,105,1132,102,1267,105,324,102,300,104,1122,102,993,104,10,101,7,102,1543,105,0.6933755643911315,105,10289,14839,0.11156006701488125,100,1132,10147,0.0775608084960603,100,1132,14595,0.216,100,324,1500,0.8211276733635774,105,1267,1543,2020-10-29
AR,14,87,8596,88,5197,89,678,87,737,89,223,87,204,89,672,87,567,89,6,87,3,87,1048,89,0.6045835272219637,88,5197,8596,0.13367507886435331,87,678,5072,0.08078160371738353,86,678,8393,0.223,87,223,1000,0.7032442748091603,89,737,1048,2020-10-29
AZ,7,95,14187,96,9571,98,940,95,1074,97,238,94,193,97,923,95,674,98,17,94,10,94,1923,98,0.6737153732290124,96,9558,14187,0.10012782275244994,95,940,9388,0.06692545467615556,93,931,13911,0.12816370490037696,94,238,1857,0.5585023400936038,97,1074,1923,2020-10-29
CA,20,381,64342,389,43463,389,3260,378,5068,385,823,376,718,384,3230,378,2563,385,30,373,18,372,7449,385,0.6754996736190979,389,43463,64342,0.07618602477214302,378,3260,42790,0.05154720680549626,378,3260,63243,0.11484789282723974,376,823,7166,0.6803597798362196,385,5068,7449,2020-10-29
