state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,17,179,28282,183,22383,204,1046,206,2687,173,193,178,3331,159,0.7210946892016123,183,20394,28282,0.045436268596702856,204,1017,22383,0.03305989675411923,183,935,28282,0.04983488441909337,152,166,3331,0.7544280996697689,154,2513,3331,2020-09-02
PR,6,68,8850,66,5355,68,589,68,472,67,75,65,678,66,0.5838418079096045,66,5167,8850,0.1099906629318394,68,589,5355,0.06576271186440678,66,582,8850,0.10993975903614457,64,73,664,0.6917404129793511,66,469,678,2020-09-02
RI,1,13,1899,13,1879,13,72,13,116,13,7,13,141,13,0.989468141126909,13,1879,1899,0.03831825439063331,13,72,1879,0.037914691943127965,13,72,1899,0.04964539007092199,13,7,141,0.8226950354609929,13,116,141,2020-09-02
SC,14,74,10181,81,7870,81,808,81,949,76,209,77,1321,75,0.7730085453295354,81,7870,10181,0.10266836086404066,81,808,7870,0.07936352028287988,81,808,10181,0.15745647236941712,75,208,1321,0.7161241483724451,75,946,1321,2020-09-02
SD,1,50,2221,50,1343,52,96,53,79,37,18,33,93,28,0.5974786132372805,50,1327,2221,0.07148175725986597,52,96,1343,0.04322377307519135,50,96,2221,0.14942528735632185,24,13,87,0.5783132530120482,27,48,83,2020-09-02
TN,9,89,19082,124,12708,121,774,94,1584,113,224,89,2090,117,0.6858438124021804,121,12708,18529,0.08281842818428184,93,764,9225,0.05570543200874954,93,764,13715,0.15223665223665223,86,211,1386,0.7822222222222223,113,1584,2025,2020-09-02
TX,89,535,65103,546,45890,554,5129,557,5079,503,1611,513,6519,488,0.693788168527543,544,44988,64844,0.1114045618247299,553,5104,45815,0.07753488300539975,545,5040,65003,0.22873492112588928,478,1479,6466,0.7756951912736212,487,5049,6509,2020-09-02
UT,3,53,5222,52,2995,53,171,53,334,46,47,44,539,42,0.5608962083492914,52,2929,5222,0.05709515859766277,53,171,2995,0.03255457679050172,52,170,5222,0.08719851576994433,41,47,539,0.6029684601113172,41,325,539,2020-09-02
VA,13,87,16501,88,10446,89,1136,96,793,79,181,80,1256,76,0.6297800133325253,88,10392,16501,0.10540019286403086,88,1093,10370,0.0639985357818315,87,1049,16391,0.1321656050955414,76,166,1256,0.6234076433121019,76,783,1256,2020-09-02
VI,0,2,188,2,105,2,7,2,12,2,2,2,20,2,0.5585106382978723,2,105,188,0.06666666666666667,2,7,105,0.03723404255319149,2,7,188,0.1,2,2,20,0.6,2,12,20,2020-09-02
