state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
PA,8,98,121,47,174,6,13,220,32259,227,25946,227,1304,221,152,227,353,220,6,220,17,219,2721,227,215,220,191,226,1239,221,983,227,65,220,35,220,3571,227,0.804302675222418,227,25946,32259,0.050739299610895,221,1304,25700,0.040862371521685,221,1304,31912,0.062049062049062,220,215,3465,0.761971436572389,227,2721,3571,2022/02/28,,0,222,8,213,10,215,16,213,15,214,21,212,28,211,28,214,26,223,2,215,26,207,29,207,28,207,54,206,60,206,74,207,68,207,12,216,16,201,5568,9,3778,18,0,18,3,218,9,219,0,64,0,64,43,1,64,219
PR,0,7,59,4,27,35,0,65,8909,65,5790,65,76,65,3,66,6,65,1,65,2,65,457,66,19,65,14,66,66,65,52,66,10,65,6,65,650,66,0.649904590863172,65,5790,8909,0.012874779541446,64,73,5670,0.008367721228794,64,73,8724,0.030645161290323,65,19,620,0.703076923076923,66,457,650,2022/02/28,,0,66,0,66,1,66,0,66,0,66,0,66,1,66,1,66,0,66,0,65,0,65,1,65,0,65,1,65,1,65,2,65,1,65,0,65,0,5,171,0,103,0,0,0,2,65,1,65,0,3,0,3,7,0,3,65
RI,1,1,13,6,7,2,5,14,2310,15,1964,15,64,14,6,15,7,14,0,14,0,14,111,15,14,14,11,15,62,14,51,15,2,14,1,14,133,15,0.85021645021645,15,1964,2310,0.032586558044807,14,64,1964,0.027705627705628,14,64,2310,0.105263157894737,14,14,133,0.834586466165414,15,111,133,2022/02/28,,0,15,0,15,0,15,0,15,1,15,1,15,3,15,1,15,0,15,0,14,0,14,2,14,0,14,1,14,2,14,2,14,0,14,0,14,1,2,7,0,0,0,0,0,0,14,0,14,0,2,0,2,0,0,2,14
SC,21,62,5,23,60,5,16,86,11767,88,8934,88,441,86,46,88,18,86,3,86,2,86,943,88,94,86,93,88,429,86,408,88,12,86,11,86,1322,88,0.759241947820175,88,8934,11767,0.049903813511373,86,441,8837,0.038046760417565,86,441,11591,0.073380171740827,86,94,1281,0.713313161875946,88,943,1322,2022/02/28,,0,88,3,82,2,82,1,82,9,82,7,82,14,82,10,82,0,83,1,85,0,79,1,79,1,79,2,79,2,79,3,79,8,80,0,81,3,60,1642,1595,1722,0,0,0,2,86,3,86,0,54,0,54,37,0,54,86
SD,0,55,10,5,50,10,23,62,2433,65,1585,65,122,62,12,65,5,62,0,62,1,62,129,65,23,62,24,65,119,62,105,65,3,62,2,62,250,65,0.651459103986848,65,1585,2433,0.078507078507079,62,122,1554,0.051542036332911,62,122,2367,0.095833333333333,62,23,240,0.516,65,129,250,2022/02/28,,0,64,0,48,2,47,1,47,2,47,2,47,1,48,4,47,0,65,1,62,0,45,0,44,0,43,1,44,0,44,0,44,3,44,0,62,0,9,500,2,1131,34,0,73,1,62,8,62,0,6,0,6,19,0,6,62
TN,3,62,77,22,52,68,37,139,18361,142,12839,142,1046,139,72,142,37,139,1,139,0,139,1386,142,223,139,224,142,1005,139,941,142,41,139,40,139,2013,142,0.699253853275965,142,12839,18361,0.083200763601654,139,1046,12572,0.058001552622824,139,1046,18034,0.115904365904366,139,223,1924,0.688524590163934,142,1386,2013,2022/02/28,,0,142,2,141,7,141,5,141,6,141,17,141,17,141,16,141,2,142,1,139,6,138,4,138,4,138,2,138,8,138,2,137,8,138,2,139,12,61,8,0,106,56,0,0,7,139,10,139,0,61,0,61,44,4,61,139
TX,7,104,483,11,100,483,101,589,69213,594,53067,594,3580,589,332,594,335,589,26,589,93,589,5785,594,760,589,713,594,3422,589,2933,594,158,589,112,589,6688,594,0.76672012483204,594,53067,69213,0.068277611427918,589,3580,52433,0.05227956423961,589,3580,68478,0.11633246594214,589,760,6533,0.864982057416268,594,5785,6688,2022/02/28,,3,591,23,584,23,584,33,584,48,583,70,584,66,584,54,585,12,594,5,587,26,579,38,579,34,580,55,579,53,579,60,579,55,578,9,589,48,573,315,1,176,1976,0,0,23,589,58,589,0,102,0,102,188,2,102,589
UT,0,49,9,2,47,9,1,57,6075,58,4477,58,281,57,46,58,3,57,12,57,0,57,360,58,63,57,63,58,241,57,230,58,40,57,2,57,448,58,0.736954732510288,58,4477,6075,0.063517179023508,57,281,4424,0.046848949649883,57,281,5998,0.143835616438356,57,63,438,0.803571428571429,58,360,448,2022/02/28,,0,58,10,55,10,55,5,55,4,55,8,55,6,55,2,55,1,58,0,57,1,54,0,54,0,54,1,54,0,54,1,54,0,54,0,57,0,44,441,30,201,0,0,0,1,57,2,57,0,42,0,42,40,5,42,57
VA,12,71,23,18,68,20,38,103,17770,106,13189,106,785,103,58,106,130,103,4,103,7,103,1321,106,168,103,164,106,760,103,689,106,25,103,21,103,1903,106,0.742205965109736,106,13189,17770,0.060222477943997,103,785,13035,0.044716604955853,103,785,17555,0.090712742980562,103,168,1852,0.694167104571729,106,1321,1903,2022/02/28,,1,106,2,102,3,102,2,102,4,102,18,102,12,102,16,101,0,106,2,101,8,98,5,98,11,100,17,98,30,100,27,99,28,98,2,103,10,75,995,1428,782,96,0,133,5,103,2,103,0,73,0,73,33,5,73,103
VI,0,2,0,2,0,0,0,2,168,2,106,2,3,2,0,2,0,2,0,2,0,2,11,2,0,2,0,2,3,2,3,2,0,2,0,2,20,2,0.630952380952381,2,106,168,0.028301886792453,2,3,106,0.017857142857143,2,3,168,0,2,0,20,0.55,2,11,20,2022/02/28,,0,2,,0,,0,,0,,0,,0,,0,,0,0,2,0,2,,0,,0,,0,,0,,0,,0,,0,0,2,,0,146,,125,0,,30,0,2,0,2,,0,,0,0,,0,2
