state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/06/19,488877,488058,489696,71.1,70.85,71.34,687638,686680,688596,
CW,2021/06/20,474526,473854,475199,69.36,69.23,69.5,684107,683276,684939,
CW,2021/06/21,480074,479392,480757,70.12,69.91,70.33,684637,683588,685686,
CW,2021/06/22,507646,506997,508296,73.64,73.51,73.76,689406,688571,690241,
CW,2021/06/23,516723,516061,517385,74.61,74.47,74.75,692579,691727,693431,
CW,2021/06/24,515074,514457,515690,74.31,74.23,74.39,693150,692351,693950,
CW,2021/06/25,507672,506838,508506,73.43,73.17,73.69,691375,690350,692400,
CW,2021/06/26,487278,486276,488280,70.94,70.58,71.3,686900,685692,688109,
CW,2021/06/27,475034,473988,476080,69.41,69.02,69.79,684426,683202,685650,
CW,2021/06/28,481826,480861,482791,70.36,70.07,70.66,684771,683858,685684,
CW,2021/06/29,506847,506190,507505,73.38,73.19,73.57,690704,689739,691668,
CW,2021/06/30,515859,515243,516474,74.44,74.34,74.54,693003,692250,693756,
CW,2021/07/01,512866,512274,513458,74.04,73.92,74.15,692720,691968,693471,
CW,2021/07/02,504713,504085,505341,73.05,72.9,73.21,690890,690101,691680,
CW,2021/07/03,481701,481007,482395,70.2,70.01,70.39,686188,685389,686986,
CW,2021/07/04,465829,465168,466490,68.14,67.96,68.33,683598,682804,684391,
CW,2021/07/05,463698,463029,464367,67.97,67.76,68.18,682231,681397,683065,
CW,2021/07/06,480578,479814,481342,70.19,69.93,70.44,684697,683806,685588,
CW,2021/07/07,508074,507482,508665,73.52,73.37,73.68,691039,690316,691763,
CW,2021/07/08,516655,516089,517220,74.55,74.32,74.79,693016,692323,693710,
CW,2021/07/09,515387,514845,515929,74.44,74.22,74.66,692339,691673,693004,
CW,2021/07/10,497561,496976,498145,72.28,72.03,72.52,688407,687684,689130,
CW,2021/07/11,485525,484733,486317,70.82,70.51,71.14,685534,684783,686284,
CW,2021/07/12,492100,491567,492633,71.55,71.27,71.82,687813,686958,688668,
CW,2021/07/13,514832,514304,515361,74.16,73.89,74.44,694173,693299,695046,
CW,2021/07/14,524356,523728,524985,75.52,75.23,75.81,694304,693480,695127,
CW,2021/07/15,524251,523838,524664,75.45,75.27,75.63,694862,694367,695358,
CW,2021/07/16,519917,519428,520406,74.9,74.68,75.11,694190,693612,694767,
CW,2021/07/17,502772,501762,503782,72.75,72.27,73.23,691069,689706,692431,
CW,2021/07/18,489683,488502,490864,71.12,70.55,71.69,688526,686910,690141,
CW,2021/07/19,495621,493140,498102,71.91,70.76,73.05,689262,686118,692406,
AL,2021/06/19,9679,9676,9682,70.25,70.25,70.25,13778,13778,13778,POINT (-86.844516 32.756889)
AR,2021/06/19,5431,5431,5431,70.55,70.55,70.55,7698,7698,7698,POINT (-92.439162 34.899825)
CT,2021/06/19,6049,6049,6049,77.52,77.52,77.52,7803,7803,7803,POINT (-72.738288 41.575155)
DC,2021/06/19,2109,2109,2109,76.89,76.89,76.89,2743,2743,2743,POINT (-77.016275 38.904785)
FL,2021/06/19,39554,39554,39554,75.73,75.73,75.73,52233,52233,52233,POINT (-82.420978 28.260731)
HI,2021/06/19,1739,1739,1739,70.23,70.23,70.23,2476,2476,2476,POINT (-157.854309 21.361013)
IA,2021/06/19,4550,4550,4550,59.55,59.55,59.55,7641,7628,7654,POINT (-93.500061 42.074659)
IL,2021/06/19,18698,18686,18710,66.17,65.91,66.44,28256,28214,28298,POINT (-89.148632 40.124144)
KY,2021/06/19,7005,7005,7005,57.5,57.5,57.5,12182,12182,12182,POINT (-85.290484 37.526683)
MA,2021/06/19,13529,13098,13960,81.34,73.58,89.11,16632,16151,17113,POINT (-71.481104 42.151077)
ME,2021/06/19,1916,1916,1916,67.02,67.02,67.02,2859,2859,2859,POINT (-69.06137 45.117911)
AL,2021/06/20,9506,9500,9513,69.12,69.12,69.12,13753,13753,13753,POINT (-86.844516 32.756889)
AR,2021/06/20,5218,5218,5218,68.55,68.55,68.55,7612,7612,7612,POINT (-92.439162 34.899825)
CT,2021/06/20,5760,5760,5760,74,74,74,7784,7784,7784,POINT (-72.738288 41.575155)
DC,2021/06/20,2003,2003,2003,73.86,73.86,73.86,2712,2712,2712,POINT (-77.016275 38.904785)
FL,2021/06/20,38380,38380,38380,73.87,73.87,73.87,51957,51957,51957,POINT (-82.420978 28.260731)
HI,2021/06/20,1726,1726,1726,69.88,69.88,69.88,2470,2470,2470,POINT (-157.854309 21.361013)
IA,2021/06/20,4255,4255,4255,55.86,55.86,55.86,7617,7617,7617,POINT (-93.500061 42.074659)
IL,2021/06/20,18039,18028,18050,63.88,63.66,64.11,28238,28202,28274,POINT (-89.148632 40.124144)
KY,2021/06/20,6813,6810,6816,55.96,55.96,55.96,12174,12174,12174,POINT (-85.290484 37.526683)
MA,2021/06/20,13150,13150,13150,79.84,79.84,79.84,16471,16471,16471,POINT (-71.481104 42.151077)
ME,2021/06/20,1901,1901,1901,66.73,66.73,66.73,2849,2849,2849,POINT (-69.06137 45.117911)
AL,2021/06/21,9704,9704,9704,70.36,70.36,70.36,13791,13791,13791,POINT (-86.844516 32.756889)
AR,2021/06/21,5286,5276,5297,69.14,69.14,69.14,7646,7646,7646,POINT (-92.439162 34.899825)
CT,2021/06/21,5808,5808,5808,74.63,74.63,74.63,7782,7782,7782,POINT (-72.738288 41.575155)
DC,2021/06/21,2068,2068,2068,75.17,75.17,75.17,2751,2751,2751,POINT (-77.016275 38.904785)
FL,2021/06/21,38858,38858,38858,74.52,74.52,74.52,52143,52143,52143,POINT (-82.420978 28.260731)
HI,2021/06/21,1711,1711,1711,69.13,69.13,69.13,2475,2475,2475,POINT (-157.854309 21.361013)
IA,2021/06/21,4458,4454,4463,58.24,58.24,58.24,7655,7655,7655,POINT (-93.500061 42.074659)
IL,2021/06/21,18345,18335,18355,64.94,64.72,65.17,28249,28213,28285,POINT (-89.148632 40.124144)
KY,2021/06/21,6874,6698,7050,56.26,56.26,56.26,12219,12219,12219,POINT (-85.290484 37.526683)
MA,2021/06/21,13221,13221,13221,79.97,79.97,79.97,16532,16532,16532,POINT (-71.481104 42.151077)
ME,2021/06/21,1945,1945,1945,68.15,68.15,68.15,2854,2854,2854,POINT (-69.06137 45.117911)
AL,2021/06/22,10227,10227,10227,74.23,74.23,74.23,13777,13777,13777,POINT (-86.844516 32.756889)
AR,2021/06/22,5701,5701,5701,73.45,73.45,73.45,7762,7762,7762,POINT (-92.439162 34.899825)
CT,2021/06/22,6108,6108,6108,78.61,78.61,78.61,7770,7770,7770,POINT (-72.738288 41.575155)
DC,2021/06/22,2163,2163,2163,78.68,78.68,78.68,2749,2749,2749,POINT (-77.016275 38.904785)
FL,2021/06/22,41453,41452,41454,78.92,78.83,79,52527,52502,52552,POINT (-82.420978 28.260731)
HI,2021/06/22,1718,1718,1719,69.63,69.63,69.63,2468,2468,2468,POINT (-157.854309 21.361013)
IA,2021/06/22,4834,4834,4834,63.34,63.34,63.34,7632,7632,7632,POINT (-93.500061 42.074659)
IL,2021/06/22,19527,19517,19537,69.02,68.79,69.25,28292,28255,28329,POINT (-89.148632 40.124144)
KY,2021/06/22,7362,7358,7367,60.25,60.25,60.25,12219,12219,12219,POINT (-85.290484 37.526683)
MA,2021/06/22,13818,13818,13818,82.83,82.83,82.83,16683,16683,16683,POINT (-71.481104 42.151077)
ME,2021/06/22,2071,2071,2071,72.03,72.03,72.03,2875,2875,2875,POINT (-69.06137 45.117911)
AL,2021/06/23,10470,10470,10470,75.78,75.78,75.78,13816,13816,13816,POINT (-86.844516 32.756889)
AR,2021/06/23,5858,5856,5860,74.29,74.29,74.29,7885,7885,7885,POINT (-92.439162 34.899825)
CT,2021/06/23,6177,6177,6177,79.44,79.44,79.44,7776,7776,7776,POINT (-72.738288 41.575155)
DC,2021/06/23,2220,2220,2220,80.09,80.09,80.09,2772,2772,2772,POINT (-77.016275 38.904785)
FL,2021/06/23,41953,41952,41954,79.79,79.68,79.91,52576,52543,52609,POINT (-82.420978 28.260731)
HI,2021/06/23,1747,1747,1747,70.47,70.47,70.47,2479,2479,2479,POINT (-157.854309 21.361013)
IA,2021/06/23,4922,4922,4922,64.26,64.26,64.26,7660,7660,7660,POINT (-93.500061 42.074659)
IL,2021/06/23,19795,19785,19805,69.97,69.74,70.19,28292,28256,28328,POINT (-89.148632 40.124144)
KY,2021/06/23,7648,7647,7650,61.06,61.06,61.06,12526,12526,12526,POINT (-85.290484 37.526683)
MA,2021/06/23,14037,14037,14037,83.65,83.65,83.65,16781,16781,16781,POINT (-71.481104 42.151077)
ME,2021/06/23,2099,2099,2099,72.88,72.88,72.88,2880,2880,2880,POINT (-69.06137 45.117911)
AL,2021/06/24,10519,10519,10519,76.17,76.17,76.17,13810,13810,13810,POINT (-86.844516 32.756889)
AR,2021/06/24,5731,5731,5731,73.43,73.43,73.43,7805,7805,7805,POINT (-92.439162 34.899825)
CT,2021/06/24,6150,6150,6150,79.08,79.08,79.08,7777,7777,7777,POINT (-72.738288 41.575155)
DC,2021/06/24,2224,2224,2224,80.93,80.93,80.93,2748,2748,2748,POINT (-77.016275 38.904785)
FL,2021/06/24,41758,41757,41759,79.5,79.38,79.61,52528,52495,52561,POINT (-82.420978 28.260731)
HI,2021/06/24,1729,1729,1729,69.77,69.77,69.77,2478,2478,2478,POINT (-157.854309 21.361013)
IA,2021/06/24,4856,4855,4857,63.64,63.35,63.94,7630,7616,7644,POINT (-93.500061 42.074659)
IL,2021/06/24,19737,19728,19746,69.79,69.59,69.99,28282,28251,28313,POINT (-89.148632 40.124144)
KY,2021/06/24,7126,7118,7133,58.33,58.33,58.33,12216,12216,12216,POINT (-85.290484 37.526683)
MA,2021/06/24,14033,14033,14033,83.56,83.56,83.56,16793,16793,16793,POINT (-71.481104 42.151077)
ME,2021/06/24,2082,2082,2082,72.14,72.14,72.14,2886,2886,2886,POINT (-69.06137 45.117911)
AL,2021/06/25,10418,10418,10418,75.59,75.59,75.59,13783,13783,13783,POINT (-86.844516 32.756889)
AR,2021/06/25,5696,5696,5696,73.49,73.49,73.49,7751,7751,7751,POINT (-92.439162 34.899825)
CT,2021/06/25,6063,6063,6063,77.84,77.84,77.84,7789,7789,7789,POINT (-72.738288 41.575155)
DC,2021/06/25,2163,2163,2163,78.74,78.74,78.74,2747,2747,2747,POINT (-77.016275 38.904785)
FL,2021/06/25,41342,41341,41343,78.82,78.74,78.91,52449,52424,52474,POINT (-82.420978 28.260731)
HI,2021/06/25,1705,1705,1705,68.67,68.67,68.67,2483,2483,2483,POINT (-157.854309 21.361013)
IA,2021/06/25,4804,4804,4804,62.95,62.95,62.95,7631,7631,7631,POINT (-93.500061 42.074659)
IL,2021/06/25,19605,19599,19611,69.42,69.29,69.55,28242,28221,28263,POINT (-89.148632 40.124144)
KY,2021/06/25,7322,7311,7332,59.93,59.93,59.93,12217,12217,12217,POINT (-85.290484 37.526683)
MA,2021/06/25,13758,13758,13758,82.53,82.53,82.53,16671,16671,16671,POINT (-71.481104 42.151077)
ME,2021/06/25,2065,2065,2065,71.7,71.7,71.7,2880,2880,2880,POINT (-69.06137 45.117911)
AL,2021/06/26,9783,9783,9783,71.07,71.07,71.07,13765,13765,13765,POINT (-86.844516 32.756889)
AR,2021/06/26,5342,5342,5342,69.71,69.71,69.71,7663,7663,7663,POINT (-92.439162 34.899825)
CT,2021/06/26,5822,5822,5822,74.8,74.8,74.8,7783,7783,7783,POINT (-72.738288 41.575155)
DC,2021/06/26,2110,2110,2110,76.95,76.95,76.95,2742,2742,2742,POINT (-77.016275 38.904785)
FL,2021/06/26,39497,39497,39497,76.02,76.02,76.02,51954,51954,51954,POINT (-82.420978 28.260731)
HI,2021/06/26,1705,1705,1705,68.78,68.78,68.78,2479,2479,2479,POINT (-157.854309 21.361013)
IA,2021/06/26,4582,4579,4585,60.2,60.2,60.2,7611,7611,7611,POINT (-93.500061 42.074659)
IL,2021/06/26,18754,18749,18759,66.51,66.39,66.63,28196,28177,28215,POINT (-89.148632 40.124144)
KY,2021/06/26,7164,7159,7169,58.63,58.63,58.63,12220,12220,12220,POINT (-85.290484 37.526683)
MA,2021/06/26,13490,13490,13490,81.11,81.11,81.11,16632,16632,16632,POINT (-71.481104 42.151077)
ME,2021/06/26,1969,1969,1969,68.39,68.39,68.39,2879,2879,2879,POINT (-69.06137 45.117911)
AL,2021/06/27,9630,9630,9630,69.81,69.81,69.81,13794,13794,13794,POINT (-86.844516 32.756889)
AR,2021/06/27,5212,5212,5212,68.51,68.51,68.51,7608,7608,7608,POINT (-92.439162 34.899825)
CT,2021/06/27,5636,5636,5636,72.5,72.5,72.5,7774,7774,7774,POINT (-72.738288 41.575155)
DC,2021/06/27,2054,2054,2054,75.71,75.71,75.71,2713,2713,2713,POINT (-77.016275 38.904785)
FL,2021/06/27,38794,38794,38794,74.55,74.55,74.55,52041,52041,52041,POINT (-82.420978 28.260731)
HI,2021/06/27,1701,1701,1701,68.81,68.81,68.81,2472,2472,2472,POINT (-157.854309 21.361013)
IA,2021/06/27,4337,4337,4337,56.92,56.92,56.92,7620,7545,7695,POINT (-93.500061 42.074659)
IL,2021/06/27,18030,18026,18034,63.91,63.82,64,28211,28196,28226,POINT (-89.148632 40.124144)
KY,2021/06/27,7049,7008,7090,57.7,57.7,57.7,12217,12217,12217,POINT (-85.290484 37.526683)
MA,2021/06/27,13121,13121,13121,79.23,79.23,79.23,16561,16561,16561,POINT (-71.481104 42.151077)
ME,2021/06/27,1937,1937,1937,67.49,67.49,67.49,2870,2870,2870,POINT (-69.06137 45.117911)
AL,2021/06/28,9857,9857,9857,71.47,71.47,71.47,13792,13792,13792,POINT (-86.844516 32.756889)
