state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
PA,26,179,6,30,175,6,27,205,29390,211,24964,211,2783,205,283,211,377,205,7,204,28,204,2986,211,607,205,592,211,2702,205,2350,211,81,205,39,205,3569,211,0.849404559373937,211,24964,29390,0.112498989409006,205,2783,24738,0.09590929455147,205,2783,29017,0.175230946882217,205,607,3464,0.836648921266461,211,2986,3569,2021/09/10,,1,208,19,208,25,208,29,208,40,208,53,209,49,209,45,208,22,203,1,201,35,201,36,201,30,201,38,201,91,200,66,201,76,201,4,197,25,205,5392,7026,3623,905,485,232
PR,0,10,55,0,10,55,12,64,9237,65,5491,65,363,64,20,65,16,64,2,64,2,64,454,65,96,64,73,65,344,64,304,65,19,64,10,64,647,65,0.594457074807838,65,5491,9237,0.067673378076063,64,363,5364,0.040110497237569,64,363,9050,0.154838709677419,64,96,620,0.701700154559505,65,454,647,2021/09/10,,1,65,0,65,0,65,4,65,3,65,3,65,3,65,6,65,0,65,0,64,1,64,1,64,3,64,2,64,4,64,4,64,1,64,0,64,7,64,491,20,1098,103,0,9
RI,6,6,2,6,6,2,2,13,2455,14,2169,14,102,13,15,14,5,13,0,13,0,13,119,14,22,13,19,14,100,13,94,14,2,13,1,13,146,14,0.883503054989817,14,2169,2455,0.048181388757676,13,102,2117,0.042517715714881,13,102,2399,0.160583941605839,13,22,137,0.815068493150685,14,119,146,2021/09/10,,0,14,3,14,2,14,5,14,2,14,0,14,2,14,1,14,0,14,0,13,0,13,1,13,1,13,0,13,0,13,1,13,2,13,0,13,1,13,83,266,33,0,0,8
SC,30,41,5,30,41,5,11,74,10768,76,9186,76,2581,74,303,76,75,74,9,74,5,74,1227,76,613,74,621,76,2555,74,2518,76,26,74,24,74,1421,76,0.853083209509658,76,9186,10768,0.284658652255432,74,2581,9067,0.243490566037736,74,2581,10600,0.44356005788712,74,613,1382,0.86347642505278,76,1227,1421,2021/09/10,,3,76,10,76,25,76,27,76,60,76,90,76,50,76,38,76,0,71,0,74,2,74,3,74,10,74,20,74,16,74,9,74,12,74,3,69,43,74,3000,2479,1304,1577,19,52
SD,1,60,3,1,60,3,31,61,2655,64,1608,64,204,61,26,64,13,61,1,61,3,61,162,64,58,61,63,64,197,61,192,64,7,61,5,61,249,64,0.605649717514124,64,1608,2655,0.130019120458891,61,204,1569,0.078825347758887,61,204,2588,0.243697478991597,61,58,238,0.650602409638554,64,162,249,2021/09/10,,0,64,3,64,0,64,1,64,6,64,6,64,2,64,7,64,1,64,0,61,0,61,1,61,1,61,2,61,4,61,3,61,2,61,0,61,3,61,973,146,637,404,2,84
TN,25,73,42,44,54,42,40,99,19712,140,13753,127,3590,99,327,99,62,99,9,99,2,99,1934,137,1028,99,1012,99,3526,99,3398,99,64,99,59,99,2433,140,0.736123748862602,127,13753,18683,0.281556444653644,98,3589,12747,0.209341652574494,99,3590,17149,0.445793581960104,99,1028,2306,0.80650542118432,137,1934,2398,2021/09/10,,3,99,20,99,35,99,30,99,57,99,82,99,42,99,37,99,21,99,0,99,3,99,7,99,6,99,8,99,11,99,10,99,6,99,11,99,89,99,860,0,150,290,0,0
TX,20,70,416,19,71,416,70,501,63812,506,51081,506,13679,501,1302,506,450,501,54,501,132,501,7268,506,3744,501,3727,506,13340,501,12786,506,339,501,268,501,7741,506,0.800492070456967,506,51081,63812,0.271128993895188,501,13679,50452,0.217068410111557,501,13679,63017,0.495959729765532,501,3744,7549,0.938896783361323,506,7268,7741,2021/09/10,,3,506,81,505,138,505,191,505,235,505,242,505,177,505,138,505,97,506,3,501,36,500,44,500,57,500,61,500,80,500,70,500,53,500,46,501,218,501,836,1708,224,1521,0,0
UT,1,43,9,2,42,9,0,52,5559,53,3634,53,557,52,67,53,2,52,7,52,0,52,470,53,210,52,212,53,545,52,525,53,12,52,1,52,616,53,0.65371469688793,53,3634,5559,0.15510999721526,52,557,3591,0.10149416909621,52,557,5488,0.346534653465346,52,210,606,0.762987012987013,53,470,616,2021/09/10,,3,53,0,53,10,53,12,53,12,53,10,53,18,53,2,53,0,53,0,52,0,52,0,52,0,52,1,52,0,52,1,52,0,52,0,52,2,52,212,224,106,102,0,4
VA,19,62,20,20,61,20,43,98,17658,101,13393,101,2086,98,191,101,209,98,16,98,12,98,1489,101,492,98,491,101,2047,98,1827,101,39,98,13,98,1948,101,0.758466417487824,101,13393,17658,0.157719643127174,98,2086,13226,0.119829963235294,98,2086,17408,0.259904912836767,98,492,1893,0.764373716632444,101,1489,1948,2021/09/10,,1,101,11,101,19,101,22,101,34,101,33,101,41,101,22,101,8,101,3,98,11,98,17,98,21,98,28,98,44,98,48,98,37,98,0,98,27,98,1188,4350,695,605,0,16
VI,2,0,0,2,0,0,0,2,168,2,97,2,6,2,2,2,0,2,0,2,0,2,11,2,2,2,2,2,6,2,6,2,0,2,0,2,20,2,0.577380952380952,2,97,168,0.061855670103093,2,6,97,0.035714285714286,2,6,168,0.1,2,2,20,0.55,2,11,20,2021/09/10,,0,2,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,205,17,136,19,0,0
VT,1,15,1,1,15,1,0,16,1269,17,916,17,40,16,11,17,7,16,0,16,0,16,77,17,10,16,11,17,40,16,40,17,0,16,0,16,103,17,0.721828211189913,17,916,1269,0.044742729306488,16,40,894,0.032441200324412,16,40,1233,0.103092783505155,16,10,97,0.747572815533981,17,77,103,2021/09/10,,0,17,0,17,2,17,0,17,0,17,2,17,2,17,5,17,0,17,0,16,0,16,1,16,0,16,1,16,3,16,1,16,1,16,0,16,0,16,,,,,0,
WA,17,69,4,18,68,4,19,88,12229,90,9331,90,1862,88,140,90,175,88,3,88,18,88,1016,90,445,88,430,90,1829,88,1589,90,33,88,15,88,1266,90,0.763022323983972,90,9331,12229,0.201646090534979,88,1862,9234,0.154011579818031,88,1862,12090,0.357142857142857,88,445,1246,0.802527646129542,90,1016,1266,2021/09/10,,0,90,8,89,15,89,20,89,25,89,32,89,21,89,15,89,4,90,4,88,19,87,21,87,16,87,24,87,30,87,21,87,22,87,18,88,22,88,386,61,23,342,0,6
WI,33,85,22,38,80,22,8,137,12262,140,8760,140,1107,137,216,140,38,137,6,137,12,137,981,140,316,137,315,140,1083,137,1055,140,24,137,14,137,1474,140,0.714402218235198,140,8760,12262,0.129141390573962,137,1107,8572,0.092203898050975,137,1107,12006,0.222222222222222,137,316,1422,0.665535956580733,140,981,1474,2021/09/10,,0,140,15,137,16,137,17,137,33,137,39,137,29,137,18,137,49,140,0,137,6,134,2,134,2,134,4,134,6,134,7,134,7,134,4,137,21,137,3294,3973,1107,691,23,24
IA,2,27,93,5,25,92,1,120,7742,122,5335,122,662,120,87,122,56,120,6,120,14,120,497,122,176,120,165,122,637,120,564,122,25,120,15,120,641,122,0.689098424179798,122,5335,7742,0.12583159095229,120,662,5261,0.086592544146501,120,662,7645,0.282958199356913,120,176,622,0.775351014040562,122,497,641,2021/09/10,,0,122,8,122,5,122,13,122,16,122,13,122,21,122,10,122,1,122,2,120,8,120,7,120,2,120,7,120,17,120,9,120,4,120,0,120,6,120,48,22,46,3,0,0
ID,3,36,10,4,35,10,7,48,3503,49,2392,49,685,48,78,49,3,48,0,48,1,48,266,49,174,48,178,49,679,48,687,49,6,48,6,48,296,49,0.682843277190979,49,2392,3503,0.292485055508113,48,685,2342,0.198781195589089,48,685,3446,0.608391608391608,48,174,286,0.898648648648649,49,266,296,2021/09/10,,0,49,1,49,7,49,9,49,12,49,24,49,15,49,10,49,0,49,0,48,0,48,0,48,0,48,0,48,1,48,1,48,0,48,1,48,9,48,895,463,388,174,0,1
IL,10,144,26,11,143,26,17,175,27583,180,20364,180,2192,175,229,180,297,175,9,175,39,175,2226,180,491,175,474,180,2134,175,1926,180,58,175,28,175,3179,180,0.738280825145923,180,20364,27583,0.108881382873038,175,2192,20132,0.080543817747566,175,2192,27215,0.158233967128585,175,491,3103,0.700220195029884,180,2226,3179,2021/09/10,,2,178,13,180,16,179,32,179,48,179,40,179,45,179,30,179,3,171,2,174,22,174,34,174,37,175,43,174,53,174,61,174,44,174,1,166,30,175,4616,3353,2006,717,1,23
