state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,1,19,48,1,19,48,4,67,8989,68,5531,68,225,67,232,68,831,67,0,67,9,67,494,68,43,67,36,68,205,67,141,68,20,67,2,67,686,68,0.6153075981755479,68,5531,8989,0.04161272424634733,67,225,5407,0.02556237218813906,67,225,8802,0.06564885496183206,67,43,655,0.7201166180758017,68,494,686,2021-02-15
RI,4,10,1,4,10,1,6,14,2356,15,2349,15,223,14,11,15,1,14,1,14,0,14,137,15,29,14,29,15,222,14,182,15,1,14,1,14,178,15,0.9970288624787776,15,2349,2356,0.09695652173913044,14,223,2300,0.09772129710780017,14,223,2282,0.18012422360248448,14,29,161,0.7696629213483146,15,137,178,2021-02-15
SC,22,62,2,22,62,2,6,84,11349,86,9077,86,1066,84,135,86,93,84,0,84,1,84,1017,86,253,84,245,86,1054,84,969,86,12,84,11,84,1317,86,0.7998061503216143,86,9077,11349,0.11880084698540065,84,1066,8973,0.09540857424147499,84,1066,11173,0.1981205951448708,84,253,1277,0.7722095671981777,86,1017,1317,2021-02-15
SD,1,60,3,1,60,3,22,61,2800,64,1589,64,95,61,10,64,13,61,1,61,0,61,133,64,17,61,15,64,92,61,70,64,3,61,2,61,244,64,0.5675,64,1589,2800,0.06081946222791293,61,95,1562,0.0348112861854159,61,95,2729,0.07296137339055794,61,17,233,0.5450819672131147,64,133,244,2021-02-15
TN,20,69,54,27,62,54,17,89,20345,143,12743,128,896,89,117,89,53,89,3,89,1,89,1632,140,257,89,248,89,883,89,810,89,13,89,10,89,2330,143,0.6678021171784928,128,12743,19082,0.08527648234510327,89,896,10507,0.058462743051024404,89,896,15326,0.12999494183105717,89,257,1977,0.7179938407391113,140,1632,2273,2021-02-15
TX,124,466,5,146,444,5,102,590,67591,595,50722,595,10015,590,772,595,628,590,20,590,61,590,6553,595,2404,590,2338,595,9874,590,9291,595,141,590,107,590,7881,595,0.7504253524877572,595,50722,67591,0.19958548396739673,590,10015,50179,0.14982646161211177,590,10015,66844,0.3114796579424721,590,2404,7718,0.8314934652962822,595,6553,7881,2021-02-15
UT,0,58,1,0,58,1,0,58,6214,59,3676,59,269,58,38,59,7,58,3,58,1,58,392,59,104,58,103,59,258,58,236,59,11,58,0,58,624,59,0.5915674283875121,59,3676,6214,0.07416597739178385,58,269,3627,0.043954248366013075,58,269,6120,0.1716171617161716,58,104,606,0.6282051282051282,59,392,624,2021-02-15
VA,22,76,9,21,77,9,50,104,18296,107,13483,107,1652,104,126,107,177,104,8,104,12,104,1411,107,273,104,269,107,1622,104,1408,107,30,104,15,104,2007,107,0.7369370354175776,107,13483,18296,0.12394028059119214,104,1652,13329,0.09161490683229814,104,1652,18032,0.14101239669421486,104,273,1936,0.7030393622321873,107,1411,2007,2021-02-15
VI,2,0,0,2,0,0,0,2,168,2,100,2,0,2,0,2,0,2,0,2,0,2,9,2,0,2,0,2,0,2,0,2,0,2,0,2,20,2,0.5952380952380952,2,100,168,0.0,2,0,100,0.0,2,0,168,0.0,2,0,20,0.45,2,9,20,2021-02-15
VT,2,14,1,2,14,1,2,16,1302,17,847,17,39,16,3,17,4,16,0,16,2,16,68,17,15,16,13,17,39,16,37,17,0,16,0,16,106,17,0.6505376344086021,17,847,1302,0.046987951807228916,16,39,830,0.0308300395256917,16,39,1265,0.15151515151515152,16,15,99,0.6415094339622641,17,68,106,2021-02-15
