state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-14,"129,602","129,534","129,670",18.36,18.34,18.39,"709,818","709,668","709,968"
CW,2021-01-15,"128,688","128,625","128,751",18.25,18.23,18.26,"709,331","709,291","709,371"
CW,2021-01-16,"125,840","125,756","125,925",17.91,17.85,17.98,"706,458","706,051","706,865"
CW,2021-01-17,"125,460","125,392","125,529",17.93,17.89,17.97,"703,706","703,483","703,930"
CW,2021-01-18,"126,670","126,610","126,731",18.08,18.03,18.13,"703,975","703,746","704,205"
CW,2021-01-19,"125,794","125,723","125,864",17.87,17.82,17.93,"707,141","706,900","707,382"
CW,2021-01-20,"122,858","122,793","122,922",17.39,17.33,17.45,"709,575","709,224","709,926"
CW,2021-01-21,"119,008","118,930","119,086",16.87,16.81,16.94,"708,571","708,280","708,862"
CW,2021-01-22,"116,862","116,814","116,910",16.58,16.54,16.63,"707,983","707,735","708,232"
CW,2021-01-23,"112,718","112,663","112,772",16.07,16.02,16.12,"704,555","704,300","704,810"
CW,2021-01-24,"111,969","111,934","112,004",16.04,16.01,16.07,"701,324","701,086","701,561"
CW,2021-01-25,"111,880","111,863","111,897",16.00,15.99,16.01,"702,590","702,356","702,823"
CW,2021-01-26,"110,708","110,692","110,724",15.75,15.74,15.76,"706,176","705,940","706,412"
CW,2021-01-27,"107,398","107,370","107,425",15.23,15.20,15.27,"708,350","707,995","708,705"
CW,2021-01-28,"104,276","104,260","104,291",14.82,14.80,14.83,"707,062","706,784","707,340"
CW,2021-01-29,"100,914","100,889","100,940",14.37,14.35,14.39,"705,494","705,232","705,757"
CW,2021-01-30,"97,356","97,293","97,418",13.92,13.87,13.97,"702,863","702,564","703,163"
CW,2021-01-31,"96,042","95,974","96,110",13.81,13.75,13.87,"698,676","698,290","699,062"
CW,2021-02-01,"95,942","95,916","95,969",13.79,13.76,13.81,"699,236","698,947","699,524"
CW,2021-02-02,"95,227","95,206","95,248",13.62,13.60,13.63,"702,580","702,316","702,844"
CW,2021-02-03,"92,526","92,469","92,583",13.19,13.11,13.27,"704,803","704,133","705,472"
CW,2021-02-04,"89,914","89,873","89,956",12.82,12.79,12.85,"704,582","704,314","704,849"
CW,2021-02-05,"87,265","87,214","87,315",12.47,12.42,12.51,"703,282","703,013","703,551"
CW,2021-02-06,"84,048","83,997","84,099",12.06,12.02,12.10,"700,169","699,894","700,444"
CW,2021-02-07,"82,695","82,644","82,746",11.93,11.87,12.00,"696,126","695,592","696,660"
CW,2021-02-08,"82,182","82,132","82,232",11.84,11.80,11.89,"697,194","696,909","697,479"
CW,2021-02-09,"81,002","80,943","81,060",11.60,11.54,11.66,"701,554","701,047","702,061"
CW,2021-02-10,"78,082","77,954","78,210",11.17,11.05,11.29,"703,186","702,457","703,915"
CW,2021-02-11,"74,870","74,780","74,959",10.72,10.63,10.81,"702,431","701,711","703,151"
CW,2021-02-12,"72,232","71,871","72,593",10.40,10.04,10.76,"698,608","696,794","700,422"
CW,2021-02-13,"70,277","69,578","70,976",10.18,9.44,10.92,"694,767","690,642","698,892"
AK,2021-01-14,67,67,67,4.60,4.60,4.60,"1,455","1,455","1,455"
AL,2021-01-14,"3,010","2,992","3,028",21.48,21.48,21.48,"14,013","14,013","14,013"
AR,2021-01-14,"1,232","1,232","1,232",15.99,15.82,16.16,"7,705","7,689","7,721"
AZ,2021-01-14,"4,876","4,876","4,876",33.17,33.17,33.17,"14,726","14,726","14,726"
CA,2021-01-14,"21,629","21,629","21,629",33.26,33.26,33.26,"65,034","65,034","65,034"
CO,2021-01-14,918,918,918,9.00,9.00,9.00,"10,198","10,198","10,198"
CT,2021-01-14,"1,232","1,232","1,232",15.90,15.90,15.90,"7,750","7,750","7,750"
DC,2021-01-14,346,346,346,11.58,11.58,11.58,"2,988","2,988","2,988"
DE,2021-01-14,476,476,476,18.34,18.34,18.34,"2,596","2,596","2,596"
FL,2021-01-14,"8,179","8,177","8,181",15.85,15.70,16.00,"52,576","52,479","52,673"
GA,2021-01-14,"5,989","5,989","5,989",30.85,30.85,30.85,"19,414","19,414","19,414"
HI,2021-01-14,131,131,131,5.29,5.29,5.29,"2,476","2,476","2,476"
IA,2021-01-14,573,573,573,7.54,7.54,7.54,"7,706","7,706","7,706"
ID,2021-01-14,327,327,327,10.53,10.53,10.53,"3,105","3,105","3,105"
IL,2021-01-14,"3,495","3,495","3,495",12.02,12.02,12.02,"29,087","29,087","29,087"
IN,2021-01-14,"2,373","2,373","2,373",14.26,14.26,14.26,"16,645","16,645","16,645"
KS,2021-01-14,937,937,937,12.00,12.00,12.00,"7,808","7,808","7,808"
KY,2021-01-14,"1,671","1,671","1,671",13.61,13.61,13.61,"12,275","12,275","12,275"
LA,2021-01-14,"1,707","1,707","1,707",13.68,13.68,13.68,"12,708","12,708","12,708"
MA,2021-01-14,"1,914","1,914","1,914",12.51,12.51,12.51,"15,305","15,305","15,305"
MD,2021-01-14,"1,979","1,979","1,979",20.50,20.50,20.50,"9,655","9,655","9,655"
ME,2021-01-14,239,239,239,8.35,8.35,8.35,"2,861","2,861","2,861"
MI,2021-01-14,"2,173","2,173","2,173",10.54,10.54,10.54,"20,608","20,608","20,608"
MN,2021-01-14,747,747,747,7.69,7.69,7.69,"9,716","9,716","9,716"
MS,2021-01-14,"1,358","1,357","1,359",17.24,17.06,17.41,"7,878","7,864","7,892"
MT,2021-01-14,198,198,198,6.90,6.90,6.90,"2,870","2,870","2,870"
ND,2021-01-14,164,164,164,8.08,8.08,8.08,"2,029","2,029","2,029"
NJ,2021-01-14,"3,674","3,674","3,674",17.52,17.52,17.52,"20,965","20,965","20,965"
NV,2021-01-14,"1,635","1,635","1,635",22.54,22.54,22.54,"7,445","7,445","7,445"
NY,2021-01-14,"9,702","9,700","9,704",20.00,19.97,20.03,"48,507","48,499","48,515"
OK,2021-01-14,"1,936","1,936","1,936",20.35,20.28,20.41,"9,670","9,663","9,677"
PA,2021-01-14,"5,414","5,412","5,416",18.05,17.99,18.11,"30,341","30,325","30,357"
SC,2021-01-14,"2,326","2,326","2,326",23.45,23.45,23.45,"9,919","9,919","9,919"
TN,2021-01-14,"2,932","2,926","2,938",16.92,16.92,16.92,"17,799","17,799","17,799"
UT,2021-01-14,632,632,632,12.04,12.04,12.04,"5,250","5,250","5,250"
VA,2021-01-14,"2,968","2,968","2,968",18.08,18.08,18.08,"16,413","16,413","16,413"
AK,2021-01-15,58,58,58,4.01,4.01,4.01,"1,445","1,445","1,445"
AL,2021-01-15,"2,913","2,912","2,914",20.87,20.87,20.87,"13,960","13,960","13,960"
AR,2021-01-15,"1,261","1,261","1,261",16.40,16.24,16.56,"7,687","7,672","7,702"
AZ,2021-01-15,"4,820","4,820","4,821",32.42,32.42,32.42,"14,896","14,896","14,896"
CA,2021-01-15,"21,418","21,418","21,418",32.90,32.90,32.90,"65,106","65,105","65,108"
CO,2021-01-15,894,893,895,8.76,8.76,8.76,"10,210","10,210","10,210"
CT,2021-01-15,"1,240","1,240","1,240",15.98,15.98,15.98,"7,758","7,758","7,758"
DC,2021-01-15,345,345,345,11.53,11.53,11.53,"2,991","2,991","2,991"
DE,2021-01-15,455,455,455,17.45,17.45,17.45,"2,607","2,607","2,607"
FL,2021-01-15,"8,048","8,048","8,048",15.62,15.62,15.62,"52,523","52,523","52,523"
GA,2021-01-15,"5,978","5,978","5,978",30.94,30.94,30.94,"19,322","19,322","19,322"
HI,2021-01-15,136,136,136,5.50,5.50,5.50,"2,473","2,473","2,473"
IA,2021-01-15,538,538,539,7.09,7.09,7.09,"7,697","7,697","7,697"
ID,2021-01-15,306,306,306,9.93,9.93,9.93,"3,083","3,083","3,083"
IL,2021-01-15,"3,407","3,404","3,410",11.72,11.72,11.72,"29,068","29,068","29,068"
IN,2021-01-15,"2,375","2,374","2,376",14.47,14.47,14.47,"16,414","16,414","16,414"
KS,2021-01-15,914,913,914,11.69,11.69,11.69,"7,816","7,816","7,816"
