state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,13,180,26652,179,22702,202,1199,204,2408,161,235,178,3178,155,0.7430211616389014,179,19803,26652,0.05100872169852876,202,1158,22702,0.036319975986792735,179,968,26652,0.06387665198237885,148,203,3178,0.7710966860266485,143,2257,2927,2020-08-29
PR,10,65,8198,63,4964,67,571,68,452,63,72,64,635,61,0.5542815320809954,63,4544,8198,0.11422240128928283,67,567,4964,0.06574774335203708,63,539,8198,0.10969793322734499,60,69,629,0.6777777777777778,59,427,630,2020-08-29
RI,1,14,1764,14,2130,14,73,14,139,14,8,14,158,14,1.2074829931972788,14,2130,1764,0.03427230046948357,14,73,2130,0.041383219954648526,14,73,1764,0.05063291139240506,14,8,158,0.879746835443038,14,139,158,2020-08-29
SC,16,74,10229,81,8246,81,908,81,966,76,228,77,1314,75,0.8061394075667221,81,8246,10229,0.11011399466407955,81,908,8246,0.08876723042330628,81,908,10229,0.1719939117199391,75,226,1314,0.7336377473363774,75,964,1314,2020-08-29
SD,1,48,2215,48,1398,50,86,50,82,36,18,32,89,27,0.6225733634311512,48,1379,2215,0.06151645207439199,50,86,1398,0.03882618510158013,48,86,2215,0.1686746987951807,23,14,83,0.6455696202531646,26,51,79,2020-08-29
TN,0,22,19325,123,11792,120,47,23,1527,113,1,18,2347,118,0.6281696143191988,120,11792,18772,0.03755364806866953,22,35,932,0.02976190476190476,22,35,1176,0.05555555555555555,17,1,18,0.6729836932569414,113,1527,2269,2020-08-29
TX,99,532,64311,544,44923,552,5317,555,5026,494,1694,500,6145,463,0.6886535740386559,544,44288,64311,0.11806299072091363,551,5293,44832,0.08146579246546543,543,5231,64211,0.23902359108781127,452,1459,6104,0.7736371033360455,463,4754,6145,2020-08-29
UT,3,55,5728,54,3389,55,181,55,326,46,44,45,543,43,0.5799581005586593,54,3322,5728,0.0534080849808203,55,181,3389,0.030900837988826816,54,177,5728,0.07918968692449356,42,43,543,0.5874769797421732,42,319,543,2020-08-29
VA,18,84,15221,80,9900,81,1075,88,930,79,209,80,1330,74,0.6468694566717036,80,9846,15221,0.10343434343434343,81,1024,9900,0.06431903291505157,80,979,15221,0.14285714285714285,74,190,1330,0.6842105263157895,74,910,1330,2020-08-29
VI,1,2,188,2,102,2,9,2,11,2,3,2,20,2,0.5425531914893617,2,102,188,0.08823529411764706,2,9,102,0.047872340425531915,2,9,188,0.15,2,3,20,0.55,2,11,20,2020-08-29
VT,0,12,579,10,371,11,3,14,39,8,1,11,54,7,0.6252158894645942,10,362,579,0.0026954177897574125,11,1,371,0.0017271157167530224,10,1,579,0.0,7,0,54,0.7222222222222222,7,39,54,2020-08-29
WA,4,92,9954,80,8708,95,411,95,857,79,109,79,918,65,0.6050833835643962,80,6023,9954,0.04760250173731758,94,411,8634,0.027935222672064778,79,276,9880,0.06971677559912855,60,64,918,0.664488017429194,61,610,918,2020-08-29
WI,7,135,12698,134,7644,133,535,135,820,124,137,130,1470,128,0.6033149171270719,133,7644,12670,0.0685504971219257,133,524,7644,0.041345093715545754,134,525,12698,0.09319727891156462,128,137,1470,0.5589638718473074,124,820,1467,2020-08-29
AK,1,16,1331,20,958,25,50,25,44,14,10,22,46,9,0.44477836213373406,20,592,1331,0.05219206680584551,25,50,958,0.025544703230653644,20,34,1331,0.045454545454545456,7,2,44,0.5217391304347826,9,24,46,2020-08-29
AL,18,106,14909,111,10804,111,1196,106,1259,111,390,106,1457,111,0.7246629552619224,111,10804,14909,0.11346172089934542,105,1196,10541,0.08238049318087891,105,1196,14518,0.2721563154221912,105,390,1433,0.8641043239533288,111,1259,1457,2020-08-29
AR,1,89,8628,90,5925,92,588,92,681,78,210,76,923,73,0.6841678256838202,90,5903,8628,0.09924050632911392,92,588,5925,0.06815020862308763,90,588,8628,0.2134344528710726,70,197,923,0.7183098591549296,73,663,923,2020-08-29
AZ,0,80,9056,79,7687,89,800,91,596,64,220,70,722,54,0.6720406360424028,78,6086,9056,0.10264082216729543,89,789,7687,0.07707597173144877,79,698,9056,0.23268698060941828,52,168,722,0.6301939058171745,54,455,722,2020-08-29
CA,42,381,62520,382,44083,383,5219,399,5074,364,1325,365,7108,363,0.7027351247600768,382,43935,62520,0.11107322285116734,382,4886,43989,0.07827744757205338,381,4886,62419,0.18640967923466517,361,1325,7108,0.7138435565559933,362,5074,7108,2020-08-29
CO,6,93,10934,93,6834,96,264,96,627,79,77,78,1116,71,0.6223705871593196,93,6805,10934,0.038630377524143986,96,264,6834,0.02405341137735504,93,263,10934,0.06962025316455696,68,77,1106,0.5782122905027933,70,621,1074,2020-08-29
CT,5,30,8075,30,5784,30,158,31,513,28,25,29,1048,29,0.7162848297213622,30,5784,8075,0.02731673582295989,30,158,5784,0.01956656346749226,30,158,8075,0.02385496183206107,28,25,1048,0.48950381679389315,28,513,1048,2020-08-29
DC,1,13,3393,13,2671,13,131,13,231,11,24,11,334,11,0.7872089596227527,13,2671,3393,0.04904530138524897,13,131,2671,0.038608900677866195,13,131,3393,0.0718562874251497,11,24,334,0.6916167664670658,11,231,334,2020-08-29
DE,0,11,2482,11,1871,12,98,12,107,7,9,7,142,6,0.717566478646253,11,1781,2482,0.052378407268840195,12,98,1871,0.0394842868654311,11,98,2482,0.06338028169014084,6,9,142,0.7535211267605634,6,107,142,2020-08-29
FL,100,249,74595,258,42887,258,5007,261,4423,243,1082,255,5662,243,0.585866761784558,257,42705,72892,0.11446359036537879,258,4909,42887,0.06698840404852872,258,4997,74595,0.1799645390070922,241,1015,5640,0.781172730483928,243,4423,5662,2020-08-29
GA,22,114,14439,118,11313,120,2755,144,1094,87,509,96,1220,79,0.7739245256793383,117,11136,14389,0.1870414567311942,120,2116,11313,0.14578571923263384,118,2105,14439,0.328099173553719,73,397,1210,0.8590163934426229,78,1048,1220,2020-08-29
HI,2,17,1753,16,1845,25,273,23,115,15,40,15,95,13,0.7187678265830005,16,1260,1753,0.15942028985507245,19,220,1380,0.11351968054763263,16,199,1753,0.30526315789473685,13,29,95,0.6842105263157895,13,65,95,2020-08-29
IA,3,122,8255,122,4996,122,351,122,464,122,90,121,707,121,0.6052089642640823,122,4996,8255,0.07025620496397118,122,351,4996,0.04251968503937008,122,351,8255,0.1272984441301273,120,90,707,0.6562942008486563,121,464,707,2020-08-29
MS,3,90,7902,95,5247,98,797,99,567,69,199,69,574,65,0.6574284991141484,95,5195,7902,0.151705736611397,98,796,5247,0.10022779043280182,95,792,7902,0.3239929947460595,62,185,571,0.9529616724738676,65,547,574,2020-08-29
MT,276,51,2281,53,1902,58,135,58,129,33,26,32,161,28,0.757562472599737,53,1728,2281,0.07097791798107256,58,135,1902,0.05830775975449364,53,133,2281,0.1592356687898089,22,25,157,0.6815286624203821,27,107,157,2020-08-29
NC,8,115,21191,118,10075,120,1256,121,1646,108,321,111,2157,104,0.46047850502571847,118,9758,21191,0.12327131628693662,119,1239,10051,0.05815656446355175,117,1231,21167,0.1404728789986092,104,303,2157,0.7475547275267815,103,1605,2147,2020-08-29
ND,39,46,2411,46,1751,46,115,46,79,43,28,46,91,42,0.7262546661136458,46,1751,2411,0.06567675613934894,46,115,1751,0.047698050601410205,46,115,2411,0.16483516483516483,42,15,91,0.6373626373626373,42,58,91,2020-08-29
NE,1,79,4728,84,2860,84,209,85,352,62,74,58,618,61,0.6049069373942471,84,2860,4728,0.07056307911617961,82,198,2806,0.04266321913380737,82,198,4641,0.12032520325203253,54,74,615,0.5705024311183144,58,352,617,2020-08-29
NH,2,30,3274,30,2193,30,38,30,130,27,6,28,275,26,0.6698228466707391,30,2193,3274,0.017327861377108983,30,38,2193,0.011606597434331093,30,38,3274,0.02181818181818182,26,6,275,0.4690909090909091,26,129,275,2020-08-29
NJ,46,71,19071,74,14318,76,696,77,1056,71,76,72,1944,70,0.7231922814744901,74,13792,19071,0.04763235088699539,76,682,14318,0.033244192753395206,74,634,19071,0.038580246913580245,70,75,1944,0.5401234567901234,70,1050,1944,2020-08-29
NM,1,46,3330,46,2179,44,87,45,266,41,31,42,382,42,0.6675857843137255,44,2179,3264,0.04118773946360153,43,86,2088,0.02709436312675179,45,87,3211,0.08266666666666667,41,31,375,0.7016129032258065,40,261,372,2020-08-29
NV,27,60,8423,61,5824,61,756,61,598,58,187,57,840,58,0.6914401044758399,61,5824,8423,0.12980769230769232,61,756,5824,0.08975424433099846,61,756,8423,0.2226190476190476,57,187,840,0.7119047619047619,58,598,840,2020-08-29
NY,25,134,43552,146,34935,148,1669,161,2936,120,234,129,4963,114,0.7075582601479843,145,30696,43383,0.042965507370831546,148,1501,34935,0.030882623071271126,146,1345,43552,0.03848607271954072,107,181,4703,0.5832482124616956,110,2855,4895,2020-08-29
OH,15,88,30629,205,21973,205,1422,205,2680,190,338,187,3837,190,0.7173920141042802,205,21973,30629,0.06491668568819904,204,1422,21905,0.046590871858720226,204,1422,30521,0.08836601307189543,187,338,3825,0.6984623403700808,190,2680,3837,2020-08-29
OK,12,127,9206,125,5634,125,574,128,755,123,205,125,1104,122,0.6119921790136867,125,5634,9206,0.08679446219382321,125,489,5634,0.053117532044318926,125,489,9206,0.1793478260869565,122,198,1104,0.6838768115942029,122,755,1104,2020-08-29
OR,1,51,5144,51,4449,59,167,60,443,49,46,50,593,39,0.6891524105754276,51,3545,5144,0.03753652506181164,59,167,4449,0.02702177293934681,51,139,5144,0.06745362563237774,39,40,593,0.6027164685908319,38,355,589,2020-08-29
ID,1,48,3945,48,1998,46,156,50,191,47,47,47,293,45,0.49755595574993566,45,1934,3887,0.07807807807807808,46,156,1998,0.03954372623574144,48,156,3945,0.16040955631399317,45,47,293,0.6323024054982818,44,184,291,2020-08-29
IL,9,173,29561,179,19382,185,1784,188,1956,144,360,147,3330,130,0.6354994756604986,179,18786,29561,0.09028995975647508,185,1750,19382,0.05788031528026792,179,1711,29561,0.10078219013237064,126,335,3324,0.5581818181818182,127,1842,3300,2020-08-29
IN,0,136,17186,137,10715,137,888,137,1408,129,175,129,2359,129,0.6234725939718375,137,10715,17186,0.08287447503499766,137,888,10715,0.05166996392412429,137,888,17186,0.07418397626112759,129,175,2359,0.5968630775752437,129,1408,2359,2020-08-29
KS,3,129,8088,131,4734,137,340,139,525,85,83,93,675,78,0.5704373683558419,130,4604,8071,0.06770278901426442,136,318,4697,0.03775928456092411,130,304,8051,0.1037593984962406,73,69,665,0.7925117004680188,75,508,641,2020-08-29
KY,20,105,12960,104,8800,106,621,106,1102,99,589,101,1561,100,0.6744598765432098,104,8741,12960,0.07056818181818182,106,621,8800,0.04791666666666667,104,621,12960,0.382219338092148,99,589,1541,0.7059577194106342,99,1102,1561,2020-08-29
LA,10,187,13907,175,9687,178,867,210,1245,93,309,199,1622,84,0.674264758754584,175,9377,13907,0.09025878392594151,175,858,9506,0.06002348106838861,172,818,13628,0.17290886392009988,79,277,1602,0.7102342786683107,83,1152,1622,2020-08-29
MA,5,80,17855,80,13216,80,352,80,915,76,51,75,1855,76,0.7401848221786614,80,13216,17855,0.026634382566585957,80,352,13216,0.019714365723886865,80,352,17855,0.027493261455525605,75,51,1855,0.49326145552560646,76,915,1855,2020-08-29
MD,1,39,11417,52,9135,53,842,51,810,46,159,50,1132,45,0.7946045370938075,52,9072,11417,0.09259870229847135,51,842,9093,0.07391113066432028,50,840,11365,0.13869257950530034,45,157,1132,0.7095914742451155,44,799,1126,2020-08-29
ME,0,33,3001,33,1974,34,32,34,210,32,12,30,292,29,0.6547817394201932,33,1965,3001,0.016210739614994935,34,32,1974,0.010329890036654448,33,31,3001,0.02768166089965398,28,8,289,0.6883561643835616,29,201,292,2020-08-29
MI,0,124,23300,145,17242,146,693,147,1652,124,154,143,2233,123,0.7324034334763948,145,17065,23300,0.04019255306808955,146,693,17242,0.029742489270386266,145,693,23300,0.05687416032243618,123,127,2233,0.7414721723518851,122,1652,2228,2020-08-29
MN,4,128,11170,129,7339,128,444,129,668,128,98,129,950,129,0.6632026025664197,128,7339,11066,0.05927238043330154,128,435,7339,0.03974932855863921,129,444,11170,0.1031578947368421,129,98,950,0.7053854276663146,128,668,947,2020-08-29
MO,10,121,19073,124,12143,127,952,135,1490,115,268,116,2190,111,0.6146979116849992,123,11568,18819,0.0719756238161904,127,874,12143,0.046243380695223615,124,882,19073,0.11981132075471698,104,254,2120,0.673972602739726,109,1476,2190,2020-08-29
WV,0,60,6668,60,4550,60,209,60,459,60,60,60,616,60,0.6823635272945411,60,4550,6668,0.04593406593406593,60,209,4550,0.03134373125374925,60,209,6668,0.09740259740259741,60,60,616,0.7451298701298701,60,459,616,2020-08-29
WY,0,24,1168,24,439,24,18,24,39,24,3,24,90,24,0.3758561643835616,24,439,1168,0.04100227790432802,24,18,439,0.015410958904109588,24,18,1168,0.03333333333333333,24,3,90,0.43333333333333335,24,39,90,2020-08-29
