state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
PA,29,189,6,35,183,6,23,217,30686,224,26246,224,2984,218,366,224,444,218,5,217,39,217,3081,224,665,218,645,224,2887,218,2518,224,97,218,51,218,3816,224,0.85530860978948,224,26246,30686,0.114755989693497,218,2984,26003,0.098446108673419,218,2984,30311,0.179148706896552,218,665,3712,0.807389937106918,224,3081,3816,2021/09/18,,0,221,13,221,24,222,39,221,56,221,64,221,69,221,48,221,55,215,2,214,34,214,48,214,33,214,56,214,77,213,81,214,72,214,41,209,37,218,4644,4924,3853,1169,0,221,,,,,,,,,,,,
PR,7,57,1,8,56,1,12,64,9321,65,5688,65,248,64,11,65,15,64,0,64,9,64,462,65,78,64,56,65,227,64,201,65,21,64,1,64,644,65,0.610234953331188,65,5688,9321,0.044580262448319,64,248,5563,0.027157249233465,64,248,9132,0.127035830618892,64,78,614,0.717391304347826,65,462,644,2021/09/18,,0,65,0,65,1,65,1,65,3,65,3,65,1,65,2,65,0,65,0,64,0,64,0,64,1,64,3,64,2,64,4,64,5,64,0,64,4,64,529,32,1122,36,0,9,,,,,,,,,,,,
RI,6,7,2,6,7,2,2,14,2462,15,2205,15,115,14,13,15,4,14,0,14,0,14,144,15,16,14,17,15,112,14,106,15,3,14,0,14,160,15,0.895613322502031,15,2205,2462,0.053488372093023,14,115,2150,0.047856845609655,14,115,2403,0.105960264900662,14,16,151,0.9,15,144,160,2021/09/18,,0,15,1,15,2,15,1,15,2,15,4,15,3,15,0,15,0,15,0,14,0,14,0,14,1,14,0,14,1,14,0,14,2,14,0,14,1,14,173,270,606,17,0,8,,,,,,,,,,,,
SC,30,51,5,30,51,5,13,84,11702,86,10068,86,2336,84,247,86,73,84,5,84,3,84,1188,86,548,84,548,86,2301,84,2240,86,35,84,29,84,1404,86,0.860365749444539,86,10068,11702,0.234797467082119,84,2336,9949,0.202514087559601,84,2336,11535,0.401759530791789,84,548,1364,0.846153846153846,86,1188,1404,2021/09/18,,1,86,13,86,21,86,36,86,57,86,51,86,41,86,26,86,1,86,0,84,5,84,6,84,7,84,16,84,21,84,15,84,2,84,1,84,44,84,4344,3028,1679,2285,2,282,,,,,,,,,,,,
SD,1,60,3,1,60,3,29,61,2857,64,1833,64,202,61,31,64,11,61,2,61,3,61,163,64,63,61,63,64,199,61,196,64,3,61,2,61,252,64,0.641582079103955,64,1833,2857,0.112786152987158,61,202,1791,0.072401433691756,61,202,2790,0.261410788381743,61,63,241,0.646825396825397,64,163,252,2021/09/18,,0,64,2,64,3,64,6,64,7,64,4,64,5,64,4,64,0,64,0,61,2,61,1,61,0,61,2,61,3,61,3,61,0,61,0,61,6,61,851,134,495,333,0,150,,,,,,,,,,,,
TN,26,76,41,47,55,41,37,103,19849,143,13740,131,2888,103,261,103,68,103,8,103,1,103,1884,141,830,103,807,103,2851,103,2725,103,37,103,36,103,2441,143,0.728525980911983,131,13740,18860,0.252116979484941,103,2888,11455,0.179557324048744,103,2888,16084,0.382312298479963,103,830,2171,0.781742738589212,141,1884,2410,2021/09/18,,3,103,16,103,19,103,20,103,37,103,51,103,39,103,37,103,39,103,2,103,9,103,5,103,11,103,4,103,14,103,8,103,11,102,4,103,73,103,4457,736,1127,5634,82,397,,,,,,,,,,,,
TX,17,90,489,20,87,489,129,596,68811,596,55131,596,11815,596,1197,596,531,596,43,596,112,596,7195,596,3454,596,3371,596,11507,596,10920,596,308,596,237,596,7530,596,0.801194576448533,596,55131,68811,0.214307739747148,596,11815,55131,0.171702198776358,596,11815,68811,0.458698539176627,596,3454,7530,0.955511288180611,596,7195,7530,2021/09/18,,14,596,79,596,134,596,187,596,241,596,178,596,171,596,104,596,89,596,7,596,34,596,62,596,64,596,69,596,103,596,85,596,65,596,42,596,217,596,12249,2444,2295,10482,0,488,,,,,,,,,,,,
UT,1,46,9,1,46,9,1,55,5720,56,3724,56,582,55,75,56,4,55,2,55,0,55,457,56,213,55,214,56,571,55,547,56,11,55,0,55,615,56,0.651048951048951,56,3724,5720,0.158626328699918,55,582,3669,0.103027084439724,55,582,5649,0.352066115702479,55,213,605,0.743089430894309,56,457,615,2021/09/18,,1,56,11,56,10,56,6,56,13,56,16,56,10,56,8,56,0,56,0,55,0,55,0,55,2,55,1,55,0,55,1,55,0,55,0,55,4,55,535,1762,207,178,0,18,,,,,,,,,,,,
VA,19,68,20,22,65,20,38,104,18411,107,14085,107,2108,104,222,107,198,104,9,104,21,104,1486,107,510,104,496,107,2079,104,1899,107,29,104,17,104,1959,107,0.765031774482646,107,14085,18411,0.151382405745063,104,2108,13925,0.116047343793009,104,2108,18165,0.267576075550892,104,510,1906,0.758550280755488,107,1486,1959,2021/09/18,,3,107,14,107,13,107,28,107,40,107,48,107,42,107,28,107,6,107,2,104,7,104,13,104,23,104,37,104,44,104,32,104,40,104,0,104,32,104,1786,4385,671,720,0,297,,,,,,,,,,,,
VI,2,0,0,2,0,0,0,2,168,2,109,2,6,2,1,2,0,2,0,2,0,2,9,2,1,2,1,2,6,2,6,2,0,2,0,2,20,2,0.648809523809524,2,109,168,0.055045871559633,2,6,109,0.035714285714286,2,6,168,0.05,2,1,20,0.45,2,9,20,2021/09/18,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2,203,19,198,1,0,0,,,,,,,,,,,,
