state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
AK,1,20,1,1,20,1,0,22,1428,22,930,22,51,22,8,22,0,22,0,22,0,22,85,22,12,22,12,22,50,22,49,22,1,22,0,22,124,22,0.651260504201681,22,930,1428,0.054838709677419,22,51,930,0.035714285714286,22,51,1428,0.096774193548387,22,12,124,0.685483870967742,22,85,124,2021/07/09,,0,22,0,22,1,22,0,22,1,22,1,22,1,22,4,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
AL,24,68,14,29,63,14,2,102,14522,106,10755,106,377,102,65,104,71,102,2,102,23,102,1321,106,133,102,125,104,368,102,316,104,9,102,6,102,1642,106,0.740600468255061,106,10755,14522,0.03551577955723,102,377,10615,0.026348895722673,102,377,14308,0.082917705735661,102,133,1604,0.804506699147381,106,1321,1642,2021/07/09,,0,104,3,104,5,104,10,104,15,104,13,104,16,104,3,104,0,104,0,102,6,102,10,102,8,102,10,102,10,102,16,102,11,102,0,102,1,102
AR,16,71,2,17,70,2,3,87,7930,89,5567,89,613,87,101,89,84,87,1,87,14,87,710,89,216,87,218,89,600,87,566,89,13,87,7,87,1005,89,0.702017654476671,89,5567,7930,0.110629850207544,87,613,5541,0.077683436826765,87,613,7891,0.217522658610272,87,216,993,0.706467661691542,89,710,1005,2021/07/09,,1,89,7,89,9,89,14,89,21,89,21,89,16,89,10,89,2,89,0,87,5,87,1,87,7,87,13,87,26,87,18,87,14,87,0,87,4,87
AZ,27,68,3,28,67,3,3,95,15051,98,10296,98,656,95,91,98,94,95,3,95,6,95,1139,98,190,95,132,98,644,95,464,98,12,95,7,95,2188,98,0.68407414789715,98,10296,15051,0.065079365079365,95,656,10080,0.044450467543028,95,656,14758,0.089538171536287,95,190,2122,0.520566727605119,98,1139,2188,2021/07/09,,0,98,8,98,7,98,14,98,17,98,19,98,16,98,9,98,1,98,0,95,7,95,12,95,12,95,18,95,17,95,13,95,15,95,0,95,9,95
CA,61,281,39,78,263,40,118,373,61127,381,46703,381,1911,371,270,381,315,373,7,371,10,371,4791,379,381,371,360,378,1878,371,1638,378,33,371,25,371,6833,379,0.764032260703126,381,46703,61127,0.041447967726543,371,1911,46106,0.031688914683691,371,1911,60305,0.057164291072768,371,381,6665,0.70115615395873,379,4791,6833,2021/07/09,,1,379,41,379,39,379,39,379,36,379,53,379,37,379,21,379,3,379,3,371,26,371,34,371,34,371,53,371,75,371,45,371,44,371,1,371,28,371
CO,6,67,20,4,69,20,4,91,10729,93,7427,93,311,91,50,93,30,91,3,91,15,91,903,93,103,91,100,93,284,91,249,93,27,91,6,91,1280,93,0.692235995898966,93,7427,10729,0.042353261609696,91,311,7343,0.029265079514444,91,311,10627,0.082334132693845,91,103,1251,0.70546875,93,903,1280,2021/07/09,,0,93,8,93,6,93,4,93,6,93,9,93,12,93,4,93,1,93,0,91,7,91,4,91,0,91,4,91,7,91,5,91,3,91,0,91,4,91
CT,0,29,4,0,29,4,2,32,7858,33,6369,33,61,32,9,33,25,32,1,32,0,32,553,33,13,32,10,33,59,32,30,33,2,32,1,32,1052,33,0.810511580554848,33,6369,7858,0.00965801139962,32,61,6316,0.007850707850708,32,61,7770,0.012621359223301,32,13,1030,0.525665399239544,33,553,1052,2021/07/09,,0,33,1,33,0,33,1,33,2,33,2,33,0,33,3,33,0,33,0,32,4,32,7,32,1,32,5,32,2,32,3,32,3,32,0,32,2,32
DC,0,13,1,0,13,1,0,12,3475,14,2734,14,42,13,5,14,58,13,0,13,0,13,263,14,8,12,4,13,39,13,20,14,3,13,2,13,345,14,0.786762589928058,14,2734,3475,0.015843078083742,13,42,2651,0.012511170688114,13,42,3357,0.02416918429003,12,8,331,0.76231884057971,14,263,345,2021/07/09,,0,14,2,14,0,14,0,14,0,14,0,14,0,14,3,14,0,14,0,13,4,13,13,13,6,13,11,13,9,13,8,13,7,13,0,13,0,12
DE,1,7,2,1,7,2,0,9,2798,10,2089,10,66,9,0,10,41,9,0,9,0,9,148,10,5,9,4,10,66,9,18,10,0,9,0,9,187,10,0.746604717655468,10,2089,2798,0.031884057971014,9,66,2070,0.023835319609967,9,66,2769,0.027472527472527,9,5,182,0.79144385026738,10,148,187,2021/07/09,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,2,9,2,9,1,9,3,9,10,9,12,9,11,9,0,9,1,9
FL,5,159,59,6,158,59,83,217,54423,223,43927,223,3522,217,691,223,188,217,13,217,13,217,5125,223,747,217,736,223,3480,217,3204,223,42,217,34,217,6470,223,0.807140363449277,223,43927,54423,0.08147120055517,217,3522,43230,0.065898289862665,217,3522,53446,0.118986938515451,217,747,6278,0.792117465224111,223,5125,6470,2021/07/09,,6,222,48,222,89,221,114,222,136,222,116,222,75,223,80,221,27,223,3,217,16,216,18,216,17,216,33,216,38,216,33,216,30,216,0,217,25,217
