state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,0,0,68,0,0,68,1,67,9389,68,5775,68,358,67,31,68,24,67,5,67,7,67,455,68,67,67,58,68,328,67,304,68,30,67,17,67,692,68,0.6150814783257,68,5775,9389,0.063228541151537,67,358,5662,0.038875013573678,67,358,9209,0.101361573373676,67,67,661,0.657514450867052,68,455,692,2021/04/06,POINT (-66.414655 18.215692)
RI,4,8,1,4,8,1,5,12,2264,13,2044,13,187,12,16,13,0,12,0,12,0,12,138,13,31,12,34,13,185,12,149,13,2,12,2,12,172,13,0.902826855123675,13,2044,2264,0.09335996005991,12,187,2003,0.085388127853881,12,187,2190,0.202614379084967,12,31,153,0.802325581395349,13,138,172,2021/04/06,POINT (-71.534637 41.572574)
SC,21,63,2,21,63,2,2,84,11474,86,8504,86,508,84,66,86,44,84,1,84,2,84,957,86,130,84,122,86,498,84,463,86,10,84,8,84,1344,86,0.74115391319505,86,8504,11474,0.0605122096486,84,508,8395,0.044923947647683,84,508,11308,0.09976976208749,84,130,1303,0.712053571428571,86,957,1344,2021/04/06,POINT (-80.864614 33.878572)
SD,0,62,3,0,62,3,29,62,2816,65,1616,65,96,62,9,65,14,62,0,62,2,62,117,65,24,62,22,65,93,62,78,65,3,62,1,62,235,65,0.573863636363636,65,1616,2816,0.060415355569541,62,96,1589,0.034921789741724,62,96,2749,0.107142857142857,62,24,224,0.497872340425532,65,117,235,2021/04/06,POINT (-100.230491 44.43614)
TN,5,73,65,17,61,65,16,78,20310,143,12460,128,710,78,82,78,55,78,3,78,3,78,1672,140,199,78,181,78,700,78,615,78,10,78,8,78,2372,143,0.655547956016204,128,12460,19007,0.075668762655867,78,710,9383,0.050699800057127,78,710,14004,0.107219827586207,78,199,1856,0.722246220302376,140,1672,2315,2021/04/06,POINT (-86.343226 35.842998)
TX,93,496,5,107,482,5,73,589,68232,594,49373,594,3399,589,393,594,551,589,14,589,57,589,5751,594,951,589,900,594,3294,589,2773,594,105,589,44,589,7436,594,0.723604760229804,594,49373,68232,0.069690197445308,589,3399,48773,0.050380185868647,589,3399,67467,0.131009780961565,589,951,7259,0.773399677245831,594,5751,7436,2021/04/06,POINT (-99.317341 31.447238)
UT,0,57,1,0,57,1,0,57,6119,58,3530,58,139,57,26,58,1,57,2,57,0,57,365,58,55,57,59,58,133,57,129,58,6,57,0,57,627,58,0.576891648962249,58,3530,6119,0.039908125179443,57,139,3483,0.022998014559894,57,139,6044,0.090311986863711,57,55,609,0.58213716108453,58,365,627,2021/04/06,POINT (-111.678222 39.323779)
VA,16,79,9,20,75,9,26,101,17940,104,12977,104,1068,101,104,104,216,101,1,101,12,101,1358,104,228,101,215,104,1052,101,875,104,16,101,11,101,1956,104,0.723355629877369,104,12977,17940,0.083307332293292,101,1068,12820,0.060448268055241,101,1068,17668,0.120890774125133,101,228,1886,0.694274028629857,104,1358,1956,2021/04/06,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,81,2,4,2,0,2,0,2,0,2,0,2,7,2,4,2,4,2,4,2,4,2,0,2,0,2,20,2,0.482142857142857,2,81,168,0.049382716049383,2,4,81,0.023809523809524,2,4,168,0.2,2,4,20,0.35,2,7,20,2021/04/06,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1307,17,835,17,31,16,10,17,3,16,0,16,0,16,69,17,6,16,6,17,31,16,30,17,0,16,0,16,104,17,0.638867635807192,17,835,1307,0.038413878562577,16,31,807,0.024409448818898,16,31,1270,0.061855670103093,16,6,97,0.663461538461538,17,69,104,2021/04/06,POINT (-72.662695 44.075252)
