state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-09-04,"40,817","40,514","41,120",5.56,5.20,5.93,"713,312","711,527","715,097"
CW,2020-09-05,"39,964","39,647","40,280",5.46,5.07,5.85,"712,972","710,919","715,024"
CW,2020-09-06,"39,181","38,865","39,497",5.39,4.98,5.79,"708,819","706,342","711,296"
CW,2020-09-07,"39,460","39,168","39,752",5.42,5.05,5.78,"709,781","707,726","711,837"
CW,2020-09-08,"40,126","39,877","40,375",5.50,5.20,5.81,"711,193","709,383","713,003"
CW,2020-09-09,"40,780","40,569","40,991",5.55,5.29,5.82,"715,558","713,666","717,449"
CW,2020-09-10,"39,368","39,283","39,453",5.35,5.23,5.47,"716,630","714,837","718,422"
CW,2020-09-11,"38,171","37,963","38,379",5.18,4.92,5.45,"717,694","715,900","719,488"
CW,2020-09-12,"37,406","37,112","37,700",5.10,4.72,5.47,"715,301","713,304","717,297"
CW,2020-09-13,"37,028","36,745","37,311",5.09,4.72,5.46,"709,218","707,082","711,355"
CW,2020-09-14,"37,477","37,223","37,730",5.13,4.80,5.46,"713,526","711,669","715,382"
CW,2020-09-15,"37,884","37,668","38,100",5.19,4.92,5.46,"712,480","710,751","714,209"
CW,2020-09-16,"37,088","36,983","37,192",5.07,4.93,5.21,"713,005","711,190","714,819"
CW,2020-09-17,"35,773","35,541","36,006",4.86,4.56,5.16,"714,590","712,879","716,302"
CW,2020-09-18,"35,451","35,196","35,707",4.81,4.49,5.14,"715,419","713,853","716,985"
CW,2020-09-19,"34,984","34,677","35,290",4.78,4.38,5.18,"713,395","711,529","715,261"
CW,2020-09-20,"34,554","34,265","34,842",4.74,4.36,5.12,"710,942","708,973","712,912"
CW,2020-09-21,"35,581","35,362","35,800",4.88,4.60,5.15,"711,261","709,801","712,721"
CW,2020-09-22,"36,605","36,483","36,727",4.99,4.84,5.14,"716,271","714,720","717,822"
CW,2020-09-23,"36,276","36,036","36,515",4.94,4.64,5.24,"718,891","717,569","720,212"
CW,2020-09-24,"36,166","35,912","36,420",4.93,4.61,5.25,"719,621","718,388","720,854"
CW,2020-09-25,"35,995","35,712","36,277",4.90,4.54,5.26,"719,890","718,553","721,227"
CW,2020-09-26,"35,553","35,277","35,829",4.87,4.51,5.23,"716,929","715,521","718,336"
CW,2020-09-27,"35,467","35,226","35,708",4.88,4.56,5.19,"714,982","713,426","716,538"
CW,2020-09-28,"36,470","36,372","36,568",5.02,4.88,5.15,"715,084","713,792","716,376"
CW,2020-09-29,"37,589","37,494","37,684",5.15,5.03,5.28,"718,196","716,860","719,531"
CW,2020-09-30,"37,125","36,918","37,332",5.07,4.82,5.33,"719,732","718,629","720,835"
CW,2020-10-01,"36,895","36,588","37,201",5.04,4.65,5.43,"719,971","718,449","721,494"
CW,2020-10-02,"36,541","36,238","36,845",5.00,4.63,5.36,"718,649","717,428","719,869"
CW,2020-10-03,"36,285","35,916","36,653",4.96,4.46,5.45,"718,363","715,157","721,569"
CW,2020-10-04,"37,091","36,648","37,534",5.09,4.48,5.71,"714,759","710,210","719,308"
AK,2020-09-04,46,46,46,2.81,2.45,3.16,"1,176",778,"1,574"
AL,2020-09-04,"1,055","1,055","1,055",7.51,7.46,7.56,"14,048","14,036","14,060"
DC,2020-09-04,130,130,130,4.66,4.66,4.66,"2,792","2,792","2,792"
DE,2020-09-04,95,95,95,4.35,4.35,4.35,"2,160","2,041","2,279"
ID,2020-09-04,140,140,140,3.91,3.91,3.91,"3,584","3,533","3,635"
NH,2020-09-04,28,28,28,0.97,0.97,0.97,"2,894","2,894","2,894"
AK,2020-09-05,44,44,44,2.92,2.92,2.92,"1,166",768,"1,564"
AL,2020-09-05,987,974,"1,000",6.89,6.21,7.58,"14,319","14,282","14,356"
DC,2020-09-05,128,128,128,5.02,5.02,5.02,"2,550","2,550","2,550"
DE,2020-09-05,86,82,90,3.98,3.98,3.98,"2,134","2,015","2,253"
ID,2020-09-05,142,141,143,3.97,3.30,4.63,"3,579","3,525","3,633"
NH,2020-09-05,30,29,31,1.04,1.04,1.04,"2,894","2,894","2,894"
AK,2020-09-06,41,41,41,2.83,2.83,2.83,"1,167",769,"1,565"
AL,2020-09-06,989,988,990,7.04,6.88,7.19,"14,056","14,019","14,093"
DC,2020-09-06,115,115,115,4.57,4.57,4.57,"2,516","2,516","2,516"
DE,2020-09-06,87,87,87,4.05,4.05,4.05,"2,124","2,005","2,243"
ID,2020-09-06,146,138,154,4.11,1.54,6.68,"3,551","3,449","3,653"
NH,2020-09-06,34,34,34,1.17,1.07,1.28,"2,894","2,880","2,908"
AK,2020-09-07,49,49,49,3.34,3.34,3.34,"1,167",769,"1,565"
AL,2020-09-07,"1,001","1,001","1,001",7.15,6.98,7.31,"14,009","13,967","14,051"
DC,2020-09-07,122,122,122,4.81,4.81,4.81,"2,536","2,536","2,536"
DE,2020-09-07,90,90,90,4.22,4.22,4.22,"2,131","2,012","2,250"
ID,2020-09-07,154,154,155,4.37,3.76,4.97,"3,536","3,485","3,587"
NH,2020-09-07,39,39,39,1.35,1.35,1.35,"2,894","2,894","2,894"
AK,2020-09-08,50,50,50,3.31,2.93,3.70,"1,177",779,"1,575"
AL,2020-09-08,998,998,998,7.12,7.12,7.12,"14,023","13,985","14,061"
DC,2020-09-08,142,142,142,5.07,5.07,5.07,"2,802","2,802","2,802"
DE,2020-09-08,90,90,90,4.28,4.28,4.28,"2,104","1,985","2,223"
ID,2020-09-08,150,149,150,4.22,3.61,4.82,"3,546","3,499","3,593"
NH,2020-09-08,47,47,47,1.62,1.62,1.62,"2,894","2,894","2,894"
AK,2020-09-09,41,41,41,2.80,2.80,2.80,"1,177",779,"1,575"
AL,2020-09-09,"1,031","1,031","1,031",7.37,7.23,7.52,"13,983","13,946","14,020"
DC,2020-09-09,145,145,145,5.09,5.09,5.09,"2,848","2,848","2,848"
DE,2020-09-09,94,94,94,4.31,4.31,4.31,"2,158","2,039","2,277"
ID,2020-09-09,154,154,154,4.34,4.34,4.34,"3,546","3,505","3,587"
NH,2020-09-09,39,39,39,1.34,1.34,1.34,"2,920","2,920","2,920"
AK,2020-09-10,45,45,45,3.06,3.06,3.06,"1,177",795,"1,559"
AL,2020-09-10,977,977,977,7.01,6.95,7.07,"13,934","13,918","13,950"
DC,2020-09-10,140,140,140,4.94,4.94,4.94,"2,834","2,834","2,834"
DE,2020-09-10,94,94,94,4.36,4.36,4.36,"2,155","2,036","2,274"
ID,2020-09-10,148,147,149,4.14,3.68,4.61,"3,573","3,540","3,606"
NH,2020-09-10,28,28,29,0.98,0.98,0.98,"2,920","2,920","2,920"
AK,2020-09-11,36,36,36,2.35,2.02,2.69,"1,176",794,"1,558"
AL,2020-09-11,958,958,958,6.83,6.69,6.96,"14,035","14,000","14,070"
DC,2020-09-11,145,145,145,5.08,5.08,5.08,"2,854","2,629","3,079"
DE,2020-09-11,96,96,96,4.44,4.44,4.44,"2,162","2,043","2,281"
ID,2020-09-11,134,134,134,3.72,3.72,3.72,"3,605","3,605","3,605"
NH,2020-09-11,30,30,30,1.03,1.03,1.03,"2,920","2,920","2,920"
AK,2020-09-12,41,41,41,2.52,2.15,2.88,"1,166",784,"1,548"
AL,2020-09-12,946,943,949,6.73,6.52,6.94,"14,055","14,019","14,091"
DC,2020-09-12,145,145,145,5.20,5.20,5.20,"2,789","2,789","2,789"
DE,2020-09-12,91,91,91,4.21,4.21,4.21,"2,160","2,041","2,279"
ID,2020-09-12,138,133,143,3.84,2.41,5.27,"3,594","3,546","3,642"
NH,2020-09-12,27,26,28,0.92,0.92,0.92,"2,920","2,920","2,920"
AK,2020-09-13,48,48,48,2.92,2.92,2.92,"1,166",794,"1,538"
AL,2020-09-13,928,924,931,6.61,6.40,6.83,"14,022","13,989","14,055"
DC,2020-09-13,128,128,128,4.59,4.59,4.59,"2,788","2,788","2,788"
DE,2020-09-13,90,90,90,4.20,4.20,4.20,"2,141","2,022","2,260"
ID,2020-09-13,136,136,136,3.81,3.63,3.99,"3,570","3,556","3,584"
NH,2020-09-13,27,27,27,0.92,0.92,0.92,"2,920","2,920","2,920"
AK,2020-09-14,51,51,51,3.06,3.06,3.06,"1,669","1,309","2,029"
AL,2020-09-14,926,926,927,6.60,6.50,6.71,"14,029","14,002","14,056"
DC,2020-09-14,130,130,130,4.57,4.57,4.57,"2,845","2,845","2,845"
DE,2020-09-14,95,95,95,4.49,4.49,4.49,"2,118","2,003","2,233"
ID,2020-09-14,129,129,129,3.63,3.63,3.63,"3,551","3,551","3,551"
NH,2020-09-14,36,33,38,1.22,1.22,1.22,"2,920","2,920","2,920"
AK,2020-09-15,50,49,50,2.96,-4.44,10.35,"1,673","1,314","2,032"
AL,2020-09-15,919,916,922,6.54,6.36,6.72,"14,048","14,028","14,068"
DC,2020-09-15,156,156,156,5.47,5.47,5.47,"2,850","2,850","2,850"
DE,2020-09-15,90,90,90,4.19,4.19,4.19,"2,147","2,032","2,262"
ID,2020-09-15,126,126,126,3.54,3.36,3.71,"3,561","3,547","3,575"
NH,2020-09-15,34,33,34,1.15,1.15,1.15,"2,920","2,920","2,920"
AK,2020-09-16,50,50,50,2.99,2.99,2.99,"1,673","1,321","2,025"
AL,2020-09-16,897,873,921,6.37,4.64,8.10,"14,091","13,797","14,385"
DC,2020-09-16,166,166,166,5.82,5.82,5.82,"2,852","2,852","2,852"
DE,2020-09-16,97,97,97,4.41,4.41,4.41,"2,156","2,041","2,271"
ID,2020-09-16,132,132,132,3.68,3.68,3.68,"3,588","3,588","3,588"
NH,2020-09-16,25,23,27,0.86,0.86,0.86,"2,920","2,920","2,920"
AK,2020-09-17,40,40,41,2.42,-3.94,8.78,"1,673","1,333","2,013"
AL,2020-09-17,866,864,869,6.17,5.17,7.16,"14,052","13,772","14,332"
DC,2020-09-17,148,148,148,5.19,5.19,5.19,"2,850","2,850","2,850"
DE,2020-09-17,84,84,84,3.93,3.93,3.93,"2,135","2,024","2,246"
ID,2020-09-17,132,132,132,3.66,3.49,3.84,"3,604","3,590","3,618"
NH,2020-09-17,28,26,30,0.96,0.96,0.96,"2,920","2,920","2,920"
AK,2020-09-18,52,52,52,3.13,3.13,3.13,"1,663","1,336","1,990"
AL,2020-09-18,896,888,904,6.32,5.30,7.34,"14,169","13,913","14,425"
DC,2020-09-18,125,125,125,4.39,4.39,4.39,"2,847","2,847","2,847"
