state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
OK,7,145,11273,148,6928,148,897,146,903,146,315,145,323,147,881,146,788,148,16,146,14,146,1360,146,0.6145657766344362,148,6928,11273,0.1341208133971292,146,897,6688,0.08191780821917809,146,897,10950,0.24343122102009274,144,315,1294,0.6639705882352941,145,903,1360,2020-10-15
OR,1,59,6218,59,4581,61,235,60,498,59,51,57,33,59,226,59,141,61,9,59,4,59,774,56,0.715664200707623,59,4450,6218,0.05238519839500669,59,235,4486,0.03769218052570673,57,228,6049,0.06568364611260054,54,49,746,0.624031007751938,56,483,774,2020-10-15
PA,12,200,33441,203,25183,211,1361,205,2939,193,307,188,277,188,1323,196,990,194,25,196,13,188,3608,184,0.7306599683023833,203,24434,33441,0.05457534686021333,205,1361,24938,0.03993108034580739,197,1321,33082,0.08571428571428572,173,300,3500,0.788626907073509,181,2843,3605,2020-10-15
ID,1,47,3819,48,1984,50,226,49,221,46,74,47,73,48,224,47,208,48,2,47,1,47,532,47,0.4831107619795758,48,1845,3819,0.11844863731656184,49,226,1908,0.06044396897566194,47,226,3739,0.1423076923076923,46,74,520,0.41541353383458646,46,221,532,2020-10-15
IL,13,184,30500,193,19594,197,2382,192,2054,166,464,165,371,169,2217,183,1525,186,87,183,52,181,3461,161,0.6302295081967213,193,19222,30500,0.12306261624302542,192,2382,19356,0.07724966002189128,188,2329,30149,0.13392330383480827,154,454,3390,0.5655474452554744,155,1937,3425,2020-10-15
IN,5,142,17702,144,10734,144,1402,142,1424,141,289,138,297,140,1372,139,1000,141,30,139,16,139,2286,138,0.606372161337702,144,10734,17702,0.13202749788115642,142,1402,10619,0.079972619930409,142,1402,17531,0.12942230183609493,135,289,2233,0.6229221347331584,138,1424,2286,2020-10-15
KS,4,139,8400,141,5020,147,466,143,573,121,117,121,115,122,461,135,383,132,5,135,4,129,762,117,0.5872619047619048,141,4933,8400,0.09463850528025995,143,466,4924,0.05430961328645897,137,448,8249,0.13994565217391305,112,103,736,0.7480314960629921,117,570,762,2020-10-15
KY,12,111,13542,113,9008,114,804,111,1143,107,215,108,202,110,775,109,633,110,16,109,0,108,1570,111,0.6611283414562104,113,8953,13542,0.09079616036137775,111,804,8855,0.060233742882828886,110,804,13348,0.14098360655737704,108,215,1525,0.7280254777070063,107,1143,1570,2020-10-15
LA,12,199,13985,182,9310,184,564,209,1171,102,194,200,180,198,556,205,539,204,8,205,5,204,1829,99,0.6458348230246693,182,9032,13985,0.06048080060915914,179,556,9193,0.038731629624266996,177,535,13813,0.10005527915975677,92,181,1809,0.6254784034991798,98,1144,1829,2020-10-15
MA,12,84,18807,85,13326,85,435,84,931,85,85,84,61,85,428,84,279,85,7,84,5,84,1958,85,0.7085659594831711,85,13326,18807,0.03289224952741021,84,435,13225,0.0232981629264635,84,435,18671,0.044018643190056966,84,85,1931,0.475485188968335,85,931,1958,2020-10-15
MD,2,54,10984,55,8482,55,769,52,940,54,149,53,114,54,746,53,434,54,23,53,8,53,1333,53,0.7722141296431173,55,8482,10984,0.09184282813806283,52,769,8373,0.07113125520303394,52,769,10811,0.11496913580246913,52,149,1296,0.7021755438859715,53,936,1333,2020-10-15
ME,0,34,3123,35,2103,37,33,36,212,35,7,33,2,33,33,34,9,35,0,34,0,34,303,33,0.6692283061159142,35,2090,3123,0.0159343312409464,36,33,2071,0.010686528497409326,34,33,3088,0.023890784982935155,31,7,293,0.6996699669966997,33,212,303,2020-10-15
MI,51,145,23843,154,17561,155,1110,151,2001,152,251,148,243,152,1098,150,916,154,10,150,6,150,2614,150,0.7287673531015393,154,17376,23843,0.06365773929001549,151,1110,17437,0.04693247642805801,150,1110,23651,0.09709864603481624,146,251,2585,0.7654934965570007,150,2001,2614,2020-10-15
MN,4,129,11500,130,7526,130,667,129,702,130,153,129,148,130,649,129,549,130,18,129,11,129,1031,130,0.6544347826086957,130,7526,11500,0.09167124793842771,129,667,7276,0.05977773794586844,129,667,11158,0.1540785498489426,129,153,993,0.6808923375363725,130,702,1031,2020-10-15
MO,12,132,20668,136,12971,136,1417,132,1591,136,440,132,400,136,1391,132,1197,135,26,132,18,131,2300,136,0.6275885426746661,136,12971,20668,0.11091976516634051,132,1417,12775,0.06947100063734862,132,1417,20397,0.19599109131403117,132,440,2245,0.6917391304347826,136,1591,2300,2020-10-15
MS,3,91,7693,99,4892,101,583,101,520,84,139,84,141,85,519,96,476,98,0,96,0,96,616,81,0.6301832835044846,99,4848,7693,0.11628388164701015,99,562,4833,0.0738210954945488,97,562,7613,0.22818791946308725,78,136,596,0.8262987012987013,80,509,616,2020-10-15
WY,0,28,1591,30,696,30,78,28,47,30,12,28,11,30,78,28,70,30,0,28,0,28,123,30,0.43746071653048396,30,696,1591,0.11420204978038068,28,78,683,0.05009633911368015,28,78,1557,0.10344827586206896,28,12,116,0.3821138211382114,30,47,123,2020-10-15
