state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/05/08,57672,57597,57747,69.54,69.44,69.64,82931,82823,83039,
CW,2021/05/09,56400,56316,56484,67.98,67.74,68.23,82964,82844,83084,
CW,2021/05/10,56295,56223,56367,68.03,67.76,68.3,82747,82646,82848,
CW,2021/05/11,58620,58540,58700,70.45,70.14,70.75,83210,83098,83321,
CW,2021/05/12,59230,59130,59331,71.06,70.7,71.42,83353,83237,83469,
CW,2021/05/13,58851,58780,58923,70.65,70.37,70.94,83295,83187,83403,
CW,2021/05/14,58158,58081,58234,69.88,69.6,70.16,83227,83126,83328,
CW,2021/05/15,56993,56907,57080,68.79,68.47,69.1,82857,82748,82966,
CW,2021/05/16,55615,55539,55690,67.28,67.01,67.54,82664,82576,82751,
CW,2021/05/17,55949,55900,55998,67.69,67.52,67.86,82654,82589,82718,
CW,2021/05/18,58321,58275,58366,70.11,69.94,70.28,83188,83117,83260,
CW,2021/05/19,59146,59065,59226,71,70.73,71.27,83304,83230,83377,
CW,2021/05/20,58928,58841,59014,70.89,70.59,71.18,83132,83050,83214,
CW,2021/05/21,58433,58366,58500,70.14,69.86,70.41,83319,83217,83420,
CW,2021/05/22,57280,57209,57350,69.18,68.91,69.45,82804,82716,82891,
CW,2021/05/23,55255,55173,55336,67.09,66.83,67.35,82367,82264,82471,
CW,2021/05/24,55588,55514,55663,67.62,67.36,67.88,82209,82094,82324,
CW,2021/05/25,57963,57893,58032,70.05,69.84,70.26,82751,82657,82846,
CW,2021/05/26,58578,58513,58644,70.66,70.47,70.84,82908,82818,82997,
CW,2021/05/27,58522,58459,58585,70.53,70.36,70.7,82981,82896,83066,
CW,2021/05/28,57723,57619,57826,69.88,69.6,70.15,82608,82539,82678,
CW,2021/05/29,55980,55917,56043,68.1,67.95,68.26,82201,82122,82281,
CW,2021/05/30,54253,54173,54334,65.95,65.7,66.19,82271,82173,82369,
CW,2021/05/31,53554,53477,53631,65.08,64.88,65.29,82290,82206,82374,
CW,2021/06/01,54315,54259,54371,66.09,66,66.17,82192,82124,82261,
CW,2021/06/02,56923,56856,56990,68.99,68.79,69.19,82514,82409,82618,
CW,2021/06/03,57918,57821,58015,70.21,69.91,70.51,82498,82374,82621,
CW,2021/06/04,57621,57510,57733,69.87,69.49,70.24,82478,82328,82629,
CW,2021/06/05,56241,56085,56397,68.49,67.89,69.08,82124,81902,82345,
CW,2021/06/06,54686,54518,54854,66.8,66.15,67.45,81870,81630,82110,
CW,2021/06/07,54760,54386,55134,66.63,65.2,68.07,82187,81717,82657,
AK,2021/05/08,93,93,93,67.88,67.88,67.88,137,137,137,POINT (-151.631889 63.631126)
AL,2021/05/08,1295,1295,1295,81.09,81.09,81.09,1597,1597,1597,POINT (-86.844516 32.756889)
AR,2021/05/08,672,672,672,66.93,66.93,66.93,1004,1004,1004,POINT (-92.439162 34.899825)
AZ,2021/05/08,1078,1078,1078,50.26,50.26,50.26,2145,2145,2145,POINT (-111.664616 34.293239)
CA,2021/05/08,4617,4561,4673,69.46,68.7,70.22,6647,6566,6728,POINT (-119.662127 37.211164)
CO,2021/05/08,917,878,956,71.81,71.81,71.81,1277,1224,1330,POINT (-105.547832 38.998552)
CT,2021/05/08,567,567,567,55.05,55.05,55.05,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/08,263,263,263,80.43,80.43,80.43,327,327,327,POINT (-77.016275 38.904785)
DE,2021/05/08,132,132,132,75.86,75.86,75.86,174,174,174,POINT (-75.452394 38.994926)
FL,2021/05/08,4963,4963,4963,77.68,77.68,77.68,6389,6389,6389,POINT (-82.420978 28.260731)
GA,2021/05/08,2111,2111,2111,77.04,77.04,77.04,2740,2740,2740,POINT (-83.426574 32.638481)
HI,2021/05/08,112,112,112,51.61,51.61,51.61,217,217,217,POINT (-157.854309 21.361013)
IA,2021/05/08,444,444,444,65.97,65.97,65.97,673,673,673,POINT (-93.500061 42.074659)
ID,2021/05/08,198,198,198,67.35,67.35,67.35,294,294,294,POINT (-114.659366 44.389073)
