state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PA,22,200,6,26,196,6,29,222,31266,228,25644,228,2972,222,312,228,409,222,8,221,32,221,2783,228,624,222,571,228,2917,222,2625,228,55,221,38,221,3517,228,0.82018806371138,228,25644,31266,0.116998661522715,222,2972,25402,0.096231058153089,222,2972,30884,0.182937554969217,222,624,3411,0.791299402900199,228,2783,3517,2021/04/19,POINT (-77.838886 40.896694)
PR,1,16,51,1,16,51,5,67,9154,68,5872,68,559,67,68,68,23,67,1,67,8,67,499,68,88,67,67,68,518,67,460,68,41,67,18,67,684,68,0.641468210618309,68,5872,9154,0.096998091271907,67,559,5763,0.062311893880281,67,559,8971,0.134762633996937,67,88,653,0.72953216374269,68,499,684,2021/04/19,POINT (-66.414655 18.215692)
RI,4,9,2,4,9,2,7,14,2572,15,2383,15,188,14,7,15,0,14,0,14,0,14,143,15,28,14,28,15,187,14,148,15,1,14,1,14,166,15,0.92651632970451,15,2383,2572,0.080756013745704,14,188,2328,0.075320512820513,14,188,2496,0.189189189189189,14,28,148,0.86144578313253,15,143,166,2021/04/19,POINT (-71.534637 41.572574)
SC,20,65,2,20,65,2,0,85,11522,87,8975,87,528,85,64,87,47,85,1,85,1,85,964,87,142,85,130,87,522,85,474,87,6,85,6,85,1337,87,0.778944627668808,87,8975,11522,0.059647537279711,85,528,8852,0.046495244804509,85,528,11356,0.109567901234568,85,142,1296,0.721017202692595,87,964,1337,2021/04/19,POINT (-80.864614 33.878572)
SD,0,62,3,0,62,3,22,62,2816,65,1713,65,108,62,10,65,20,62,0,62,2,62,144,65,30,62,25,65,105,62,83,65,3,62,1,62,238,65,0.608309659090909,65,1713,2816,0.06432400238237,62,108,1679,0.03928701345944,62,108,2749,0.13215859030837,62,30,227,0.605042016806723,65,144,238,2021/04/19,POINT (-100.230491 44.43614)
TN,8,91,44,27,72,44,15,99,20259,143,13346,128,868,99,96,99,41,99,1,99,3,99,1699,140,260,99,236,99,860,99,761,99,8,99,6,99,2385,143,0.699805988149546,128,13346,19071,0.070932418076326,99,868,12237,0.050624052257086,99,868,17146,0.117381489841986,99,260,2215,0.729810996563574,140,1699,2328,2021/04/19,POINT (-86.343226 35.842998)
TX,99,490,5,115,474,5,62,589,68704,594,49338,594,3388,589,359,594,451,589,14,589,48,589,5545,594,915,589,842,594,3298,589,2785,594,90,589,56,589,7142,594,0.718124126688402,594,49338,68704,0.069488883419477,589,3388,48756,0.04986826417816,589,3388,67939,0.131371141421393,589,915,6965,0.776393167180062,594,5545,7142,2021/04/19,POINT (-99.317341 31.447238)
UT,1,56,1,1,56,1,0,57,6193,58,3777,58,150,57,25,58,3,57,0,57,0,57,375,58,61,57,62,58,146,57,144,58,4,57,0,57,630,58,0.609882124979816,58,3777,6193,0.0402252614642,57,150,3729,0.024513809445988,57,150,6119,0.099673202614379,57,61,612,0.595238095238095,58,375,630,2021/04/19,POINT (-111.678222 39.323779)
VA,14,81,9,23,72,9,21,101,17932,104,13357,104,1042,101,90,104,201,101,1,101,19,101,1376,104,245,101,237,104,1030,101,866,104,12,101,10,101,1948,104,0.744869507026545,104,13357,17932,0.079005231632421,101,1042,13189,0.05895665949983,101,1042,17674,0.129492600422833,101,245,1892,0.706365503080082,104,1376,1948,2021/04/19,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,79,2,2,2,2,2,0,2,0,2,0,2,8,2,1,2,1,2,2,2,2,2,0,2,0,2,15,2,0.470238095238095,2,79,168,0.025316455696203,2,2,79,0.011904761904762,2,2,168,0.066666666666667,2,1,15,0.533333333333333,2,8,15,2021/04/19,POINT (-64.840836 18.060868)
