state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,25650,177,17275,168,1190,206,2319,159,254,171,2873,145,0.701278574196048,156,16290,23229,0.055513748191027494,168,959,17275,0.03898635477582846,177,1000,25650,0.07045215562565721,134,201,2853,0.7459818308874913,140,2135,2862,2020-08-06
PR,8035,59,4440,59,487,59,448,59,76,58,662,58,0.552582451773491,59,4440,8035,0.10968468468468469,59,487,4440,0.06060983198506534,59,487,8035,0.1126331811263318,57,74,657,0.6631419939577039,58,439,662,2020-08-06
RI,1742,13,1936,13,89,13,122,13,10,13,149,13,1.1113662456946038,13,1936,1742,0.04597107438016529,13,89,1936,0.05109070034443169,13,89,1742,0.06711409395973154,13,10,149,0.8187919463087249,13,122,149,2020-08-06
SC,10532,81,7453,73,1359,81,884,70,349,75,1200,67,0.774498597111088,73,7453,9623,0.1704011807325909,73,1270,7453,0.1290353209266996,81,1359,10532,0.2633333333333333,67,316,1200,0.7116666666666667,67,854,1200,2020-08-06
SD,2235,51,765,44,73,54,72,37,11,32,93,29,0.4849455477258168,43,757,1561,0.04967320261437908,44,38,765,0.032662192393736016,51,73,2235,0.053763440860215055,25,5,93,0.4942528735632184,28,43,87,2020-08-06
TN,17933,113,11229,114,1409,118,1475,86,436,114,1992,92,0.652291784881155,103,10346,15861,0.11291203788016754,110,1240,10982,0.07774498229043683,106,1317,16940,0.21702574881765632,87,413,1903,0.8072687224669604,85,1466,1816,2020-08-06
TX,60053,539,39081,513,8589,555,5086,478,2533,483,5925,447,0.6984879341106925,507,38757,55487,0.1944921664658068,512,7585,38999,0.1369572832051774,538,8211,59953,0.35173233695652173,435,2071,5888,0.7934065934065934,444,4693,5915,2020-08-06
UT,5290,49,2974,45,262,50,339,43,82,42,548,39,0.5740204593707778,45,2974,5181,0.08170813718897109,45,243,2974,0.04877126654064272,49,258,5290,0.145985401459854,38,80,548,0.6021897810218978,38,330,548,2020-08-06
VA,15598,79,8369,76,1176,87,747,76,197,75,1404,74,0.5951727128197717,70,8236,13838,0.10455251523479507,76,875,8369,0.07109885882805488,79,1109,15598,0.13368983957219252,69,175,1309,0.5634016704631739,72,742,1317,2020-08-06
VI,188,2,103,2,5,2,8,2,4,2,20,2,0.5478723404255319,2,103,188,0.04854368932038835,2,5,103,0.026595744680851064,2,5,188,0.2,2,4,20,0.4,2,8,20,2020-08-06
