state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,3,190,29053,188,23705,209,947,210,2661,178,219,182,170,174,913,194,555,184,22,194,9,184,3326,166,0.7394072901249441,188,21482,29053,0.039949377768403294,209,947,23705,0.029084776098853817,188,845,29053,0.06343956704750452,158,211,3326,0.7684906794948888,161,2556,3326,2020-09-25
PR,3,69,9599,69,5268,69,358,69,450,69,68,68,51,68,320,68,209,68,38,68,6,68,649,69,0.5488071674132722,69,5268,9599,0.06795747911921032,69,358,5268,0.03729555161996041,69,358,9599,0.10477657935285054,68,68,649,0.6933744221879815,69,450,649,2020-09-25
RI,4,13,2174,13,1916,13,103,13,135,13,9,13,8,13,102,13,97,13,1,13,1,13,152,13,0.8813247470101196,13,1916,2174,0.05375782881002088,13,103,1916,0.04737810487580497,13,103,2174,0.05921052631578947,13,9,152,0.8881578947368421,13,135,152,2020-09-25
SC,6,76,10189,82,7767,82,697,82,908,78,175,78,152,78,696,80,553,80,1,80,1,80,1311,77,0.7622926685641378,82,7767,10189,0.08973863782670272,82,697,7767,0.0684071057022279,82,697,10189,0.13348588863463004,76,175,1311,0.6918382913806255,77,907,1311,2020-09-25
SD,0,58,2085,56,1448,60,203,60,85,51,27,49,26,48,166,57,147,57,36,57,34,57,89,44,0.5779376498800959,56,1205,2085,0.14019337016574585,60,203,1448,0.0815347721822542,56,170,2085,0.19101123595505617,40,17,89,0.569620253164557,42,45,79,2020-09-25
TN,10,114,17402,117,11811,117,1043,118,1524,117,265,112,248,112,966,116,842,115,74,116,68,115,1909,118,0.6967179061071874,114,11739,16849,0.08568461138999481,109,990,11554,0.06038499264345267,106,985,16312,0.1408374116367591,107,259,1839,0.8180345572354212,115,1515,1852,2020-09-25
TX,123,556,66926,568,44329,570,3988,573,5047,530,1104,537,998,536,3906,560,3223,554,73,560,50,554,6528,502,0.666461121973229,566,44313,66490,0.08885674900002259,569,3932,44251,0.05947821924365725,567,3976,66848,0.15113233708211368,494,981,6491,0.7490365346076769,500,4859,6487,2020-09-25
UT,5,50,5103,49,2755,51,237,51,320,42,72,42,70,42,218,48,195,48,6,48,6,48,555,39,0.5253772290809328,49,2681,5103,0.08602540834845734,51,237,2755,0.04644326866549089,49,237,5103,0.12252252252252252,39,68,555,0.5477477477477477,38,304,555,2020-09-25
VA,22,98,17367,92,10868,93,1021,97,1244,95,218,95,145,95,1014,95,558,95,7,95,3,95,1839,95,0.622675188576035,92,10814,17367,0.0937239269491054,92,1011,10787,0.05632496957756273,91,972,17257,0.11703864997278171,94,215,1837,0.6739248775176919,94,1238,1837,2020-09-25
VI,0,2,188,2,71,2,4,2,9,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.3776595744680851,2,71,188,0.056338028169014086,2,4,71,0.02127659574468085,2,4,188,0.05,2,1,20,0.45,2,9,20,2020-09-25
VT,0,16,1260,16,774,16,3,16,67,16,1,16,0,16,2,16,0,16,1,16,0,16,103,16,0.6142857142857143,16,774,1260,0.003875968992248062,16,3,774,0.002380952380952381,16,3,1260,0.009708737864077669,16,1,103,0.6504854368932039,16,67,103,2020-09-25
WA,6,91,10149,80,9476,96,408,97,862,80,93,79,79,76,399,88,287,85,7,88,1,85,910,63,0.5898118041186324,80,5986,10149,0.043056141831996624,96,408,9476,0.027391861267119913,80,278,10149,0.054945054945054944,59,50,910,0.6153846153846154,62,560,910,2020-09-25
WI,2,137,12745,135,7766,136,907,137,877,131,204,134,168,134,903,136,666,134,4,136,2,134,1489,130,0.6082385249117301,135,7752,12745,0.11653360803502447,136,905,7766,0.07069438995684582,135,901,12745,0.13633310946944258,129,203,1489,0.5893459204315576,129,874,1483,2020-09-25
AK,0,22,1503,22,1009,23,49,23,85,18,11,18,11,18,47,22,35,21,2,22,1,21,103,13,0.6314038589487692,22,949,1503,0.048562933597621406,23,49,1009,0.03260146373918829,22,49,1503,0.06930693069306931,12,7,101,0.7864077669902912,13,81,103,2020-09-25
AL,7,110,14941,109,10248,109,1000,110,1235,109,277,110,250,110,987,110,781,110,13,110,7,110,1480,109,0.6858978649354126,109,10248,14941,0.09523809523809523,109,976,10248,0.065323606184325,109,976,14941,0.18716216216216217,109,277,1480,0.8344594594594594,109,1235,1480,2020-09-25
AR,2,92,8914,94,6054,97,581,97,730,86,223,83,204,81,570,91,438,88,11,91,4,88,939,80,0.6687233565178371,94,5961,8914,0.09596960687148992,97,581,6054,0.06506618801884675,94,580,8914,0.23183760683760685,75,217,936,0.7422790202342918,79,697,939,2020-09-25
AZ,2,76,11702,77,8700,86,518,91,699,66,109,72,90,72,485,79,260,79,8,79,4,79,1285,56,0.6298068706204067,76,7370,11702,0.05724137931034483,86,498,8700,0.039565886173303706,77,463,11702,0.06770428015564202,54,87,1285,0.4404669260700389,56,566,1285,2020-09-25
CA,17,361,58853,363,40347,364,3197,364,4423,347,793,346,666,345,3054,356,2271,354,55,356,32,354,6678,347,0.6830577880481878,363,40200,58853,0.07942067869031649,363,3197,40254,0.05441516884531591,362,3197,58752,0.11883710475048703,343,793,6673,0.6628203206953395,345,4423,6673,2020-09-25
CO,1,81,10949,94,7046,95,290,95,703,77,86,78,63,77,278,85,181,81,5,85,3,81,1203,73,0.6417937711206503,94,7027,10949,0.041158103888731194,95,290,7046,0.026486437117544982,94,290,10949,0.07124895222129086,70,85,1193,0.5977605512489234,71,694,1161,2020-09-25
CT,4,29,8082,29,5731,29,203,31,497,29,32,29,16,29,202,29,92,29,1,29,1,29,1039,29,0.7091066567681267,29,5731,8082,0.03542139242715058,29,203,5731,0.02511754516208859,29,203,8082,0.030798845043310877,29,32,1039,0.47834456207892206,29,497,1039,2020-09-25
DC,10,12,3460,13,2737,13,152,13,255,13,23,12,22,12,137,13,96,13,15,13,4,13,335,13,0.7910404624277456,13,2737,3460,0.055535257581293386,13,152,2737,0.04393063583815029,13,152,3460,0.06865671641791045,12,23,335,0.7611940298507462,13,255,335,2020-09-25
DE,0,12,2562,11,2139,13,101,13,105,8,10,9,10,9,97,11,76,10,1,11,0,10,141,8,0.7556596409055425,11,1936,2562,0.047218326320710616,13,101,2139,0.03942232630757221,11,101,2562,0.07092198581560284,8,10,141,0.7446808510638298,7,105,141,2020-09-25
FL,74,255,80667,254,42853,255,2487,255,4405,254,679,254,573,254,2454,255,2236,255,33,255,21,255,5970,254,0.5289771529869711,254,42671,80667,0.058035610108977204,255,2487,42853,0.03083045111383837,254,2487,80667,0.11373534338358458,254,679,5970,0.7378559463986599,254,4405,5970,2020-09-25
GA,20,137,17648,138,13517,139,2064,145,1546,107,477,115,376,115,1675,131,1206,130,75,131,28,130,1903,102,0.762890714122747,136,13375,17532,0.14581637937412148,139,1971,13517,0.10981414324569357,138,1938,17648,0.23032223983095615,96,436,1893,0.7929584866001052,98,1509,1903,2020-09-25
HI,3,17,1791,16,1859,25,178,23,120,16,34,16,34,16,177,21,166,21,1,21,1,21,97,14,0.6979341150195422,16,1250,1791,0.1038961038961039,19,144,1386,0.07816862088218872,16,140,1791,0.16494845360824742,14,16,97,0.6804123711340206,14,66,97,2020-09-25
IA,1,122,8162,122,4908,122,426,122,449,122,103,121,95,121,420,122,363,122,6,122,2,122,688,121,0.60132320509679,122,4908,8162,0.08679706601466992,122,426,4908,0.052193089928938986,122,426,8162,0.14970930232558138,120,103,688,0.6526162790697675,121,449,688,2020-09-25
MS,7,87,7749,96,4859,98,877,99,516,70,153,69,149,68,466,93,426,90,3,93,1,90,581,66,0.6248548199767712,96,4842,7749,0.1804898127186664,98,877,4859,0.11317589366369854,96,877,7749,0.2434325744308231,63,139,571,0.8657487091222031,66,503,581,2020-09-25
MT,341,65,2743,64,1983,66,204,66,120,63,40,63,36,63,203,65,188,64,1,65,1,64,181,61,0.6759022967553773,64,1854,2743,0.10287443267776097,66,204,1983,0.06926722566532993,64,190,2743,0.1878453038674033,61,34,181,0.580110497237569,61,105,181,2020-09-25
