state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
NH,3142,30,2111,29,73,30,160,26,23,22,234,22,0.6763857737904517,29,2111,3121,0.03458076740881099,29,73,2111,0.023233609166136218,30,73,3142,0.09251101321585903,20,21,227,0.6196581196581197,21,145,234,2020-07-29
NJ,14382,66,9782,62,990,78,882,60,97,64,1615,60,0.7068337129840546,60,9309,13170,0.09026783888775301,62,883,9782,0.05965790571547768,66,858,14382,0.05746408494690818,57,92,1601,0.541795665634675,59,875,1615,2020-07-29
NM,1544,22,989,21,110,22,169,19,35,18,230,15,0.6405440414507773,21,989,1544,0.08314855875831485,20,75,902,0.05263157894736842,21,75,1425,0.1391304347826087,15,32,230,0.6391304347826087,15,147,230,2020-07-29
NV,8529,63,6167,61,3626,63,647,59,337,58,842,59,0.724251321197886,61,6167,8515,0.5808334684611642,61,3582,6167,0.4251377652714269,63,3626,8529,0.4002375296912114,58,337,842,0.7684085510688836,59,647,842,2020-07-29
NY,40512,146,26195,126,1811,159,2424,118,240,120,4493,110,0.6710729893325371,124,24723,36841,0.05493414773811796,126,1439,26195,0.04077804107424961,146,1652,40512,0.044922788956481045,100,192,4274,0.5217779763234308,107,2336,4477,2020-07-29
OH,30051,204,19145,194,1802,205,2500,188,446,186,3987,165,0.66353585415728,194,19145,28853,0.09292243405588926,194,1779,19145,0.060181010586781554,203,1802,29943,0.11169811320754718,162,444,3975,0.6244651396929273,164,2481,3973,2020-07-29
OK,8539,96,4799,89,702,138,634,70,206,69,1060,96,0.5980294337740085,87,4795,8018,0.11336540472704455,88,542,4781,0.06385726024181242,95,544,8519,0.1963001027749229,62,191,973,0.6429298067141404,66,632,983,2020-07-29
OR,4108,46,3502,44,273,58,352,43,56,48,434,33,0.6990527740189445,36,2583,3695,0.06053683609366076,44,212,3502,0.04844206426484907,46,199,4108,0.05813953488372093,32,25,430,0.5990783410138248,33,260,434,2020-07-29
PA,25240,168,17110,161,1254,199,2253,151,266,162,2844,138,0.7173760728674023,151,16382,22836,0.05663354763296318,161,969,17110,0.03997622820919176,168,1009,25240,0.08520841018074511,128,231,2711,0.7488552307150405,133,2126,2839,2020-07-29
PR,8374,70,4239,69,601,69,428,68,73,67,664,68,0.5062096966802007,69,4239,8374,0.14467982667308618,68,601,4154,0.07268109807715564,69,601,8269,0.10869565217391304,66,70,644,0.6481481481481481,67,420,648,2020-07-29
RI,1608,9,1474,9,44,9,120,8,10,8,141,7,0.9166666666666666,9,1474,1608,0.029850746268656716,9,44,1474,0.02736318407960199,9,44,1608,0.07092198581560284,7,10,141,0.851063829787234,7,120,141,2020-07-29
SC,10697,76,7249,71,1431,80,935,68,362,74,1200,66,0.7104995938261576,68,6997,9848,0.18099048144571664,71,1312,7249,0.12966252220248667,76,1387,10697,0.2758333333333333,66,331,1200,0.7558333333333334,65,907,1200,2020-07-29
SD,2254,51,868,45,50,52,64,37,7,32,93,28,0.5103857566765578,44,860,1685,0.029953917050691243,45,26,868,0.022182786157941437,51,50,2254,0.021505376344086023,25,2,93,0.4731182795698925,28,44,93,2020-07-29
TN,17391,112,11726,113,1508,117,1561,87,448,112,1952,92,0.6792795046594534,102,10861,15989,0.12454434993924667,109,1435,11522,0.08610317797897551,105,1417,16457,0.21878335112059766,88,410,1874,0.8191546281433922,86,1531,1869,2020-07-29
TX,37559,286,24771,263,6657,309,3491,214,1872,225,3581,185,0.7286690961660091,252,24194,33203,0.21459210100356102,262,5303,24712,0.16279131850823567,285,6098,37459,0.3626840317100793,172,1281,3532,0.833845294610444,183,2986,3581,2020-07-29
UT,5293,51,2984,46,318,52,356,44,85,41,553,39,0.5756172839506173,46,2984,5184,0.09919571045576407,46,296,2984,0.058378991120347626,51,309,5293,0.15009041591320071,38,83,553,0.6130198915009042,39,339,553,2020-07-29
VA,15263,83,8640,80,1268,92,739,72,189,73,1391,71,0.6022225388231942,73,8454,14038,0.10601851851851851,80,916,8640,0.0786870209002162,83,1201,15263,0.12780790085205268,67,165,1291,0.5612009237875288,67,729,1299,2020-07-29
VI,168,2,86,2,5,2,9,2,5,2,20,2,0.5119047619047619,2,86,168,0.05813953488372093,2,5,86,0.02976190476190476,2,5,168,0.25,2,5,20,0.45,2,9,20,2020-07-29
VT,570,12,190,9,10,15,28,6,1,8,48,5,0.5846153846153846,7,190,325,0.04736842105263158,9,9,190,0.017543859649122806,12,10,570,0.020833333333333332,5,1,48,0.5833333333333334,5,28,48,2020-07-29
WA,9037,79,7904,84,560,94,747,78,122,80,874,63,0.5951637163022099,70,5144,8643,0.05991840897501275,83,470,7844,0.04344435780327504,78,390,8977,0.09101382488479262,57,79,868,0.597254004576659,61,522,874,2020-07-29
WI,11526,129,6915,126,612,134,799,120,159,127,1536,122,0.601139850942569,125,6856,11405,0.08821402747650037,126,610,6915,0.052316501821967724,129,603,11526,0.103515625,122,159,1536,0.51953125,119,798,1536,2020-07-29
WV,6490,61,4414,60,201,62,466,58,62,60,616,58,0.6811728395061728,60,4414,6480,0.04553692795650204,60,201,4414,0.030970724191063174,61,201,6490,0.10064935064935066,58,62,616,0.7564935064935064,58,466,616,2020-07-29
WY,1694,29,645,28,46,29,58,28,16,29,104,28,0.39162112932604737,28,645,1647,0.06821705426356589,28,44,645,0.02715466351829988,29,46,1694,0.15384615384615385,28,16,104,0.5576923076923077,28,58,104,2020-07-29
GU,149,1,109,1,5,1,7,1,2,3,,0,0.7315436241610739,1,109,149,0.045871559633027525,1,5,109,0.03355704697986577,1,5,149,,,,,,,,,2020-07-29
MP,48,1,,0,0,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,2020-07-29
