state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-09-22,"56,455","55,712","57,198",69.47,68.71,70.24,"79,952","78,950","80,954"
CW,2020-09-23,"57,344","56,635","58,053",70.53,69.81,71.25,"79,994","79,035","80,954"
CW,2020-09-24,"57,506","56,804","58,208",70.72,70.10,71.34,"80,001","79,053","80,950"
CW,2020-09-25,"57,545","56,835","58,255",70.44,69.68,71.21,"80,515","79,560","81,469"
CW,2020-09-26,"56,333","55,621","57,045",69.31,68.48,70.14,"80,158","79,202","81,114"
CW,2020-09-27,"54,880","54,212","55,549",67.57,66.80,68.33,"80,095","79,184","81,007"
CW,2020-09-28,"55,202","54,550","55,853",67.80,67.11,68.49,"80,326","79,442","81,211"
CW,2020-09-29,"57,883","57,257","58,508",70.77,70.02,71.53,"80,642","79,787","81,497"
CW,2020-09-30,"58,224","57,611","58,837",71.25,70.48,72.02,"80,598","79,764","81,433"
CW,2020-10-01,"58,422","57,814","59,029",71.04,70.20,71.89,"81,138","80,311","81,965"
CW,2020-10-02,"58,066","57,482","58,649",70.55,69.70,71.41,"81,315","80,535","82,095"
CW,2020-10-03,"57,882","57,283","58,482",69.57,67.40,71.75,"82,124","81,328","82,920"
CW,2020-10-04,"56,337","55,737","56,938",67.86,65.66,70.06,"81,950","81,152","82,747"
CW,2020-10-05,"56,486","55,912","57,060",67.83,65.74,69.93,"82,383","81,616","83,150"
CW,2020-10-06,"59,108","58,550","59,665",70.75,68.72,72.78,"82,619","81,875","83,363"
CW,2020-10-07,"59,840","59,300","60,380",71.46,69.55,73.36,"82,860","82,143","83,577"
CW,2020-10-08,"60,080","59,580","60,581",71.82,70.05,73.59,"82,912","82,233","83,590"
CW,2020-10-09,"59,982","59,583","60,381",71.59,70.20,72.98,"83,109","82,562","83,657"
CW,2020-10-10,"59,495","59,255","59,735",70.44,69.72,71.16,"83,763","83,375","84,151"
CW,2020-10-11,"57,926","57,683","58,169",68.79,68.06,69.52,"83,477","83,102","83,852"
CW,2020-10-12,"58,326","58,114","58,537",68.66,67.86,69.46,"84,369","84,041","84,697"
CW,2020-10-13,"60,707","60,487","60,927",71.29,70.45,72.13,"84,663","84,325","85,002"
CW,2020-10-14,"61,199","60,989","61,409",71.90,71.06,72.74,"84,720","84,400","85,041"
CW,2020-10-15,"61,489","61,290","61,688",71.95,71.16,72.74,"85,061","84,756","85,366"
CW,2020-10-16,"61,496","61,319","61,674",71.89,71.18,72.60,"85,118","84,839","85,397"
CW,2020-10-17,"60,328","60,145","60,512",70.66,69.93,71.39,"84,948","84,664","85,232"
CW,2020-10-18,"58,681","58,470","58,893",68.91,68.08,69.74,"84,756","84,443","85,069"
CW,2020-10-19,"58,972","58,787","59,156",68.97,68.28,69.67,"85,055","84,791","85,319"
CW,2020-10-20,"60,582","60,406","60,758",71.54,70.88,72.20,"84,288","84,041","84,536"
CW,2020-10-21,"61,030","60,827","61,232",72.01,71.22,72.80,"84,370","84,070","84,671"
CW,2020-10-22,"60,718","60,401","61,035",71.07,69.84,72.29,"85,055","84,610","85,500"
AL,2020-09-22,"1,278","1,278","1,278",87.24,87.24,87.24,"1,465","1,465","1,465"
CT,2020-09-22,530,530,530,50.62,50.62,50.62,"1,047","1,047","1,047"
DC,2020-09-22,240,240,240,69.36,69.36,69.36,346,346,346
IN,2020-09-22,"1,367","1,366","1,368",58.95,58.74,59.16,"2,319","2,317","2,321"
MD,2020-09-22,936,936,936,72.59,72.59,72.59,"1,284","1,284","1,284"
AL,2020-09-23,"1,243","1,243","1,243",85.08,85.08,85.08,"1,461","1,461","1,461"
CT,2020-09-23,533,533,533,50.91,50.91,50.91,"1,047","1,047","1,047"
DC,2020-09-23,253,253,253,76.20,76.20,76.20,332,332,332
IN,2020-09-23,"1,400","1,396","1,404",60.22,59.56,60.87,"2,325","2,318","2,332"
MD,2020-09-23,926,926,926,71.17,71.17,71.17,"1,294","1,294","1,294"
AL,2020-09-24,"1,207","1,207","1,207",82.96,82.96,82.96,"1,455","1,455","1,455"
CT,2020-09-24,544,544,544,51.96,51.96,51.96,"1,047","1,047","1,047"
DC,2020-09-24,261,261,261,73.11,73.11,73.11,357,357,357
IN,2020-09-24,"1,434","1,420","1,448",61.62,59.33,63.92,"2,327","2,302","2,352"
MD,2020-09-24,946,946,946,69.94,69.94,69.94,"1,344","1,344","1,344"
AL,2020-09-25,"1,217","1,215","1,219",83.47,82.87,84.07,"1,458","1,454","1,462"
CT,2020-09-25,538,538,538,51.43,51.43,51.43,"1,046","1,046","1,046"
DC,2020-09-25,268,268,268,75.49,75.49,75.49,355,355,355
IN,2020-09-25,"1,425","1,423","1,427",61.37,61.10,61.64,"2,322","2,321","2,323"
MD,2020-09-25,939,939,939,69.78,69.78,69.78,"1,340","1,340","1,340"
AL,2020-09-26,"1,204","1,201","1,208",82.90,82.19,83.60,"1,453","1,449","1,457"
CT,2020-09-26,524,524,524,50.10,50.10,50.10,"1,046","1,046","1,046"
DC,2020-09-26,265,265,265,74.65,74.65,74.65,355,355,355
IN,2020-09-26,"1,395","1,380","1,410",60.34,58.06,62.61,"2,312","2,288","2,336"
MD,2020-09-26,937,937,937,70.02,70.02,70.02,"1,331","1,331","1,331"
AL,2020-09-27,"1,220","1,216","1,223",82.96,82.26,83.66,"1,470","1,466","1,474"
CT,2020-09-27,518,518,518,49.52,49.52,49.52,"1,046","1,046","1,046"
DC,2020-09-27,262,262,262,73.80,73.80,73.80,355,355,355
IN,2020-09-27,"1,367","1,367","1,367",59.13,59.13,59.13,"2,312","2,312","2,312"
MD,2020-09-27,876,872,879,65.57,64.82,66.33,"1,328","1,324","1,331"
AL,2020-09-28,"1,229","1,229","1,229",83.49,83.49,83.49,"1,472","1,472","1,472"
CT,2020-09-28,499,498,500,47.71,47.09,48.32,"1,046","1,042","1,050"
DC,2020-09-28,255,255,255,75.44,75.44,75.44,338,338,338
IN,2020-09-28,"1,359","1,355","1,363",58.63,57.97,59.29,"2,318","2,311","2,325"
MD,2020-09-28,885,824,946,65.77,51.46,80.08,"1,336","1,263","1,410"
AL,2020-09-29,"1,235","1,235","1,235",84.65,84.65,84.65,"1,459","1,459","1,459"
CT,2020-09-29,532,532,532,50.86,50.86,50.86,"1,046","1,046","1,046"
DC,2020-09-29,254,254,254,73.84,73.84,73.84,344,344,344
IN,2020-09-29,"1,410","1,397","1,422",62.51,60.39,64.62,"2,255","2,233","2,277"
MD,2020-09-29,941,938,944,69.93,69.93,69.93,"1,337","1,337","1,337"
AL,2020-09-30,"1,239","1,239","1,239",84.86,84.86,84.86,"1,460","1,460","1,460"
CT,2020-09-30,549,549,549,52.49,52.49,52.49,"1,046","1,046","1,046"
DC,2020-09-30,263,263,263,72.85,72.85,72.85,361,361,361
IN,2020-09-30,"1,383","1,380","1,385",61.62,61.24,61.99,"2,244","2,240","2,248"
MD,2020-09-30,941,938,944,69.05,69.05,69.05,"1,354","1,354","1,354"
AL,2020-10-01,"1,230","1,212","1,247",84.22,80.80,87.65,"1,460","1,442","1,478"
CT,2020-10-01,540,540,540,51.63,51.63,51.63,"1,046","1,046","1,046"
DC,2020-10-01,267,267,267,69.90,69.90,69.90,382,382,382
IN,2020-10-01,"1,475","1,465","1,486",65.90,64.01,67.79,"2,239","2,219","2,259"
MD,2020-10-01,928,928,928,68.04,68.04,68.04,"1,355","1,355","1,355"
AL,2020-10-02,"1,242","1,225","1,260",84.06,80.68,87.43,"1,478","1,460","1,496"
CT,2020-10-02,541,541,541,51.28,51.28,51.28,"1,055","1,055","1,055"
DC,2020-10-02,264,264,264,74.37,74.37,74.37,355,355,355
IN,2020-10-02,"1,464","1,445","1,483",65.27,62.30,68.25,"2,243","2,213","2,273"
MD,2020-10-02,928,928,928,68.12,68.12,68.12,"1,352","1,352","1,352"
AL,2020-10-03,"1,206","1,206","1,207",81.73,81.46,82.00,"1,476","1,474","1,478"
CT,2020-10-03,528,528,528,50.48,50.48,50.48,"1,046","1,046","1,046"
DC,2020-10-03,274,274,274,78.06,78.06,78.06,351,351,351
IN,2020-10-03,"1,426","1,415","1,438",63.73,61.67,65.78,"2,238","2,215","2,261"
MD,2020-10-03,928,928,928,68.35,68.35,68.35,"1,346","1,346","1,346"
AL,2020-10-04,"1,224","1,223","1,224",82.40,82.13,82.67,"1,485","1,483","1,487"
CT,2020-10-04,495,495,495,47.32,47.32,47.32,"1,046","1,046","1,046"
DC,2020-10-04,247,247,247,73.51,73.51,73.51,336,336,336
IN,2020-10-04,"1,414","1,403","1,425",63.02,61.03,65.00,"2,244","2,222","2,266"
MD,2020-10-04,885,885,885,65.52,65.52,65.52,"1,343","1,343","1,343"
AL,2020-10-05,"1,244","1,244","1,244",82.60,82.60,82.60,"1,506","1,506","1,506"
CT,2020-10-05,508,508,508,48.57,48.57,48.57,"1,046","1,046","1,046"
DC,2020-10-05,248,248,248,71.26,71.26,71.26,348,348,348
IN,2020-10-05,"1,428","1,424","1,431",63.47,62.78,64.16,"2,249","2,241","2,257"
MD,2020-10-05,894,892,897,66.37,66.37,66.37,"1,341","1,341","1,341"
AL,2020-10-06,"1,259","1,259","1,259",84.44,84.44,84.44,"1,491","1,491","1,491"
CT,2020-10-06,529,529,529,50.57,50.57,50.57,"1,046","1,046","1,046"
DC,2020-10-06,252,252,252,72.00,72.00,72.00,350,350,350
IN,2020-10-06,"1,488","1,477","1,499",66.22,64.51,67.94,"2,247","2,230","2,264"
MD,2020-10-06,935,935,935,68.91,68.91,68.91,"1,351","1,351","1,351"
AL,2020-10-07,"1,266","1,265","1,268",85.00,84.54,85.46,"1,490","1,487","1,493"
CT,2020-10-07,545,545,545,52.10,52.10,52.10,"1,046","1,046","1,046"
DC,2020-10-07,233,233,233,65.82,65.82,65.82,354,354,354
IN,2020-10-07,"1,499","1,492","1,505",66.76,65.70,67.81,"2,245","2,234","2,256"
MD,2020-10-07,930,930,930,69.05,69.05,69.05,"1,341","1,341","1,341"
AL,2020-10-08,"1,264","1,246","1,281",84.57,81.22,87.93,"1,494","1,476","1,512"
CT,2020-10-08,526,526,526,50.29,50.29,50.29,"1,046","1,046","1,046"
DC,2020-10-08,231,231,231,62.43,62.43,62.43,370,370,370
IN,2020-10-08,"1,535","1,529","1,540",69.00,68.04,69.97,"2,224","2,214","2,234"
MD,2020-10-08,940,938,943,70.46,70.46,70.46,"1,327","1,327","1,327"
AL,2020-10-09,"1,316","1,316","1,316",87.15,87.15,87.15,"1,510","1,510","1,510"
CT,2020-10-09,503,499,507,48.09,48.09,48.09,"1,046","1,046","1,046"
DC,2020-10-09,233,233,233,62.97,62.97,62.97,370,370,370
IN,2020-10-09,"1,505","1,495","1,515",67.29,65.64,68.93,"2,237","2,220","2,254"
MD,2020-10-09,955,935,975,74.62,69.97,79.26,"1,270","1,249","1,292"
AL,2020-10-10,"1,273","1,269","1,277",83.99,83.15,84.83,"1,516","1,511","1,521"
CT,2020-10-10,495,495,495,47.32,47.32,47.32,"1,046","1,046","1,046"
DC,2020-10-10,258,239,277,70.68,52.27,89.10,365,336,394
IN,2020-10-10,"1,467","1,456","1,478",65.25,63.29,67.21,"2,248","2,226","2,270"
MD,2020-10-10,916,916,916,72.76,72.76,72.76,"1,252","1,252","1,252"
AL,2020-10-11,"1,250","1,225","1,275",82.52,77.91,87.13,"1,515","1,491","1,539"
CT,2020-10-11,494,494,494,47.23,47.23,47.23,"1,046","1,046","1,046"
DC,2020-10-11,247,247,247,69.97,69.97,69.97,353,353,353
IN,2020-10-11,"1,436","1,428","1,445",64.69,63.43,65.96,"2,220","2,208","2,232"
MD,2020-10-11,888,884,891,71.56,71.56,71.56,"1,236","1,236","1,236"
AL,2020-10-12,"1,266","1,249","1,283",83.40,80.10,86.70,"1,518","1,500","1,536"
CT,2020-10-12,483,483,483,46.18,46.18,46.18,"1,046","1,046","1,046"
DC,2020-10-12,226,226,226,63.13,63.13,63.13,358,358,358
IN,2020-10-12,"1,446","1,445","1,446",64.94,64.94,64.94,"2,226","2,226","2,226"
MD,2020-10-12,915,915,915,70.67,70.67,70.67,"1,292","1,271","1,313"
AL,2020-10-13,"1,275","1,266","1,284",84.66,82.86,86.47,"1,506","1,496","1,516"
CT,2020-10-13,526,526,526,50.29,50.29,50.29,"1,046","1,046","1,046"
DC,2020-10-13,245,245,245,68.44,68.44,68.44,358,358,358
