state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
AK,1,18,2,3,16,2,0,21,1626,21,1245,21,35,21,3,21,0,21,0,21,0,21,116,21,5,21,5,21,35,21,35,21,0,21,0,21,153,21,0.765682656826568,21,1245,1626,0.028112449799197,21,35,1245,0.021525215252153,21,35,1626,0.032679738562092,21,5,153,0.758169934640523,21,116,153,2022/03/24,,0,20,1,18,0,17,0,17,1,17,0,17,0,17,1,17,0,21,0,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,21,0,8,513,40,626,0,0,0,0,21,0,21,0,6,0,6,0,0,6,21
AL,0,8,105,33,56,24,14,109,14605,113,10070,113,231,109,13,111,58,109,2,109,11,109,1200,113,32,109,26,111,221,109,125,111,10,109,1,109,1577,113,0.689489900718932,113,10070,14605,0.023218413910946,109,231,9949,0.016052814454482,109,231,14390,0.020792722547109,109,32,1539,0.760938490805327,113,1200,1577,2022/03/24,,1,111,1,111,0,111,0,111,3,111,4,111,3,111,1,111,0,111,2,109,6,109,6,109,6,109,6,109,10,109,12,109,10,109,0,109,2,109,787,0,913,171,0,1,5,109,4,109,0,8,0,8,34,2,94,109
AR,0,79,14,16,74,3,5,91,7726,93,5378,93,182,91,10,93,29,91,8,91,8,91,598,93,44,91,45,93,174,91,141,93,8,91,4,91,874,93,0.6960911208905,93,5378,7726,0.033948890132438,91,182,5361,0.023701002734731,91,182,7679,0.051341890315053,91,44,857,0.68421052631579,93,598,874,2022/03/24,,0,92,0,85,0,84,1,84,0,84,2,83,5,84,2,85,0,93,1,90,1,82,2,82,2,82,6,82,6,81,8,82,3,82,0,91,1,39,321,83,479,0,0,0,4,91,11,91,0,35,0,35,42,3,35,91
AZ,0,55,44,5,67,27,7,96,15188,99,11117,99,459,96,42,99,96,96,0,96,6,96,1102,99,70,96,44,99,444,96,269,99,15,96,8,96,1716,99,0.731959441664472,99,11117,15188,0.042013729977117,96,459,10925,0.03079503522308,96,459,14905,0.042245021122511,96,70,1657,0.642191142191142,99,1102,1716,2022/03/24,,0,99,1,94,3,94,5,94,4,94,6,94,11,94,12,94,0,99,1,96,3,91,7,91,10,91,13,91,18,91,29,91,15,91,0,96,0,37,2346,466,1948,25,0,10,7,96,16,96,0,35,0,35,73,0,35,96
CA,4,93,279,105,231,40,32,368,61478,376,45207,376,1684,368,113,376,257,368,4,366,13,368,4677,376,279,368,256,376,1604,368,1377,376,80,368,65,367,6770,376,0.735336217834022,376,45207,61478,0.037719789450106,368,1684,44645,0.027734317100084,368,1684,60719,0.04211320754717,368,279,6625,0.690841949778434,376,4677,6770,2022/03/24,,1,376,12,373,14,373,11,373,13,373,22,373,20,372,20,372,0,374,0,367,21,365,30,366,34,366,44,366,41,364,47,364,40,365,0,367,6,107,8746,499,3387,305,0,0,7,367,9,367,0,338,0,339,47,1,339,367
CO,14,49,31,16,58,20,9,92,10483,94,6600,94,142,92,18,94,38,92,4,92,9,92,690,94,21,92,21,94,129,92,90,94,13,92,5,92,1230,94,0.629590766002099,94,6600,10483,0.02171585869399,92,142,6539,0.013660413660414,92,142,10395,0.017470881863561,92,21,1202,0.560975609756098,94,690,1230,2022/03/24,,0,93,1,81,3,81,1,81,3,81,5,82,4,81,1,81,0,94,2,91,4,79,6,79,3,79,7,79,4,80,9,79,3,79,0,92,1,44,4157,827,1768,0,16,1,1,92,7,92,0,40,0,40,38,1,40,92
CT,0,8,25,1,24,8,7,32,7554,33,5463,33,127,32,22,33,19,32,0,32,1,32,553,33,8,32,9,33,108,32,95,33,19,32,4,32,897,33,0.723193010325655,33,5463,7554,0.023444711094702,32,127,5417,0.017008169278157,32,127,7467,0.009132420091324,32,8,876,0.616499442586399,33,553,897,2022/03/24,,0,33,2,32,4,32,2,32,4,32,3,32,5,32,2,32,0,33,0,32,2,31,2,31,1,31,4,31,1,31,5,31,4,31,0,32,0,6,2402,0,1739,0,0,0,1,32,7,32,0,6,0,6,16,0,6,32
DC,0,1,13,0,13,1,0,13,3360,14,2607,14,74,13,3,14,33,13,0,13,0,13,227,14,7,13,6,14,69,13,50,14,5,13,4,13,323,14,0.775892857142857,14,2607,3360,0.029214370311883,13,74,2533,0.02289603960396,13,74,3232,0.023102310231023,13,7,303,0.702786377708978,14,227,323,2022/03/24,,0,14,0,14,1,14,0,14,0,14,1,14,1,14,0,14,0,14,0,13,4,13,7,13,2,13,7,13,6,13,4,13,3,13,0,13,0,13,304,258,224,27,0,0,1,13,0,13,0,1,0,1,1,0,1,13
DE,1,8,2,3,7,1,1,10,2600,11,1983,11,92,10,7,11,40,10,1,10,0,10,143,11,5,10,5,11,88,10,28,11,4,10,3,10,187,11,0.762692307692308,11,1983,2600,0.046962736089842,10,92,1959,0.03582554517134,10,92,2568,0.027624309392265,10,5,181,0.764705882352941,11,143,187,2022/03/24,,0,11,0,10,0,10,2,10,3,10,0,10,1,10,1,10,0,11,1,10,2,9,3,9,1,9,5,9,16,9,7,9,5,8,0,10,0,4,482,0,435,0,0,0,0,10,0,10,0,4,0,4,4,0,4,10
FL,5,161,72,34,143,61,67,232,55268,238,42059,238,1104,232,91,238,164,232,9,232,8,232,4519,238,150,232,125,238,1078,232,782,238,26,232,17,232,6483,238,0.761000940869943,238,42059,55268,0.026621012273637,232,1104,41471,0.020297475685316,232,1104,54391,0.023711666139741,232,150,6326,0.697053833101959,238,4519,6483,2022/03/24,,3,236,3,227,4,228,4,228,15,227,14,227,24,228,18,227,6,238,3,231,11,221,18,221,13,221,17,222,32,221,34,221,32,221,4,232,18,132,4052,70,3638,1211,238,318,12,232,13,232,0,127,0,127,89,1,130,232
