state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,7,204,31851,204,26239,219,1305,214,2881,200,268,194,241,194,1275,204,900,202,24,204,12,196,3429,187,0.7741986122884682,204,24659,31851,0.05021355188733695,213,1305,25989,0.03766035818620602,198,1186,31492,0.07859078590785908,175,261,3321,0.8070636310566258,184,2765,3426,2020-10-13
PR,0,68,9751,69,5536,69,381,68,491,69,62,67,42,68,321,67,190,68,60,67,11,67,677,69,0.5677366423956517,69,5536,9751,0.07039911308203992,68,381,5412,0.03982855948149697,68,381,9566,0.09597523219814241,67,62,646,0.725258493353028,69,491,677,2020-10-13
RI,4,14,2307,15,2068,14,126,14,141,15,12,14,12,15,126,14,126,15,0,14,0,14,167,15,0.8964022540095362,14,2068,2307,0.062099556431739776,13,126,2029,0.05670567056705671,14,126,2222,0.07894736842105263,14,12,152,0.844311377245509,15,141,167,2020-10-13
SC,3,78,10252,85,8612,85,759,83,972,83,204,81,178,83,755,81,605,83,4,81,2,81,1359,82,0.8400312134217713,85,8612,10252,0.08923113096637668,83,759,8506,0.0752304490038656,83,759,10089,0.15384615384615385,79,202,1313,0.7122884473877852,82,968,1359,2020-10-13
SD,3,59,2216,61,1635,64,295,61,154,59,59,54,65,56,290,58,288,60,0,58,0,57,169,59,0.6331227436823105,61,1403,2216,0.1861198738170347,61,295,1585,0.10348071495766697,58,220,2126,0.23225806451612904,53,36,155,0.7337278106508875,58,124,169,2020-10-13
TN,20,122,18401,126,13487,126,1344,125,1706,127,358,119,339,119,1336,122,1184,121,8,122,5,121,2170,130,0.7550986104885702,123,13477,17848,0.09436534383520145,117,1246,13204,0.07233252060838267,114,1246,17226,0.17055740828966173,118,358,2099,0.80891417733523,126,1706,2109,2020-10-13
TX,111,568,69928,583,51312,586,5004,582,5767,565,1397,559,1284,564,4935,573,4237,573,67,573,45,568,7430,555,0.7360431582421051,582,51300,69697,0.0982381206620395,580,4968,50571,0.07250873555552334,577,5001,68971,0.19260293091416608,546,1380,7165,0.7721399730820996,554,5737,7430,2020-10-13
UT,3,56,5845,57,3663,59,308,58,393,47,85,46,83,47,297,53,283,53,11,53,11,52,556,45,0.616595380667237,57,3604,5845,0.08527131782945736,58,308,3612,0.05362116991643454,56,308,5744,0.15055762081784388,43,81,538,0.6744604316546763,44,375,556,2020-10-13
VA,23,102,18170,102,12315,102,1015,103,1367,102,231,100,187,103,1001,101,646,102,14,101,6,99,1925,102,0.6777655476059439,102,12315,18170,0.08274778870794412,98,1001,12097,0.05623595505617977,98,1001,17800,0.1242603550295858,99,231,1859,0.7101298701298702,102,1367,1925,2020-10-13
VI,0,2,188,2,100,2,4,2,11,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.5319148936170213,2,100,188,0.04,2,4,100,0.02127659574468085,2,4,188,0.05,2,1,20,0.55,2,11,20,2020-10-13
VT,0,16,1301,17,898,17,2,16,74,17,0,16,0,17,1,16,0,17,1,16,0,16,110,17,0.690238278247502,17,898,1301,0.0023014959723820483,16,2,869,0.0015936254980079682,16,2,1255,0.0,16,0,102,0.6727272727272727,17,74,110,2020-10-13
