state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/06/18,509389,508653,510125,73.98,73.81,74.15,688541,687621,689461,
CW,2021/06/19,489455,488543,490368,71.13,70.85,71.42,688117,687059,689175,
CW,2021/06/20,474638,473928,475348,69.38,69.23,69.52,684149,683274,685024,
CW,2021/06/21,480074,479354,480795,70.12,69.91,70.34,684637,683566,685708,
CW,2021/06/22,507645,506965,508325,73.64,73.51,73.76,689406,688533,690278,
CW,2021/06/23,516723,516026,517420,74.61,74.47,74.75,692579,691684,693473,
CW,2021/06/24,515074,514422,515726,74.31,74.22,74.4,693150,692309,693992,
CW,2021/06/25,507672,506804,508540,73.43,73.15,73.71,691375,690311,692438,
CW,2021/06/26,487279,486265,488293,70.94,70.57,71.31,686900,685678,688123,
CW,2021/06/27,475034,473941,476127,69.41,69,69.81,684426,683152,685700,
CW,2021/06/28,481826,480821,482830,70.36,70.05,70.67,684771,683833,685709,
CW,2021/06/29,506847,506158,507537,73.38,73.19,73.58,690704,689697,691710,
CW,2021/06/30,515859,515238,516479,74.44,74.33,74.54,693003,692253,693754,
CW,2021/07/01,512866,512249,513483,74.04,73.92,74.16,692720,691940,693499,
CW,2021/07/02,504720,504061,505378,73.05,72.89,73.22,690890,690063,691718,
CW,2021/07/03,481711,480981,482440,70.2,70,70.41,686173,685326,687020,
CW,2021/07/04,465870,465155,466585,68.15,67.95,68.35,683585,682718,684451,
CW,2021/07/05,463739,463035,464443,67.97,67.76,68.19,682233,681355,683111,
CW,2021/07/06,480609,479811,481407,70.19,69.92,70.46,684699,683770,685628,
CW,2021/07/07,508098,507484,508712,73.53,73.37,73.69,691041,690292,691791,
CW,2021/07/08,516645,516055,517234,74.55,74.31,74.79,693018,692297,693740,
CW,2021/07/09,515392,514829,515955,74.44,74.21,74.67,692341,691651,693030,
CW,2021/07/10,497574,496968,498180,72.28,72.03,72.53,688395,687648,689142,
CW,2021/07/11,485549,484707,486390,70.83,70.5,71.16,685524,684729,686318,
CW,2021/07/12,491853,491282,492424,71.54,71.27,71.81,687497,686600,688394,
CW,2021/07/13,514591,514007,515175,74.16,73.89,74.44,693862,692926,694797,
CW,2021/07/14,524009,523283,524735,75.51,75.19,75.82,693986,693028,694943,
CW,2021/07/15,524009,523171,524847,75.56,75.16,75.96,693518,692276,694761,
CW,2021/07/16,520387,518107,522667,74.99,73.97,76,693975,691225,696725,
CW,2021/07/17,508376,503894,512858,73.57,71.51,75.62,691042,685416,696669,
CW,2021/07/18,498358,492941,503775,72.38,69.88,74.88,688492,681665,695319,
AK,2021/06/18,914,914,914,63.65,63.65,63.65,1436,1436,1436,POINT (-151.631889 63.631126)
AL,2021/06/18,10266,10266,10266,74.44,74.44,74.44,13791,13791,13791,POINT (-86.844516 32.756889)
AR,2021/06/18,5641,5641,5641,72.4,72.4,72.4,7791,7791,7791,POINT (-92.439162 34.899825)
AZ,2021/06/18,9853,9849,9857,69.85,69.62,70.08,14105,14086,14124,POINT (-111.664616 34.293239)
CA,2021/06/18,45462,45290,45634,79.97,79.04,80.9,56849,56646,57052,POINT (-119.662127 37.211164)
CO,2021/06/18,6611,6611,6611,66.79,66.79,66.79,9898,9898,9898,POINT (-105.547832 38.998552)
CT,2021/06/18,6281,6281,6281,80.55,80.55,80.55,7798,7798,7798,POINT (-72.738288 41.575155)
DC,2021/06/18,2200,2200,2200,80.03,80.03,80.03,2749,2749,2749,POINT (-77.016275 38.904785)
DE,2021/06/18,2091,2091,2091,76.76,76.76,76.76,2724,2724,2724,POINT (-75.452394 38.994926)
FL,2021/06/18,41319,41319,41319,78.67,78.67,78.67,52521,52521,52521,POINT (-82.420978 28.260731)
GA,2021/06/18,15075,14857,15293,78.34,75.26,81.41,19244,19059,19429,POINT (-83.426574 32.638481)
HI,2021/06/18,1756,1756,1756,70.78,70.78,70.78,2481,2481,2481,POINT (-157.854309 21.361013)
IA,2021/06/18,4790,4790,4790,62.65,62.65,62.65,7646,7646,7646,POINT (-93.500061 42.074659)
ID,2021/06/18,1899,1899,1899,57.88,57.88,57.88,3281,3281,3281,POINT (-114.659366 44.389073)
IL,2021/06/18,19529,19517,19541,69.08,68.82,69.33,28272,28232,28312,POINT (-89.148632 40.124144)
IN,2021/06/18,10895,10895,10895,64.7,64.7,64.7,16839,16839,16839,POINT (-86.2818 39.919991)
KS,2021/06/18,4672,4670,4674,58.37,58.15,58.59,8004,7993,8015,POINT (-98.38018 38.484729)
KY,2021/06/18,7496,7496,7496,61.33,61.33,61.33,12223,12223,12223,POINT (-85.290484 37.526683)
