state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-09-15,"497,469","495,941","498,997",68.02,67.62,68.42,"712,921","707,291","718,551"
CW,2020-09-16,"502,484","500,948","504,019",68.81,68.35,69.26,"711,897","706,214","717,581"
CW,2020-09-17,"504,514","502,984","506,045",68.85,68.39,69.31,"714,387","708,745","720,029"
CW,2020-09-18,"500,982","499,578","502,385",68.29,67.89,68.68,"715,555","709,966","721,144"
CW,2020-09-19,"482,862","481,216","484,509",66.07,65.51,66.63,"713,450","707,774","719,127"
CW,2020-09-20,"466,251","464,534","467,968",64.00,63.40,64.61,"711,039","705,328","716,751"
CW,2020-09-21,"470,277","468,904","471,651",64.36,63.90,64.83,"712,599","707,050","718,147"
CW,2020-09-22,"497,234","495,899","498,569",67.59,67.12,68.05,"717,671","712,096","723,247"
CW,2020-09-23,"509,204","507,972","510,437",68.96,68.54,69.37,"720,304","714,790","725,819"
CW,2020-09-24,"509,418","508,171","510,666",68.97,68.56,69.38,"720,986","715,493","726,479"
CW,2020-09-25,"507,004","505,621","508,388",68.60,68.10,69.10,"721,336","715,772","726,900"
CW,2020-09-26,"489,195","487,641","490,750",66.49,65.91,67.07,"717,681","712,074","723,287"
CW,2020-09-27,"474,927","473,425","476,428",64.74,64.15,65.33,"715,976","710,542","721,410"
CW,2020-09-28,"478,488","477,095","479,881",65.36,64.83,65.89,"714,949","710,037","719,860"
CW,2020-09-29,"502,644","501,269","504,019",68.50,67.98,69.03,"717,869","713,120","722,618"
CW,2020-09-30,"511,999","510,752","513,245",69.62,69.18,70.06,"719,556","714,945","724,167"
CW,2020-10-01,"511,722","510,466","512,978",69.90,68.82,70.99,"722,275","717,618","726,933"
CW,2020-10-02,"506,652","504,120","509,184",69.18,67.89,70.47,"722,192","717,722","726,662"
CW,2020-10-03,"488,149","486,697","489,600",66.78,65.69,67.87,"720,671","716,145","725,197"
CW,2020-10-04,"471,134","469,562","472,705",64.77,63.66,65.89,"717,599","713,061","722,137"
CW,2020-10-05,"476,415","475,182","477,648",65.56,64.56,66.56,"719,265","715,052","723,478"
CW,2020-10-06,"504,440","503,172","505,709",68.91,67.94,69.87,"723,566","719,615","727,516"
CW,2020-10-07,"516,454","515,305","517,604",70.42,69.63,71.22,"727,505","724,235","730,775"
CW,2020-10-08,"518,420","515,831","521,009",70.60,69.68,71.52,"728,482","726,501","730,463"
CW,2020-10-09,"514,403","513,503","515,302",69.74,69.42,70.05,"731,679","730,338","733,020"
CW,2020-10-10,"496,451","495,196","497,705",67.58,67.09,68.07,"728,463","726,700","730,227"
CW,2020-10-11,"481,391","479,963","482,819",65.74,65.14,66.34,"725,981","723,881","728,082"
CW,2020-10-12,"484,409","483,380","485,438",66.14,65.82,66.45,"726,083","724,833","727,332"
CW,2020-10-13,"509,448","508,381","510,515",69.27,68.92,69.62,"729,399","728,052","730,746"
CW,2020-10-14,"519,412","518,419","520,404",70.45,70.17,70.72,"731,251","730,138","732,364"
CW,2020-10-15,"517,847","515,397","520,297",70.01,68.97,71.05,"733,562","730,330","736,794"
CT,2020-09-15,"5,972","5,972","5,972",73.98,73.98,73.98,"8,072","8,072","8,072"
DC,2020-09-15,"2,341","2,341","2,341",82.14,82.14,82.14,"2,850","2,850","2,850"
CT,2020-09-16,"6,074","6,064","6,084",75.02,74.44,75.61,"8,096","8,072","8,120"
DC,2020-09-16,"2,375","2,375","2,375",83.27,83.27,83.27,"2,852","2,852","2,852"
CT,2020-09-17,"6,075","6,062","6,088",75.00,74.27,75.73,"8,100","8,070","8,130"
DC,2020-09-17,"2,358","2,358","2,358",82.74,82.74,82.74,"2,850","2,850","2,850"
CT,2020-09-18,"5,949","5,935","5,963",73.49,72.69,74.29,"8,095","8,062","8,128"
DC,2020-09-18,"2,366","2,366","2,366",83.11,83.11,83.11,"2,847","2,847","2,847"
CT,2020-09-19,"5,765","5,751","5,779",71.14,70.34,71.93,"8,104","8,071","8,137"
DC,2020-09-19,"2,292","2,292","2,292",81.36,81.36,81.36,"2,817","2,817","2,817"
CT,2020-09-20,"5,522","5,509","5,535",68.40,67.68,69.12,"8,073","8,043","8,103"
DC,2020-09-20,"2,362","2,362","2,362",84.48,84.48,84.48,"2,796","2,796","2,796"
CT,2020-09-21,"5,476","5,466","5,486",67.83,67.26,68.41,"8,073","8,049","8,097"
DC,2020-09-21,"2,217","2,217","2,217",78.98,78.98,78.98,"2,807","2,807","2,807"
CT,2020-09-22,"5,824","5,824","5,824",71.94,71.94,71.94,"8,096","8,096","8,096"
DC,2020-09-22,"2,302","2,302","2,302",80.97,80.97,80.97,"2,843","2,843","2,843"
CT,2020-09-23,"6,062","6,062","6,062",74.78,74.78,74.78,"8,106","8,106","8,106"
DC,2020-09-23,"2,345","2,345","2,345",80.70,80.70,80.70,"2,906","2,906","2,906"
CT,2020-09-24,"6,163","6,153","6,173",75.62,75.03,76.20,"8,151","8,127","8,175"
DC,2020-09-24,"2,379","2,304","2,454",82.38,82.38,82.38,"2,888","2,888","2,888"
CT,2020-09-25,"6,119","6,106","6,131",75.32,74.58,76.05,"8,124","8,094","8,154"
DC,2020-09-25,"2,371","2,371","2,371",82.33,82.33,82.33,"2,880","2,880","2,880"
CT,2020-09-26,"5,947","5,935","5,960",73.32,72.59,74.05,"8,111","8,081","8,141"
DC,2020-09-26,"2,337","2,337","2,337",83.40,83.40,83.40,"2,802","2,802","2,802"
CT,2020-09-27,"5,778","5,768","5,788",71.11,70.53,71.69,"8,125","8,101","8,149"
DC,2020-09-27,"2,297","2,297","2,297",82.69,82.69,82.69,"2,778","2,778","2,778"
CT,2020-09-28,"5,761","5,746","5,776",70.80,70.04,71.56,"8,137","8,107","8,167"
DC,2020-09-28,"2,307","2,307","2,307",80.83,80.83,80.83,"2,854","2,854","2,854"
CT,2020-09-29,"6,165","6,155","6,175",75.86,75.27,76.44,"8,127","8,103","8,151"
DC,2020-09-29,"2,386","2,386","2,386",84.22,84.22,84.22,"2,833","2,833","2,833"
CT,2020-09-30,"6,270","6,270","6,270",77.63,77.63,77.63,"8,077","8,077","8,077"
DC,2020-09-30,"2,408","2,408","2,408",83.01,83.01,83.01,"2,901","2,901","2,901"
CT,2020-10-01,"6,261","6,261","6,261",77.44,77.44,77.44,"8,085","8,085","8,085"
DC,2020-10-01,"2,402","2,326","2,477",84.06,75.62,92.50,"2,857","2,761","2,953"
CT,2020-10-02,"6,201","6,201","6,201",76.36,76.36,76.36,"8,121","8,121","8,121"
DC,2020-10-02,"2,385","2,385","2,385",82.87,82.87,82.87,"2,878","2,878","2,878"
CT,2020-10-03,"5,980","5,980","5,980",73.90,73.90,73.90,"8,092","8,092","8,092"
DC,2020-10-03,"2,342","2,342","2,342",81.38,81.38,81.38,"2,878","2,878","2,878"
CT,2020-10-04,"5,787","5,787","5,787",71.55,71.55,71.55,"8,088","8,088","8,088"
DC,2020-10-04,"2,254","2,254","2,254",79.96,79.96,79.96,"2,819","2,819","2,819"
CT,2020-10-05,"5,777","5,777","5,777",71.57,71.57,71.57,"8,072","8,072","8,072"
DC,2020-10-05,"2,269","2,269","2,269",78.46,78.46,78.46,"2,892","2,892","2,892"
CT,2020-10-06,"6,092","6,092","6,092",75.38,75.38,75.38,"8,082","8,082","8,082"
DC,2020-10-06,"2,329","2,329","2,329",80.92,80.92,80.92,"2,878","2,878","2,878"
CT,2020-10-07,"6,218","6,218","6,218",76.85,76.85,76.85,"8,091","8,091","8,091"
DC,2020-10-07,"2,403","2,403","2,403",83.09,83.09,83.09,"2,892","2,892","2,892"
CT,2020-10-08,"6,234","6,234","6,234",76.95,76.95,76.95,"8,101","8,101","8,101"
DC,2020-10-08,"2,409","2,409","2,409",82.50,82.50,82.50,"2,920","2,920","2,920"
CT,2020-10-09,"6,122","6,122","6,122",75.45,75.45,75.45,"8,114","8,114","8,114"
DC,2020-10-09,"2,428","2,428","2,428",83.52,83.52,83.52,"2,907","2,907","2,907"
CT,2020-10-10,"5,909","5,909","5,909",72.91,72.91,72.91,"8,104","8,104","8,104"
DC,2020-10-10,"2,348","2,178","2,519",80.37,61.39,99.35,"2,922","2,696","3,148"
CT,2020-10-11,"5,739","5,739","5,739",70.76,70.76,70.76,"8,111","8,111","8,111"
DC,2020-10-11,"2,268","2,268","2,268",79.61,79.61,79.61,"2,849","2,849","2,849"
CT,2020-10-12,"5,697","5,697","5,697",70.39,70.39,70.39,"8,094","8,094","8,094"
DC,2020-10-12,"2,286","2,286","2,286",79.76,79.76,79.76,"2,866","2,866","2,866"
CT,2020-10-13,"5,908","5,908","5,908",72.85,72.85,72.85,"8,110","8,110","8,110"
DC,2020-10-13,"2,325","2,325","2,325",80.79,80.79,80.79,"2,878","2,878","2,878"
CT,2020-10-14,"6,061","6,002","6,120",74.59,74.59,74.59,"8,126","8,126","8,126"
DC,2020-10-14,"2,389","2,294","2,484",83.18,71.90,94.47,"2,872","2,736","3,008"
CT,2020-10-15,"6,059","5,868","6,250",74.69,66.46,82.92,"8,112","7,822","8,402"
DC,2020-10-15,"2,439","2,320","2,558",84.25,70.20,98.30,"2,895","2,724","3,066"
AK,2020-09-15,943,938,948,56.94,24.94,88.95,"1,656","1,305","2,007"
AL,2020-09-15,"9,968","9,951","9,985",70.94,70.55,71.32,"14,052","14,031","14,073"
AR,2020-09-15,"5,292","5,228","5,356",67.64,65.07,70.21,"7,775","7,694","7,856"
AZ,2020-09-15,"8,511","8,376","8,646",64.61,63.18,66.04,"11,002","10,067","11,937"
CA,2020-09-15,"42,513","42,280","42,746",69.96,68.86,71.07,"60,765","60,491","61,039"
CO,2020-09-15,"6,338","6,324","6,352",64.83,64.07,65.59,"9,750","9,704","9,796"
DE,2020-09-15,"1,544","1,390","1,698",71.91,71.91,71.91,"2,147","1,981","2,313"
FL,2020-09-15,"41,658","41,650","41,666",55.78,55.66,55.90,"74,685","74,626","74,744"
GA,2020-09-15,"13,356","12,652","14,060",77.74,75.04,80.43,"16,955","16,218","17,692"
HI,2020-09-15,"1,597","1,406","1,788",73.61,73.61,73.61,"1,781","1,544","2,018"
IA,2020-09-15,"5,075","5,071","5,079",62.32,62.32,62.32,"8,143","8,143","8,143"
ID,2020-09-15,"1,696","1,690","1,702",47.63,46.92,48.34,"3,561","3,547","3,575"
IL,2020-09-15,"18,294","18,070","18,518",62.70,61.11,64.29,"28,286","27,915","28,657"
IN,2020-09-15,"10,190","10,190","10,190",62.98,62.98,62.98,"16,181","16,181","16,181"
KS,2020-09-15,"4,225","3,872","4,578",58.34,47.75,68.93,"7,086","6,572","7,600"
KY,2020-09-15,"8,392","8,392","8,392",69.16,69.16,69.16,"12,134","12,134","12,134"
