state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-15,"534,893","534,854","534,932",75.41,75.40,75.43,"709,302","709,264","709,340"
CW,2021-01-16,"518,761","518,499","519,022",73.43,73.31,73.56,"706,458","706,086","706,830"
CW,2021-01-17,"507,520","507,378","507,661",72.12,72.05,72.19,"703,706","703,501","703,912"
CW,2021-01-18,"510,888","510,690","511,087",72.57,72.49,72.66,"703,975","703,746","704,204"
CW,2021-01-19,"527,518","527,351","527,685",74.60,74.52,74.68,"707,141","706,898","707,384"
CW,2021-01-20,"536,087","535,770","536,404",75.55,75.42,75.68,"709,575","709,236","709,913"
CW,2021-01-21,"533,938","533,745","534,132",75.35,75.26,75.44,"708,612","708,323","708,901"
CW,2021-01-22,"532,330","532,193","532,467",75.19,75.11,75.26,"708,024","707,770","708,279"
CW,2021-01-23,"516,453","516,262","516,645",73.30,73.21,73.38,"704,608","704,359","704,857"
CW,2021-01-24,"504,649","504,508","504,790",71.91,71.88,71.94,"701,364","701,130","701,599"
CW,2021-01-25,"508,566","508,527","508,605",72.34,72.32,72.36,"702,638","702,405","702,870"
CW,2021-01-26,"527,800","527,751","527,850",74.69,74.67,74.71,"706,228","705,995","706,461"
CW,2021-01-27,"532,640","532,418","532,863",75.16,75.07,75.25,"708,391","708,055","708,727"
CW,2021-01-28,"529,849","529,762","529,936",74.90,74.87,74.94,"707,104","706,838","707,370"
CW,2021-01-29,"523,646","523,585","523,708",74.19,74.17,74.21,"705,544","705,291","705,796"
CW,2021-01-30,"504,182","504,042","504,322",71.70,71.64,71.75,"702,910","702,618","703,203"
CW,2021-01-31,"490,467","490,281","490,652",70.16,70.07,70.25,"698,723","698,348","699,098"
CW,2021-02-01,"493,849","493,750","493,949",70.59,70.55,70.64,"699,242","698,947","699,536"
CW,2021-02-02,"514,795","514,750","514,840",73.24,73.22,73.25,"702,627","702,344","702,911"
CW,2021-02-03,"521,712","521,586","521,838",73.97,73.83,74.12,"704,857","704,226","705,488"
CW,2021-02-04,"521,111","521,036","521,186",73.91,73.89,73.94,"704,628","704,342","704,915"
CW,2021-02-05,"517,392","517,273","517,510",73.52,73.48,73.56,"703,347","703,060","703,634"
CW,2021-02-06,"501,871","501,737","502,005",71.63,71.58,71.68,"700,216","699,913","700,519"
CW,2021-02-07,"487,563","487,159","487,967",69.99,69.82,70.16,"696,173","695,656","696,690"
CW,2021-02-08,"490,094","489,999","490,189",70.25,70.21,70.29,"697,248","696,938","697,558"
CW,2021-02-09,"512,314","511,966","512,662",72.98,72.83,73.13,"701,608","701,116","702,100"
CW,2021-02-10,"520,522","520,073","520,971",73.98,73.76,74.19,"703,240","702,551","703,929"
CW,2021-02-11,"517,922","517,681","518,163",73.68,73.57,73.80,"702,499","702,047","702,951"
CW,2021-02-12,"511,338","510,104","512,571",73.14,72.58,73.69,"698,744","697,214","700,274"
CW,2021-02-13,"495,670","493,097","498,243",71.21,70.03,72.39,"695,604","692,334","698,875"
CW,2021-02-14,"483,699","480,093","487,305",69.75,68.09,71.42,"693,014","688,419","697,609"
AK,2021-01-15,808,808,808,55.92,55.92,55.92,"1,445","1,445","1,445"
AL,2021-01-15,"11,170","11,170","11,170",80.01,80.01,80.01,"13,960","13,960","13,960"
AR,2021-01-15,"5,689","5,681","5,697",74.01,73.59,74.43,"7,687","7,672","7,702"
AZ,2021-01-15,"11,472","11,472","11,472",77.01,77.01,77.01,"14,896","14,896","14,896"
CA,2021-01-15,"53,521","53,521","53,521",82.21,82.21,82.21,"65,103","65,103","65,103"
CO,2021-01-15,"6,810","6,810","6,810",66.70,66.70,66.70,"10,210","10,210","10,210"
CT,2021-01-15,"6,279","6,279","6,279",80.94,80.94,80.94,"7,758","7,758","7,758"
DC,2021-01-15,"2,451","2,451","2,451",81.95,81.95,81.95,"2,991","2,991","2,991"
DE,2021-01-15,"1,918","1,918","1,918",73.57,73.57,73.57,"2,607","2,607","2,607"
FL,2021-01-15,"43,339","43,339","43,339",82.51,82.51,82.51,"52,523","52,523","52,523"
GA,2021-01-15,"16,632","16,632","16,632",86.08,86.08,86.08,"19,322","19,322","19,322"
HI,2021-01-15,"1,755","1,755","1,755",70.97,70.97,70.97,"2,473","2,473","2,473"
IA,2021-01-15,"4,902","4,902","4,902",63.69,63.69,63.69,"7,697","7,697","7,697"
ID,2021-01-15,"1,754","1,754","1,754",56.89,56.89,56.89,"3,083","3,083","3,083"
IL,2021-01-15,"20,102","20,102","20,102",69.16,69.16,69.16,"29,068","29,068","29,068"
IN,2021-01-15,"11,027","11,027","11,027",67.18,67.18,67.18,"16,414","16,414","16,414"
KS,2021-01-15,"4,657","4,657","4,657",59.58,59.58,59.58,"7,816","7,816","7,816"
KY,2021-01-15,"7,667","7,667","7,667",62.47,62.47,62.47,"12,274","12,274","12,274"
LA,2021-01-15,"9,290","9,290","9,290",73.71,73.71,73.71,"12,604","12,604","12,604"
MA,2021-01-15,"12,310","12,310","12,310",80.51,80.51,80.51,"15,290","15,290","15,290"
MD,2021-01-15,"8,206","8,206","8,206",85.20,85.20,85.20,"9,631","9,631","9,631"
ME,2021-01-15,"2,035","2,035","2,035",70.88,70.88,70.88,"2,871","2,871","2,871"
MI,2021-01-15,"15,463","15,463","15,463",75.19,75.19,75.19,"20,566","20,566","20,566"
MN,2021-01-15,"7,214","7,214","7,214",73.85,73.85,73.85,"9,768","9,768","9,768"
AK,2021-01-16,781,781,781,54.12,54.12,54.12,"1,443","1,443","1,443"
AL,2021-01-16,"10,782","10,782","10,782",77.35,77.35,77.35,"13,940","13,940","13,940"
AR,2021-01-16,"5,354","5,289","5,420",70.64,68.56,72.73,"7,580","7,564","7,595"
