state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,0,68,0,0,68,1,67,9470,68,5706,68,192,67,27,68,26,67,1,67,3,67,469,68,23,67,17,68,175,67,142,68,17,67,7,67,698,68,0.6025343189017951,68,5706,9470,0.03450134770889488,67,192,5565,0.020678513731825526,67,192,9285,0.034482758620689655,67,23,667,0.671919770773639,68,469,698,2021-03-21
RI,4,9,2,4,9,2,6,14,2442,15,2242,15,150,14,6,15,0,14,0,14,0,14,127,15,12,14,15,15,149,14,114,15,1,14,1,14,159,15,0.9180999180999181,15,2242,2442,0.06818181818181818,14,150,2200,0.06347862886161659,14,150,2363,0.0851063829787234,14,12,141,0.7987421383647799,15,127,159,2021-03-21
SC,21,64,2,21,64,2,6,85,11542,87,8883,87,531,85,66,87,47,85,1,85,1,85,927,87,128,85,124,87,519,85,482,87,12,85,11,85,1323,87,0.7696239819788598,87,8883,11542,0.06059568640876412,85,531,8763,0.04667311241979432,85,531,11377,0.09976617303195635,85,128,1283,0.7006802721088435,87,927,1323,2021-03-21
SD,2,60,3,3,59,3,21,62,2833,65,1687,65,74,62,15,65,17,62,0,62,2,62,123,65,14,62,13,65,73,62,49,65,1,62,0,62,236,65,0.5954818213907519,65,1687,2833,0.04463208685162847,62,74,1658,0.02675343456254519,62,74,2766,0.06222222222222222,62,14,225,0.5211864406779662,65,123,236,2021-03-21
TN,9,83,51,31,62,50,14,93,20357,143,12802,129,736,93,107,93,46,93,3,93,3,93,1695,140,221,93,211,93,725,93,658,93,11,93,8,93,2391,143,0.6687911399017866,129,12802,19142,0.06774668630338733,93,736,10864,0.04536209553158706,93,736,16225,0.10498812351543943,93,221,2105,0.7262210796915167,140,1695,2334,2021-03-21
TX,101,486,5,119,468,5,76,587,70089,592,49975,592,3884,587,449,592,516,587,13,587,60,587,5733,592,1043,587,970,592,3790,587,3258,592,94,587,53,587,7397,592,0.7130220148668122,592,49975,70089,0.0786266650471679,587,3884,49398,0.05602838925593607,587,3884,69322,0.14447984485385787,587,1043,7219,0.7750439367311072,592,5733,7397,2021-03-21
UT,0,57,1,0,57,1,0,57,6151,58,3615,58,137,57,19,58,2,57,3,57,0,57,353,58,51,57,51,58,129,57,123,58,8,57,0,57,624,58,0.5877093155584457,58,3615,6151,0.03848314606741573,57,137,3560,0.022532894736842106,57,137,6080,0.08415841584158416,57,51,606,0.5657051282051282,58,353,624,2021-03-21
VA,14,82,9,23,73,9,26,102,18003,105,13374,105,1071,102,116,105,189,102,5,102,5,102,1379,105,210,102,202,105,1053,102,803,105,18,102,10,102,1978,105,0.7428761873021164,105,13374,18003,0.08108721986674743,102,1071,13208,0.060399278141213625,102,1071,17732,0.11012060828526482,102,210,1907,0.6971688574317493,105,1379,1978,2021-03-21
VI,2,0,0,2,0,0,0,2,168,2,97,2,5,2,0,2,0,2,0,2,0,2,10,2,5,2,5,2,5,2,5,2,0,2,0,2,20,2,0.5773809523809523,2,97,168,0.05154639175257732,2,5,97,0.02976190476190476,2,5,168,0.25,2,5,20,0.5,2,10,20,2021-03-21
VT,1,15,1,1,15,1,0,16,1298,17,847,17,25,16,4,17,8,16,1,16,0,16,67,17,6,16,6,17,25,16,25,17,0,16,0,16,101,17,0.652542372881356,17,847,1298,0.030413625304136254,16,25,822,0.019825535289452814,16,25,1261,0.06382978723404255,16,6,94,0.6633663366336634,17,67,101,2021-03-21
