state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-12-06,"64,678","64,623","64,733",75.97,75.80,76.15,"85,139","85,084","85,194"
CW,2020-12-07,"64,848","64,825","64,871",76.40,76.33,76.47,"84,885","84,857","84,913"
CW,2020-12-08,"67,035","66,982","67,088",78.26,78.09,78.44,"85,653","85,601","85,705"
CW,2020-12-09,"67,543","67,497","67,589",79.03,78.89,79.16,"85,468","85,440","85,495"
CW,2020-12-10,"67,671","67,649","67,692",79.04,78.98,79.11,"85,612","85,596","85,627"
CW,2020-12-11,"67,549","67,528","67,570",78.91,78.85,78.98,"85,601","85,584","85,618"
CW,2020-12-12,"66,696","66,666","66,726",77.96,77.87,78.05,"85,554","85,534","85,575"
CW,2020-12-13,"65,519","65,483","65,556",76.89,76.78,77.00,"85,210","85,183","85,237"
CW,2020-12-14,"65,698","65,664","65,731",77.30,77.20,77.40,"84,992","84,972","85,012"
CW,2020-12-15,"67,560","67,547","67,574",78.86,78.81,78.92,"85,666","85,645","85,688"
CW,2020-12-16,"67,959","67,944","67,974",79.03,78.97,79.09,"85,990","85,971","86,010"
CW,2020-12-17,"67,995","67,954","68,037",78.88,78.74,79.03,"86,198","86,151","86,246"
CW,2020-12-18,"67,657","67,652","67,662",78.56,78.51,78.61,"86,122","86,099","86,145"
CW,2020-12-19,"66,638","66,599","66,678",77.51,77.38,77.64,"85,978","85,941","86,015"
CW,2020-12-20,"65,617","65,584","65,649",76.34,76.22,76.47,"85,948","85,904","85,993"
CW,2020-12-21,"65,877","65,847","65,907",76.67,76.57,76.77,"85,924","85,897","85,950"
CW,2020-12-22,"67,497","67,470","67,525",78.25,78.15,78.36,"86,254","86,218","86,290"
CW,2020-12-23,"67,244","67,189","67,298",78.01,77.82,78.19,"86,201","86,144","86,258"
CW,2020-12-24,"65,906","65,859","65,953",76.69,76.53,76.85,"85,942","85,892","85,992"
CW,2020-12-25,"63,940","63,883","63,997",74.66,74.47,74.85,"85,646","85,591","85,702"
CW,2020-12-26,"63,826","63,776","63,875",74.52,74.36,74.69,"85,648","85,600","85,696"
CW,2020-12-27,"64,758","64,713","64,804",75.39,75.24,75.55,"85,892","85,844","85,940"
CW,2020-12-28,"65,699","65,635","65,763",76.51,76.30,76.73,"85,865","85,800","85,930"
CW,2020-12-29,"67,892","67,844","67,940",78.78,78.63,78.93,"86,181","86,138","86,224"
CW,2020-12-30,"68,441","68,375","68,507",79.29,79.16,79.42,"86,314","86,270","86,358"
CW,2020-12-31,"67,960","67,904","68,016",78.87,78.77,78.98,"86,165","86,115","86,215"
CW,2021-01-01,"66,759","66,683","66,835",77.69,77.48,77.90,"85,928","85,849","86,006"
CW,2021-01-02,"65,906","65,818","65,993",76.77,76.49,77.04,"85,850","85,747","85,952"
CW,2021-01-03,"66,649","66,584","66,713",77.47,77.30,77.65,"86,026","85,952","86,101"
CW,2021-01-04,"67,804","67,701","67,908",78.47,78.12,78.82,"86,409","86,276","86,542"
CW,2021-01-05,"69,110","68,805","69,415",79.37,78.28,80.46,"87,070","86,695","87,445"
AL,2020-12-06,"1,284","1,276","1,292",87.65,86.27,89.02,"1,465","1,460","1,470"
AZ,2020-12-06,"1,438","1,437","1,439",70.80,70.67,70.93,"2,031","2,030","2,032"
CA,2020-12-06,"5,843","5,834","5,852",79.88,79.52,80.24,"7,315","7,304","7,326"
CT,2020-12-06,605,605,605,54.80,54.80,54.80,"1,104","1,104","1,104"
DC,2020-12-06,266,266,266,78.24,78.24,78.24,340,340,340
