state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PA,26,192,6,33,185,6,17,218,29650,224,24047,224,2506,218,234,224,337,218,9,215,24,215,2785,224,541,218,525,224,2421,218,2148,224,85,218,44,218,3578,224,0.811028667790894,224,24047,29650,0.105139500734214,218,2506,23835,0.085602049530316,218,2506,29275,0.155728267127231,218,541,3474,0.778367803242035,224,2785,3578,2021/09/08,,4,221,12,222,19,221,26,221,42,221,35,221,45,221,46,221,5,211,2,214,33,215,27,214,27,214,45,214,69,213,62,214,65,214,7,204,19,218
PR,0,6,59,0,6,59,5,64,9138,65,5597,65,366,64,13,65,11,64,3,64,5,64,462,65,100,64,75,65,344,64,310,65,22,64,14,64,655,65,0.612497264171591,65,5597,9138,0.066947137369673,64,366,5467,0.04088471849866,64,366,8952,0.159489633173844,64,100,627,0.705343511450382,65,462,655,2021/09/08,,1,65,1,65,1,65,0,65,3,65,0,65,4,65,2,65,1,65,1,64,1,64,0,64,3,64,2,64,1,64,2,64,1,64,0,64,11,64
RI,7,6,2,6,7,2,3,14,2454,15,2106,15,109,14,8,15,8,14,0,14,0,14,126,15,17,14,17,15,103,14,96,15,6,14,3,14,150,15,0.858190709046455,15,2106,2454,0.053015564202335,14,109,2056,0.045435598165902,14,109,2399,0.120567375886525,14,17,141,0.84,15,126,150,2021/09/08,,0,15,0,15,0,15,1,15,2,15,2,15,2,15,1,15,0,15,0,14,0,14,1,14,1,14,2,14,1,14,1,14,2,14,0,14,3,14
SC,31,50,5,31,50,5,10,84,11321,86,9037,86,2512,84,297,86,60,84,7,84,2,84,1168,86,585,84,592,86,2465,84,2421,86,47,84,42,84,1379,86,0.798251037894179,86,9037,11321,0.281298992161254,84,2512,8930,0.225311687146829,84,2512,11149,0.437219730941704,84,585,1338,0.846990572878898,86,1168,1379,2021/09/08,,1,86,14,86,23,86,44,85,64,86,64,86,52,85,34,86,1,81,0,84,2,84,3,84,7,84,10,84,13,84,9,83,12,84,4,79,39,84
SD,0,62,3,0,62,3,32,62,2855,64,1664,63,198,62,25,65,15,62,0,62,5,62,152,64,62,61,65,64,193,62,189,65,5,62,3,62,248,64,0.584474885844749,63,1664,2847,0.119485294117647,60,195,1632,0.070659971305595,61,197,2788,0.261603375527426,61,62,237,0.612903225806452,64,152,248,2021/09/08,,0,65,2,64,0,64,2,64,5,64,9,64,3,64,4,64,0,65,0,62,1,61,1,61,3,61,5,61,1,61,1,61,3,61,0,62,4,61
TN,12,56,75,27,41,75,9,69,19759,143,13288,128,2488,69,216,69,57,69,6,69,3,69,1890,140,711,69,698,69,2455,69,2362,69,33,69,30,69,2506,143,0.715562735595046,128,13288,18570,0.304939330800343,69,2488,8159,0.209480508545929,69,2488,11877,0.407683486238532,69,711,1744,0.775862068965517,140,1890,2436,2021/09/08,,0,69,11,69,20,69,24,69,41,69,46,69,45,69,28,69,1,69,1,69,10,69,5,69,4,69,5,69,13,69,16,69,3,69,0,69,51,69
TX,28,109,459,27,110,459,92,591,68913,596,55373,596,14128,591,1526,596,692,591,48,591,186,591,7284,596,3813,591,3786,596,13751,591,13168,596,377,591,294,591,7987,596,0.803520380769956,596,55373,68913,0.258064516129032,591,14128,54746,0.207416977420207,591,14128,68114,0.4891597177678,591,3813,7795,0.911981970702391,596,7284,7987,2021/09/08,,14,596,101,596,191,596,209,596,272,596,280,596,219,596,140,596,100,596,14,591,52,591,66,591,84,591,87,591,124,591,104,591,77,591,84,591,219,591
UT,2,47,9,2,47,9,2,57,6236,58,4056,58,529,57,92,58,0,57,4,57,0,57,450,58,200,57,203,58,518,57,498,58,11,57,2,57,612,58,0.650416933932008,58,4056,6236,0.13185443668993,57,529,4012,0.08580697485807,57,529,6165,0.332225913621262,57,200,602,0.735294117647059,58,450,612,2021/09/08,,1,58,9,58,10,58,13,58,21,58,15,58,16,58,7,58,0,58,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,2,57
VA,20,66,20,21,65,20,44,103,18295,106,13602,106,2022,103,198,106,172,103,15,103,15,103,1464,106,493,103,492,106,1973,103,1786,106,49,103,28,103,1964,106,0.74348182563542,106,13602,18295,0.150401666170783,103,2022,13444,0.112046991022941,103,2022,18046,0.258115183246073,103,493,1910,0.745417515274949,106,1464,1964,2021/09/08,,1,106,17,106,17,106,21,106,31,106,48,106,36,106,23,106,4,106,1,103,11,103,10,103,19,103,19,103,33,103,49,103,29,103,1,103,15,103
VI,2,0,0,2,0,0,0,2,168,2,106,2,6,2,0,2,0,2,0,2,0,2,7,2,1,2,1,2,6,2,6,2,0,2,0,2,20,2,0.630952380952381,2,106,168,0.056603773584906,2,6,106,0.035714285714286,2,6,168,0.05,2,1,20,0.35,2,7,20,2021/09/08,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2
VT,2,14,1,2,14,1,0,16,1268,17,902,17,31,16,7,17,8,16,0,16,0,16,79,17,9,16,9,17,30,16,30,17,1,16,1,16,103,17,0.711356466876972,17,902,1268,0.035267349260523,16,31,879,0.025162337662338,16,31,1232,0.092783505154639,16,9,97,0.766990291262136,17,79,103,2021/09/08,,0,17,0,17,0,17,0,17,2,17,0,17,3,17,2,17,0,17,0,16,1,16,0,16,0,16,2,16,1,16,3,16,1,16,0,16,0,16
WA,22,80,2,22,80,2,21,102,13049,102,10090,102,1889,102,146,104,167,102,2,102,8,102,1037,102,462,102,444,104,1863,102,1653,104,26,102,16,102,1308,102,0.77323932868419,102,10090,13049,0.188732112478735,100,1886,9993,0.146133581280025,100,1886,12906,0.360093530787217,100,462,1283,0.792813455657492,102,1037,1308,2021/09/08,,2,104,12,103,12,104,17,104,26,104,20,104,37,104,20,104,0,104,0,102,16,102,27,102,15,102,18,102,21,102,25,102,24,102,21,102,18,102
WI,35,94,21,43,86,21,6,147,13407,150,9296,150,1145,147,206,150,57,147,5,147,23,147,1014,150,339,147,339,150,1116,147,1077,150,29,147,10,147,1536,150,0.693369135526218,150,9296,13407,0.125644683419291,147,1145,9113,0.087085488287192,147,1145,13148,0.228436657681941,147,339,1484,0.66015625,150,1014,1536,2021/09/08,,0,150,9,150,8,149,21,149,34,149,23,149,34,149,20,149,57,150,0,147,4,146,6,146,7,146,3,146,11,146,14,146,4,146,8,147,15,147
IA,3,21,102,5,20,101,1,124,7827,126,5016,126,629,124,59,126,41,124,1,124,1,124,459,126,153,124,146,126,611,124,537,126,18,124,9,124,622,126,0.640858566500575,126,5016,7827,0.127224919093851,124,629,4944,0.08137128072445,124,629,7730,0.253731343283582,124,153,603,0.737942122186495,126,459,622,2021/09/08,,0,126,2,126,9,126,10,126,9,126,14,126,9,126,6,126,0,126,2,124,7,124,4,124,4,124,8,124,5,124,5,124,6,124,0,124,7,124
ID,4,39,10,5,38,10,6,52,3754,53,2455,53,657,52,86,53,6,52,1,52,0,52,271,52,171,52,173,53,651,52,649,53,6,52,5,52,312,52,0.653969099627064,53,2455,3754,0.272614107883817,52,657,2410,0.177711658101163,52,657,3697,0.566225165562914,51,171,302,0.868589743589744,52,271,312,2021/09/08,,3,53,2,52,3,52,12,52,15,52,20,52,18,52,13,52,0,53,0,52,0,51,0,51,0,51,2,51,1,51,3,51,0,51,0,52,9,52
IL,10,165,27,11,164,27,14,197,30924,202,22254,202,2315,197,237,202,226,197,6,197,35,197,2282,202,553,197,528,202,2259,197,2025,202,56,197,28,197,3252,202,0.719635234769111,202,22254,30924,0.1051938019721,197,2315,22007,0.075762534363137,197,2315,30556,0.17411838790932,197,553,3176,0.701722017220172,202,2282,3252,2021/09/08,,1,202,7,201,27,201,34,201,52,201,39,201,36,201,39,201,2,193,1,197,17,196,25,196,22,196,30,196,44,196,48,196,38,196,1,188,28,197
IN,25,137,4,23,140,3,11,164,18545,166,12562,166,2553,164,279,166,147,164,11,164,9,164,1765,166,724,164,699,166,2497,164,2267,166,56,164,33,164,2157,165,0.677379347533028,166,12562,18545,0.205093187660668,164,2553,12448,0.13875,164,2553,18400,0.343453510436433,163,724,2108,0.818266110338433,165,1765,2157,2021/09/08,,2,166,14,166,27,166,36,166,51,166,61,166,46,166,39,166,3,166,0,164,8,164,16,164,19,164,20,164,30,164,26,164,17,164,11,164,24,164
KS,19,116,8,24,111,8,6,140,7268,143,4584,143,657,140,104,143,27,140,1,140,0,140,535,143,201,140,204,143,643,140,588,143,14,140,10,140,672,143,0.630709961474959,143,4584,7268,0.14484126984127,140,657,4536,0.091338801612679,140,657,7193,0.309230769230769,140,201,650,0.796130952380952,143,535,672,2021/09/08,,1,143,4,141,16,141,9,141,13,141,25,141,13,141,14,141,9,143,0,140,2,138,2,138,3,137,6,138,5,138,7,138,2,138,0,140,10,140
KY,65,51,2,48,68,2,11,116,11883,118,9061,118,2560,116,613,118,101,116,5,116,20,116,1362,118,657,116,627,118,2505,116,2359,118,55,116,24,116,1514,118,0.762517882689557,118,9061,11883,0.287092071324436,116,2560,8917,0.218934405199692,116,2560,11693,0.448158253751705,116,657,1466,0.899603698811096,118,1362,1514,2021/09/08,,0,118,16,118,27,118,53,118,85,118,87,118,60,118,30,118,151,118,0,116,11,116,8,116,12,116,21,116,23,116,16,116,18,116,0,116,37,116
LA,67,152,7,67,152,7,6,219,12873,226,9915,226,1505,226,173,221,24,221,3,221,0,221,1449,226,551,226,548,226,1483,226,1682,226,22,226,75,226,1685,226,0.770216732696341,226,9915,12873,0.151790216843167,226,1505,9915,0.116911364872213,226,1505,12873,0.32700296735905,226,551,1685,0.859940652818991,226,1449,1685,2021/09/08,,6,221,7,221,22,221,17,221,31,221,41,221,32,221,22,221,1,221,2,221,1,221,5,221,5,221,1,221,7,221,4,221,1,221,0,221,23,219
MA,12,89,1,13,88,1,9,101,18843,102,15685,102,581,101,81,102,45,101,0,101,3,101,1008,102,172,101,167,102,570,101,517,102,11,101,8,101,1332,102,0.832404606485167,102,15685,18843,0.037312953567529,101,581,15571,0.031052912880812,101,581,18710,0.131699846860643,101,172,1306,0.756756756756757,102,1008,1332,2021/09/08,,1,102,3,102,12,102,14,102,11,102,13,102,17,102,10,102,2,102,1,101,5,101,3,101,2,101,4,101,10,101,11,101,9,101,0,101,7,101
MD,2,55,1,2,55,1,8,57,10976,58,9256,58,972,57,82,58,208,57,1,57,17,57,893,58,221,57,204,58,944,57,742,58,28,57,13,57,1249,58,0.8432944606414,58,9256,10976,0.105560382276281,57,972,9208,0.089403973509934,57,972,10872,0.182493806771263,57,221,1211,0.714971977582066,58,893,1249,2021/09/08,,1,58,6,58,9,58,12,58,21,58,18,58,9,58,6,58,0,58,1,57,17,57,25,57,24,57,34,57,37,57,32,57,38,57,0,57,17,57
ME,5,24,9,2,27,9,7,37,3297,38,2325,38,180,37,15,38,17,37,0,37,1,37,244,38,62,37,63,38,180,37,173,38,0,37,0,37,318,38,0.705186533212011,38,2325,3297,0.07849978194505,37,180,2293,0.055180870631514,37,180,3262,0.200647249190939,37,62,309,0.767295597484277,38,244,318,2021/09/08,,0,38,0,38,1,38,2,38,1,38,7,38,0,38,4,38,0,38,0,37,1,37,2,37,2,37,4,37,4,37,2,37,2,37,0,37,2,37
MI,4,155,4,5,154,4,9,159,22959,163,18852,163,1467,159,184,163,18,159,3,159,3,159,1997,163,399,159,395,163,1439,159,1367,163,28,159,19,159,2392,163,0.821115902260551,163,18852,22959,0.078357013139622,159,1467,18722,0.064486351048398,159,1467,22749,0.169642857142857,159,399,2352,0.834866220735786,163,1997,2392,2021/09/08,,2,163,13,163,12,163,21,163,33,163,37,163,34,163,18,163,14,163,0,159,0,159,2,159,1,159,4,159,2,159,3,159,6,159,0,159,7,159
MN,15,99,26,15,99,26,24,139,10302,140,8316,140,769,139,92,140,32,139,1,139,2,139,765,140,197,139,192,140,744,139,673,140,25,139,21,139,963,140,0.807221898660454,140,8316,10302,0.093883530704432,139,769,8191,0.075980634324671,139,769,10121,0.212513484358145,139,197,927,0.794392523364486,140,765,963,2021/09/08,,0,140,4,140,8,140,10,140,10,140,24,140,21,140,15,140,0,140,0,139,4,139,6,139,6,139,5,139,6,139,3,139,2,139,0,139,1,139
MO,33,81,25,34,80,25,10,135,17111,139,14056,139,1954,135,180,139,207,135,1,135,23,135,1584,139,566,135,546,139,1885,135,1710,139,69,135,53,135,1858,139,0.821459879609608,139,14056,17111,0.14117477060906,135,1954,13841,0.11610219845514,135,1954,16830,0.317086834733894,135,566,1785,0.852529601722282,139,1584,1858,2021/09/08,,1,139,10,139,18,139,24,139,32,139,39,139,31,139,25,139,0,139,3,134,21,134,20,134,21,134,26,135,35,135,37,135,44,135,0,135,21,135
AK,5,18,1,6,17,1,8,24,1603,24,1148,24,221,24,29,24,2,24,1,24,0,24,106,24,51,24,50,24,215,24,210,24,6,24,1,24,128,24,0.716157205240175,24,1148,1603,0.192508710801394,24,221,1148,0.137866500311915,24,221,1603,0.3984375,24,51,128,0.828125,24,106,128,2021/09/08,,1,24,2,24,1,24,4,24,6,24,5,24,7,24,2,24,1,24,0,24,0,24,1,24,0,24,1,24,0,24,0,24,0,24,0,24,3,24
