state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PR,0,11,54,0,11,54,9,64,9011,65,5435,65,455,64,4,65,10,64,1,64,12,64,457,65,115,64,79,65,425,64,382,65,30,64,9,64,654,65,0.603151703473532,65,5435,9011,0.085542395187065,64,455,5319,0.051546391752577,64,455,8827,0.184294871794872,64,115,624,0.698776758409786,65,457,654,2021/09/03,,0,65,1,65,1,65,0,65,1,65,0,65,0,65,1,65,0,65,0,64,0,64,0,64,1,64,2,64,1,64,6,64,0,64,0,64,10,64
RI,6,6,2,6,6,2,3,13,2431,14,2073,14,151,13,6,14,4,13,0,13,0,13,132,14,12,13,12,14,133,13,125,14,18,13,4,13,160,14,0.852735499794323,14,2073,2431,0.074457593688363,13,151,2028,0.063418731625367,13,151,2381,0.078947368421053,13,12,152,0.825,14,132,160,2021/09/03,,0,12,0,12,0,12,0,12,1,12,2,12,2,12,1,12,0,12,0,11,0,11,0,11,0,11,0,11,0,11,2,11,2,11,0,11,3,13
SC,22,47,5,22,47,5,12,72,10513,74,8579,74,2553,72,330,74,50,72,7,72,1,72,1140,74,553,72,562,74,2506,72,2469,74,47,72,42,72,1329,74,0.816037287168268,74,8579,10513,0.301523562064486,72,2553,8467,0.247096399535424,72,2553,10332,0.429347826086957,72,553,1288,0.857787810383747,74,1140,1329,2021/09/03,,2,74,19,74,41,74,52,74,59,74,64,74,57,74,34,74,2,69,0,72,3,72,7,72,4,72,6,72,12,72,8,72,10,72,0,67,49,72
SD,1,60,3,1,60,3,31,61,2644,64,1538,63,211,61,18,64,13,61,1,61,2,61,149,64,68,61,71,64,207,61,202,64,4,61,3,61,250,64,0.583459787556904,63,1538,2636,0.139240506329114,60,209,1501,0.081846392552366,61,211,2578,0.284518828451883,61,68,239,0.596,64,149,250,2021/09/03,,0,64,1,64,1,64,1,64,3,64,3,64,6,64,3,64,0,64,1,61,3,61,3,61,1,61,1,61,2,61,0,61,2,61,0,61,2,61
TN,24,75,41,42,57,41,42,100,20178,140,13368,128,3813,100,370,100,71,100,6,100,3,100,1889,138,1043,100,1024,100,3738,100,3582,100,75,100,68,100,2449,140,0.696649121892751,128,13368,19189,0.305528846153846,100,3813,12480,0.214659685863874,100,3813,17763,0.44326391840204,100,1043,2353,0.781224152191894,138,1889,2418,2021/09/03,,2,100,15,100,28,100,48,100,78,100,75,100,53,100,36,100,35,100,0,100,6,100,6,100,15,100,8,100,15,100,13,100,3,100,5,100,76,100
TX,19,89,397,22,86,397,73,500,62870,505,49437,505,14173,500,1473,505,424,500,51,500,137,500,7258,505,3771,500,3741,505,13810,500,13298,505,363,500,292,500,7865,505,0.786336885637029,505,49437,62870,0.290020258241421,500,14173,48869,0.228320579943617,500,14173,62075,0.492169146436962,500,3771,7662,0.922822631913541,505,7258,7865,2021/09/03,,7,505,85,505,179,505,237,505,236,505,309,505,207,505,117,505,96,505,4,500,38,500,44,500,56,500,66,500,64,500,58,500,43,500,51,500,221,500
UT,0,43,9,1,42,9,0,51,5540,52,3229,52,483,51,61,52,5,51,3,51,1,51,429,52,176,51,181,52,478,51,465,52,5,51,1,51,615,52,0.582851985559567,52,3229,5540,0.152365930599369,51,483,3170,0.088235294117647,51,483,5474,0.290909090909091,51,176,605,0.697560975609756,52,429,615,2021/09/03,,2,52,9,52,7,52,11,52,10,52,12,52,7,52,3,52,0,52,0,51,0,51,0,51,1,51,1,51,2,51,1,51,0,51,0,51,0,51
VA,17,63,20,19,61,20,45,97,17442,100,12800,100,2025,97,230,100,197,97,16,97,21,97,1451,100,450,97,442,100,1970,97,1818,100,55,97,35,97,1947,100,0.7338607957803,100,12800,17442,0.160028449502134,97,2025,12654,0.117773641968128,97,2025,17194,0.23784355179704,97,450,1892,0.745249101181305,100,1451,1947,2021/09/03,,1,100,10,100,13,100,32,100,49,100,57,100,47,100,19,100,2,100,3,97,10,97,15,97,16,97,39,97,35,97,39,97,38,97,2,97,25,97
VI,2,0,0,2,0,0,0,2,168,2,98,2,9,2,1,2,0,2,0,2,0,2,12,2,4,2,4,2,9,2,9,2,0,2,0,2,20,2,0.583333333333333,2,98,168,0.091836734693878,2,9,98,0.053571428571429,2,9,168,0.2,2,4,20,0.6,2,12,20,2021/09/03,,0,2,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2
VT,2,14,1,2,14,1,1,16,1266,17,868,17,39,16,4,17,11,16,0,16,0,16,69,17,15,16,13,17,39,16,35,17,0,16,0,16,99,17,0.685624012638231,17,868,1266,0.046428571428571,16,39,840,0.031707317073171,16,39,1230,0.161290322580645,16,15,93,0.696969696969697,17,69,99,2021/09/03,,0,17,0,17,0,17,2,17,2,17,0,17,0,17,0,17,0,17,0,16,1,16,0,16,1,16,3,16,2,16,3,16,1,16,0,16,0,16
